Nation,iso_code3,Code,Year,exports_enfu_pj_fuel_electricity
argentina,ARG,32,1960,-0.0
argentina,ARG,32,1961,-0.0
argentina,ARG,32,1962,-0.0
argentina,ARG,32,1963,-0.0
argentina,ARG,32,1964,-0.0
argentina,ARG,32,1965,-0.0
argentina,ARG,32,1966,-0.0
argentina,ARG,32,1967,-0.0
argentina,ARG,32,1968,-0.0
argentina,ARG,32,1969,-0.0
argentina,ARG,32,1970,-0.0
argentina,ARG,32,1971,0.036000000000000004
argentina,ARG,32,1972,0.022
argentina,ARG,32,1973,0.014
argentina,ARG,32,1974,0.011
argentina,ARG,32,1975,0.011
argentina,ARG,32,1976,0.007
argentina,ARG,32,1977,0.007
argentina,ARG,32,1978,0.011
argentina,ARG,32,1979,0.018000000000000002
argentina,ARG,32,1980,0.007
argentina,ARG,32,1981,0.011
argentina,ARG,32,1982,0.022
argentina,ARG,32,1983,0.022
argentina,ARG,32,1984,0.018000000000000002
argentina,ARG,32,1985,0.022
argentina,ARG,32,1986,0.022
argentina,ARG,32,1987,0.022
argentina,ARG,32,1988,0.04
argentina,ARG,32,1989,0.043000000000000003
argentina,ARG,32,1990,0.20500000000000002
argentina,ARG,32,1991,0.036000000000000004
argentina,ARG,32,1992,0.083
argentina,ARG,32,1993,0.08600000000000001
argentina,ARG,32,1994,0.07200000000000001
argentina,ARG,32,1995,0.792
argentina,ARG,32,1996,1.08
argentina,ARG,32,1997,0.997
argentina,ARG,32,1998,-0.0
argentina,ARG,32,1999,3.888
argentina,ARG,32,2000,21.679000000000002
argentina,ARG,32,2001,20.38
argentina,ARG,32,2002,10.282
argentina,ARG,32,2003,9.155
argentina,ARG,32,2004,14.915000000000001
argentina,ARG,32,2005,14.904
argentina,ARG,32,2006,18.212
argentina,ARG,32,2007,9.461
argentina,ARG,32,2008,10.71
argentina,ARG,32,2009,8.802
argentina,ARG,32,2010,6.1240000000000006
argentina,ARG,32,2011,4.543
argentina,ARG,32,2012,1.822
argentina,ARG,32,2013,-0.0
argentina,ARG,32,2014,0.598
argentina,ARG,32,2015,0.198
argentina,ARG,32,2016,1.184
argentina,ARG,32,2017,-0.0
bahamas,BHS,44,1960,-0.0
bahamas,BHS,44,1961,-0.0
bahamas,BHS,44,1962,-0.0
bahamas,BHS,44,1963,-0.0
bahamas,BHS,44,1964,-0.0
bahamas,BHS,44,1965,-0.0
bahamas,BHS,44,1966,-0.0
bahamas,BHS,44,1967,-0.0
bahamas,BHS,44,1968,-0.0
bahamas,BHS,44,1969,-0.0
bahamas,BHS,44,1970,-0.0
bahamas,BHS,44,1971,-0.0
bahamas,BHS,44,1972,-0.0
bahamas,BHS,44,1973,-0.0
bahamas,BHS,44,1974,-0.0
bahamas,BHS,44,1975,-0.0
bahamas,BHS,44,1976,-0.0
bahamas,BHS,44,1977,-0.0
bahamas,BHS,44,1978,-0.0
bahamas,BHS,44,1979,-0.0
bahamas,BHS,44,1980,-0.0
bahamas,BHS,44,1981,-0.0
bahamas,BHS,44,1982,0.389
bahamas,BHS,44,1983,1.7570000000000001
bahamas,BHS,44,1984,1.555
bahamas,BHS,44,1985,0.216
bahamas,BHS,44,1986,0.36
bahamas,BHS,44,1987,0.396
bahamas,BHS,44,1988,0.302
bahamas,BHS,44,1989,0.353
bahamas,BHS,44,1990,0.454
bahamas,BHS,44,1991,0.626
bahamas,BHS,44,1992,0.032
bahamas,BHS,44,1993,0.544
bahamas,BHS,44,1994,0.544
bahamas,BHS,44,1995,0.544
bahamas,BHS,44,1996,0.392
bahamas,BHS,44,1997,0.868
bahamas,BHS,44,1998,0.245
bahamas,BHS,44,1999,0.461
bahamas,BHS,44,2000,1.7890000000000001
bahamas,BHS,44,2001,1.364
bahamas,BHS,44,2002,1.721
bahamas,BHS,44,2003,0.983
bahamas,BHS,44,2004,1.584
bahamas,BHS,44,2005,0.252
bahamas,BHS,44,2006,0.216
bahamas,BHS,44,2007,0.14400000000000002
bahamas,BHS,44,2008,0.598
bahamas,BHS,44,2009,0.482
bahamas,BHS,44,2010,0.486
bahamas,BHS,44,2011,1.1520000000000001
bahamas,BHS,44,2012,1.447
bahamas,BHS,44,2013,1.742
bahamas,BHS,44,2014,1.998
bahamas,BHS,44,2015,2.315
bahamas,BHS,44,2016,2.365
bahamas,BHS,44,2017,-0.0
barbados,BRB,52,1960,-0.0
barbados,BRB,52,1961,-0.0
barbados,BRB,52,1962,-0.0
barbados,BRB,52,1963,-0.0
barbados,BRB,52,1964,-0.0
barbados,BRB,52,1965,-0.0
barbados,BRB,52,1966,-0.0
barbados,BRB,52,1967,-0.0
barbados,BRB,52,1968,-0.0
barbados,BRB,52,1969,-0.0
barbados,BRB,52,1970,-0.0
barbados,BRB,52,1971,-0.0
barbados,BRB,52,1972,-0.0
barbados,BRB,52,1973,-0.0
barbados,BRB,52,1974,-0.0
barbados,BRB,52,1975,-0.0
barbados,BRB,52,1976,-0.0
barbados,BRB,52,1977,-0.0
barbados,BRB,52,1978,-0.0
barbados,BRB,52,1979,-0.0
barbados,BRB,52,1980,-0.0
barbados,BRB,52,1981,-0.0
barbados,BRB,52,1982,0.389
barbados,BRB,52,1983,1.7570000000000001
barbados,BRB,52,1984,1.555
barbados,BRB,52,1985,0.216
barbados,BRB,52,1986,0.36
barbados,BRB,52,1987,0.396
barbados,BRB,52,1988,0.302
barbados,BRB,52,1989,0.353
barbados,BRB,52,1990,0.454
barbados,BRB,52,1991,0.626
barbados,BRB,52,1992,0.032
barbados,BRB,52,1993,0.544
barbados,BRB,52,1994,0.544
barbados,BRB,52,1995,0.544
barbados,BRB,52,1996,0.392
barbados,BRB,52,1997,0.868
barbados,BRB,52,1998,0.245
barbados,BRB,52,1999,0.461
barbados,BRB,52,2000,1.7890000000000001
barbados,BRB,52,2001,1.364
barbados,BRB,52,2002,1.721
barbados,BRB,52,2003,0.983
barbados,BRB,52,2004,1.584
barbados,BRB,52,2005,0.252
barbados,BRB,52,2006,0.216
barbados,BRB,52,2007,0.14400000000000002
barbados,BRB,52,2008,0.598
barbados,BRB,52,2009,0.482
barbados,BRB,52,2010,0.486
barbados,BRB,52,2011,1.1520000000000001
barbados,BRB,52,2012,1.447
barbados,BRB,52,2013,1.742
barbados,BRB,52,2014,1.998
barbados,BRB,52,2015,2.315
barbados,BRB,52,2016,2.365
barbados,BRB,52,2017,-0.0
belize,BLZ,84,1960,-0.0
belize,BLZ,84,1961,-0.0
belize,BLZ,84,1962,-0.0
belize,BLZ,84,1963,-0.0
belize,BLZ,84,1964,-0.0
belize,BLZ,84,1965,-0.0
belize,BLZ,84,1966,-0.0
belize,BLZ,84,1967,-0.0
belize,BLZ,84,1968,-0.0
belize,BLZ,84,1969,-0.0
belize,BLZ,84,1970,-0.0
belize,BLZ,84,1971,-0.0
belize,BLZ,84,1972,-0.0
belize,BLZ,84,1973,-0.0
belize,BLZ,84,1974,-0.0
belize,BLZ,84,1975,-0.0
belize,BLZ,84,1976,-0.0
belize,BLZ,84,1977,-0.0
belize,BLZ,84,1978,-0.0
belize,BLZ,84,1979,-0.0
belize,BLZ,84,1980,-0.0
belize,BLZ,84,1981,-0.0
belize,BLZ,84,1982,0.389
belize,BLZ,84,1983,1.7570000000000001
belize,BLZ,84,1984,1.555
belize,BLZ,84,1985,0.216
belize,BLZ,84,1986,0.36
belize,BLZ,84,1987,0.396
belize,BLZ,84,1988,0.302
belize,BLZ,84,1989,0.353
belize,BLZ,84,1990,0.454
belize,BLZ,84,1991,0.626
belize,BLZ,84,1992,0.032
belize,BLZ,84,1993,0.544
belize,BLZ,84,1994,0.544
belize,BLZ,84,1995,0.544
belize,BLZ,84,1996,0.392
belize,BLZ,84,1997,0.868
belize,BLZ,84,1998,0.245
belize,BLZ,84,1999,0.461
belize,BLZ,84,2000,1.7890000000000001
belize,BLZ,84,2001,1.364
belize,BLZ,84,2002,1.721
belize,BLZ,84,2003,0.983
belize,BLZ,84,2004,1.584
belize,BLZ,84,2005,0.252
belize,BLZ,84,2006,0.216
belize,BLZ,84,2007,0.14400000000000002
