Year,Nation,prodinit_ippu_textiles_tonne
1990,argentina,37308.4886828349
1991,argentina,37308.4886828349
1992,argentina,37308.4886828349
1993,argentina,37308.4886828349
1994,argentina,37308.4886828349
1995,argentina,37308.4886828349
1996,argentina,37308.4886828349
1997,argentina,37308.4886828349
1998,argentina,37308.4886828349
1999,argentina,37308.4886828349
2000,argentina,37308.4886828349
2001,argentina,37308.4886828349
2002,argentina,37308.4886828349
2003,argentina,37308.4886828349
2004,argentina,37308.4886828349
2005,argentina,37308.4886828349
2006,argentina,37308.4886828349
2007,argentina,37308.4886828349
2008,argentina,37308.4886828349
2009,argentina,37308.4886828349
2010,argentina,37308.4886828349
2011,argentina,37308.4886828349
2012,argentina,37308.4886828349
2013,argentina,37308.4886828349
2014,argentina,37308.4886828349
2015,argentina,37308.4886828349
2016,argentina,37308.4886828349
2017,argentina,37308.4886828349
2018,argentina,37308.4886828349
2019,argentina,37308.4886828349
1990,bahamas,19880.0347709058
1991,bahamas,19880.0347709058
1992,bahamas,19880.0347709058
1993,bahamas,19880.0347709058
1994,bahamas,19880.0347709058
1995,bahamas,19880.0347709058
1996,bahamas,19880.0347709058
1997,bahamas,19880.0347709058
1998,bahamas,19880.0347709058
1999,bahamas,19880.0347709058
2000,bahamas,19880.0347709058
2001,bahamas,19880.0347709058
2002,bahamas,19880.0347709058
2003,bahamas,19880.0347709058
2004,bahamas,19880.0347709058
2005,bahamas,19880.0347709058
2006,bahamas,19880.0347709058
2007,bahamas,19880.0347709058
2008,bahamas,19880.0347709058
2009,bahamas,19880.0347709058
2010,bahamas,19880.0347709058
2011,bahamas,19880.0347709058
2012,bahamas,19880.0347709058
2013,bahamas,19880.0347709058
2014,bahamas,19880.0347709058
2015,bahamas,19880.0347709058
2016,bahamas,19880.0347709058
2017,bahamas,19880.0347709058
2018,bahamas,19880.0347709058
2019,bahamas,19880.0347709058
1990,barbados,19880.0347709058
1991,barbados,19880.0347709058
1992,barbados,19880.0347709058
1993,barbados,19880.0347709058
1994,barbados,19880.0347709058
1995,barbados,19880.0347709058
1996,barbados,19880.0347709058
1997,barbados,19880.0347709058
1998,barbados,19880.0347709058
1999,barbados,19880.0347709058
2000,barbados,19880.0347709058
2001,barbados,19880.0347709058
2002,barbados,19880.0347709058
2003,barbados,19880.0347709058
2004,barbados,19880.0347709058
2005,barbados,19880.0347709058
2006,barbados,19880.0347709058
2007,barbados,19880.0347709058
2008,barbados,19880.0347709058
2009,barbados,19880.0347709058
2010,barbados,19880.0347709058
2011,barbados,19880.0347709058
2012,barbados,19880.0347709058
2013,barbados,19880.0347709058
2014,barbados,19880.0347709058
2015,barbados,19880.0347709058
2016,barbados,19880.0347709058
2017,barbados,19880.0347709058
2018,barbados,19880.0347709058
2019,barbados,19880.0347709058
1990,belize,19880.0347709058
1991,belize,19880.0347709058
1992,belize,19880.0347709058
1993,belize,19880.0347709058
1994,belize,19880.0347709058
1995,belize,19880.0347709058
1996,belize,19880.0347709058
1997,belize,19880.0347709058
1998,belize,19880.0347709058
1999,belize,19880.0347709058
2000,belize,19880.0347709058
2001,belize,19880.0347709058
2002,belize,19880.0347709058
2003,belize,19880.0347709058
2004,belize,19880.0347709058
2005,belize,19880.0347709058
2006,belize,19880.0347709058
2007,belize,19880.0347709058
2008,belize,19880.0347709058
2009,belize,19880.0347709058
2010,belize,19880.0347709058
2011,belize,19880.0347709058
2012,belize,19880.0347709058
2013,belize,19880.0347709058
2014,belize,19880.0347709058
2015,belize,19880.0347709058
2016,belize,19880.0347709058
2017,belize,19880.0347709058
2018,belize,19880.0347709058
2019,belize,19880.0347709058
1990,bolivia,737.776223791331
1991,bolivia,737.776223791331
1992,bolivia,737.776223791331
1993,bolivia,737.776223791331
1994,bolivia,737.776223791331
1995,bolivia,737.776223791331
1996,bolivia,737.776223791331
1997,bolivia,737.776223791331
1998,bolivia,737.776223791331
1999,bolivia,737.776223791331
2000,bolivia,737.776223791331
2001,bolivia,737.776223791331
2002,bolivia,737.776223791331
2003,bolivia,737.776223791331
2004,bolivia,737.776223791331
2005,bolivia,737.776223791331
2006,bolivia,737.776223791331
2007,bolivia,737.776223791331
2008,bolivia,737.776223791331
2009,bolivia,737.776223791331
2010,bolivia,737.776223791331
2011,bolivia,737.776223791331
2012,bolivia,737.776223791331
2013,bolivia,737.776223791331
2014,bolivia,737.776223791331
2015,bolivia,737.776223791331
2016,bolivia,737.776223791331
2017,bolivia,737.776223791331
2018,bolivia,737.776223791331
2019,bolivia,737.776223791331
1990,brazil,138100.172256379
1991,brazil,138100.172256379
1992,brazil,138100.172256379
1993,brazil,138100.172256379
1994,brazil,138100.172256379
1995,brazil,138100.172256379
1996,brazil,138100.172256379
1997,brazil,138100.172256379
1998,brazil,138100.172256379
1999,brazil,138100.172256379
2000,brazil,138100.172256379
2001,brazil,138100.172256379
2002,brazil,138100.172256379
2003,brazil,138100.172256379
2004,brazil,138100.172256379
2005,brazil,138100.172256379
2006,brazil,138100.172256379
2007,brazil,138100.172256379
2008,brazil,138100.172256379
2009,brazil,138100.172256379
2010,brazil,138100.172256379
2011,brazil,138100.172256379
2012,brazil,138100.172256379
2013,brazil,138100.172256379
2014,brazil,138100.172256379
2015,brazil,138100.172256379
2016,brazil,138100.172256379
2017,brazil,138100.172256379
2018,brazil,138100.172256379
2019,brazil,138100.172256379
1990,chile,4991.94391222528
1991,chile,4991.94391222528
1992,chile,4991.94391222528
1993,chile,4991.94391222528
1994,chile,4991.94391222528
1995,chile,4991.94391222528
1996,chile,4991.94391222528
1997,chile,4991.94391222528
1998,chile,4991.94391222528
1999,chile,4991.94391222528
2000,chile,4991.94391222528
2001,chile,4991.94391222528
2002,chile,4991.94391222528
2003,chile,4991.94391222528
2004,chile,4991.94391222528
2005,chile,4991.94391222528
2006,chile,4991.94391222528
2007,chile,4991.94391222528
2008,chile,4991.94391222528
2009,chile,4991.94391222528
2010,chile,4991.94391222528
2011,chile,4991.94391222528
2012,chile,4991.94391222528
2013,chile,4991.94391222528
2014,chile,4991.94391222528
2015,chile,4991.94391222528
2016,chile,4991.94391222528
2017,chile,4991.94391222528
2018,chile,4991.94391222528
2019,chile,4991.94391222528
1990,colombia,14661.6206609275
1991,colombia,14661.6206609275
1992,colombia,14661.6206609275
1993,colombia,14661.6206609275
1994,colombia,14661.6206609275
1995,colombia,14661.6206609275
1996,colombia,14661.6206609275
1997,colombia,14661.6206609275
1998,colombia,14661.6206609275
1999,colombia,14661.6206609275
2000,colombia,14661.6206609275
2001,colombia,14661.6206609275
2002,colombia,14661.6206609275
2003,colombia,14661.6206609275
2004,colombia,14661.6206609275
2005,colombia,14661.6206609275
2006,colombia,14661.6206609275
2007,colombia,14661.6206609275
2008,colombia,14661.6206609275
2009,colombia,14661.6206609275
2010,colombia,14661.6206609275
2011,colombia,14661.6206609275
2012,colombia,14661.6206609275
2013,colombia,14661.6206609275
2014,colombia,14661.6206609275
2015,colombia,14661.6206609275
2016,colombia,14661.6206609275
2017,colombia,14661.6206609275
2018,colombia,14661.6206609275
2019,colombia,14661.6206609275
1990,costa_rica,903.801336036636
1991,costa_rica,903.801336036636
1992,costa_rica,903.801336036636
1993,costa_rica,903.801336036636
1994,costa_rica,903.801336036636
1995,costa_rica,903.801336036636
1996,costa_rica,903.801336036636
1997,costa_rica,903.801336036636
1998,costa_rica,903.801336036636
1999,costa_rica,903.801336036636
2000,costa_rica,903.801336036636
2001,costa_rica,903.801336036636
2002,costa_rica,903.801336036636
2003,costa_rica,903.801336036636
2004,costa_rica,903.801336036636
2005,costa_rica,903.801336036636
2006,costa_rica,903.801336036636
2007,costa_rica,903.801336036636
2008,costa_rica,903.801336036636
2009,costa_rica,903.801336036636
2010,costa_rica,903.801336036636
2011,costa_rica,903.801336036636
2012,costa_rica,903.801336036636
2013,costa_rica,903.801336036636
2014,costa_rica,903.801336036636
2015,costa_rica,903.801336036636
2016,costa_rica,903.801336036636
2017,costa_rica,903.801336036636
2018,costa_rica,903.801336036636
2019,costa_rica,903.801336036636
1990,dominican_republic,373.894066796568
1991,dominican_republic,373.894066796568
1992,dominican_republic,373.894066796568
1993,dominican_republic,373.894066796568
1994,dominican_republic,373.894066796568
1995,dominican_republic,373.894066796568
1996,dominican_republic,373.894066796568
1997,dominican_republic,373.894066796568
1998,dominican_republic,373.894066796568
1999,dominican_republic,373.894066796568
2000,dominican_republic,373.894066796568
2001,dominican_republic,373.894066796568
2002,dominican_republic,373.894066796568
2003,dominican_republic,373.894066796568
2004,dominican_republic,373.894066796568
2005,dominican_republic,373.894066796568
2006,dominican_republic,373.894066796568
2007,dominican_republic,373.894066796568
2008,dominican_republic,373.894066796568
2009,dominican_republic,373.894066796568
2010,dominican_republic,373.894066796568
2011,dominican_republic,373.894066796568
2012,dominican_republic,373.894066796568
2013,dominican_republic,373.894066796568
2014,dominican_republic,373.894066796568
2015,dominican_republic,373.894066796568
2016,dominican_republic,373.894066796568
2017,dominican_republic,373.894066796568
2018,dominican_republic,373.894066796568
2019,dominican_republic,373.894066796568
1990,ecuador,5491.64121077478
1991,ecuador,5491.64121077478
1992,ecuador,5491.64121077478
1993,ecuador,5491.64121077478
1994,ecuador,5491.64121077478
1995,ecuador,5491.64121077478
1996,ecuador,5491.64121077478
1997,ecuador,5491.64121077478
1998,ecuador,5491.64121077478
1999,ecuador,5491.64121077478
2000,ecuador,5491.64121077478
2001,ecuador,5491.64121077478
2002,ecuador,5491.64121077478
2003,ecuador,5491.64121077478
2004,ecuador,5491.64121077478
2005,ecuador,5491.64121077478
2006,ecuador,5491.64121077478
2007,ecuador,5491.64121077478
2008,ecuador,5491.64121077478
2009,ecuador,5491.64121077478
2010,ecuador,5491.64121077478
2011,ecuador,5491.64121077478
2012,ecuador,5491.64121077478
2013,ecuador,5491.64121077478
2014,ecuador,5491.64121077478
2015,ecuador,5491.64121077478
2016,ecuador,5491.64121077478
2017,ecuador,5491.64121077478
2018,ecuador,5491.64121077478
2019,ecuador,5491.64121077478
1990,el_salvador,9429.01877478818
1991,el_salvador,9429.01877478818
1992,el_salvador,9429.01877478818
1993,el_salvador,9429.01877478818
1994,el_salvador,9429.01877478818
1995,el_salvador,9429.01877478818
1996,el_salvador,9429.01877478818
1997,el_salvador,9429.01877478818
1998,el_salvador,9429.01877478818
1999,el_salvador,9429.01877478818
2000,el_salvador,9429.01877478818
2001,el_salvador,9429.01877478818
2002,el_salvador,9429.01877478818
2003,el_salvador,9429.01877478818
2004,el_salvador,9429.01877478818
2005,el_salvador,9429.01877478818
2006,el_salvador,9429.01877478818
2007,el_salvador,9429.01877478818
2008,el_salvador,9429.01877478818
2009,el_salvador,9429.01877478818
2010,el_salvador,9429.01877478818
2011,el_salvador,9429.01877478818
2012,el_salvador,9429.01877478818
2013,el_salvador,9429.01877478818
2014,el_salvador,9429.01877478818
2015,el_salvador,9429.01877478818
2016,el_salvador,9429.01877478818
2017,el_salvador,9429.01877478818
2018,el_salvador,9429.01877478818
2019,el_salvador,9429.01877478818
1990,guatemala,4114.67462204656
1991,guatemala,4114.67462204656
1992,guatemala,4114.67462204656
1993,guatemala,4114.67462204656
1994,guatemala,4114.67462204656
1995,guatemala,4114.67462204656
1996,guatemala,4114.67462204656
1997,guatemala,4114.67462204656
1998,guatemala,4114.67462204656
1999,guatemala,4114.67462204656
2000,guatemala,4114.67462204656
2001,guatemala,4114.67462204656
2002,guatemala,4114.67462204656
2003,guatemala,4114.67462204656
2004,guatemala,4114.67462204656
2005,guatemala,4114.67462204656
2006,guatemala,4114.67462204656
2007,guatemala,4114.67462204656
2008,guatemala,4114.67462204656
2009,guatemala,4114.67462204656
2010,guatemala,4114.67462204656
2011,guatemala,4114.67462204656
2012,guatemala,4114.67462204656
2013,guatemala,4114.67462204656
2014,guatemala,4114.67462204656
2015,guatemala,4114.67462204656
2016,guatemala,4114.67462204656
2017,guatemala,4114.67462204656
2018,guatemala,4114.67462204656
2019,guatemala,4114.67462204656
1990,guyana,19880.0347709058
1991,guyana,19880.0347709058
1992,guyana,19880.0347709058
1993,guyana,19880.0347709058
1994,guyana,19880.0347709058
1995,guyana,19880.0347709058
1996,guyana,19880.0347709058
1997,guyana,19880.0347709058
1998,guyana,19880.0347709058
1999,guyana,19880.0347709058
2000,guyana,19880.0347709058
2001,guyana,19880.0347709058
2002,guyana,19880.0347709058
2003,guyana,19880.0347709058
2004,guyana,19880.0347709058
2005,guyana,19880.0347709058
2006,guyana,19880.0347709058
2007,guyana,19880.0347709058
2008,guyana,19880.0347709058
2009,guyana,19880.0347709058
2010,guyana,19880.0347709058
2011,guyana,19880.0347709058
2012,guyana,19880.0347709058
2013,guyana,19880.0347709058
2014,guyana,19880.0347709058
2015,guyana,19880.0347709058
2016,guyana,19880.0347709058
2017,guyana,19880.0347709058
2018,guyana,19880.0347709058
2019,guyana,19880.0347709058
1990,haiti,19880.0347709058
1991,haiti,19880.0347709058
1992,haiti,19880.0347709058
1993,haiti,19880.0347709058
1994,haiti,19880.0347709058
1995,haiti,19880.0347709058
1996,haiti,19880.0347709058
1997,haiti,19880.0347709058
1998,haiti,19880.0347709058
1999,haiti,19880.0347709058
2000,haiti,19880.0347709058
2001,haiti,19880.0347709058
2002,haiti,19880.0347709058
2003,haiti,19880.0347709058
2004,haiti,19880.0347709058
2005,haiti,19880.0347709058
2006,haiti,19880.0347709058
2007,haiti,19880.0347709058
2008,haiti,19880.0347709058
2009,haiti,19880.0347709058
2010,haiti,19880.0347709058
2011,haiti,19880.0347709058
2012,haiti,19880.0347709058
2013,haiti,19880.0347709058
2014,haiti,19880.0347709058
2015,haiti,19880.0347709058
2016,haiti,19880.0347709058
2017,haiti,19880.0347709058
2018,haiti,19880.0347709058
2019,haiti,19880.0347709058
1990,honduras,12908.811496892
1991,honduras,12908.811496892
1992,honduras,12908.811496892
1993,honduras,12908.811496892
1994,honduras,12908.811496892
1995,honduras,12908.811496892
1996,honduras,12908.811496892
1997,honduras,12908.811496892
1998,honduras,12908.811496892
1999,honduras,12908.811496892
2000,honduras,12908.811496892
2001,honduras,12908.811496892
2002,honduras,12908.811496892
2003,honduras,12908.811496892
2004,honduras,12908.811496892
2005,honduras,12908.811496892
2006,honduras,12908.811496892
2007,honduras,12908.811496892
2008,honduras,12908.811496892
2009,honduras,12908.811496892
2010,honduras,12908.811496892
2011,honduras,12908.811496892
2012,honduras,12908.811496892
2013,honduras,12908.811496892
2014,honduras,12908.811496892
2015,honduras,12908.811496892
2016,honduras,12908.811496892
2017,honduras,12908.811496892
2018,honduras,12908.811496892
2019,honduras,12908.811496892
1990,jamaica,19880.0347709058
1991,jamaica,19880.0347709058
1992,jamaica,19880.0347709058
1993,jamaica,19880.0347709058
1994,jamaica,19880.0347709058
1995,jamaica,19880.0347709058
1996,jamaica,19880.0347709058
1997,jamaica,19880.0347709058
1998,jamaica,19880.0347709058
