Year,Nation,prodinit_ippu_textiles_tonne
1999,jamaica,19880.0347709058
2000,jamaica,19880.0347709058
2001,jamaica,19880.0347709058
2002,jamaica,19880.0347709058
2003,jamaica,19880.0347709058
2004,jamaica,19880.0347709058
2005,jamaica,19880.0347709058
2006,jamaica,19880.0347709058
2007,jamaica,19880.0347709058
2008,jamaica,19880.0347709058
2009,jamaica,19880.0347709058
2010,jamaica,19880.0347709058
2011,jamaica,19880.0347709058
2012,jamaica,19880.0347709058
2013,jamaica,19880.0347709058
2014,jamaica,19880.0347709058
2015,jamaica,19880.0347709058
2016,jamaica,19880.0347709058
2017,jamaica,19880.0347709058
2018,jamaica,19880.0347709058
2019,jamaica,19880.0347709058
1990,mexico,98564.7393631085
1991,mexico,98564.7393631085
1992,mexico,98564.7393631085
1993,mexico,98564.7393631085
1994,mexico,98564.7393631085
1995,mexico,98564.7393631085
1996,mexico,98564.7393631085
1997,mexico,98564.7393631085
1998,mexico,98564.7393631085
1999,mexico,98564.7393631085
2000,mexico,98564.7393631085
2001,mexico,98564.7393631085
2002,mexico,98564.7393631085
2003,mexico,98564.7393631085
2004,mexico,98564.7393631085
2005,mexico,98564.7393631085
2006,mexico,98564.7393631085
2007,mexico,98564.7393631085
2008,mexico,98564.7393631085
2009,mexico,98564.7393631085
2010,mexico,98564.7393631085
2011,mexico,98564.7393631085
2012,mexico,98564.7393631085
2013,mexico,98564.7393631085
2014,mexico,98564.7393631085
2015,mexico,98564.7393631085
2016,mexico,98564.7393631085
2017,mexico,98564.7393631085
2018,mexico,98564.7393631085
2019,mexico,98564.7393631085
1990,nicaragua,149.947173883675
1991,nicaragua,149.947173883675
1992,nicaragua,149.947173883675
1993,nicaragua,149.947173883675
1994,nicaragua,149.947173883675
1995,nicaragua,149.947173883675
1996,nicaragua,149.947173883675
1997,nicaragua,149.947173883675
1998,nicaragua,149.947173883675
1999,nicaragua,149.947173883675
2000,nicaragua,149.947173883675
2001,nicaragua,149.947173883675
2002,nicaragua,149.947173883675
2003,nicaragua,149.947173883675
2004,nicaragua,149.947173883675
2005,nicaragua,149.947173883675
2006,nicaragua,149.947173883675
2007,nicaragua,149.947173883675
2008,nicaragua,149.947173883675
2009,nicaragua,149.947173883675
2010,nicaragua,149.947173883675
2011,nicaragua,149.947173883675
2012,nicaragua,149.947173883675
2013,nicaragua,149.947173883675
2014,nicaragua,149.947173883675
2015,nicaragua,149.947173883675
2016,nicaragua,149.947173883675
2017,nicaragua,149.947173883675
2018,nicaragua,149.947173883675
2019,nicaragua,149.947173883675
1990,panama,107.424666481533
1991,panama,107.424666481533
1992,panama,107.424666481533
1993,panama,107.424666481533
1994,panama,107.424666481533
1995,panama,107.424666481533
1996,panama,107.424666481533
1997,panama,107.424666481533
1998,panama,107.424666481533
1999,panama,107.424666481533
2000,panama,107.424666481533
2001,panama,107.424666481533
2002,panama,107.424666481533
2003,panama,107.424666481533
2004,panama,107.424666481533
2005,panama,107.424666481533
2006,panama,107.424666481533
2007,panama,107.424666481533
2008,panama,107.424666481533
2009,panama,107.424666481533
2010,panama,107.424666481533
2011,panama,107.424666481533
2012,panama,107.424666481533
2013,panama,107.424666481533
2014,panama,107.424666481533
2015,panama,107.424666481533
2016,panama,107.424666481533
2017,panama,107.424666481533
2018,panama,107.424666481533
2019,panama,107.424666481533
1990,paraguay,2777.91424180317
1991,paraguay,2777.91424180317
1992,paraguay,2777.91424180317
1993,paraguay,2777.91424180317
1994,paraguay,2777.91424180317
1995,paraguay,2777.91424180317
1996,paraguay,2777.91424180317
1997,paraguay,2777.91424180317
1998,paraguay,2777.91424180317
1999,paraguay,2777.91424180317
2000,paraguay,2777.91424180317
2001,paraguay,2777.91424180317
2002,paraguay,2777.91424180317
2003,paraguay,2777.91424180317
2004,paraguay,2777.91424180317
2005,paraguay,2777.91424180317
2006,paraguay,2777.91424180317
2007,paraguay,2777.91424180317
2008,paraguay,2777.91424180317
2009,paraguay,2777.91424180317
2010,paraguay,2777.91424180317
2011,paraguay,2777.91424180317
2012,paraguay,2777.91424180317
2013,paraguay,2777.91424180317
2014,paraguay,2777.91424180317
2015,paraguay,2777.91424180317
2016,paraguay,2777.91424180317
2017,paraguay,2777.91424180317
2018,paraguay,2777.91424180317
2019,paraguay,2777.91424180317
1990,peru,17413.4786469193
1991,peru,17413.4786469193
1992,peru,17413.4786469193
1993,peru,17413.4786469193
1994,peru,17413.4786469193
1995,peru,17413.4786469193
1996,peru,17413.4786469193
1997,peru,17413.4786469193
1998,peru,17413.4786469193
1999,peru,17413.4786469193
2000,peru,17413.4786469193
2001,peru,17413.4786469193
2002,peru,17413.4786469193
2003,peru,17413.4786469193
2004,peru,17413.4786469193
2005,peru,17413.4786469193
2006,peru,17413.4786469193
2007,peru,17413.4786469193
2008,peru,17413.4786469193
2009,peru,17413.4786469193
2010,peru,17413.4786469193
2011,peru,17413.4786469193
2012,peru,17413.4786469193
2013,peru,17413.4786469193
2014,peru,17413.4786469193
2015,peru,17413.4786469193
2016,peru,17413.4786469193
2017,peru,17413.4786469193
2018,peru,17413.4786469193
2019,peru,17413.4786469193
1990,suriname,19880.0347709058
1991,suriname,19880.0347709058
1992,suriname,19880.0347709058
1993,suriname,19880.0347709058
1994,suriname,19880.0347709058
1995,suriname,19880.0347709058
1996,suriname,19880.0347709058
1997,suriname,19880.0347709058
1998,suriname,19880.0347709058
1999,suriname,19880.0347709058
2000,suriname,19880.0347709058
2001,suriname,19880.0347709058
2002,suriname,19880.0347709058
2003,suriname,19880.0347709058
2004,suriname,19880.0347709058
2005,suriname,19880.0347709058
2006,suriname,19880.0347709058
2007,suriname,19880.0347709058
2008,suriname,19880.0347709058
2009,suriname,19880.0347709058
2010,suriname,19880.0347709058
2011,suriname,19880.0347709058
2012,suriname,19880.0347709058
2013,suriname,19880.0347709058
2014,suriname,19880.0347709058
2015,suriname,19880.0347709058
2016,suriname,19880.0347709058
2017,suriname,19880.0347709058
2018,suriname,19880.0347709058
2019,suriname,19880.0347709058
1990,trinidad_and_tobago,19880.0347709058
1991,trinidad_and_tobago,19880.0347709058
1992,trinidad_and_tobago,19880.0347709058
1993,trinidad_and_tobago,19880.0347709058
1994,trinidad_and_tobago,19880.0347709058
1995,trinidad_and_tobago,19880.0347709058
1996,trinidad_and_tobago,19880.0347709058
1997,trinidad_and_tobago,19880.0347709058
1998,trinidad_and_tobago,19880.0347709058
1999,trinidad_and_tobago,19880.0347709058
2000,trinidad_and_tobago,19880.0347709058
2001,trinidad_and_tobago,19880.0347709058
2002,trinidad_and_tobago,19880.0347709058
2003,trinidad_and_tobago,19880.0347709058
2004,trinidad_and_tobago,19880.0347709058
2005,trinidad_and_tobago,19880.0347709058
2006,trinidad_and_tobago,19880.0347709058
2007,trinidad_and_tobago,19880.0347709058
2008,trinidad_and_tobago,19880.0347709058
2009,trinidad_and_tobago,19880.0347709058
2010,trinidad_and_tobago,19880.0347709058
2011,trinidad_and_tobago,19880.0347709058
2012,trinidad_and_tobago,19880.0347709058
2013,trinidad_and_tobago,19880.0347709058
2014,trinidad_and_tobago,19880.0347709058
2015,trinidad_and_tobago,19880.0347709058
2016,trinidad_and_tobago,19880.0347709058
2017,trinidad_and_tobago,19880.0347709058
2018,trinidad_and_tobago,19880.0347709058
2019,trinidad_and_tobago,19880.0347709058
1990,uruguay,2412.4277716193
1991,uruguay,2412.4277716193
1992,uruguay,2412.4277716193
1993,uruguay,2412.4277716193
1994,uruguay,2412.4277716193
1995,uruguay,2412.4277716193
1996,uruguay,2412.4277716193
1997,uruguay,2412.4277716193
1998,uruguay,2412.4277716193
1999,uruguay,2412.4277716193
2000,uruguay,2412.4277716193
2001,uruguay,2412.4277716193
2002,uruguay,2412.4277716193
2003,uruguay,2412.4277716193
2004,uruguay,2412.4277716193
2005,uruguay,2412.4277716193
2006,uruguay,2412.4277716193
2007,uruguay,2412.4277716193
2008,uruguay,2412.4277716193
2009,uruguay,2412.4277716193
2010,uruguay,2412.4277716193
2011,uruguay,2412.4277716193
2012,uruguay,2412.4277716193
2013,uruguay,2412.4277716193
2014,uruguay,2412.4277716193
2015,uruguay,2412.4277716193
2016,uruguay,2412.4277716193
2017,uruguay,2412.4277716193
2018,uruguay,2412.4277716193
2019,uruguay,2412.4277716193
1990,venezuela,7392.85076899588
1991,venezuela,7392.85076899588
1992,venezuela,7392.85076899588
1993,venezuela,7392.85076899588
1994,venezuela,7392.85076899588
1995,venezuela,7392.85076899588
1996,venezuela,7392.85076899588
1997,venezuela,7392.85076899588
1998,venezuela,7392.85076899588
1999,venezuela,7392.85076899588
2000,venezuela,7392.85076899588
2001,venezuela,7392.85076899588
2002,venezuela,7392.85076899588
2003,venezuela,7392.85076899588
2004,venezuela,7392.85076899588
2005,venezuela,7392.85076899588
2006,venezuela,7392.85076899588
2007,venezuela,7392.85076899588
2008,venezuela,7392.85076899588
2009,venezuela,7392.85076899588
2010,venezuela,7392.85076899588
2011,venezuela,7392.85076899588
2012,venezuela,7392.85076899588
2013,venezuela,7392.85076899588
2014,venezuela,7392.85076899588
2015,venezuela,7392.85076899588
2016,venezuela,7392.85076899588
2017,venezuela,7392.85076899588
2018,venezuela,7392.85076899588
2019,venezuela,7392.85076899588
