Year,Nation,prodinit_ippu_lime_and_carbonite_tonne
1990,argentina,33861.4306676602
1991,argentina,33861.4306676602
1992,argentina,33861.4306676602
1993,argentina,33861.4306676602
1994,argentina,33861.4306676602
1995,argentina,33861.4306676602
1996,argentina,33861.4306676602
1997,argentina,33861.4306676602
1998,argentina,33861.4306676602
1999,argentina,33861.4306676602
2000,argentina,33861.4306676602
2001,argentina,33861.4306676602
2002,argentina,33861.4306676602
2003,argentina,33861.4306676602
2004,argentina,33861.4306676602
2005,argentina,33861.4306676602
2006,argentina,33861.4306676602
2007,argentina,33861.4306676602
2008,argentina,33861.4306676602
2009,argentina,33861.4306676602
2010,argentina,33861.4306676602
2011,argentina,33861.4306676602
2012,argentina,33861.4306676602
2013,argentina,33861.4306676602
2014,argentina,33861.4306676602
2015,argentina,33861.4306676602
2016,argentina,33861.4306676602
2017,argentina,33861.4306676602
2018,argentina,33861.4306676602
2019,argentina,33861.4306676602
1990,bahamas,25038.7125685093
1991,bahamas,25038.7125685093
1992,bahamas,25038.7125685093
1993,bahamas,25038.7125685093
1994,bahamas,25038.7125685093
1995,bahamas,25038.7125685093
1996,bahamas,25038.7125685093
1997,bahamas,25038.7125685093
1998,bahamas,25038.7125685093
1999,bahamas,25038.7125685093
2000,bahamas,25038.7125685093
2001,bahamas,25038.7125685093
2002,bahamas,25038.7125685093
2003,bahamas,25038.7125685093
2004,bahamas,25038.7125685093
2005,bahamas,25038.7125685093
2006,bahamas,25038.7125685093
2007,bahamas,25038.7125685093
2008,bahamas,25038.7125685093
2009,bahamas,25038.7125685093
2010,bahamas,25038.7125685093
2011,bahamas,25038.7125685093
2012,bahamas,25038.7125685093
2013,bahamas,25038.7125685093
2014,bahamas,25038.7125685093
2015,bahamas,25038.7125685093
2016,bahamas,25038.7125685093
2017,bahamas,25038.7125685093
2018,bahamas,25038.7125685093
2019,bahamas,25038.7125685093
1990,barbados,25038.7125685093
1991,barbados,25038.7125685093
1992,barbados,25038.7125685093
1993,barbados,25038.7125685093
1994,barbados,25038.7125685093
1995,barbados,25038.7125685093
1996,barbados,25038.7125685093
1997,barbados,25038.7125685093
1998,barbados,25038.7125685093
1999,barbados,25038.7125685093
2000,barbados,25038.7125685093
2001,barbados,25038.7125685093
2002,barbados,25038.7125685093
2003,barbados,25038.7125685093
2004,barbados,25038.7125685093
2005,barbados,25038.7125685093
2006,barbados,25038.7125685093
2007,barbados,25038.7125685093
2008,barbados,25038.7125685093
2009,barbados,25038.7125685093
2010,barbados,25038.7125685093
2011,barbados,25038.7125685093
2012,barbados,25038.7125685093
2013,barbados,25038.7125685093
2014,barbados,25038.7125685093
2015,barbados,25038.7125685093
2016,barbados,25038.7125685093
2017,barbados,25038.7125685093
2018,barbados,25038.7125685093
2019,barbados,25038.7125685093
1990,belize,25038.7125685093
1991,belize,25038.7125685093
