pais,mse
argentina,0.16299758579351364
bahamas,0.05770592793688039
barbados,0.1802771283748709
belize,0.10026450286538847
brazil,3.7613190657037654
chile,0.05084957615466198
colombia,0.00045220032272250815
costa_rica,0.0016669496571425665
dominican_republic,0.15974252913634077
ecuador,0.11340878093119214
el_salvador,0.0015145904857898726
guatemala,0.1505530961443252
guyana,0.18914482441536337
haiti,1.875009350286491
honduras,0.11280366700546228
jamaica,0.09753859748614953
mexico,6.7743904942285385
nicaragua,0.0004425457095932784
panama,0.44433299495246736
paraguay,0.04192042094422446
peru,0.10850103678963083
uruguay,0.002572771021456099
