variable,min_35,max_35
ef_ippu_tonne_ch4_per_tonne_production_chemicals,0.8,1.2
ef_ippu_tonne_ch4_per_tonne_production_metals,0.8,1.2
ef_ippu_tonne_co2_per_tonne_production_cement_clinker,0.8,1.2
ef_ippu_tonne_co2_per_tonne_production_chemicals,0.8,1.2
ef_ippu_tonne_co2_per_tonne_production_glass,0.8,1.2
ef_ippu_tonne_co2_per_tonne_production_lime_and_carbonite,0.75,1.15
ef_ippu_tonne_co2_per_tonne_production_metals,0.8,1.2
ef_ippu_tonne_n2o_per_mmm_gdp_other_product_manufacturing,0.8,1.2
ef_ippu_tonne_n2o_per_tonne_production_chemicals,0.8,1.2
ef_ippu_tonne_sf6_per_mmm_gdp_other_product_manufacturing,0.8,1.2
ef_ippu_tonne_sf6_per_tonne_production_electronics,0.8,1.2
elasticity_ippu_cement_production_to_gdp,0.8,1.2
elasticity_ippu_chemicals_production_to_gdp,0.8,1.2
elasticity_ippu_electronics_production_to_gdp,0.8,1.2
elasticity_ippu_glass_production_to_gdp,0.8,1.2
elasticity_ippu_lime_and_carbonite_production_to_gdp,0.8,1.2
elasticity_ippu_metals_production_to_gdp,0.8,1.2
elasticity_ippu_paper_production_to_gdp,0.8,1.2
elasticity_ippu_plastic_production_to_gdp,0.8,1.2
elasticity_ippu_rubber_and_leather_production_to_gdp,0.8,1.2
elasticity_ippu_textiles_production_to_gdp,0.8,1.2
prodinit_ippu_cement_tonne,0.8,1.2
prodinit_ippu_glass_tonne,0.8,1.2
prodinit_ippu_recycled_glass_tonne,0.8,1.2
prodinit_ippu_recycled_metals_tonne,0.8,1.2
prodinit_ippu_recycled_paper_tonne,0.8,1.2
prodinit_ippu_recycled_plastic_tonne,0.8,1.2
prodinit_ippu_recycled_rubber_and_leather_tonne,0.8,1.2
prodinit_ippu_recycled_textiles_tonne,0.8,1.2
prodinit_ippu_rubber_and_leather_tonne,0.8,1.2
qty_ippu_cement_tonne_cod_per_m3_ww,0.8,1.2
qty_ippu_chemicals_tonne_cod_per_m3_ww,0.8,1.2
qty_ippu_electronics_tonne_cod_per_m3_ww,0.8,1.2
qty_ippu_glass_tonne_cod_per_m3_ww,0.8,1.2
qty_ippu_lime_and_carbonite_tonne_cod_per_m3_ww,0.8,1.2
qty_ippu_metals_tonne_cod_per_m3_ww,0.8,1.2
qty_ippu_paper_tonne_cod_per_m3_ww,0.8,1.2
qty_ippu_plastic_tonne_cod_per_m3_ww,0.8,1.2
qty_ippu_recycled_metals_tonne_cod_per_m3_ww,0.8,1.2
qty_ippu_recycled_paper_tonne_cod_per_m3_ww,0.8,1.2
qty_ippu_recycled_plastic_tonne_cod_per_m3_ww,0.8,1.2
qty_ippu_recycled_rubber_and_leather_tonne_cod_per_m3_ww,0.8,1.2
qty_ippu_recycled_textiles_tonne_cod_per_m3_ww,0.8,1.2
qty_ippu_rubber_and_leather_tonne_cod_per_m3_ww,0.8,1.2
qty_ippu_textiles_tonne_cod_per_m3_ww,0.8,1.2
vol_ippu_cement_m3_ww_per_tonne_production,0.8,1.2
vol_ippu_chemicals_m3_ww_per_tonne_production,0.8,1.2
vol_ippu_electronics_m3_ww_per_tonne_production,0.8,1.2
vol_ippu_glass_m3_ww_per_tonne_production,0.8,1.2
vol_ippu_lime_and_carbonite_m3_ww_per_tonne_production,0.8,1.2
vol_ippu_metals_m3_ww_per_tonne_production,0.8,1.2
vol_ippu_paper_m3_ww_per_tonne_production,0.8,1.2
vol_ippu_plastic_m3_ww_per_tonne_production,0.8,1.2
vol_ippu_recycled_metals_m3_ww_per_tonne_production,0.8,1.2
vol_ippu_recycled_paper_m3_ww_per_tonne_production,0.8,1.2
vol_ippu_recycled_plastic_m3_ww_per_tonne_production,0.8,1.2
vol_ippu_recycled_rubber_and_leather_m3_ww_per_tonne_production,0.8,1.2
vol_ippu_recycled_textiles_m3_ww_per_tonne_production,0.8,1.2
vol_ippu_rubber_and_leather_m3_ww_per_tonne_production,0.8,1.2
vol_ippu_textiles_m3_ww_per_tonne_production,0.8,1.2
net_imports_cement_clinker_tonne,0.9,1.1
frac_ippu_cement_clinker,0.93,1.02
demscalar_ippu_other_industries,0.5,1.5
demscalar_ippu_plastic,0.5,1.5
demscalar_ippu_recycled_glass,0.5,1.5
ef_ippu_tonne_ch4_per_tonne_production_plastic,0.5,1.5
demscalar_ippu_paper,0.5,1.5
demscalar_ippu_recycled_rubber_and_leather,0.5,1.5
demscalar_ippu_glass,0.5,1.5
demscalar_ippu_recycled_wood,0.5,1.5
demscalar_ippu_textiles,0.5,1.5
demscalar_ippu_rubber_and_leather,0.5,1.5
demscalar_ippu_other_product_manufacturing,0.5,1.5
demscalar_ippu_construction_and_demolition,0.5,1.5
demscalar_ippu_metals,0.5,1.5
demscalar_ippu_cement,0.5,1.5
ef_ippu_tonne_ch4_per_tonne_production_recycled_paper,0.5,1.5
ef_ippu_tonne_co2_per_tonne_production_plastic,0.5,1.5
demscalar_ippu_recycled_paper,0.5,1.5
demscalar_ippu_chemicals,0.5,1.5
demscalar_ippu_electronics,0.5,1.5
demscalar_ippu_lime_and_carbonite,0.5,1.5
demscalar_ippu_recycled_textiles,0.5,1.5
demscalar_ippu_recycled_plastic,0.5,1.5
demscalar_ippu_recycled_metals,0.5,1.5
gdp_mmm_usd,0.005,2.0
