mcf_waso_average_landfilled,mcf_waso_average_open_dump,frac_wali_ww_domestic_rural_treatment_path_untreated_no_sewerage,frac_wali_ww_domestic_urban_treatment_path_untreated_with_sewerage,physparam_wali_bo_tonne_ch4_tonne_bod,frac_waso_initial_composition_mun_metal,mcf_trww_treated_septic,ef_waso_incineration_kg_ch4_per_kg_msw,factor_waso_waste_per_capita_scalar_food,mcf_trww_treated_latrine_improved,frac_wali_ww_domestic_urban_treatment_path_septic,physparam_waso_k_wood,frac_waso_initial_composition_mun_nappies,frac_wali_ww_domestic_rural_treatment_path_latrine_improved,physparam_wali_bo_tonne_ch4_tonne_cod,physparam_waso_k_rubber_leather,mcf_trww_treated_aerobic,physparam_waso_k_yard,physparam_waso_k_metal,physparam_waso_k_chemical_industrial,physparam_waso_k_food,mcf_trww_treated_latrine_unimproved,frac_wali_ww_domestic_rural_treatment_path_latrine_unimproved,physparam_waso_k_nappies,mcf_trww_treated_anaerobic,frac_waso_initial_composition_mun_glass,frac_waso_initial_composition_mun_other,frac_wali_ww_domestic_urban_treatment_path_latrine_unimproved,frac_waso_initial_composition_mun_textiles,va_mining_mmm_usd,physparam_waso_k_textiles,va_manufacturing_mmm_usd,density_wali_kg_n_per_m3_ww_industrial,va_commercial_mmm_usd,frac_wali_ww_domestic_rural_treatment_path_untreated_with_sewerage,population_rural,physparam_waso_k_other,physparam_waso_k_sludge,frac_wali_ww_domestic_urban_treatment_path_latrine_improved,frac_waso_initial_composition_mun_plastic,physparam_waso_k_glass,param_wali_f_noncon,frac_waso_initial_composition_mun_food,area_country_ha,frac_waso_initial_composition_mun_wood,frac_waso_initial_composition_mun_rubber_leather,physparam_waso_k_paper,physparam_waso_k_plastic,frac_waso_initial_composition_mun_yard,va_industrial_mmm_usd,frac_wali_ww_domestic_rural_treatment_path_septic,population_urban,frac_waso_initial_composition_mun_paper,frac_wali_ww_domestic_urban_treatment_path_untreated_no_sewerage,country
0.66,0.5,0.4628571428571429,0.48148148148148145,0.6,0.0235,0.5,0.001,0.282165923,0.6,0.08024691358024691,0.028,0.008,0.14285714285714285,0.25,0.0,0.15,0.096,0.0,0.094,0.183,0.1,0.08571428571428572,0.096,0.8,0.0315,0.066,0.018518518518518517,0.0195,0.0,0.054,0.6474527434372965,0.3,2.41880491313489,0.10857142857142857,190975.0,0.0,0.183,0.037037037037037035,0.12,0.0,1.04,0.584,43000.0,0.0015,0.003,0.054,0.0,0.0165,1.242138402613946,0.19999999999999998,90131.0,0.125,0.13580246913580246,barbados
0.66,0.5,0.4628571428571429,0.48148148148148145,0.6,0.0235,0.5,0.001,0.282165923,0.6,0.08024691358024691,0.028,0.008,0.14285714285714285,0.25,0.0,0.15,0.096,0.0,0.094,0.183,0.1,0.08571428571428572,0.096,0.8,0.0315,0.066,0.018518518518518517,0.0195,0.0,0.054,0.619496211362087,0.3,2.363500055328095,0.10857142857142857,192215.0,0.0,0.183,0.037037037037037035,0.12,0.0,1.04,0.584,43000.0,0.0015,0.003,0.054,0.0,0.0165,1.2251048162822145,0.19999999999999998,89915.0,0.125,0.13580246913580246,barbados
0.66,0.5,0.4628571428571429,0.48148148148148145,0.6,0.0235,0.5,0.001,0.282165923,0.6,0.08024691358024691,0.028,0.008,0.14285714285714285,0.25,0.0,0.15,0.096,0.0,0.094,0.183,0.1,0.08571428571428572,0.096,0.8,0.0315,0.066,0.018518518518518517,0.0195,0.0,0.054,0.6105991825297322,0.3,2.347586865110105,0.10857142857142857,193280.0,0.0,0.183,0.037037037037037035,0.12,0.0,1.04,0.584,43000.0,0.0015,0.003,0.054,0.0,0.0165,1.2421981141921403,0.19999999999999998,89706.0,0.125,0.13580246913580246,barbados
0.66,0.5,0.4628571428571429,0.48148148148148145,0.6,0.0235,0.5,0.001,0.282165923,0.6,0.08024691358024691,0.028,0.008,0.14285714285714285,0.25,0.0,0.15,0.096,0.0,0.094,0.183,0.1,0.08571428571428572,0.096,0.8,0.0315,0.066,0.018518518518518517,0.0195,0.0,0.054,0.6079573153598411,0.3,2.336891114307845,0.10857142857142857,194182.0,0.0,0.183,0.037037037037037035,0.12,0.0,1.04,0.584,43000.0,0.0015,0.003,0.054,0.0,0.0165,1.2332967384009874,0.19999999999999998,89515.0,0.125,0.13580246913580246,barbados
0.66,0.5,0.4628571428571429,0.48148148148148145,0.6,0.0235,0.5,0.001,0.282165923,0.6,0.08024691358024691,0.028,0.008,0.14285714285714285,0.25,0.0,0.15,0.096,0.0,0.094,0.183,0.1,0.08571428571428572,0.096,0.8,0.0315,0.066,0.018518518518518517,0.0195,0.0,0.054,0.5746172802347581,0.3,2.3040212459887157,0.10857142857142857,194943.0,0.0,0.183,0.037037037037037035,0.12,0.0,1.04,0.584,43000.0,0.0015,0.003,0.054,0.0,0.0165,1.1903783157320786,0.19999999999999998,89350.0,0.125,0.13580246913580246,barbados
0.66,0.5,0.4628571428571429,0.48148148148148145,0.6,0.0235,0.5,0.001,0.282165923,0.6,0.08024691358024691,0.028,0.008,0.14285714285714285,0.25,0.0,0.15,0.096,0.0,0.094,0.183,0.1,0.08571428571428572,0.096,0.8,0.0315,0.066,0.018518518518518517,0.0195,0.0,0.054,0.5722121059660105,0.3,2.30115165431006,0.10857142857142857,195595.0,0.0,0.183,0.037037037037037035,0.12,0.0,1.04,0.584,43000.0,0.0015,0.003,0.054,0.0,0.0165,1.1788985400134198,0.19999999999999998,89229.0,0.125,0.13580246913580246,barbados
0.66,0.5,0.4628571428571429,0.48148148148148145,0.6,0.027,0.5,0.001,0.206910307,0.6,0.08024691358024691,0.028,0.0,0.14285714285714285,0.25,0.0,0.15,0.096,0.0,0.094,0.183,0.1,0.08571428571428572,0.096,0.8,0.033,0.06,0.018518518518518517,0.022,6.379145673147173e-05,0.054,0.145676531736175,0.3,0.7100589309161001,0.10857142857142857,159373.0,0.0,0.183,0.037037037037037035,0.103,0.0,1.04,0.627,2297000.0,0.003,0.0,0.054,0.0,0.0,0.2512334504682842,0.19999999999999998,131964.0,0.126,0.13580246913580246,belize
0.66,0.5,0.4628571428571429,0.48148148148148145,0.6,0.027,0.5,0.001,0.206910307,0.6,0.08024691358024691,0.028,0.0,0.14285714285714285,0.25,0.0,0.15,0.096,0.0,0.094,0.183,0.1,0.08571428571428572,0.096,0.8,0.033,0.06,0.018518518518518517,0.022,6.433063230207415e-05,0.054,0.1599417188951602,0.3,0.7136874343515951,0.10857142857142857,163632.0,0.0,0.183,0.037037037037037035,0.103,0.0,1.04,0.627,2297000.0,0.003,0.0,0.054,0.0,0.0,0.2626606144447063,0.19999999999999998,135398.0,0.126,0.13580246913580246,belize
0.66,0.5,0.4628571428571429,0.48148148148148145,0.6,0.027,0.5,0.001,0.206910307,0.6,0.08024691358024691,0.028,0.0,0.14285714285714285,0.25,0.0,0.15,0.096,0.0,0.094,0.183,0.1,0.08571428571428572,0.096,0.8,0.033,0.06,0.018518518518518517,0.022,7.669348939134996e-05,0.054,0.1873904046278889,0.3,0.738593735982425,0.10857142857142857,167948.0,0.0,0.183,0.037037037037037035,0.103,0.0,1.04,0.627,2297000.0,0.003,0.0,0.054,0.0,0.0,0.2880836001969094,0.19999999999999998,138873.0,0.126,0.13580246913580246,belize
0.66,0.5,0.4628571428571429,0.48148148148148145,0.6,0.027,0.5,0.001,0.206910307,0.6,0.08024691358024691,0.028,0.0,0.14285714285714285,0.25,0.0,0.15,0.096,0.0,0.094,0.183,0.1,0.08571428571428572,0.096,0.8,0.033,0.06,0.018518518518518517,0.022,9.154655573403264e-05,0.054,0.1717767808850589,0.3,0.74019988763849,0.10857142857142857,172289.0,0.0,0.183,0.037037037037037035,0.103,0.0,1.04,0.627,2297000.0,0.003,0.0,0.054,0.0,0.0,0.2830035325632019,0.19999999999999998,142365.0,0.126,0.13580246913580246,belize
0.66,0.5,0.4628571428571429,0.48148148148148145,0.6,0.027,0.5,0.001,0.206910307,0.6,0.08024691358024691,0.028,0.0,0.14285714285714285,0.25,0.0,0.15,0.096,0.0,0.094,0.183,0.1,0.08571428571428572,0.096,0.8,0.033,0.06,0.018518518518518517,0.022,0.0,0.054,0.1888870307520379,0.3,0.76243199301349,0.10857142857142857,176620.0,0.0,0.183,0.037037037037037035,0.103,0.0,1.04,0.627,2297000.0,0.003,0.0,0.054,0.0,0.0,0.2913866775829976,0.19999999999999998,145844.0,0.126,0.13580246913580246,belize
0.66,0.5,0.4628571428571429,0.48148148148148145,0.6,0.027,0.5,0.001,0.206910307,0.6,0.08024691358024691,0.028,0.0,0.14285714285714285,0.25,0.0,0.15,0.096,0.0,0.094,0.183,0.1,0.08571428571428572,0.096,0.8,0.033,0.06,0.018518518518518517,0.022,0.0,0.054,0.2132208454667478,0.3,0.7770573600764851,0.10857142857142857,180876.0,0.0,0.183,0.037037037037037035,0.103,0.0,1.04,0.627,2297000.0,0.003,0.0,0.054,0.0,0.0,0.3111316496100091,0.19999999999999998,149359.0,0.126,0.13580246913580246,belize
0.66,0.5,0.4628571428571429,0.48148148148148145,0.6,0.027,0.5,0.001,0.206910307,0.6,0.08024691358024691,0.028,0.0,0.14285714285714285,0.25,0.0,0.15,0.096,0.0,0.094,0.183,0.1,0.08571428571428572,0.096,0.8,0.033,0.06,0.018518518518518517,0.022,0.0,0.054,0.1981258537115216,0.3,0.7958758488130501,0.10857142857142857,185069.0,0.0,0.183,0.037037037037037035,0.103,0.0,1.04,0.627,2297000.0,0.003,0.0,0.054,0.0,0.0,0.2843786807841747,0.19999999999999998,152931.0,0.126,0.13580246913580246,belize
