Year,Nation,prodinit_ippu_electronics_tonne
2004,brazil,339748.093015006
2005,brazil,339748.093015006
2006,brazil,339748.093015006
2007,brazil,339748.093015006
2008,brazil,339748.093015006
2009,brazil,339748.093015006
2010,brazil,339748.093015006
2011,brazil,339748.093015006
2012,brazil,339748.093015006
2013,brazil,339748.093015006
2014,brazil,339748.093015006
2015,brazil,339748.093015006
2016,brazil,339748.093015006
2017,brazil,339748.093015006
2018,brazil,339748.093015006
2019,brazil,339748.093015006
1990,chile,9471.48173893415
1991,chile,9471.48173893415
1992,chile,9471.48173893415
1993,chile,9471.48173893415
1994,chile,9471.48173893415
1995,chile,9471.48173893415
1996,chile,9471.48173893415
1997,chile,9471.48173893415
1998,chile,9471.48173893415
1999,chile,9471.48173893415
2000,chile,9471.48173893415
2001,chile,9471.48173893415
2002,chile,9471.48173893415
2003,chile,9471.48173893415
2004,chile,9471.48173893415
2005,chile,9471.48173893415
2006,chile,9471.48173893415
2007,chile,9471.48173893415
2008,chile,9471.48173893415
2009,chile,9471.48173893415
2010,chile,9471.48173893415
2011,chile,9471.48173893415
2012,chile,9471.48173893415
2013,chile,9471.48173893415
2014,chile,9471.48173893415
2015,chile,9471.48173893415
2016,chile,9471.48173893415
2017,chile,9471.48173893415
2018,chile,9471.48173893415
2019,chile,9471.48173893415
1990,colombia,24652.7691303943
1991,colombia,24652.7691303943
1992,colombia,24652.7691303943
1993,colombia,24652.7691303943
1994,colombia,24652.7691303943
1995,colombia,24652.7691303943
1996,colombia,24652.7691303943
1997,colombia,24652.7691303943
1998,colombia,24652.7691303943
1999,colombia,24652.7691303943
2000,colombia,24652.7691303943
2001,colombia,24652.7691303943
2002,colombia,24652.7691303943
2003,colombia,24652.7691303943
2004,colombia,24652.7691303943
2005,colombia,24652.7691303943
2006,colombia,24652.7691303943
2007,colombia,24652.7691303943
2008,colombia,24652.7691303943
2009,colombia,24652.7691303943
2010,colombia,24652.7691303943
2011,colombia,24652.7691303943
2012,colombia,24652.7691303943
2013,colombia,24652.7691303943
2014,colombia,24652.7691303943
2015,colombia,24652.7691303943
2016,colombia,24652.7691303943
2017,colombia,24652.7691303943
2018,colombia,24652.7691303943
2019,colombia,24652.7691303943
1990,costa_rica,4891.8171185825
1991,costa_rica,4891.8171185825
1992,costa_rica,4891.8171185825
1993,costa_rica,4891.8171185825
1994,costa_rica,4891.8171185825
1995,costa_rica,4891.8171185825
1996,costa_rica,4891.8171185825
1997,costa_rica,4891.8171185825
1998,costa_rica,4891.8171185825
1999,costa_rica,4891.8171185825
2000,costa_rica,4891.8171185825
2001,costa_rica,4891.8171185825
2002,costa_rica,4891.8171185825
2003,costa_rica,4891.8171185825
2004,costa_rica,4891.8171185825
2005,costa_rica,4891.8171185825
2006,costa_rica,4891.8171185825
2007,costa_rica,4891.8171185825
2008,costa_rica,4891.8171185825
2009,costa_rica,4891.8171185825
2010,costa_rica,4891.8171185825
2011,costa_rica,4891.8171185825
2012,costa_rica,4891.8171185825
2013,costa_rica,4891.8171185825
2014,costa_rica,4891.8171185825
2015,costa_rica,4891.8171185825
2016,costa_rica,4891.8171185825
2017,costa_rica,4891.8171185825
2018,costa_rica,4891.8171185825
2019,costa_rica,4891.8171185825
1990,dominican_republic,8835.73058992909
1991,dominican_republic,8835.73058992909
1992,dominican_republic,8835.73058992909
1993,dominican_republic,8835.73058992909
1994,dominican_republic,8835.73058992909
1995,dominican_republic,8835.73058992909
1996,dominican_republic,8835.73058992909
1997,dominican_republic,8835.73058992909
1998,dominican_republic,8835.73058992909
1999,dominican_republic,8835.73058992909
2000,dominican_republic,8835.73058992909
2001,dominican_republic,8835.73058992909
2002,dominican_republic,8835.73058992909
2003,dominican_republic,8835.73058992909
2004,dominican_republic,8835.73058992909
2005,dominican_republic,8835.73058992909
2006,dominican_republic,8835.73058992909
2007,dominican_republic,8835.73058992909
2008,dominican_republic,8835.73058992909
2009,dominican_republic,8835.73058992909
2010,dominican_republic,8835.73058992909
2011,dominican_republic,8835.73058992909
2012,dominican_republic,8835.73058992909
2013,dominican_republic,8835.73058992909
2014,dominican_republic,8835.73058992909
2015,dominican_republic,8835.73058992909
2016,dominican_republic,8835.73058992909
2017,dominican_republic,8835.73058992909
2018,dominican_republic,8835.73058992909
2019,dominican_republic,8835.73058992909
1990,ecuador,3266.10531537158
1991,ecuador,3266.10531537158
1992,ecuador,3266.10531537158
1993,ecuador,3266.10531537158
1994,ecuador,3266.10531537158
1995,ecuador,3266.10531537158
1996,ecuador,3266.10531537158
1997,ecuador,3266.10531537158
1998,ecuador,3266.10531537158
1999,ecuador,3266.10531537158
2000,ecuador,3266.10531537158
2001,ecuador,3266.10531537158
2002,ecuador,3266.10531537158
2003,ecuador,3266.10531537158
2004,ecuador,3266.10531537158
2005,ecuador,3266.10531537158
2006,ecuador,3266.10531537158
2007,ecuador,3266.10531537158
2008,ecuador,3266.10531537158
2009,ecuador,3266.10531537158
2010,ecuador,3266.10531537158
2011,ecuador,3266.10531537158
2012,ecuador,3266.10531537158
2013,ecuador,3266.10531537158
2014,ecuador,3266.10531537158
2015,ecuador,3266.10531537158
2016,ecuador,3266.10531537158
2017,ecuador,3266.10531537158
2018,ecuador,3266.10531537158
2019,ecuador,3266.10531537158
1990,el_salvador,473.824127226746
1991,el_salvador,473.824127226746
1992,el_salvador,473.824127226746
1993,el_salvador,473.824127226746
1994,el_salvador,473.824127226746
1995,el_salvador,473.824127226746
1996,el_salvador,473.824127226746
1997,el_salvador,473.824127226746
1998,el_salvador,473.824127226746
1999,el_salvador,473.824127226746
2000,el_salvador,473.824127226746
2001,el_salvador,473.824127226746
2002,el_salvador,473.824127226746
2003,el_salvador,473.824127226746
2004,el_salvador,473.824127226746
2005,el_salvador,473.824127226746
2006,el_salvador,473.824127226746
2007,el_salvador,473.824127226746
2008,el_salvador,473.824127226746
2009,el_salvador,473.824127226746
2010,el_salvador,473.824127226746
2011,el_salvador,473.824127226746
2012,el_salvador,473.824127226746
2013,el_salvador,473.824127226746
2014,el_salvador,473.824127226746
2015,el_salvador,473.824127226746
2016,el_salvador,473.824127226746
2017,el_salvador,473.824127226746
2018,el_salvador,473.824127226746
2019,el_salvador,473.824127226746
1990,guatemala,1859.0164137969
1991,guatemala,1859.0164137969
1992,guatemala,1859.0164137969
1993,guatemala,1859.0164137969
1994,guatemala,1859.0164137969
1995,guatemala,1859.0164137969
1996,guatemala,1859.0164137969
1997,guatemala,1859.0164137969
1998,guatemala,1859.0164137969
1999,guatemala,1859.0164137969
2000,guatemala,1859.0164137969
2001,guatemala,1859.0164137969
2002,guatemala,1859.0164137969
2003,guatemala,1859.0164137969
2004,guatemala,1859.0164137969
2005,guatemala,1859.0164137969
2006,guatemala,1859.0164137969
2007,guatemala,1859.0164137969
2008,guatemala,1859.0164137969
2009,guatemala,1859.0164137969
2010,guatemala,1859.0164137969
2011,guatemala,1859.0164137969
2012,guatemala,1859.0164137969
2013,guatemala,1859.0164137969
2014,guatemala,1859.0164137969
2015,guatemala,1859.0164137969
2016,guatemala,1859.0164137969
2017,guatemala,1859.0164137969
2018,guatemala,1859.0164137969
2019,guatemala,1859.0164137969
1990,guyana,45973.314467515
1991,guyana,45973.314467515
1992,guyana,45973.314467515
1993,guyana,45973.314467515
1994,guyana,45973.314467515
1995,guyana,45973.314467515
1996,guyana,45973.314467515
1997,guyana,45973.314467515
1998,guyana,45973.314467515
1999,guyana,45973.314467515
2000,guyana,45973.314467515
2001,guyana,45973.314467515
2002,guyana,45973.314467515
2003,guyana,45973.314467515
2004,guyana,45973.314467515
2005,guyana,45973.314467515
2006,guyana,45973.314467515
2007,guyana,45973.314467515
2008,guyana,45973.314467515
2009,guyana,45973.314467515
2010,guyana,45973.314467515
2011,guyana,45973.314467515
2012,guyana,45973.314467515
2013,guyana,45973.314467515
2014,guyana,45973.314467515
2015,guyana,45973.314467515
2016,guyana,45973.314467515
2017,guyana,45973.314467515
2018,guyana,45973.314467515
2019,guyana,45973.314467515
1990,haiti,45973.314467515
1991,haiti,45973.314467515
1992,haiti,45973.314467515
1993,haiti,45973.314467515
1994,haiti,45973.314467515
1995,haiti,45973.314467515
1996,haiti,45973.314467515
1997,haiti,45973.314467515
1998,haiti,45973.314467515
1999,haiti,45973.314467515
2000,haiti,45973.314467515
2001,haiti,45973.314467515
2002,haiti,45973.314467515
2003,haiti,45973.314467515
2004,haiti,45973.314467515
2005,haiti,45973.314467515
2006,haiti,45973.314467515
2007,haiti,45973.314467515
2008,haiti,45973.314467515
2009,haiti,45973.314467515
2010,haiti,45973.314467515
2011,haiti,45973.314467515
2012,haiti,45973.314467515
2013,haiti,45973.314467515
2014,haiti,45973.314467515
2015,haiti,45973.314467515
2016,haiti,45973.314467515
2017,haiti,45973.314467515
2018,haiti,45973.314467515
2019,haiti,45973.314467515
1990,honduras,7882.4028765262
1991,honduras,7882.4028765262
1992,honduras,7882.4028765262
1993,honduras,7882.4028765262
1994,honduras,7882.4028765262
1995,honduras,7882.4028765262
1996,honduras,7882.4028765262
1997,honduras,7882.4028765262
1998,honduras,7882.4028765262
1999,honduras,7882.4028765262
2000,honduras,7882.4028765262
2001,honduras,7882.4028765262
2002,honduras,7882.4028765262
2003,honduras,7882.4028765262
2004,honduras,7882.4028765262
2005,honduras,7882.4028765262
2006,honduras,7882.4028765262
2007,honduras,7882.4028765262
2008,honduras,7882.4028765262
2009,honduras,7882.4028765262
2010,honduras,7882.4028765262
2011,honduras,7882.4028765262
2012,honduras,7882.4028765262
2013,honduras,7882.4028765262
2014,honduras,7882.4028765262
2015,honduras,7882.4028765262
2016,honduras,7882.4028765262
2017,honduras,7882.4028765262
2018,honduras,7882.4028765262
2019,honduras,7882.4028765262
1990,jamaica,45973.314467515
1991,jamaica,45973.314467515
1992,jamaica,45973.314467515
1993,jamaica,45973.314467515
1994,jamaica,45973.314467515
1995,jamaica,45973.314467515
1996,jamaica,45973.314467515
1997,jamaica,45973.314467515
1998,jamaica,45973.314467515
1999,jamaica,45973.314467515
2000,jamaica,45973.314467515
2001,jamaica,45973.314467515
2002,jamaica,45973.314467515
2003,jamaica,45973.314467515
2004,jamaica,45973.314467515
2005,jamaica,45973.314467515
2006,jamaica,45973.314467515
2007,jamaica,45973.314467515
2008,jamaica,45973.314467515
2009,jamaica,45973.314467515
2010,jamaica,45973.314467515
2011,jamaica,45973.314467515
2012,jamaica,45973.314467515
2013,jamaica,45973.314467515
2014,jamaica,45973.314467515
2015,jamaica,45973.314467515
2016,jamaica,45973.314467515
2017,jamaica,45973.314467515
2018,jamaica,45973.314467515
2019,jamaica,45973.314467515
1990,mexico,344046.153180967
1991,mexico,344046.153180967
1992,mexico,344046.153180967
1993,mexico,344046.153180967
1994,mexico,344046.153180967
1995,mexico,344046.153180967
1996,mexico,344046.153180967
1997,mexico,344046.153180967
1998,mexico,344046.153180967
1999,mexico,344046.153180967
2000,mexico,344046.153180967
2001,mexico,344046.153180967
2002,mexico,344046.153180967
2003,mexico,344046.153180967
2004,mexico,344046.153180967
2005,mexico,344046.153180967
2006,mexico,344046.153180967
2007,mexico,344046.153180967
2008,mexico,344046.153180967
2009,mexico,344046.153180967
2010,mexico,344046.153180967
2011,mexico,344046.153180967
2012,mexico,344046.153180967
2013,mexico,344046.153180967
2014,mexico,344046.153180967
2015,mexico,344046.153180967
2016,mexico,344046.153180967
2017,mexico,344046.153180967
2018,mexico,344046.153180967
2019,mexico,344046.153180967
1990,nicaragua,6173.3118944777
1991,nicaragua,6173.3118944777
1992,nicaragua,6173.3118944777
1993,nicaragua,6173.3118944777
1994,nicaragua,6173.3118944777
1995,nicaragua,6173.3118944777
1996,nicaragua,6173.3118944777
1997,nicaragua,6173.3118944777
1998,nicaragua,6173.3118944777
1999,nicaragua,6173.3118944777
2000,nicaragua,6173.3118944777
2001,nicaragua,6173.3118944777
2002,nicaragua,6173.3118944777
2003,nicaragua,6173.3118944777
2004,nicaragua,6173.3118944777
2005,nicaragua,6173.3118944777
2006,nicaragua,6173.3118944777
2007,nicaragua,6173.3118944777
2008,nicaragua,6173.3118944777
2009,nicaragua,6173.3118944777
2010,nicaragua,6173.3118944777
2011,nicaragua,6173.3118944777
2012,nicaragua,6173.3118944777
2013,nicaragua,6173.3118944777
2014,nicaragua,6173.3118944777
2015,nicaragua,6173.3118944777
2016,nicaragua,6173.3118944777
2017,nicaragua,6173.3118944777
2018,nicaragua,6173.3118944777
2019,nicaragua,6173.3118944777
1990,panama,106.389467797558
1991,panama,106.389467797558
1992,panama,106.389467797558
1993,panama,106.389467797558
1994,panama,106.389467797558
1995,panama,106.389467797558
1996,panama,106.389467797558
1997,panama,106.389467797558
1998,panama,106.389467797558
1999,panama,106.389467797558
2000,panama,106.389467797558
2001,panama,106.389467797558
2002,panama,106.389467797558
2003,panama,106.389467797558
2004,panama,106.389467797558
2005,panama,106.389467797558
2006,panama,106.389467797558
2007,panama,106.389467797558
2008,panama,106.389467797558
2009,panama,106.389467797558
2010,panama,106.389467797558
2011,panama,106.389467797558
2012,panama,106.389467797558
2013,panama,106.389467797558
2014,panama,106.389467797558
2015,panama,106.389467797558
2016,panama,106.389467797558
2017,panama,106.389467797558
2018,panama,106.389467797558
2019,panama,106.389467797558
1990,paraguay,807.371854980941
1991,paraguay,807.371854980941
1992,paraguay,807.371854980941
1993,paraguay,807.371854980941
1994,paraguay,807.371854980941
1995,paraguay,807.371854980941
1996,paraguay,807.371854980941
1997,paraguay,807.371854980941
1998,paraguay,807.371854980941
1999,paraguay,807.371854980941
2000,paraguay,807.371854980941
2001,paraguay,807.371854980941
2002,paraguay,807.371854980941
2003,paraguay,807.371854980941
2004,paraguay,807.371854980941
2005,paraguay,807.371854980941
2006,paraguay,807.371854980941
2007,paraguay,807.371854980941
2008,paraguay,807.371854980941
2009,paraguay,807.371854980941
2010,paraguay,807.371854980941
2011,paraguay,807.371854980941
2012,paraguay,807.371854980941
2013,paraguay,807.371854980941
2014,paraguay,807.371854980941
2015,paraguay,807.371854980941
2016,paraguay,807.371854980941
2017,paraguay,807.371854980941
2018,paraguay,807.371854980941
2019,paraguay,807.371854980941
1990,peru,11559.3854283438
1991,peru,11559.3854283438
1992,peru,11559.3854283438
1993,peru,11559.3854283438
1994,peru,11559.3854283438
1995,peru,11559.3854283438
1996,peru,11559.3854283438
1997,peru,11559.3854283438
1998,peru,11559.3854283438
1999,peru,11559.3854283438
2000,peru,11559.3854283438
2001,peru,11559.3854283438
2002,peru,11559.3854283438
2003,peru,11559.3854283438
2004,peru,11559.3854283438
2005,peru,11559.3854283438
2006,peru,11559.3854283438
2007,peru,11559.3854283438
2008,peru,11559.3854283438
2009,peru,11559.3854283438
2010,peru,11559.3854283438
2011,peru,11559.3854283438
2012,peru,11559.3854283438
2013,peru,11559.3854283438
2014,peru,11559.3854283438
2015,peru,11559.3854283438
2016,peru,11559.3854283438
2017,peru,11559.3854283438
2018,peru,11559.3854283438
2019,peru,11559.3854283438
1990,suriname,45973.314467515
1991,suriname,45973.314467515
1992,suriname,45973.314467515
1993,suriname,45973.314467515
1994,suriname,45973.314467515
1995,suriname,45973.314467515
1996,suriname,45973.314467515
1997,suriname,45973.314467515
1998,suriname,45973.314467515
1999,suriname,45973.314467515
2000,suriname,45973.314467515
2001,suriname,45973.314467515
2002,suriname,45973.314467515
2003,suriname,45973.314467515
2004,suriname,45973.314467515
2005,suriname,45973.314467515
2006,suriname,45973.314467515
2007,suriname,45973.314467515
2008,suriname,45973.314467515
2009,suriname,45973.314467515
2010,suriname,45973.314467515
2011,suriname,45973.314467515
2012,suriname,45973.314467515
2013,suriname,45973.314467515
2014,suriname,45973.314467515
2015,suriname,45973.314467515
2016,suriname,45973.314467515
2017,suriname,45973.314467515
2018,suriname,45973.314467515
2019,suriname,45973.314467515
1990,trinidad_and_tobago,45973.314467515
1991,trinidad_and_tobago,45973.314467515
1992,trinidad_and_tobago,45973.314467515
1993,trinidad_and_tobago,45973.314467515
1994,trinidad_and_tobago,45973.314467515
1995,trinidad_and_tobago,45973.314467515
1996,trinidad_and_tobago,45973.314467515
1997,trinidad_and_tobago,45973.314467515
1998,trinidad_and_tobago,45973.314467515
1999,trinidad_and_tobago,45973.314467515
2000,trinidad_and_tobago,45973.314467515
2001,trinidad_and_tobago,45973.314467515
2002,trinidad_and_tobago,45973.314467515
2003,trinidad_and_tobago,45973.314467515
2004,trinidad_and_tobago,45973.314467515
2005,trinidad_and_tobago,45973.314467515
2006,trinidad_and_tobago,45973.314467515
2007,trinidad_and_tobago,45973.314467515
2008,trinidad_and_tobago,45973.314467515
2009,trinidad_and_tobago,45973.314467515
2010,trinidad_and_tobago,45973.314467515
2011,trinidad_and_tobago,45973.314467515
2012,trinidad_and_tobago,45973.314467515
2013,trinidad_and_tobago,45973.314467515
2014,trinidad_and_tobago,45973.314467515
2015,trinidad_and_tobago,45973.314467515
2016,trinidad_and_tobago,45973.314467515
2017,trinidad_and_tobago,45973.314467515
2018,trinidad_and_tobago,45973.314467515
2019,trinidad_and_tobago,45973.314467515
1990,uruguay,2613.21426055097
1991,uruguay,2613.21426055097
1992,uruguay,2613.21426055097
1993,uruguay,2613.21426055097
1994,uruguay,2613.21426055097
1995,uruguay,2613.21426055097
1996,uruguay,2613.21426055097
1997,uruguay,2613.21426055097
1998,uruguay,2613.21426055097
1999,uruguay,2613.21426055097
2000,uruguay,2613.21426055097
2001,uruguay,2613.21426055097
2002,uruguay,2613.21426055097
2003,uruguay,2613.21426055097
2004,uruguay,2613.21426055097
2005,uruguay,2613.21426055097
2006,uruguay,2613.21426055097
2007,uruguay,2613.21426055097
2008,uruguay,2613.21426055097
2009,uruguay,2613.21426055097
2010,uruguay,2613.21426055097
2011,uruguay,2613.21426055097
2012,uruguay,2613.21426055097
2013,uruguay,2613.21426055097
2014,uruguay,2613.21426055097
2015,uruguay,2613.21426055097
2016,uruguay,2613.21426055097
2017,uruguay,2613.21426055097
2018,uruguay,2613.21426055097
2019,uruguay,2613.21426055097
1990,venezuela,16241.5045945455
1991,venezuela,16241.5045945455
1992,venezuela,16241.5045945455
1993,venezuela,16241.5045945455
1994,venezuela,16241.5045945455
1995,venezuela,16241.5045945455
1996,venezuela,16241.5045945455
1997,venezuela,16241.5045945455
1998,venezuela,16241.5045945455
1999,venezuela,16241.5045945455
2000,venezuela,16241.5045945455
2001,venezuela,16241.5045945455
2002,venezuela,16241.5045945455
2003,venezuela,16241.5045945455
2004,venezuela,16241.5045945455
2005,venezuela,16241.5045945455
2006,venezuela,16241.5045945455
2007,venezuela,16241.5045945455
2008,venezuela,16241.5045945455
2009,venezuela,16241.5045945455
2010,venezuela,16241.5045945455
2011,venezuela,16241.5045945455
2012,venezuela,16241.5045945455
2013,venezuela,16241.5045945455
2014,venezuela,16241.5045945455
2015,venezuela,16241.5045945455
2016,venezuela,16241.5045945455
2017,venezuela,16241.5045945455
2018,venezuela,16241.5045945455
2019,venezuela,16241.5045945455
