Year,Nation,prodinit_ippu_electronics_tonne
1990,argentina,44791.605750659
1991,argentina,44791.605750659
1992,argentina,44791.605750659
1993,argentina,44791.605750659
1994,argentina,44791.605750659
1995,argentina,44791.605750659
1996,argentina,44791.605750659
1997,argentina,44791.605750659
1998,argentina,44791.605750659
1999,argentina,44791.605750659
2000,argentina,44791.605750659
2001,argentina,44791.605750659
2002,argentina,44791.605750659
2003,argentina,44791.605750659
2004,argentina,44791.605750659
2005,argentina,44791.605750659
2006,argentina,44791.605750659
2007,argentina,44791.605750659
2008,argentina,44791.605750659
2009,argentina,44791.605750659
2010,argentina,44791.605750659
2011,argentina,44791.605750659
2012,argentina,44791.605750659
2013,argentina,44791.605750659
2014,argentina,44791.605750659
2015,argentina,44791.605750659
2016,argentina,44791.605750659
2017,argentina,44791.605750659
2018,argentina,44791.605750659
2019,argentina,44791.605750659
1990,bahamas,45973.314467515
1991,bahamas,45973.314467515
1992,bahamas,45973.314467515
1993,bahamas,45973.314467515
1994,bahamas,45973.314467515
1995,bahamas,45973.314467515
1996,bahamas,45973.314467515
1997,bahamas,45973.314467515
1998,bahamas,45973.314467515
1999,bahamas,45973.314467515
2000,bahamas,45973.314467515
2001,bahamas,45973.314467515
2002,bahamas,45973.314467515
2003,bahamas,45973.314467515
2004,bahamas,45973.314467515
2005,bahamas,45973.314467515
2006,bahamas,45973.314467515
2007,bahamas,45973.314467515
2008,bahamas,45973.314467515
2009,bahamas,45973.314467515
2010,bahamas,45973.314467515
2011,bahamas,45973.314467515
2012,bahamas,45973.314467515
2013,bahamas,45973.314467515
2014,bahamas,45973.314467515
2015,bahamas,45973.314467515
2016,bahamas,45973.314467515
2017,bahamas,45973.314467515
2018,bahamas,45973.314467515
2019,bahamas,45973.314467515
1990,barbados,45973.314467515
1991,barbados,45973.314467515
1992,barbados,45973.314467515
1993,barbados,45973.314467515
1994,barbados,45973.314467515
1995,barbados,45973.314467515
1996,barbados,45973.314467515
1997,barbados,45973.314467515
1998,barbados,45973.314467515
1999,barbados,45973.314467515
2000,barbados,45973.314467515
2001,barbados,45973.314467515
2002,barbados,45973.314467515
2003,barbados,45973.314467515
2004,barbados,45973.314467515
2005,barbados,45973.314467515
2006,barbados,45973.314467515
2007,barbados,45973.314467515
2008,barbados,45973.314467515
2009,barbados,45973.314467515
2010,barbados,45973.314467515
2011,barbados,45973.314467515
2012,barbados,45973.314467515
2013,barbados,45973.314467515
2014,barbados,45973.314467515
2015,barbados,45973.314467515
2016,barbados,45973.314467515
2017,barbados,45973.314467515
2018,barbados,45973.314467515
2019,barbados,45973.314467515
1990,belize,45973.314467515
1991,belize,45973.314467515
1992,belize,45973.314467515
1993,belize,45973.314467515
1994,belize,45973.314467515
1995,belize,45973.314467515
1996,belize,45973.314467515
1997,belize,45973.314467515
1998,belize,45973.314467515
1999,belize,45973.314467515
2000,belize,45973.314467515
2001,belize,45973.314467515
2002,belize,45973.314467515
2003,belize,45973.314467515
2004,belize,45973.314467515
2005,belize,45973.314467515
2006,belize,45973.314467515
2007,belize,45973.314467515
2008,belize,45973.314467515
2009,belize,45973.314467515
2010,belize,45973.314467515
2011,belize,45973.314467515
2012,belize,45973.314467515
2013,belize,45973.314467515
2014,belize,45973.314467515
2015,belize,45973.314467515
2016,belize,45973.314467515
2017,belize,45973.314467515
2018,belize,45973.314467515
2019,belize,45973.314467515
1990,bolivia,99.4836571794943
1991,bolivia,99.4836571794943
1992,bolivia,99.4836571794943
1993,bolivia,99.4836571794943
1994,bolivia,99.4836571794943
1995,bolivia,99.4836571794943
1996,bolivia,99.4836571794943
1997,bolivia,99.4836571794943
1998,bolivia,99.4836571794943
1999,bolivia,99.4836571794943
2000,bolivia,99.4836571794943
2001,bolivia,99.4836571794943
2002,bolivia,99.4836571794943
2003,bolivia,99.4836571794943
2004,bolivia,99.4836571794943
2005,bolivia,99.4836571794943
2006,bolivia,99.4836571794943
2007,bolivia,99.4836571794943
2008,bolivia,99.4836571794943
2009,bolivia,99.4836571794943
2010,bolivia,99.4836571794943
2011,bolivia,99.4836571794943
2012,bolivia,99.4836571794943
2013,bolivia,99.4836571794943
2014,bolivia,99.4836571794943
2015,bolivia,99.4836571794943
2016,bolivia,99.4836571794943
2017,bolivia,99.4836571794943
2018,bolivia,99.4836571794943
2019,bolivia,99.4836571794943
1990,brazil,339748.093015006
1991,brazil,339748.093015006
1992,brazil,339748.093015006
1993,brazil,339748.093015006
1994,brazil,339748.093015006
1995,brazil,339748.093015006
1996,brazil,339748.093015006
1997,brazil,339748.093015006
1998,brazil,339748.093015006
1999,brazil,339748.093015006
2000,brazil,339748.093015006
2001,brazil,339748.093015006
2002,brazil,339748.093015006
2003,brazil,339748.093015006
