Year,Nation,prodinit_ippu_paper_tonne
1990,argentina,70294.4327324413
1991,argentina,70294.4327324413
1992,argentina,70294.4327324413
1993,argentina,70294.4327324413
1994,argentina,70294.4327324413
1995,argentina,70294.4327324413
1996,argentina,70294.4327324413
1997,argentina,70294.4327324413
1998,argentina,70294.4327324413
1999,argentina,70294.4327324413
2000,argentina,70294.4327324413
2001,argentina,70294.4327324413
2002,argentina,70294.4327324413
2003,argentina,70294.4327324413
2004,argentina,70294.4327324413
2005,argentina,70294.4327324413
2006,argentina,70294.4327324413
2007,argentina,70294.4327324413
2008,argentina,70294.4327324413
2009,argentina,70294.4327324413
2010,argentina,70294.4327324413
2011,argentina,70294.4327324413
2012,argentina,70294.4327324413
2013,argentina,70294.4327324413
2014,argentina,70294.4327324413
2015,argentina,70294.4327324413
2016,argentina,70294.4327324413
2017,argentina,70294.4327324413
2018,argentina,70294.4327324413
2019,argentina,70294.4327324413
1990,bahamas,32951.0172761377
1991,bahamas,32951.0172761377
1992,bahamas,32951.0172761377
1993,bahamas,32951.0172761377
1994,bahamas,32951.0172761377
1995,bahamas,32951.0172761377
1996,bahamas,32951.0172761377
1997,bahamas,32951.0172761377
1998,bahamas,32951.0172761377
1999,bahamas,32951.0172761377
2000,bahamas,32951.0172761377
2001,bahamas,32951.0172761377
2002,bahamas,32951.0172761377
2003,bahamas,32951.0172761377
2004,bahamas,32951.0172761377
2005,bahamas,32951.0172761377
2006,bahamas,32951.0172761377
2007,bahamas,32951.0172761377
2008,bahamas,32951.0172761377
2009,bahamas,32951.0172761377
2010,bahamas,32951.0172761377
2011,bahamas,32951.0172761377
2012,bahamas,32951.0172761377
2013,bahamas,32951.0172761377
2014,bahamas,32951.0172761377
2015,bahamas,32951.0172761377
2016,bahamas,32951.0172761377
2017,bahamas,32951.0172761377
2018,bahamas,32951.0172761377
2019,bahamas,32951.0172761377
1990,barbados,32951.0172761377
1991,barbados,32951.0172761377
1992,barbados,32951.0172761377
1993,barbados,32951.0172761377
1994,barbados,32951.0172761377
1995,barbados,32951.0172761377
1996,barbados,32951.0172761377
1997,barbados,32951.0172761377
1998,barbados,32951.0172761377
1999,barbados,32951.0172761377
2000,barbados,32951.0172761377
2001,barbados,32951.0172761377
2002,barbados,32951.0172761377
2003,barbados,32951.0172761377
2004,barbados,32951.0172761377
2005,barbados,32951.0172761377
2006,barbados,32951.0172761377
2007,barbados,32951.0172761377
2008,barbados,32951.0172761377
2009,barbados,32951.0172761377
2010,barbados,32951.0172761377
2011,barbados,32951.0172761377
2012,barbados,32951.0172761377
2013,barbados,32951.0172761377
2014,barbados,32951.0172761377
2015,barbados,32951.0172761377
2016,barbados,32951.0172761377
2017,barbados,32951.0172761377
2018,barbados,32951.0172761377
2019,barbados,32951.0172761377
1990,belize,32951.0172761377
1991,belize,32951.0172761377
1992,belize,32951.0172761377
1993,belize,32951.0172761377
1994,belize,32951.0172761377
1995,belize,32951.0172761377
1996,belize,32951.0172761377
1997,belize,32951.0172761377
1998,belize,32951.0172761377
1999,belize,32951.0172761377
2000,belize,32951.0172761377
2001,belize,32951.0172761377
2002,belize,32951.0172761377
2003,belize,32951.0172761377
2004,belize,32951.0172761377
2005,belize,32951.0172761377
2006,belize,32951.0172761377
2007,belize,32951.0172761377
2008,belize,32951.0172761377
2009,belize,32951.0172761377
2010,belize,32951.0172761377
2011,belize,32951.0172761377
2012,belize,32951.0172761377
2013,belize,32951.0172761377
2014,belize,32951.0172761377
2015,belize,32951.0172761377
2016,belize,32951.0172761377
2017,belize,32951.0172761377
2018,belize,32951.0172761377
2019,belize,32951.0172761377
1990,bolivia,1173.2692315356
1991,bolivia,1173.2692315356
1992,bolivia,1173.2692315356
1993,bolivia,1173.2692315356
1994,bolivia,1173.2692315356
1995,bolivia,1173.2692315356
1996,bolivia,1173.2692315356
1997,bolivia,1173.2692315356
1998,bolivia,1173.2692315356
1999,bolivia,1173.2692315356
2000,bolivia,1173.2692315356
2001,bolivia,1173.2692315356
2002,bolivia,1173.2692315356
2003,bolivia,1173.2692315356
2004,bolivia,1173.2692315356
2005,bolivia,1173.2692315356
2006,bolivia,1173.2692315356
2007,bolivia,1173.2692315356
2008,bolivia,1173.2692315356
2009,bolivia,1173.2692315356
2010,bolivia,1173.2692315356
2011,bolivia,1173.2692315356
2012,bolivia,1173.2692315356
2013,bolivia,1173.2692315356
2014,bolivia,1173.2692315356
2015,bolivia,1173.2692315356
2016,bolivia,1173.2692315356
2017,bolivia,1173.2692315356
2018,bolivia,1173.2692315356
2019,bolivia,1173.2692315356
1990,brazil,268160.210155318
1991,brazil,268160.210155318
1992,brazil,268160.210155318
1993,brazil,268160.210155318
1994,brazil,268160.210155318
1995,brazil,268160.210155318
1996,brazil,268160.210155318
1997,brazil,268160.210155318
1998,brazil,268160.210155318
1999,brazil,268160.210155318
2000,brazil,268160.210155318
2001,brazil,268160.210155318
2002,brazil,268160.210155318
2003,brazil,268160.210155318
2004,brazil,268160.210155318
2005,brazil,268160.210155318
2006,brazil,268160.210155318
2007,brazil,268160.210155318
2008,brazil,268160.210155318
2009,brazil,268160.210155318
2010,brazil,268160.210155318
2011,brazil,268160.210155318
2012,brazil,268160.210155318
2013,brazil,268160.210155318
2014,brazil,268160.210155318
2015,brazil,268160.210155318
2016,brazil,268160.210155318
2017,brazil,268160.210155318
2018,brazil,268160.210155318
2019,brazil,268160.210155318
1990,chile,18039.2148399005
1991,chile,18039.2148399005
1992,chile,18039.2148399005
1993,chile,18039.2148399005
1994,chile,18039.2148399005
1995,chile,18039.2148399005
1996,chile,18039.2148399005
1997,chile,18039.2148399005
1998,chile,18039.2148399005
1999,chile,18039.2148399005
2000,chile,18039.2148399005
2001,chile,18039.2148399005
2002,chile,18039.2148399005
2003,chile,18039.2148399005
2004,chile,18039.2148399005
2005,chile,18039.2148399005
2006,chile,18039.2148399005
2007,chile,18039.2148399005
2008,chile,18039.2148399005
2009,chile,18039.2148399005
2010,chile,18039.2148399005
2011,chile,18039.2148399005
2012,chile,18039.2148399005
2013,chile,18039.2148399005
2014,chile,18039.2148399005
2015,chile,18039.2148399005
2016,chile,18039.2148399005
2017,chile,18039.2148399005
2018,chile,18039.2148399005
2019,chile,18039.2148399005
1990,colombia,35218.1399564902
1991,colombia,35218.1399564902
1992,colombia,35218.1399564902
1993,colombia,35218.1399564902
1994,colombia,35218.1399564902
1995,colombia,35218.1399564902
1996,colombia,35218.1399564902
1997,colombia,35218.1399564902
1998,colombia,35218.1399564902
1999,colombia,35218.1399564902
2000,colombia,35218.1399564902
2001,colombia,35218.1399564902
2002,colombia,35218.1399564902
2003,colombia,35218.1399564902
2004,colombia,35218.1399564902
2005,colombia,35218.1399564902
2006,colombia,35218.1399564902
2007,colombia,35218.1399564902
2008,colombia,35218.1399564902
2009,colombia,35218.1399564902
2010,colombia,35218.1399564902
2011,colombia,35218.1399564902
2012,colombia,35218.1399564902
2013,colombia,35218.1399564902
2014,colombia,35218.1399564902
2015,colombia,35218.1399564902
2016,colombia,35218.1399564902
2017,colombia,35218.1399564902
2018,colombia,35218.1399564902
2019,colombia,35218.1399564902
1990,costa_rica,4969.5632303692
1991,costa_rica,4969.5632303692
1992,costa_rica,4969.5632303692
1993,costa_rica,4969.5632303692
1994,costa_rica,4969.5632303692
1995,costa_rica,4969.5632303692
1996,costa_rica,4969.5632303692
1997,costa_rica,4969.5632303692
1998,costa_rica,4969.5632303692
1999,costa_rica,4969.5632303692
2000,costa_rica,4969.5632303692
2001,costa_rica,4969.5632303692
2002,costa_rica,4969.5632303692
2003,costa_rica,4969.5632303692
2004,costa_rica,4969.5632303692
2005,costa_rica,4969.5632303692
2006,costa_rica,4969.5632303692
2007,costa_rica,4969.5632303692
2008,costa_rica,4969.5632303692
2009,costa_rica,4969.5632303692
2010,costa_rica,4969.5632303692
2011,costa_rica,4969.5632303692
2012,costa_rica,4969.5632303692
2013,costa_rica,4969.5632303692
2014,costa_rica,4969.5632303692
2015,costa_rica,4969.5632303692
2016,costa_rica,4969.5632303692
2017,costa_rica,4969.5632303692
2018,costa_rica,4969.5632303692
2019,costa_rica,4969.5632303692
1990,dominican_republic,996.044933833706
1991,dominican_republic,996.044933833706
1992,dominican_republic,996.044933833706
1993,dominican_republic,996.044933833706
1994,dominican_republic,996.044933833706
1995,dominican_republic,996.044933833706
1996,dominican_republic,996.044933833706
1997,dominican_republic,996.044933833706
1998,dominican_republic,996.044933833706
1999,dominican_republic,996.044933833706
2000,dominican_republic,996.044933833706
2001,dominican_republic,996.044933833706
2002,dominican_republic,996.044933833706
2003,dominican_republic,996.044933833706
2004,dominican_republic,996.044933833706
2005,dominican_republic,996.044933833706
2006,dominican_republic,996.044933833706
2007,dominican_republic,996.044933833706
2008,dominican_republic,996.044933833706
2009,dominican_republic,996.044933833706
2010,dominican_republic,996.044933833706
2011,dominican_republic,996.044933833706
2012,dominican_republic,996.044933833706
2013,dominican_republic,996.044933833706
2014,dominican_republic,996.044933833706
2015,dominican_republic,996.044933833706
2016,dominican_republic,996.044933833706
2017,dominican_republic,996.044933833706
2018,dominican_republic,996.044933833706
2019,dominican_republic,996.044933833706
1990,ecuador,8323.06381435823
1991,ecuador,8323.06381435823
1992,ecuador,8323.06381435823
1993,ecuador,8323.06381435823
1994,ecuador,8323.06381435823
1995,ecuador,8323.06381435823
1996,ecuador,8323.06381435823
1997,ecuador,8323.06381435823
1998,ecuador,8323.06381435823
1999,ecuador,8323.06381435823
2000,ecuador,8323.06381435823
2001,ecuador,8323.06381435823
2002,ecuador,8323.06381435823
2003,ecuador,8323.06381435823
2004,ecuador,8323.06381435823
2005,ecuador,8323.06381435823
2006,ecuador,8323.06381435823
2007,ecuador,8323.06381435823
2008,ecuador,8323.06381435823
2009,ecuador,8323.06381435823
2010,ecuador,8323.06381435823
2011,ecuador,8323.06381435823
2012,ecuador,8323.06381435823
2013,ecuador,8323.06381435823
2014,ecuador,8323.06381435823
2015,ecuador,8323.06381435823
2016,ecuador,8323.06381435823
2017,ecuador,8323.06381435823
2018,ecuador,8323.06381435823
2019,ecuador,8323.06381435823
1990,el_salvador,3886.7724478316
1991,el_salvador,3886.7724478316
1992,el_salvador,3886.7724478316
1993,el_salvador,3886.7724478316
1994,el_salvador,3886.7724478316
1995,el_salvador,3886.7724478316
1996,el_salvador,3886.7724478316
1997,el_salvador,3886.7724478316
1998,el_salvador,3886.7724478316
1999,el_salvador,3886.7724478316
2000,el_salvador,3886.7724478316
2001,el_salvador,3886.7724478316
2002,el_salvador,3886.7724478316
2003,el_salvador,3886.7724478316
2004,el_salvador,3886.7724478316
2005,el_salvador,3886.7724478316
2006,el_salvador,3886.7724478316
