Year,Nation,prodinit_ippu_chemicals_tonne
1990,argentina,78225.5315881758
1991,argentina,78225.5315881758
1992,argentina,78225.5315881758
1993,argentina,78225.5315881758
1994,argentina,78225.5315881758
1995,argentina,78225.5315881758
1996,argentina,78225.5315881758
1997,argentina,78225.5315881758
1998,argentina,78225.5315881758
1999,argentina,78225.5315881758
2000,argentina,78225.5315881758
2001,argentina,78225.5315881758
2002,argentina,78225.5315881758
2003,argentina,78225.5315881758
2004,argentina,78225.5315881758
2005,argentina,78225.5315881758
2006,argentina,78225.5315881758
2007,argentina,78225.5315881758
2008,argentina,78225.5315881758
2009,argentina,78225.5315881758
2010,argentina,78225.5315881758
2011,argentina,78225.5315881758
2012,argentina,78225.5315881758
2013,argentina,78225.5315881758
2014,argentina,78225.5315881758
2015,argentina,78225.5315881758
2016,argentina,78225.5315881758
2017,argentina,78225.5315881758
2018,argentina,78225.5315881758
2019,argentina,78225.5315881758
1990,bahamas,41318.3498188054
1991,bahamas,41318.3498188054
1992,bahamas,41318.3498188054
1993,bahamas,41318.3498188054
1994,bahamas,41318.3498188054
1995,bahamas,41318.3498188054
1996,bahamas,41318.3498188054
1997,bahamas,41318.3498188054
1998,bahamas,41318.3498188054
1999,bahamas,41318.3498188054
2000,bahamas,41318.3498188054
2001,bahamas,41318.3498188054
2002,bahamas,41318.3498188054
2003,bahamas,41318.3498188054
2004,bahamas,41318.3498188054
2005,bahamas,41318.3498188054
2006,bahamas,41318.3498188054
2007,bahamas,41318.3498188054
2008,bahamas,41318.3498188054
2009,bahamas,41318.3498188054
2010,bahamas,41318.3498188054
2011,bahamas,41318.3498188054
2012,bahamas,41318.3498188054
2013,bahamas,41318.3498188054
2014,bahamas,41318.3498188054
2015,bahamas,41318.3498188054
2016,bahamas,41318.3498188054
2017,bahamas,41318.3498188054
2018,bahamas,41318.3498188054
2019,bahamas,41318.3498188054
1990,barbados,41318.3498188054
1991,barbados,41318.3498188054
1992,barbados,41318.3498188054
1993,barbados,41318.3498188054
1994,barbados,41318.3498188054
1995,barbados,41318.3498188054
1996,barbados,41318.3498188054
1997,barbados,41318.3498188054
1998,barbados,41318.3498188054
1999,barbados,41318.3498188054
2000,barbados,41318.3498188054
2001,barbados,41318.3498188054
2002,barbados,41318.3498188054
2003,barbados,41318.3498188054
2004,barbados,41318.3498188054
2005,barbados,41318.3498188054
2006,barbados,41318.3498188054
2007,barbados,41318.3498188054
2008,barbados,41318.3498188054
2009,barbados,41318.3498188054
2010,barbados,41318.3498188054
2011,barbados,41318.3498188054
2012,barbados,41318.3498188054
2013,barbados,41318.3498188054
2014,barbados,41318.3498188054
2015,barbados,41318.3498188054
2016,barbados,41318.3498188054
2017,barbados,41318.3498188054
2018,barbados,41318.3498188054
2019,barbados,41318.3498188054
1990,belize,41318.3498188054
1991,belize,41318.3498188054
1992,belize,41318.3498188054
1993,belize,41318.3498188054
1994,belize,41318.3498188054
1995,belize,41318.3498188054
1996,belize,41318.3498188054
1997,belize,41318.3498188054
1998,belize,41318.3498188054
1999,belize,41318.3498188054
2000,belize,41318.3498188054
2001,belize,41318.3498188054
2002,belize,41318.3498188054
2003,belize,41318.3498188054
2004,belize,41318.3498188054
2005,belize,41318.3498188054
2006,belize,41318.3498188054
2007,belize,41318.3498188054
2008,belize,41318.3498188054
2009,belize,41318.3498188054
2010,belize,41318.3498188054
2011,belize,41318.3498188054
2012,belize,41318.3498188054
2013,belize,41318.3498188054
2014,belize,41318.3498188054
2015,belize,41318.3498188054
2016,belize,41318.3498188054
2017,belize,41318.3498188054
2018,belize,41318.3498188054
2019,belize,41318.3498188054
1990,bolivia,500.635979451524
1991,bolivia,500.635979451524
1992,bolivia,500.635979451524
1993,bolivia,500.635979451524
1994,bolivia,500.635979451524
1995,bolivia,500.635979451524
1996,bolivia,500.635979451524
1997,bolivia,500.635979451524
1998,bolivia,500.635979451524
1999,bolivia,500.635979451524
2000,bolivia,500.635979451524
2001,bolivia,500.635979451524
2002,bolivia,500.635979451524
2003,bolivia,500.635979451524
2004,bolivia,500.635979451524
2005,bolivia,500.635979451524
2006,bolivia,500.635979451524
2007,bolivia,500.635979451524
2008,bolivia,500.635979451524
2009,bolivia,500.635979451524
2010,bolivia,500.635979451524
2011,bolivia,500.635979451524
2012,bolivia,500.635979451524
2013,bolivia,500.635979451524
2014,bolivia,500.635979451524
2015,bolivia,500.635979451524
2016,bolivia,500.635979451524
2017,bolivia,500.635979451524
2018,bolivia,500.635979451524
2019,bolivia,500.635979451524
1990,brazil,403853.433452157
1991,brazil,403853.433452157
1992,brazil,403853.433452157
1993,brazil,403853.433452157
1994,brazil,403853.433452157
1995,brazil,403853.433452157
1996,brazil,403853.433452157
1997,brazil,403853.433452157
1998,brazil,403853.433452157
1999,brazil,403853.433452157
2000,brazil,403853.433452157
2001,brazil,403853.433452157
2002,brazil,403853.433452157
2003,brazil,403853.433452157
2004,brazil,403853.433452157
2005,brazil,403853.433452157
2006,brazil,403853.433452157
2007,brazil,403853.433452157
2008,brazil,403853.433452157
2009,brazil,403853.433452157
2010,brazil,403853.433452157
2011,brazil,403853.433452157
2012,brazil,403853.433452157
2013,brazil,403853.433452157
2014,brazil,403853.433452157
2015,brazil,403853.433452157
2016,brazil,403853.433452157
2017,brazil,403853.433452157
2018,brazil,403853.433452157
2019,brazil,403853.433452157
1990,chile,22576.2146853109
1991,chile,22576.2146853109
1992,chile,22576.2146853109
1993,chile,22576.2146853109
1994,chile,22576.2146853109
1995,chile,22576.2146853109
1996,chile,22576.2146853109
1997,chile,22576.2146853109
1998,chile,22576.2146853109
1999,chile,22576.2146853109
2000,chile,22576.2146853109
2001,chile,22576.2146853109
2002,chile,22576.2146853109
2003,chile,22576.2146853109
2004,chile,22576.2146853109
2005,chile,22576.2146853109
2006,chile,22576.2146853109
2007,chile,22576.2146853109
2008,chile,22576.2146853109
2009,chile,22576.2146853109
2010,chile,22576.2146853109
2011,chile,22576.2146853109
2012,chile,22576.2146853109
2013,chile,22576.2146853109
2014,chile,22576.2146853109
2015,chile,22576.2146853109
2016,chile,22576.2146853109
2017,chile,22576.2146853109
2018,chile,22576.2146853109
2019,chile,22576.2146853109
1990,colombia,43717.1645277578
1991,colombia,43717.1645277578
1992,colombia,43717.1645277578
1993,colombia,43717.1645277578
1994,colombia,43717.1645277578
1995,colombia,43717.1645277578
1996,colombia,43717.1645277578
1997,colombia,43717.1645277578
1998,colombia,43717.1645277578
1999,colombia,43717.1645277578
2000,colombia,43717.1645277578
2001,colombia,43717.1645277578
2002,colombia,43717.1645277578
2003,colombia,43717.1645277578
2004,colombia,43717.1645277578
2005,colombia,43717.1645277578
2006,colombia,43717.1645277578
2007,colombia,43717.1645277578
2008,colombia,43717.1645277578
2009,colombia,43717.1645277578
2010,colombia,43717.1645277578
2011,colombia,43717.1645277578
2012,colombia,43717.1645277578
2013,colombia,43717.1645277578
2014,colombia,43717.1645277578
2015,colombia,43717.1645277578
2016,colombia,43717.1645277578
2017,colombia,43717.1645277578
2018,colombia,43717.1645277578
2019,colombia,43717.1645277578
1990,costa_rica,3782.29694314837
1991,costa_rica,3782.29694314837
1992,costa_rica,3782.29694314837
1993,costa_rica,3782.29694314837
1994,costa_rica,3782.29694314837
1995,costa_rica,3782.29694314837
1996,costa_rica,3782.29694314837
1997,costa_rica,3782.29694314837
1998,costa_rica,3782.29694314837
1999,costa_rica,3782.29694314837
2000,costa_rica,3782.29694314837
2001,costa_rica,3782.29694314837
2002,costa_rica,3782.29694314837
