Year,Nation,prodinit_ippu_chemicals_tonne
2003,costa_rica,3782.29694314837
2004,costa_rica,3782.29694314837
2005,costa_rica,3782.29694314837
2006,costa_rica,3782.29694314837
2007,costa_rica,3782.29694314837
2008,costa_rica,3782.29694314837
2009,costa_rica,3782.29694314837
2010,costa_rica,3782.29694314837
2011,costa_rica,3782.29694314837
2012,costa_rica,3782.29694314837
2013,costa_rica,3782.29694314837
2014,costa_rica,3782.29694314837
2015,costa_rica,3782.29694314837
2016,costa_rica,3782.29694314837
2017,costa_rica,3782.29694314837
2018,costa_rica,3782.29694314837
2019,costa_rica,3782.29694314837
1990,dominican_republic,3239.95299831628
1991,dominican_republic,3239.95299831628
1992,dominican_republic,3239.95299831628
1993,dominican_republic,3239.95299831628
1994,dominican_republic,3239.95299831628
1995,dominican_republic,3239.95299831628
1996,dominican_republic,3239.95299831628
1997,dominican_republic,3239.95299831628
1998,dominican_republic,3239.95299831628
1999,dominican_republic,3239.95299831628
2000,dominican_republic,3239.95299831628
2001,dominican_republic,3239.95299831628
2002,dominican_republic,3239.95299831628
2003,dominican_republic,3239.95299831628
2004,dominican_republic,3239.95299831628
2005,dominican_republic,3239.95299831628
2006,dominican_republic,3239.95299831628
2007,dominican_republic,3239.95299831628
2008,dominican_republic,3239.95299831628
2009,dominican_republic,3239.95299831628
2010,dominican_republic,3239.95299831628
2011,dominican_republic,3239.95299831628
2012,dominican_republic,3239.95299831628
2013,dominican_republic,3239.95299831628
2014,dominican_republic,3239.95299831628
2015,dominican_republic,3239.95299831628
2016,dominican_republic,3239.95299831628
2017,dominican_republic,3239.95299831628
2018,dominican_republic,3239.95299831628
2019,dominican_republic,3239.95299831628
1990,ecuador,6545.43982192656
1991,ecuador,6545.43982192656
1992,ecuador,6545.43982192656
1993,ecuador,6545.43982192656
1994,ecuador,6545.43982192656
1995,ecuador,6545.43982192656
1996,ecuador,6545.43982192656
1997,ecuador,6545.43982192656
1998,ecuador,6545.43982192656
1999,ecuador,6545.43982192656
2000,ecuador,6545.43982192656
2001,ecuador,6545.43982192656
2002,ecuador,6545.43982192656
2003,ecuador,6545.43982192656
2004,ecuador,6545.43982192656
2005,ecuador,6545.43982192656
2006,ecuador,6545.43982192656
2007,ecuador,6545.43982192656
2008,ecuador,6545.43982192656
2009,ecuador,6545.43982192656
2010,ecuador,6545.43982192656
2011,ecuador,6545.43982192656
2012,ecuador,6545.43982192656
2013,ecuador,6545.43982192656
2014,ecuador,6545.43982192656
2015,ecuador,6545.43982192656
2016,ecuador,6545.43982192656
2017,ecuador,6545.43982192656
2018,ecuador,6545.43982192656
2019,ecuador,6545.43982192656
1990,el_salvador,1280.73362674974
1991,el_salvador,1280.73362674974
1992,el_salvador,1280.73362674974
1993,el_salvador,1280.73362674974
1994,el_salvador,1280.73362674974
1995,el_salvador,1280.73362674974
1996,el_salvador,1280.73362674974
1997,el_salvador,1280.73362674974
1998,el_salvador,1280.73362674974
1999,el_salvador,1280.73362674974
2000,el_salvador,1280.73362674974
2001,el_salvador,1280.73362674974
2002,el_salvador,1280.73362674974
2003,el_salvador,1280.73362674974
2004,el_salvador,1280.73362674974
2005,el_salvador,1280.73362674974
2006,el_salvador,1280.73362674974
2007,el_salvador,1280.73362674974
2008,el_salvador,1280.73362674974
2009,el_salvador,1280.73362674974
2010,el_salvador,1280.73362674974
2011,el_salvador,1280.73362674974
2012,el_salvador,1280.73362674974
2013,el_salvador,1280.73362674974
2014,el_salvador,1280.73362674974
2015,el_salvador,1280.73362674974
2016,el_salvador,1280.73362674974
2017,el_salvador,1280.73362674974
2018,el_salvador,1280.73362674974
2019,el_salvador,1280.73362674974
1990,guatemala,5780.26522161747
1991,guatemala,5780.26522161747
1992,guatemala,5780.26522161747
1993,guatemala,5780.26522161747
1994,guatemala,5780.26522161747
1995,guatemala,5780.26522161747
1996,guatemala,5780.26522161747
1997,guatemala,5780.26522161747
1998,guatemala,5780.26522161747
1999,guatemala,5780.26522161747
2000,guatemala,5780.26522161747
2001,guatemala,5780.26522161747
2002,guatemala,5780.26522161747
2003,guatemala,5780.26522161747
2004,guatemala,5780.26522161747
2005,guatemala,5780.26522161747
2006,guatemala,5780.26522161747
2007,guatemala,5780.26522161747
2008,guatemala,5780.26522161747
2009,guatemala,5780.26522161747
2010,guatemala,5780.26522161747
2011,guatemala,5780.26522161747
2012,guatemala,5780.26522161747
2013,guatemala,5780.26522161747
2014,guatemala,5780.26522161747
2015,guatemala,5780.26522161747
2016,guatemala,5780.26522161747
2017,guatemala,5780.26522161747
2018,guatemala,5780.26522161747
2019,guatemala,5780.26522161747
1990,guyana,41318.3498188054
1991,guyana,41318.3498188054
1992,guyana,41318.3498188054
1993,guyana,41318.3498188054
1994,guyana,41318.3498188054
1995,guyana,41318.3498188054
1996,guyana,41318.3498188054
1997,guyana,41318.3498188054
1998,guyana,41318.3498188054
1999,guyana,41318.3498188054
2000,guyana,41318.3498188054
2001,guyana,41318.3498188054
2002,guyana,41318.3498188054
2003,guyana,41318.3498188054
2004,guyana,41318.3498188054
2005,guyana,41318.3498188054
2006,guyana,41318.3498188054
2007,guyana,41318.3498188054
2008,guyana,41318.3498188054
2009,guyana,41318.3498188054
2010,guyana,41318.3498188054
2011,guyana,41318.3498188054
2012,guyana,41318.3498188054
2013,guyana,41318.3498188054
2014,guyana,41318.3498188054
2015,guyana,41318.3498188054
2016,guyana,41318.3498188054
2017,guyana,41318.3498188054
2018,guyana,41318.3498188054
2019,guyana,41318.3498188054
1990,haiti,41318.3498188054
1991,haiti,41318.3498188054
1992,haiti,41318.3498188054
1993,haiti,41318.3498188054
1994,haiti,41318.3498188054
1995,haiti,41318.3498188054
1996,haiti,41318.3498188054
1997,haiti,41318.3498188054
1998,haiti,41318.3498188054
1999,haiti,41318.3498188054
2000,haiti,41318.3498188054
2001,haiti,41318.3498188054
2002,haiti,41318.3498188054
2003,haiti,41318.3498188054
2004,haiti,41318.3498188054
2005,haiti,41318.3498188054
2006,haiti,41318.3498188054
2007,haiti,41318.3498188054
2008,haiti,41318.3498188054
2009,haiti,41318.3498188054
2010,haiti,41318.3498188054
2011,haiti,41318.3498188054
2012,haiti,41318.3498188054
2013,haiti,41318.3498188054
2014,haiti,41318.3498188054
2015,haiti,41318.3498188054
2016,haiti,41318.3498188054
2017,haiti,41318.3498188054
2018,haiti,41318.3498188054
2019,haiti,41318.3498188054
1990,honduras,853.72871357743
1991,honduras,853.72871357743
1992,honduras,853.72871357743
1993,honduras,853.72871357743
1994,honduras,853.72871357743
1995,honduras,853.72871357743
1996,honduras,853.72871357743
1997,honduras,853.72871357743
1998,honduras,853.72871357743
1999,honduras,853.72871357743
2000,honduras,853.72871357743
2001,honduras,853.72871357743
2002,honduras,853.72871357743
2003,honduras,853.72871357743
2004,honduras,853.72871357743
2005,honduras,853.72871357743
2006,honduras,853.72871357743
2007,honduras,853.72871357743
2008,honduras,853.72871357743
2009,honduras,853.72871357743
2010,honduras,853.72871357743
2011,honduras,853.72871357743
2012,honduras,853.72871357743
2013,honduras,853.72871357743
2014,honduras,853.72871357743
2015,honduras,853.72871357743
2016,honduras,853.72871357743
2017,honduras,853.72871357743
2018,honduras,853.72871357743
2019,honduras,853.72871357743
1990,jamaica,41318.3498188054
1991,jamaica,41318.3498188054
1992,jamaica,41318.3498188054
1993,jamaica,41318.3498188054
1994,jamaica,41318.3498188054
1995,jamaica,41318.3498188054
1996,jamaica,41318.3498188054
1997,jamaica,41318.3498188054
1998,jamaica,41318.3498188054
1999,jamaica,41318.3498188054
2000,jamaica,41318.3498188054
2001,jamaica,41318.3498188054
2002,jamaica,41318.3498188054
2003,jamaica,41318.3498188054
2004,jamaica,41318.3498188054
2005,jamaica,41318.3498188054
2006,jamaica,41318.3498188054
2007,jamaica,41318.3498188054
2008,jamaica,41318.3498188054
2009,jamaica,41318.3498188054
2010,jamaica,41318.3498188054
2011,jamaica,41318.3498188054
2012,jamaica,41318.3498188054
2013,jamaica,41318.3498188054
2014,jamaica,41318.3498188054
2015,jamaica,41318.3498188054
2016,jamaica,41318.3498188054
2017,jamaica,41318.3498188054
2018,jamaica,41318.3498188054
2019,jamaica,41318.3498188054
1990,mexico,126490.504704209
1991,mexico,126490.504704209
1992,mexico,126490.504704209
1993,mexico,126490.504704209
1994,mexico,126490.504704209
1995,mexico,126490.504704209
1996,mexico,126490.504704209
1997,mexico,126490.504704209
1998,mexico,126490.504704209
1999,mexico,126490.504704209
2000,mexico,126490.504704209
2001,mexico,126490.504704209
2002,mexico,126490.504704209
2003,mexico,126490.504704209
2004,mexico,126490.504704209
2005,mexico,126490.504704209
2006,mexico,126490.504704209
2007,mexico,126490.504704209
2008,mexico,126490.504704209
2009,mexico,126490.504704209
2010,mexico,126490.504704209
2011,mexico,126490.504704209
2012,mexico,126490.504704209
2013,mexico,126490.504704209
2014,mexico,126490.504704209
2015,mexico,126490.504704209
2016,mexico,126490.504704209
2017,mexico,126490.504704209
2018,mexico,126490.504704209
2019,mexico,126490.504704209
1990,nicaragua,235.914159975285
1991,nicaragua,235.914159975285
1992,nicaragua,235.914159975285
1993,nicaragua,235.914159975285
1994,nicaragua,235.914159975285
1995,nicaragua,235.914159975285
1996,nicaragua,235.914159975285
1997,nicaragua,235.914159975285
1998,nicaragua,235.914159975285
1999,nicaragua,235.914159975285
2000,nicaragua,235.914159975285
2001,nicaragua,235.914159975285
2002,nicaragua,235.914159975285
2003,nicaragua,235.914159975285
2004,nicaragua,235.914159975285
2005,nicaragua,235.914159975285
2006,nicaragua,235.914159975285
2007,nicaragua,235.914159975285
2008,nicaragua,235.914159975285
2009,nicaragua,235.914159975285
2010,nicaragua,235.914159975285
2011,nicaragua,235.914159975285
2012,nicaragua,235.914159975285
2013,nicaragua,235.914159975285
2014,nicaragua,235.914159975285
2015,nicaragua,235.914159975285
2016,nicaragua,235.914159975285
2017,nicaragua,235.914159975285
2018,nicaragua,235.914159975285
2019,nicaragua,235.914159975285
1990,panama,1141.12086402307
1991,panama,1141.12086402307
1992,panama,1141.12086402307
1993,panama,1141.12086402307
1994,panama,1141.12086402307
1995,panama,1141.12086402307
1996,panama,1141.12086402307
1997,panama,1141.12086402307
1998,panama,1141.12086402307
1999,panama,1141.12086402307
2000,panama,1141.12086402307
2001,panama,1141.12086402307
2002,panama,1141.12086402307
2003,panama,1141.12086402307
2004,panama,1141.12086402307
2005,panama,1141.12086402307
2006,panama,1141.12086402307
2007,panama,1141.12086402307
2008,panama,1141.12086402307
2009,panama,1141.12086402307
2010,panama,1141.12086402307
2011,panama,1141.12086402307
2012,panama,1141.12086402307
2013,panama,1141.12086402307
2014,panama,1141.12086402307
2015,panama,1141.12086402307
2016,panama,1141.12086402307
2017,panama,1141.12086402307
2018,panama,1141.12086402307
2019,panama,1141.12086402307
1990,paraguay,3544.96459806267
1991,paraguay,3544.96459806267
1992,paraguay,3544.96459806267
1993,paraguay,3544.96459806267
1994,paraguay,3544.96459806267
1995,paraguay,3544.96459806267
1996,paraguay,3544.96459806267
1997,paraguay,3544.96459806267
1998,paraguay,3544.96459806267
1999,paraguay,3544.96459806267
2000,paraguay,3544.96459806267
2001,paraguay,3544.96459806267
2002,paraguay,3544.96459806267
2003,paraguay,3544.96459806267
2004,paraguay,3544.96459806267
2005,paraguay,3544.96459806267
2006,paraguay,3544.96459806267
2007,paraguay,3544.96459806267
2008,paraguay,3544.96459806267
2009,paraguay,3544.96459806267
2010,paraguay,3544.96459806267
2011,paraguay,3544.96459806267
2012,paraguay,3544.96459806267
2013,paraguay,3544.96459806267
2014,paraguay,3544.96459806267
2015,paraguay,3544.96459806267
2016,paraguay,3544.96459806267
2017,paraguay,3544.96459806267
2018,paraguay,3544.96459806267
2019,paraguay,3544.96459806267
1990,peru,16879.2856614124
1991,peru,16879.2856614124
1992,peru,16879.2856614124
1993,peru,16879.2856614124
1994,peru,16879.2856614124
1995,peru,16879.2856614124
1996,peru,16879.2856614124
1997,peru,16879.2856614124
1998,peru,16879.2856614124
1999,peru,16879.2856614124
2000,peru,16879.2856614124
2001,peru,16879.2856614124
2002,peru,16879.2856614124
2003,peru,16879.2856614124
2004,peru,16879.2856614124
2005,peru,16879.2856614124
2006,peru,16879.2856614124
2007,peru,16879.2856614124
2008,peru,16879.2856614124
2009,peru,16879.2856614124
2010,peru,16879.2856614124
2011,peru,16879.2856614124
2012,peru,16879.2856614124
2013,peru,16879.2856614124
2014,peru,16879.2856614124
2015,peru,16879.2856614124
2016,peru,16879.2856614124
2017,peru,16879.2856614124
2018,peru,16879.2856614124
2019,peru,16879.2856614124
1990,suriname,41318.3498188054
1991,suriname,41318.3498188054
1992,suriname,41318.3498188054
1993,suriname,41318.3498188054
1994,suriname,41318.3498188054
1995,suriname,41318.3498188054
1996,suriname,41318.3498188054
1997,suriname,41318.3498188054
1998,suriname,41318.3498188054
1999,suriname,41318.3498188054
2000,suriname,41318.3498188054
2001,suriname,41318.3498188054
2002,suriname,41318.3498188054
2003,suriname,41318.3498188054
2004,suriname,41318.3498188054
2005,suriname,41318.3498188054
2006,suriname,41318.3498188054
2007,suriname,41318.3498188054
2008,suriname,41318.3498188054
2009,suriname,41318.3498188054
2010,suriname,41318.3498188054
2011,suriname,41318.3498188054
2012,suriname,41318.3498188054
2013,suriname,41318.3498188054
2014,suriname,41318.3498188054
2015,suriname,41318.3498188054
2016,suriname,41318.3498188054
2017,suriname,41318.3498188054
2018,suriname,41318.3498188054
2019,suriname,41318.3498188054
1990,trinidad_and_tobago,41318.3498188054
1991,trinidad_and_tobago,41318.3498188054
1992,trinidad_and_tobago,41318.3498188054
1993,trinidad_and_tobago,41318.3498188054
1994,trinidad_and_tobago,41318.3498188054
1995,trinidad_and_tobago,41318.3498188054
1996,trinidad_and_tobago,41318.3498188054
1997,trinidad_and_tobago,41318.3498188054
1998,trinidad_and_tobago,41318.3498188054
1999,trinidad_and_tobago,41318.3498188054
2000,trinidad_and_tobago,41318.3498188054
2001,trinidad_and_tobago,41318.3498188054
2002,trinidad_and_tobago,41318.3498188054
2003,trinidad_and_tobago,41318.3498188054
2004,trinidad_and_tobago,41318.3498188054
2005,trinidad_and_tobago,41318.3498188054
2006,trinidad_and_tobago,41318.3498188054
2007,trinidad_and_tobago,41318.3498188054
2008,trinidad_and_tobago,41318.3498188054
2009,trinidad_and_tobago,41318.3498188054
2010,trinidad_and_tobago,41318.3498188054
2011,trinidad_and_tobago,41318.3498188054
2012,trinidad_and_tobago,41318.3498188054
2013,trinidad_and_tobago,41318.3498188054
2014,trinidad_and_tobago,41318.3498188054
2015,trinidad_and_tobago,41318.3498188054
2016,trinidad_and_tobago,41318.3498188054
2017,trinidad_and_tobago,41318.3498188054
2018,trinidad_and_tobago,41318.3498188054
2019,trinidad_and_tobago,41318.3498188054
1990,uruguay,4406.97054387587
1991,uruguay,4406.97054387587
1992,uruguay,4406.97054387587
1993,uruguay,4406.97054387587
1994,uruguay,4406.97054387587
1995,uruguay,4406.97054387587
1996,uruguay,4406.97054387587
1997,uruguay,4406.97054387587
1998,uruguay,4406.97054387587
1999,uruguay,4406.97054387587
2000,uruguay,4406.97054387587
2001,uruguay,4406.97054387587
2002,uruguay,4406.97054387587
2003,uruguay,4406.97054387587
2004,uruguay,4406.97054387587
2005,uruguay,4406.97054387587
2006,uruguay,4406.97054387587
2007,uruguay,4406.97054387587
2008,uruguay,4406.97054387587
2009,uruguay,4406.97054387587
2010,uruguay,4406.97054387587
2011,uruguay,4406.97054387587
2012,uruguay,4406.97054387587
2013,uruguay,4406.97054387587
2014,uruguay,4406.97054387587
2015,uruguay,4406.97054387587
2016,uruguay,4406.97054387587
2017,uruguay,4406.97054387587
2018,uruguay,4406.97054387587
2019,uruguay,4406.97054387587
1990,venezuela,20676.138648751
1991,venezuela,20676.138648751
1992,venezuela,20676.138648751
1993,venezuela,20676.138648751
1994,venezuela,20676.138648751
1995,venezuela,20676.138648751
1996,venezuela,20676.138648751
1997,venezuela,20676.138648751
1998,venezuela,20676.138648751
1999,venezuela,20676.138648751
2000,venezuela,20676.138648751
2001,venezuela,20676.138648751
2002,venezuela,20676.138648751
2003,venezuela,20676.138648751
2004,venezuela,20676.138648751
2005,venezuela,20676.138648751
2006,venezuela,20676.138648751
2007,venezuela,20676.138648751
2008,venezuela,20676.138648751
2009,venezuela,20676.138648751
2010,venezuela,20676.138648751
2011,venezuela,20676.138648751
2012,venezuela,20676.138648751
2013,venezuela,20676.138648751
2014,venezuela,20676.138648751
2015,venezuela,20676.138648751
2016,venezuela,20676.138648751
2017,venezuela,20676.138648751
2018,venezuela,20676.138648751
2019,venezuela,20676.138648751
