Nation,Year,gdp,mineria,servicios,comercio,manufactura,industria
argentina,1960,150.79781029295,,,0.5,,
bahamas,1960,2.20167102503956,,,0.5,,
belize,1960,0.110027507628303,,,0.5,,
brazil,1960,188.463840495972,,0.32347097244806905,0.5,0.22619393557002201,0.28318018064491196
barbados,1960,,,,0.5,,
chile,1960,27.0846870586514,,0.521219226260259,0.5,0.218053927315358,0.358499413833528
colombia,1960,30.6062441924871,,,0.5,,
costa_rica,1960,4.7914760039351,,0.535116201005684,0.5,,0.201363383928447
dominican_republic,1960,4.530917897605939,,0.856633190050501,0.5,,
ecuador,1960,11.683345571628099,,0.409723697715428,0.5,0.197122411667681,0.220207609338841
guatemala,1960,7.65821896067749,,,0.5,,
guyana,1960,1.55585277497366,,0.38485263879369397,0.5,0.0932145305003427,0.278615490061686
honduras,1960,2.47092446150415,,0.395054372113809,0.5,0.113362133174438,0.17071354089080898
haiti,1960,6.68707395229156,,,0.5,,
jamaica,1960,,,,0.5,,
mexico,1960,141.339651300022,,,0.5,,
nicaragua,1960,2.9806277313502596,,,0.5,,
panama,1960,3.06886374714319,,,0.5,,
peru,1960,27.5149357161709,,0.443100963416342,0.5,0.180843518320788,0.28217520638641597
paraguay,1960,2.84063724111268,,,0.5,,
el_salvador,1960,,,,0.5,,
uruguay,1960,15.5682444585019,,,0.5,,
argentina,1961,158.982878501396,,,0.5,,
bahamas,1961,2.43652541835062,,,0.5,,
belize,1961,0.115410358318665,,,0.5,,
brazil,1961,204.671730778626,,0.299733564202197,0.5,0.242710783140623,0.322834024842557
barbados,1961,,,,0.5,,
chile,1961,28.5053525342896,,0.525568774786057,0.5,0.221665623043205,0.3579628470048
colombia,1961,32.1638623699921,,,0.5,,
costa_rica,1961,4.88152108929929,,0.537670987481756,0.5,,0.203666356274042
dominican_republic,1961,4.42610649599265,,0.8691327414362511,0.5,,
ecuador,1961,12.2820486706423,,0.411327053707337,0.5,0.19303315619697797,0.216682342616173
guatemala,1961,7.98740890781677,,,0.5,,
guyana,1961,1.62881486907249,,0.38386691776522297,0.5,0.0988700564971751,0.281230382925298
honduras,1961,2.51677640158448,,0.389528354856822,0.5,0.11243683323975301,0.166619876473891
haiti,1961,6.49101026202213,,,0.5,,
jamaica,1961,,,,0.5,,
mexico,1961,148.406633868462,,,0.5,,
nicaragua,1961,3.20410755028516,,,0.5,,
panama,1961,3.40418605506219,,,0.5,,
peru,1961,29.5364845487761,,0.44070884373018104,0.5,0.181013039046179,0.276785327703074
paraguay,1961,3.03664932117202,,,0.5,,
el_salvador,1961,,,,0.5,,
uruguay,1961,15.9563666960808,,,0.5,,
argentina,1962,157.628310157913,,,0.5,,
bahamas,1962,2.69119037018633,,,0.5,,
belize,1962,0.121056985731217,,,0.5,,
brazil,1962,218.18006501001503,,0.457533770086464,0.5,0.248137406564965,0.30918539930888
barbados,1962,,,,0.5,,
chile,1962,29.653173467052,,0.514953105645019,0.5,0.236241373208281,0.376924438152539
colombia,1962,33.9045350970798,,,0.5,,
costa_rica,1962,5.14719257192939,,0.5375320984708339,0.5,,0.204198806979375
dominican_republic,1962,5.180635534246529,,0.8670064312583421,0.5,,
ecuador,1962,12.8862206921956,,0.400821390204224,0.5,0.19470950987839403,0.216932805067327
guatemala,1962,8.26988372477256,,,0.5,,
guyana,1962,1.64681206497173,,0.360562537402753,0.5,0.106523040095751,0.318073010173549
honduras,1962,2.66186468632059,,0.380786589297228,0.5,0.113733075435203,0.178465506125081
haiti,1962,7.00299362273423,,,0.5,,
jamaica,1962,,,,0.5,,
mexico,1962,155.328934667195,,,0.5,,
nicaragua,1962,3.55306044191004,,,0.5,,
panama,1962,3.68485223608667,,,0.5,,
peru,1962,32.5005574138627,,0.452152110576364,0.5,0.182714212705866,0.27699615921530396
paraguay,1962,3.13686659904762,,0.38921096637915903,0.5,0.15048274951593,0.18056108079563502
el_salvador,1962,,,,0.5,,
uruguay,1962,15.705125907712,,,0.5,,
argentina,1963,149.261089200418,,,0.5,,
bahamas,1963,2.97441273038912,,,0.5,,
belize,1963,0.127057095567334,,,0.5,,
brazil,1963,219.48914540007502,,0.397143312565548,0.5,0.268688822713284,0.34369520695755496
barbados,1963,,,,0.5,,
chile,1963,31.384960352588198,,0.509763142692085,0.5,0.23662622761409602,0.395031773541306
colombia,1963,35.0188780131585,,,0.5,,
costa_rica,1963,5.50229344703228,,0.541801240608514,0.5,,0.21355969525178398
dominican_republic,1963,5.517527218636619,,0.873299306260556,0.5,,
ecuador,1963,13.1576519529506,,0.398929518596431,0.5,0.199142066523735,0.22159413375345402
guatemala,1963,9.05891696385101,,,0.5,,
guyana,1963,1.44460565578701,,0.36541652837703303,0.5,0.131762363093263,0.29638234317955503
honduras,1963,2.75717106665493,,0.39115065821550504,0.5,0.115919063871282,0.17991223793271602
haiti,1963,6.87044148109679,,,0.5,,
