Year,Nation,prodinit_ippu_plastic_tonne
1990,argentina,63904.3982967091
1991,argentina,63904.3982967091
1992,argentina,63904.3982967091
1993,argentina,63904.3982967091
1994,argentina,63904.3982967091
1995,argentina,63904.3982967091
1996,argentina,63904.3982967091
1997,argentina,63904.3982967091
1998,argentina,63904.3982967091
1999,argentina,63904.3982967091
2000,argentina,63904.3982967091
2001,argentina,63904.3982967091
2002,argentina,63904.3982967091
2003,argentina,63904.3982967091
2004,argentina,63904.3982967091
2005,argentina,63904.3982967091
2006,argentina,63904.3982967091
2007,argentina,63904.3982967091
2008,argentina,63904.3982967091
2009,argentina,63904.3982967091
2010,argentina,63904.3982967091
2011,argentina,63904.3982967091
2012,argentina,63904.3982967091
2013,argentina,63904.3982967091
2014,argentina,63904.3982967091
2015,argentina,63904.3982967091
2016,argentina,63904.3982967091
2017,argentina,63904.3982967091
2018,argentina,63904.3982967091
2019,argentina,63904.3982967091
1990,bahamas,25017.2792814948
1991,bahamas,25017.2792814948
1992,bahamas,25017.2792814948
1993,bahamas,25017.2792814948
1994,bahamas,25017.2792814948
1995,bahamas,25017.2792814948
1996,bahamas,25017.2792814948
1997,bahamas,25017.2792814948
1998,bahamas,25017.2792814948
1999,bahamas,25017.2792814948
2000,bahamas,25017.2792814948
2001,bahamas,25017.2792814948
2002,bahamas,25017.2792814948
2003,bahamas,25017.2792814948
2004,bahamas,25017.2792814948
2005,bahamas,25017.2792814948
2006,bahamas,25017.2792814948
2007,bahamas,25017.2792814948
2008,bahamas,25017.2792814948
2009,bahamas,25017.2792814948
2010,bahamas,25017.2792814948
2011,bahamas,25017.2792814948
2012,bahamas,25017.2792814948
2013,bahamas,25017.2792814948
2014,bahamas,25017.2792814948
2015,bahamas,25017.2792814948
2016,bahamas,25017.2792814948
2017,bahamas,25017.2792814948
2018,bahamas,25017.2792814948
2019,bahamas,25017.2792814948
1990,barbados,25017.2792814948
1991,barbados,25017.2792814948
1992,barbados,25017.2792814948
1993,barbados,25017.2792814948
1994,barbados,25017.2792814948
1995,barbados,25017.2792814948
1996,barbados,25017.2792814948
1997,barbados,25017.2792814948
1998,barbados,25017.2792814948
1999,barbados,25017.2792814948
2000,barbados,25017.2792814948
2001,barbados,25017.2792814948
2002,barbados,25017.2792814948
2003,barbados,25017.2792814948
2004,barbados,25017.2792814948
2005,barbados,25017.2792814948
2006,barbados,25017.2792814948
2007,barbados,25017.2792814948
2008,barbados,25017.2792814948
2009,barbados,25017.2792814948
2010,barbados,25017.2792814948
2011,barbados,25017.2792814948
2012,barbados,25017.2792814948
2013,barbados,25017.2792814948
2014,barbados,25017.2792814948
2015,barbados,25017.2792814948
2016,barbados,25017.2792814948
2017,barbados,25017.2792814948
2018,barbados,25017.2792814948
2019,barbados,25017.2792814948
1990,belize,25017.2792814948
1991,belize,25017.2792814948
1992,belize,25017.2792814948
1993,belize,25017.2792814948
1994,belize,25017.2792814948
1995,belize,25017.2792814948
1996,belize,25017.2792814948
1997,belize,25017.2792814948
1998,belize,25017.2792814948
1999,belize,25017.2792814948
2000,belize,25017.2792814948
2001,belize,25017.2792814948
2002,belize,25017.2792814948
2003,belize,25017.2792814948
2004,belize,25017.2792814948
2005,belize,25017.2792814948
2006,belize,25017.2792814948
2007,belize,25017.2792814948
2008,belize,25017.2792814948
2009,belize,25017.2792814948
2010,belize,25017.2792814948
2011,belize,25017.2792814948
2012,belize,25017.2792814948
2013,belize,25017.2792814948
2014,belize,25017.2792814948
2015,belize,25017.2792814948
2016,belize,25017.2792814948
2017,belize,25017.2792814948
2018,belize,25017.2792814948
2019,belize,25017.2792814948
1990,bolivia,505.482472772235
1991,bolivia,505.482472772235
1992,bolivia,505.482472772235
1993,bolivia,505.482472772235
1994,bolivia,505.482472772235
1995,bolivia,505.482472772235
1996,bolivia,505.482472772235
1997,bolivia,505.482472772235
1998,bolivia,505.482472772235
1999,bolivia,505.482472772235
2000,bolivia,505.482472772235
2001,bolivia,505.482472772235
2002,bolivia,505.482472772235
2003,bolivia,505.482472772235
2004,bolivia,505.482472772235
2005,bolivia,505.482472772235
2006,bolivia,505.482472772235
2007,bolivia,505.482472772235
2008,bolivia,505.482472772235
2009,bolivia,505.482472772235
2010,bolivia,505.482472772235
2011,bolivia,505.482472772235
2012,bolivia,505.482472772235
2013,bolivia,505.482472772235
2014,bolivia,505.482472772235
2015,bolivia,505.482472772235
2016,bolivia,505.482472772235
2017,bolivia,505.482472772235
2018,bolivia,505.482472772235
2019,bolivia,505.482472772235
1990,brazil,242513.185889349
1991,brazil,242513.185889349
1992,brazil,242513.185889349
1993,brazil,242513.185889349
1994,brazil,242513.185889349
1995,brazil,242513.185889349
1996,brazil,242513.185889349
1997,brazil,242513.185889349
1998,brazil,242513.185889349
1999,brazil,242513.185889349
2000,brazil,242513.185889349
2001,brazil,242513.185889349
2002,brazil,242513.185889349
2003,brazil,242513.185889349
2004,brazil,242513.185889349
2005,brazil,242513.185889349
2006,brazil,242513.185889349
2007,brazil,242513.185889349
2008,brazil,242513.185889349
2009,brazil,242513.185889349
2010,brazil,242513.185889349
2011,brazil,242513.185889349
2012,brazil,242513.185889349
2013,brazil,242513.185889349
2014,brazil,242513.185889349
2015,brazil,242513.185889349
2016,brazil,242513.185889349
2017,brazil,242513.185889349
2018,brazil,242513.185889349
2019,brazil,242513.185889349
1990,chile,21107.0787141905
1991,chile,21107.0787141905
1992,chile,21107.0787141905
1993,chile,21107.0787141905
1994,chile,21107.0787141905
