Year,Nation,prodinit_ippu_plastic_tonne
1995,chile,21107.0787141905
1996,chile,21107.0787141905
1997,chile,21107.0787141905
1998,chile,21107.0787141905
1999,chile,21107.0787141905
2000,chile,21107.0787141905
2001,chile,21107.0787141905
2002,chile,21107.0787141905
2003,chile,21107.0787141905
2004,chile,21107.0787141905
2005,chile,21107.0787141905
2006,chile,21107.0787141905
2007,chile,21107.0787141905
2008,chile,21107.0787141905
2009,chile,21107.0787141905
2010,chile,21107.0787141905
2011,chile,21107.0787141905
2012,chile,21107.0787141905
2013,chile,21107.0787141905
2014,chile,21107.0787141905
2015,chile,21107.0787141905
2016,chile,21107.0787141905
2017,chile,21107.0787141905
2018,chile,21107.0787141905
2019,chile,21107.0787141905
1990,colombia,30070.0444197668
1991,colombia,30070.0444197668
1992,colombia,30070.0444197668
1993,colombia,30070.0444197668
1994,colombia,30070.0444197668
1995,colombia,30070.0444197668
1996,colombia,30070.0444197668
1997,colombia,30070.0444197668
1998,colombia,30070.0444197668
1999,colombia,30070.0444197668
2000,colombia,30070.0444197668
2001,colombia,30070.0444197668
2002,colombia,30070.0444197668
2003,colombia,30070.0444197668
2004,colombia,30070.0444197668
2005,colombia,30070.0444197668
2006,colombia,30070.0444197668
2007,colombia,30070.0444197668
2008,colombia,30070.0444197668
2009,colombia,30070.0444197668
2010,colombia,30070.0444197668
2011,colombia,30070.0444197668
2012,colombia,30070.0444197668
2013,colombia,30070.0444197668
2014,colombia,30070.0444197668
2015,colombia,30070.0444197668
2016,colombia,30070.0444197668
2017,colombia,30070.0444197668
2018,colombia,30070.0444197668
2019,colombia,30070.0444197668
1990,costa_rica,5494.28563486307
1991,costa_rica,5494.28563486307
1992,costa_rica,5494.28563486307
1993,costa_rica,5494.28563486307
1994,costa_rica,5494.28563486307
1995,costa_rica,5494.28563486307
1996,costa_rica,5494.28563486307
1997,costa_rica,5494.28563486307
1998,costa_rica,5494.28563486307
1999,costa_rica,5494.28563486307
2000,costa_rica,5494.28563486307
2001,costa_rica,5494.28563486307
2002,costa_rica,5494.28563486307
2003,costa_rica,5494.28563486307
2004,costa_rica,5494.28563486307
2005,costa_rica,5494.28563486307
2006,costa_rica,5494.28563486307
2007,costa_rica,5494.28563486307
2008,costa_rica,5494.28563486307
2009,costa_rica,5494.28563486307
2010,costa_rica,5494.28563486307
2011,costa_rica,5494.28563486307
2012,costa_rica,5494.28563486307
2013,costa_rica,5494.28563486307
2014,costa_rica,5494.28563486307
2015,costa_rica,5494.28563486307
2016,costa_rica,5494.28563486307
2017,costa_rica,5494.28563486307
2018,costa_rica,5494.28563486307
2019,costa_rica,5494.28563486307
1990,dominican_republic,4898.23911159217
1991,dominican_republic,4898.23911159217
1992,dominican_republic,4898.23911159217
1993,dominican_republic,4898.23911159217
1994,dominican_republic,4898.23911159217
1995,dominican_republic,4898.23911159217
1996,dominican_republic,4898.23911159217
1997,dominican_republic,4898.23911159217
1998,dominican_republic,4898.23911159217
1999,dominican_republic,4898.23911159217
2000,dominican_republic,4898.23911159217
2001,dominican_republic,4898.23911159217
2002,dominican_republic,4898.23911159217
2003,dominican_republic,4898.23911159217
2004,dominican_republic,4898.23911159217
2005,dominican_republic,4898.23911159217
2006,dominican_republic,4898.23911159217
2007,dominican_republic,4898.23911159217
2008,dominican_republic,4898.23911159217
2009,dominican_republic,4898.23911159217
2010,dominican_republic,4898.23911159217
2011,dominican_republic,4898.23911159217
2012,dominican_republic,4898.23911159217
2013,dominican_republic,4898.23911159217
2014,dominican_republic,4898.23911159217
2015,dominican_republic,4898.23911159217
2016,dominican_republic,4898.23911159217
2017,dominican_republic,4898.23911159217
2018,dominican_republic,4898.23911159217
2019,dominican_republic,4898.23911159217
1990,ecuador,8208.15657967796
1991,ecuador,8208.15657967796
1992,ecuador,8208.15657967796
1993,ecuador,8208.15657967796
1994,ecuador,8208.15657967796
1995,ecuador,8208.15657967796
1996,ecuador,8208.15657967796
1997,ecuador,8208.15657967796
1998,ecuador,8208.15657967796
1999,ecuador,8208.15657967796
2000,ecuador,8208.15657967796
2001,ecuador,8208.15657967796
2002,ecuador,8208.15657967796
2003,ecuador,8208.15657967796
2004,ecuador,8208.15657967796
2005,ecuador,8208.15657967796
2006,ecuador,8208.15657967796
2007,ecuador,8208.15657967796
2008,ecuador,8208.15657967796
2009,ecuador,8208.15657967796
2010,ecuador,8208.15657967796
2011,ecuador,8208.15657967796
2012,ecuador,8208.15657967796
2013,ecuador,8208.15657967796
2014,ecuador,8208.15657967796
2015,ecuador,8208.15657967796
2016,ecuador,8208.15657967796
2017,ecuador,8208.15657967796
2018,ecuador,8208.15657967796
2019,ecuador,8208.15657967796
1990,el_salvador,3272.69407606591
1991,el_salvador,3272.69407606591
1992,el_salvador,3272.69407606591
1993,el_salvador,3272.69407606591
1994,el_salvador,3272.69407606591
1995,el_salvador,3272.69407606591
1996,el_salvador,3272.69407606591
1997,el_salvador,3272.69407606591
1998,el_salvador,3272.69407606591
1999,el_salvador,3272.69407606591
2000,el_salvador,3272.69407606591
2001,el_salvador,3272.69407606591
2002,el_salvador,3272.69407606591
2003,el_salvador,3272.69407606591
2004,el_salvador,3272.69407606591
2005,el_salvador,3272.69407606591
2006,el_salvador,3272.69407606591
2007,el_salvador,3272.69407606591
2008,el_salvador,3272.69407606591
2009,el_salvador,3272.69407606591
2010,el_salvador,3272.69407606591
2011,el_salvador,3272.69407606591
2012,el_salvador,3272.69407606591
2013,el_salvador,3272.69407606591
2014,el_salvador,3272.69407606591
2015,el_salvador,3272.69407606591
2016,el_salvador,3272.69407606591
2017,el_salvador,3272.69407606591
2018,el_salvador,3272.69407606591
2019,el_salvador,3272.69407606591
1990,guatemala,6343.39560851338
1991,guatemala,6343.39560851338
1992,guatemala,6343.39560851338
1993,guatemala,6343.39560851338
1994,guatemala,6343.39560851338
1995,guatemala,6343.39560851338
1996,guatemala,6343.39560851338
1997,guatemala,6343.39560851338
1998,guatemala,6343.39560851338
1999,guatemala,6343.39560851338
2000,guatemala,6343.39560851338
2001,guatemala,6343.39560851338
2002,guatemala,6343.39560851338
2003,guatemala,6343.39560851338
2004,guatemala,6343.39560851338
2005,guatemala,6343.39560851338
2006,guatemala,6343.39560851338
2007,guatemala,6343.39560851338
2008,guatemala,6343.39560851338
2009,guatemala,6343.39560851338
2010,guatemala,6343.39560851338
2011,guatemala,6343.39560851338
2012,guatemala,6343.39560851338
2013,guatemala,6343.39560851338
2014,guatemala,6343.39560851338
2015,guatemala,6343.39560851338
2016,guatemala,6343.39560851338
2017,guatemala,6343.39560851338
2018,guatemala,6343.39560851338
2019,guatemala,6343.39560851338
1990,guyana,25017.2792814948
1991,guyana,25017.2792814948
1992,guyana,25017.2792814948
1993,guyana,25017.2792814948
1994,guyana,25017.2792814948
1995,guyana,25017.2792814948
1996,guyana,25017.2792814948
1997,guyana,25017.2792814948
1998,guyana,25017.2792814948
1999,guyana,25017.2792814948
2000,guyana,25017.2792814948
2001,guyana,25017.2792814948
2002,guyana,25017.2792814948
2003,guyana,25017.2792814948
2004,guyana,25017.2792814948
2005,guyana,25017.2792814948
2006,guyana,25017.2792814948
2007,guyana,25017.2792814948
2008,guyana,25017.2792814948
2009,guyana,25017.2792814948
2010,guyana,25017.2792814948
2011,guyana,25017.2792814948
2012,guyana,25017.2792814948
2013,guyana,25017.2792814948
2014,guyana,25017.2792814948
2015,guyana,25017.2792814948
2016,guyana,25017.2792814948
2017,guyana,25017.2792814948
2018,guyana,25017.2792814948
2019,guyana,25017.2792814948
1990,haiti,25017.2792814948
1991,haiti,25017.2792814948
1992,haiti,25017.2792814948
1993,haiti,25017.2792814948
1994,haiti,25017.2792814948
1995,haiti,25017.2792814948
1996,haiti,25017.2792814948
1997,haiti,25017.2792814948
1998,haiti,25017.2792814948
1999,haiti,25017.2792814948
2000,haiti,25017.2792814948
2001,haiti,25017.2792814948
2002,haiti,25017.2792814948
2003,haiti,25017.2792814948
2004,haiti,25017.2792814948
2005,haiti,25017.2792814948
2006,haiti,25017.2792814948
2007,haiti,25017.2792814948
2008,haiti,25017.2792814948
2009,haiti,25017.2792814948
2010,haiti,25017.2792814948
2011,haiti,25017.2792814948
2012,haiti,25017.2792814948
2013,haiti,25017.2792814948
2014,haiti,25017.2792814948
2015,haiti,25017.2792814948
2016,haiti,25017.2792814948
2017,haiti,25017.2792814948
2018,haiti,25017.2792814948
2019,haiti,25017.2792814948
1990,honduras,1116.02872783396
1991,honduras,1116.02872783396
1992,honduras,1116.02872783396
1993,honduras,1116.02872783396
1994,honduras,1116.02872783396
1995,honduras,1116.02872783396
1996,honduras,1116.02872783396
1997,honduras,1116.02872783396
1998,honduras,1116.02872783396
1999,honduras,1116.02872783396
2000,honduras,1116.02872783396
2001,honduras,1116.02872783396
2002,honduras,1116.02872783396
2003,honduras,1116.02872783396
2004,honduras,1116.02872783396
2005,honduras,1116.02872783396
2006,honduras,1116.02872783396
2007,honduras,1116.02872783396
2008,honduras,1116.02872783396
2009,honduras,1116.02872783396
2010,honduras,1116.02872783396
2011,honduras,1116.02872783396
2012,honduras,1116.02872783396
2013,honduras,1116.02872783396
2014,honduras,1116.02872783396
2015,honduras,1116.02872783396
2016,honduras,1116.02872783396
2017,honduras,1116.02872783396
2018,honduras,1116.02872783396
2019,honduras,1116.02872783396
1990,jamaica,25017.2792814948
1991,jamaica,25017.2792814948
1992,jamaica,25017.2792814948
1993,jamaica,25017.2792814948
1994,jamaica,25017.2792814948
1995,jamaica,25017.2792814948
1996,jamaica,25017.2792814948
1997,jamaica,25017.2792814948
1998,jamaica,25017.2792814948
1999,jamaica,25017.2792814948
2000,jamaica,25017.2792814948
2001,jamaica,25017.2792814948
2002,jamaica,25017.2792814948
2003,jamaica,25017.2792814948
2004,jamaica,25017.2792814948
2005,jamaica,25017.2792814948
2006,jamaica,25017.2792814948
2007,jamaica,25017.2792814948
2008,jamaica,25017.2792814948
2009,jamaica,25017.2792814948
2010,jamaica,25017.2792814948
2011,jamaica,25017.2792814948
2012,jamaica,25017.2792814948
2013,jamaica,25017.2792814948
2014,jamaica,25017.2792814948
2015,jamaica,25017.2792814948
2016,jamaica,25017.2792814948
2017,jamaica,25017.2792814948
2018,jamaica,25017.2792814948
2019,jamaica,25017.2792814948
1990,mexico,23458.8310925361
1991,mexico,23458.8310925361
1992,mexico,23458.8310925361
1993,mexico,23458.8310925361
1994,mexico,23458.8310925361
1995,mexico,23458.8310925361
1996,mexico,23458.8310925361
1997,mexico,23458.8310925361
1998,mexico,23458.8310925361
1999,mexico,23458.8310925361
2000,mexico,23458.8310925361
2001,mexico,23458.8310925361
2002,mexico,23458.8310925361
2003,mexico,23458.8310925361
2004,mexico,23458.8310925361
2005,mexico,23458.8310925361
2006,mexico,23458.8310925361
2007,mexico,23458.8310925361
2008,mexico,23458.8310925361
2009,mexico,23458.8310925361
2010,mexico,23458.8310925361
2011,mexico,23458.8310925361
2012,mexico,23458.8310925361
2013,mexico,23458.8310925361
2014,mexico,23458.8310925361
2015,mexico,23458.8310925361
2016,mexico,23458.8310925361
2017,mexico,23458.8310925361
2018,mexico,23458.8310925361
2019,mexico,23458.8310925361
1990,nicaragua,192.223401607593
1991,nicaragua,192.223401607593
1992,nicaragua,192.223401607593
1993,nicaragua,192.223401607593
1994,nicaragua,192.223401607593
1995,nicaragua,192.223401607593
1996,nicaragua,192.223401607593
1997,nicaragua,192.223401607593
1998,nicaragua,192.223401607593
1999,nicaragua,192.223401607593
2000,nicaragua,192.223401607593
2001,nicaragua,192.223401607593
2002,nicaragua,192.223401607593
2003,nicaragua,192.223401607593
2004,nicaragua,192.223401607593
2005,nicaragua,192.223401607593
2006,nicaragua,192.223401607593
2007,nicaragua,192.223401607593
2008,nicaragua,192.223401607593
2009,nicaragua,192.223401607593
2010,nicaragua,192.223401607593
2011,nicaragua,192.223401607593
2012,nicaragua,192.223401607593
2013,nicaragua,192.223401607593
2014,nicaragua,192.223401607593
2015,nicaragua,192.223401607593
2016,nicaragua,192.223401607593
2017,nicaragua,192.223401607593
2018,nicaragua,192.223401607593
2019,nicaragua,192.223401607593
1990,panama,830.977945585786
1991,panama,830.977945585786
1992,panama,830.977945585786
1993,panama,830.977945585786
1994,panama,830.977945585786
1995,panama,830.977945585786
1996,panama,830.977945585786
1997,panama,830.977945585786
1998,panama,830.977945585786
1999,panama,830.977945585786
2000,panama,830.977945585786
2001,panama,830.977945585786
2002,panama,830.977945585786
2003,panama,830.977945585786
2004,panama,830.977945585786
2005,panama,830.977945585786
2006,panama,830.977945585786
2007,panama,830.977945585786
2008,panama,830.977945585786
2009,panama,830.977945585786
2010,panama,830.977945585786
2011,panama,830.977945585786
2012,panama,830.977945585786
2013,panama,830.977945585786
2014,panama,830.977945585786
2015,panama,830.977945585786
2016,panama,830.977945585786
2017,panama,830.977945585786
2018,panama,830.977945585786
2019,panama,830.977945585786
1990,paraguay,3218.47054541958
1991,paraguay,3218.47054541958
1992,paraguay,3218.47054541958
1993,paraguay,3218.47054541958
1994,paraguay,3218.47054541958
1995,paraguay,3218.47054541958
1996,paraguay,3218.47054541958
1997,paraguay,3218.47054541958
1998,paraguay,3218.47054541958
1999,paraguay,3218.47054541958
2000,paraguay,3218.47054541958
2001,paraguay,3218.47054541958
2002,paraguay,3218.47054541958
2003,paraguay,3218.47054541958
2004,paraguay,3218.47054541958
2005,paraguay,3218.47054541958
2006,paraguay,3218.47054541958
2007,paraguay,3218.47054541958
2008,paraguay,3218.47054541958
2009,paraguay,3218.47054541958
2010,paraguay,3218.47054541958
2011,paraguay,3218.47054541958
2012,paraguay,3218.47054541958
2013,paraguay,3218.47054541958
2014,paraguay,3218.47054541958
2015,paraguay,3218.47054541958
2016,paraguay,3218.47054541958
2017,paraguay,3218.47054541958
2018,paraguay,3218.47054541958
2019,paraguay,3218.47054541958
1990,peru,19352.7190778484
1991,peru,19352.7190778484
1992,peru,19352.7190778484
1993,peru,19352.7190778484
1994,peru,19352.7190778484
1995,peru,19352.7190778484
1996,peru,19352.7190778484
1997,peru,19352.7190778484
1998,peru,19352.7190778484
1999,peru,19352.7190778484
2000,peru,19352.7190778484
2001,peru,19352.7190778484
2002,peru,19352.7190778484
2003,peru,19352.7190778484
2004,peru,19352.7190778484
2005,peru,19352.7190778484
2006,peru,19352.7190778484
2007,peru,19352.7190778484
2008,peru,19352.7190778484
2009,peru,19352.7190778484
2010,peru,19352.7190778484
2011,peru,19352.7190778484
2012,peru,19352.7190778484
2013,peru,19352.7190778484
2014,peru,19352.7190778484
2015,peru,19352.7190778484
2016,peru,19352.7190778484
2017,peru,19352.7190778484
2018,peru,19352.7190778484
2019,peru,19352.7190778484
1990,suriname,25017.2792814948
1991,suriname,25017.2792814948
1992,suriname,25017.2792814948
1993,suriname,25017.2792814948
1994,suriname,25017.2792814948
1995,suriname,25017.2792814948
1996,suriname,25017.2792814948
1997,suriname,25017.2792814948
1998,suriname,25017.2792814948
1999,suriname,25017.2792814948
2000,suriname,25017.2792814948
2001,suriname,25017.2792814948
2002,suriname,25017.2792814948
2003,suriname,25017.2792814948
2004,suriname,25017.2792814948
2005,suriname,25017.2792814948
2006,suriname,25017.2792814948
2007,suriname,25017.2792814948
2008,suriname,25017.2792814948
2009,suriname,25017.2792814948
2010,suriname,25017.2792814948
2011,suriname,25017.2792814948
2012,suriname,25017.2792814948
2013,suriname,25017.2792814948
2014,suriname,25017.2792814948
2015,suriname,25017.2792814948
2016,suriname,25017.2792814948
2017,suriname,25017.2792814948
2018,suriname,25017.2792814948
2019,suriname,25017.2792814948
1990,trinidad_and_tobago,25017.2792814948
1991,trinidad_and_tobago,25017.2792814948
1992,trinidad_and_tobago,25017.2792814948
1993,trinidad_and_tobago,25017.2792814948
1994,trinidad_and_tobago,25017.2792814948
1995,trinidad_and_tobago,25017.2792814948
1996,trinidad_and_tobago,25017.2792814948
1997,trinidad_and_tobago,25017.2792814948
1998,trinidad_and_tobago,25017.2792814948
1999,trinidad_and_tobago,25017.2792814948
2000,trinidad_and_tobago,25017.2792814948
2001,trinidad_and_tobago,25017.2792814948
2002,trinidad_and_tobago,25017.2792814948
2003,trinidad_and_tobago,25017.2792814948
2004,trinidad_and_tobago,25017.2792814948
2005,trinidad_and_tobago,25017.2792814948
2006,trinidad_and_tobago,25017.2792814948
2007,trinidad_and_tobago,25017.2792814948
2008,trinidad_and_tobago,25017.2792814948
2009,trinidad_and_tobago,25017.2792814948
2010,trinidad_and_tobago,25017.2792814948
2011,trinidad_and_tobago,25017.2792814948
2012,trinidad_and_tobago,25017.2792814948
2013,trinidad_and_tobago,25017.2792814948
2014,trinidad_and_tobago,25017.2792814948
2015,trinidad_and_tobago,25017.2792814948
2016,trinidad_and_tobago,25017.2792814948
2017,trinidad_and_tobago,25017.2792814948
2018,trinidad_and_tobago,25017.2792814948
2019,trinidad_and_tobago,25017.2792814948
1990,uruguay,3840.18900417754
1991,uruguay,3840.18900417754
1992,uruguay,3840.18900417754
1993,uruguay,3840.18900417754
1994,uruguay,3840.18900417754
1995,uruguay,3840.18900417754
1996,uruguay,3840.18900417754
1997,uruguay,3840.18900417754
1998,uruguay,3840.18900417754
1999,uruguay,3840.18900417754
2000,uruguay,3840.18900417754
2001,uruguay,3840.18900417754
2002,uruguay,3840.18900417754
2003,uruguay,3840.18900417754
2004,uruguay,3840.18900417754
2005,uruguay,3840.18900417754
2006,uruguay,3840.18900417754
2007,uruguay,3840.18900417754
2008,uruguay,3840.18900417754
2009,uruguay,3840.18900417754
2010,uruguay,3840.18900417754
2011,uruguay,3840.18900417754
2012,uruguay,3840.18900417754
2013,uruguay,3840.18900417754
2014,uruguay,3840.18900417754
2015,uruguay,3840.18900417754
2016,uruguay,3840.18900417754
2017,uruguay,3840.18900417754
2018,uruguay,3840.18900417754
2019,uruguay,3840.18900417754
1990,venezuela,11984.6264683967
1991,venezuela,11984.6264683967
1992,venezuela,11984.6264683967
1993,venezuela,11984.6264683967
1994,venezuela,11984.6264683967
1995,venezuela,11984.6264683967
1996,venezuela,11984.6264683967
1997,venezuela,11984.6264683967
1998,venezuela,11984.6264683967
1999,venezuela,11984.6264683967
2000,venezuela,11984.6264683967
2001,venezuela,11984.6264683967
2002,venezuela,11984.6264683967
2003,venezuela,11984.6264683967
2004,venezuela,11984.6264683967
2005,venezuela,11984.6264683967
2006,venezuela,11984.6264683967
2007,venezuela,11984.6264683967
2008,venezuela,11984.6264683967
2009,venezuela,11984.6264683967
2010,venezuela,11984.6264683967
2011,venezuela,11984.6264683967
2012,venezuela,11984.6264683967
2013,venezuela,11984.6264683967
2014,venezuela,11984.6264683967
2015,venezuela,11984.6264683967
2016,venezuela,11984.6264683967
2017,venezuela,11984.6264683967
2018,venezuela,11984.6264683967
2019,venezuela,11984.6264683967
