Year,Nation,Production Quantity,Unit,Item
1961,Argentina,4500,tonnes,"Broad beans, horse beans, dry"
1962,Argentina,5000,tonnes,"Broad beans, horse beans, dry"
1963,Argentina,5200,tonnes,"Broad beans, horse beans, dry"
1964,Argentina,6500,tonnes,"Broad beans, horse beans, dry"
1965,Argentina,6600,tonnes,"Broad beans, horse beans, dry"
1966,Argentina,6900,tonnes,"Broad beans, horse beans, dry"
1967,Argentina,5400,tonnes,"Broad beans, horse beans, dry"
1968,Argentina,5200,tonnes,"Broad beans, horse beans, dry"
1969,Argentina,5100,tonnes,"Broad beans, horse beans, dry"
1970,Argentina,3200,tonnes,"Broad beans, horse beans, dry"
1971,Argentina,2800,tonnes,"Broad beans, horse beans, dry"
1972,Argentina,2600,tonnes,"Broad beans, horse beans, dry"
1973,Argentina,2800,tonnes,"Broad beans, horse beans, dry"
1974,Argentina,2700,tonnes,"Broad beans, horse beans, dry"
1975,Argentina,2470,tonnes,"Broad beans, horse beans, dry"
1976,Argentina,3300,tonnes,"Broad beans, horse beans, dry"
1977,Argentina,3600,tonnes,"Broad beans, horse beans, dry"
1978,Argentina,3000,tonnes,"Broad beans, horse beans, dry"
1979,Argentina,3700,tonnes,"Broad beans, horse beans, dry"
1980,Argentina,3300,tonnes,"Broad beans, horse beans, dry"
1981,Argentina,5700,tonnes,"Broad beans, horse beans, dry"
1982,Argentina,9600,tonnes,"Broad beans, horse beans, dry"
1983,Argentina,9200,tonnes,"Broad beans, horse beans, dry"
1984,Argentina,7140,tonnes,"Broad beans, horse beans, dry"
1985,Argentina,7800,tonnes,"Broad beans, horse beans, dry"
1986,Argentina,8700,tonnes,"Broad beans, horse beans, dry"
1987,Argentina,10000,tonnes,"Broad beans, horse beans, dry"
1988,Argentina,10000,tonnes,"Broad beans, horse beans, dry"
1989,Argentina,10000,tonnes,"Broad beans, horse beans, dry"
1990,Argentina,10000,tonnes,"Broad beans, horse beans, dry"
1991,Argentina,10000,tonnes,"Broad beans, horse beans, dry"
1992,Argentina,10500,tonnes,"Broad beans, horse beans, dry"
1993,Argentina,11000,tonnes,"Broad beans, horse beans, dry"
1994,Argentina,11000,tonnes,"Broad beans, horse beans, dry"
1995,Argentina,11300,tonnes,"Broad beans, horse beans, dry"
1996,Argentina,11400,tonnes,"Broad beans, horse beans, dry"
1997,Argentina,12300,tonnes,"Broad beans, horse beans, dry"
1998,Argentina,12300,tonnes,"Broad beans, horse beans, dry"
1999,Argentina,14000,tonnes,"Broad beans, horse beans, dry"
2000,Argentina,14000,tonnes,"Broad beans, horse beans, dry"
2001,Argentina,14500,tonnes,"Broad beans, horse beans, dry"
2002,Argentina,14500,tonnes,"Broad beans, horse beans, dry"
2003,Argentina,15000,tonnes,"Broad beans, horse beans, dry"
2004,Argentina,15000,tonnes,"Broad beans, horse beans, dry"
2005,Argentina,15000,tonnes,"Broad beans, horse beans, dry"
2006,Argentina,15200,tonnes,"Broad beans, horse beans, dry"
2007,Argentina,15500,tonnes,"Broad beans, horse beans, dry"
2008,Argentina,15500,tonnes,"Broad beans, horse beans, dry"
2009,Argentina,15651,tonnes,"Broad beans, horse beans, dry"
2010,Argentina,15784,tonnes,"Broad beans, horse beans, dry"
2011,Argentina,15856,tonnes,"Broad beans, horse beans, dry"
2012,Argentina,16000,tonnes,"Broad beans, horse beans, dry"
2013,Argentina,16000,tonnes,"Broad beans, horse beans, dry"
2014,Argentina,16061,tonnes,"Broad beans, horse beans, dry"
2015,Argentina,16557,tonnes,"Broad beans, horse beans, dry"
2016,Argentina,16658,tonnes,"Broad beans, horse beans, dry"
2017,Argentina,16805,tonnes,"Broad beans, horse beans, dry"
2018,Argentina,16952,tonnes,"Broad beans, horse beans, dry"
2019,Argentina,17100,tonnes,"Broad beans, horse beans, dry"
1961,Argentina,5650,tonnes,Chick peas
1962,Argentina,4450,tonnes,Chick peas
1963,Argentina,4900,tonnes,Chick peas
1964,Argentina,5650,tonnes,Chick peas
1965,Argentina,6000,tonnes,Chick peas
1966,Argentina,3850,tonnes,Chick peas
1967,Argentina,3500,tonnes,Chick peas
1968,Argentina,4000,tonnes,Chick peas
1969,Argentina,4840,tonnes,Chick peas
1970,Argentina,4530,tonnes,Chick peas
1971,Argentina,3430,tonnes,Chick peas
1972,Argentina,3800,tonnes,Chick peas
1973,Argentina,1800,tonnes,Chick peas
1974,Argentina,4600,tonnes,Chick peas
1975,Argentina,8200,tonnes,Chick peas
1976,Argentina,3740,tonnes,Chick peas
1977,Argentina,2060,tonnes,Chick peas
1978,Argentina,5500,tonnes,Chick peas
1979,Argentina,2800,tonnes,Chick peas
1980,Argentina,4400,tonnes,Chick peas
1981,Argentina,3900,tonnes,Chick peas
1982,Argentina,1330,tonnes,Chick peas
1983,Argentina,1700,tonnes,Chick peas
1984,Argentina,3750,tonnes,Chick peas
1985,Argentina,7600,tonnes,Chick peas
1986,Argentina,6200,tonnes,Chick peas
1987,Argentina,5300,tonnes,Chick peas
1988,Argentina,11300,tonnes,Chick peas
1989,Argentina,3000,tonnes,Chick peas
1990,Argentina,3000,tonnes,Chick peas
1991,Argentina,2000,tonnes,Chick peas
1992,Argentina,2100,tonnes,Chick peas
1993,Argentina,1900,tonnes,Chick peas
1994,Argentina,1800,tonnes,Chick peas
1995,Argentina,1700,tonnes,Chick peas
1996,Argentina,1600,tonnes,Chick peas
1997,Argentina,1500,tonnes,Chick peas
1998,Argentina,1400,tonnes,Chick peas
1999,Argentina,1300,tonnes,Chick peas
2000,Argentina,1200,tonnes,Chick peas
2001,Argentina,1300,tonnes,Chick peas
2002,Argentina,1300,tonnes,Chick peas
2003,Argentina,1350,tonnes,Chick peas
2004,Argentina,1400,tonnes,Chick peas
2005,Argentina,1500,tonnes,Chick peas
2006,Argentina,4500,tonnes,Chick peas
2007,Argentina,4500,tonnes,Chick peas
2008,Argentina,10500,tonnes,Chick peas
2009,Argentina,18500,tonnes,Chick peas
2010,Argentina,19500,tonnes,Chick peas
2011,Argentina,55000,tonnes,Chick peas
2012,Argentina,52000,tonnes,Chick peas
2013,Argentina,53500,tonnes,Chick peas
2014,Argentina,88000,tonnes,Chick peas
2015,Argentina,104000,tonnes,Chick peas
2016,Argentina,60000,tonnes,Chick peas
2017,Argentina,184000,tonnes,Chick peas
2018,Argentina,144541,tonnes,Chick peas
2019,Argentina,137244,tonnes,Chick peas
1961,Argentina,4600,tonnes,Lentils
1962,Argentina,11140,tonnes,Lentils
1963,Argentina,12050,tonnes,Lentils
1964,Argentina,11900,tonnes,Lentils
1965,Argentina,16500,tonnes,Lentils
1966,Argentina,15550,tonnes,Lentils
1967,Argentina,12900,tonnes,Lentils
1968,Argentina,8200,tonnes,Lentils
1969,Argentina,14200,tonnes,Lentils
1970,Argentina,8900,tonnes,Lentils
1971,Argentina,9510,tonnes,Lentils
1972,Argentina,5600,tonnes,Lentils
1973,Argentina,6700,tonnes,Lentils
1974,Argentina,6800,tonnes,Lentils
1975,Argentina,12940,tonnes,Lentils
1976,Argentina,15540,tonnes,Lentils
1977,Argentina,41400,tonnes,Lentils
1978,Argentina,40000,tonnes,Lentils
1979,Argentina,12400,tonnes,Lentils
1980,Argentina,16800,tonnes,Lentils
1981,Argentina,13370,tonnes,Lentils
1982,Argentina,13900,tonnes,Lentils
1983,Argentina,6550,tonnes,Lentils
1984,Argentina,6900,tonnes,Lentils
1985,Argentina,11500,tonnes,Lentils
1986,Argentina,18100,tonnes,Lentils
1987,Argentina,20700,tonnes,Lentils
1988,Argentina,25060,tonnes,Lentils
1989,Argentina,15000,tonnes,Lentils
1990,Argentina,25000,tonnes,Lentils
1991,Argentina,25800,tonnes,Lentils
1992,Argentina,24000,tonnes,Lentils
1993,Argentina,25100,tonnes,Lentils
1994,Argentina,32000,tonnes,Lentils
1995,Argentina,12000,tonnes,Lentils
1996,Argentina,3000,tonnes,Lentils
1997,Argentina,7000,tonnes,Lentils
1998,Argentina,9000,tonnes,Lentils
1999,Argentina,17000,tonnes,Lentils
2000,Argentina,10900,tonnes,Lentils
2001,Argentina,1800,tonnes,Lentils
2002,Argentina,3000,tonnes,Lentils
2003,Argentina,2500,tonnes,Lentils
2004,Argentina,2500,tonnes,Lentils
2005,Argentina,2500,tonnes,Lentils
2006,Argentina,2150,tonnes,Lentils
2007,Argentina,2300,tonnes,Lentils
2008,Argentina,2300,tonnes,Lentils
2009,Argentina,2112,tonnes,Lentils
2010,Argentina,2133,tonnes,Lentils
2011,Argentina,2365,tonnes,Lentils
2012,Argentina,2365,tonnes,Lentils
2013,Argentina,2365,tonnes,Lentils
2014,Argentina,28500,tonnes,Lentils
2015,Argentina,34000,tonnes,Lentils
2016,Argentina,22000,tonnes,Lentils
2017,Argentina,20000,tonnes,Lentils
2018,Argentina,18605,tonnes,Lentils
2019,Argentina,16299,tonnes,Lentils
1961,Argentina,300,tonnes,Lupins
1962,Argentina,300,tonnes,Lupins
1963,Argentina,340,tonnes,Lupins
1964,Argentina,420,tonnes,Lupins
1965,Argentina,460,tonnes,Lupins
1966,Argentina,240,tonnes,Lupins
1967,Argentina,134,tonnes,Lupins
1968,Argentina,375,tonnes,Lupins
1969,Argentina,380,tonnes,Lupins
1970,Argentina,530,tonnes,Lupins
1971,Argentina,550,tonnes,Lupins
1972,Argentina,400,tonnes,Lupins
1973,Argentina,300,tonnes,Lupins
1974,Argentina,230,tonnes,Lupins
1975,Argentina,170,tonnes,Lupins
1976,Argentina,170,tonnes,Lupins
1977,Argentina,150,tonnes,Lupins
1978,Argentina,105,tonnes,Lupins
1979,Argentina,80,tonnes,Lupins
1980,Argentina,70,tonnes,Lupins
1981,Argentina,75,tonnes,Lupins
1982,Argentina,75,tonnes,Lupins
1983,Argentina,80,tonnes,Lupins
1984,Argentina,80,tonnes,Lupins
1985,Argentina,80,tonnes,Lupins
1986,Argentina,80,tonnes,Lupins
1987,Argentina,80,tonnes,Lupins
1988,Argentina,80,tonnes,Lupins
1989,Argentina,80,tonnes,Lupins
1990,Argentina,80,tonnes,Lupins
1991,Argentina,100,tonnes,Lupins
1992,Argentina,100,tonnes,Lupins
1993,Argentina,100,tonnes,Lupins
1994,Argentina,100,tonnes,Lupins
1995,Argentina,100,tonnes,Lupins
1996,Argentina,100,tonnes,Lupins
1997,Argentina,120,tonnes,Lupins
1998,Argentina,120,tonnes,Lupins
1999,Argentina,120,tonnes,Lupins
2000,Argentina,120,tonnes,Lupins
2001,Argentina,120,tonnes,Lupins
2002,Argentina,130,tonnes,Lupins
2003,Argentina,130,tonnes,Lupins
2004,Argentina,130,tonnes,Lupins
2005,Argentina,130,tonnes,Lupins
2006,Argentina,135,tonnes,Lupins
2007,Argentina,150,tonnes,Lupins
2008,Argentina,150,tonnes,Lupins
2009,Argentina,149,tonnes,Lupins
2010,Argentina,152,tonnes,Lupins
2011,Argentina,155,tonnes,Lupins
2012,Argentina,160,tonnes,Lupins
2013,Argentina,154,tonnes,Lupins
2014,Argentina,158,tonnes,Lupins
2015,Argentina,166,tonnes,Lupins
2016,Argentina,166,tonnes,Lupins
2017,Argentina,169,tonnes,Lupins
2018,Argentina,171,tonnes,Lupins
2019,Argentina,173,tonnes,Lupins
1961,Argentina,19900,tonnes,"Peas, dry"
1962,Argentina,28000,tonnes,"Peas, dry"
1963,Argentina,27400,tonnes,"Peas, dry"
1964,Argentina,16800,tonnes,"Peas, dry"
1965,Argentina,34950,tonnes,"Peas, dry"
1966,Argentina,32950,tonnes,"Peas, dry"
1967,Argentina,20000,tonnes,"Peas, dry"
1968,Argentina,10000,tonnes,"Peas, dry"
1969,Argentina,21600,tonnes,"Peas, dry"
1970,Argentina,18100,tonnes,"Peas, dry"
1971,Argentina,16800,tonnes,"Peas, dry"
1972,Argentina,12000,tonnes,"Peas, dry"
1973,Argentina,12600,tonnes,"Peas, dry"
1974,Argentina,16100,tonnes,"Peas, dry"
1975,Argentina,19300,tonnes,"Peas, dry"
1976,Argentina,36300,tonnes,"Peas, dry"
1977,Argentina,30000,tonnes,"Peas, dry"
1978,Argentina,46000,tonnes,"Peas, dry"
1979,Argentina,12000,tonnes,"Peas, dry"
1980,Argentina,18600,tonnes,"Peas, dry"
1981,Argentina,14450,tonnes,"Peas, dry"
1982,Argentina,8750,tonnes,"Peas, dry"
1983,Argentina,13000,tonnes,"Peas, dry"
1984,Argentina,7600,tonnes,"Peas, dry"
1985,Argentina,12900,tonnes,"Peas, dry"
1986,Argentina,7300,tonnes,"Peas, dry"
1987,Argentina,10200,tonnes,"Peas, dry"
1988,Argentina,26100,tonnes,"Peas, dry"
1989,Argentina,20000,tonnes,"Peas, dry"
1990,Argentina,15000,tonnes,"Peas, dry"
1991,Argentina,33200,tonnes,"Peas, dry"
1992,Argentina,36000,tonnes,"Peas, dry"
1993,Argentina,38600,tonnes,"Peas, dry"
1994,Argentina,39000,tonnes,"Peas, dry"
1995,Argentina,22100,tonnes,"Peas, dry"
1996,Argentina,30000,tonnes,"Peas, dry"
1997,Argentina,38000,tonnes,"Peas, dry"
1998,Argentina,35000,tonnes,"Peas, dry"
1999,Argentina,23000,tonnes,"Peas, dry"
