Area.Code..FAO.,Nation,Item,Year,Value,Unit,Element,EmissionFactorTONco2e,ef_agactivity_vegetables_gg_ch4_ha
9,Argentina,Asparagus,1961,1000,tonnes,Production,0.92,920
9,Argentina,Asparagus,1962,1350,tonnes,Production,0.92,1242
9,Argentina,Asparagus,1963,1250,tonnes,Production,0.92,1150
9,Argentina,Asparagus,1964,1400,tonnes,Production,0.92,1288
9,Argentina,Asparagus,1965,1450,tonnes,Production,0.92,1334
9,Argentina,Asparagus,1966,1700,tonnes,Production,0.92,1564
9,Argentina,Asparagus,1967,4020,tonnes,Production,0.92,3698.4
9,Argentina,Asparagus,1968,3150,tonnes,Production,0.92,2898
9,Argentina,Asparagus,1969,3270,tonnes,Production,0.92,3008.4
9,Argentina,Asparagus,1970,3155,tonnes,Production,0.92,2902.6
9,Argentina,Asparagus,1971,3421,tonnes,Production,0.92,3147.32
9,Argentina,Asparagus,1972,3820,tonnes,Production,0.92,3514.4
9,Argentina,Asparagus,1973,3800,tonnes,Production,0.92,3496
9,Argentina,Asparagus,1974,2700,tonnes,Production,0.92,2484
9,Argentina,Asparagus,1975,3412,tonnes,Production,0.92,3139.04
9,Argentina,Asparagus,1976,3700,tonnes,Production,0.92,3404
9,Argentina,Asparagus,1977,3800,tonnes,Production,0.92,3496
9,Argentina,Asparagus,1978,3600,tonnes,Production,0.92,3312
9,Argentina,Asparagus,1979,3660,tonnes,Production,0.92,3367.2
9,Argentina,Asparagus,1980,3000,tonnes,Production,0.92,2760
9,Argentina,Asparagus,1981,3600,tonnes,Production,0.92,3312
9,Argentina,Asparagus,1982,3800,tonnes,Production,0.92,3496
9,Argentina,Asparagus,1983,4050,tonnes,Production,0.92,3726
9,Argentina,Asparagus,1984,4700,tonnes,Production,0.92,4324
9,Argentina,Asparagus,1985,4400,tonnes,Production,0.92,4048
9,Argentina,Asparagus,1986,4540,tonnes,Production,0.92,4176.8
9,Argentina,Asparagus,1987,4900,tonnes,Production,0.92,4508
9,Argentina,Asparagus,1988,4650,tonnes,Production,0.92,4278
9,Argentina,Asparagus,1989,4700,tonnes,Production,0.92,4324
9,Argentina,Asparagus,1990,4843,tonnes,Production,0.92,4455.56
9,Argentina,Asparagus,1991,4800,tonnes,Production,0.92,4416
9,Argentina,Asparagus,1992,4900,tonnes,Production,0.92,4508
9,Argentina,Asparagus,1993,5025,tonnes,Production,0.92,4623
9,Argentina,Asparagus,1994,5000,tonnes,Production,0.92,4600
9,Argentina,Asparagus,1995,5500,tonnes,Production,0.92,5060
9,Argentina,Asparagus,1996,6000,tonnes,Production,0.92,5520
9,Argentina,Asparagus,1997,5954,tonnes,Production,0.92,5477.68
9,Argentina,Asparagus,1998,6161,tonnes,Production,0.92,5668.12
9,Argentina,Asparagus,1999,6800,tonnes,Production,0.92,6256
9,Argentina,Asparagus,2000,6529,tonnes,Production,0.92,6006.68
9,Argentina,Asparagus,2001,6671,tonnes,Production,0.92,6137.32
9,Argentina,Asparagus,2002,6900,tonnes,Production,0.92,6348
9,Argentina,Asparagus,2003,7000,tonnes,Production,0.92,6440
9,Argentina,Asparagus,2004,6924,tonnes,Production,0.92,6370.08
9,Argentina,Asparagus,2005,7291,tonnes,Production,0.92,6707.72
9,Argentina,Asparagus,2006,7100,tonnes,Production,0.92,6532
9,Argentina,Asparagus,2007,7200,tonnes,Production,0.92,6624
9,Argentina,Asparagus,2008,7911,tonnes,Production,0.92,7278.12
9,Argentina,Asparagus,2009,8394,tonnes,Production,0.92,7722.48
9,Argentina,Asparagus,2010,8812,tonnes,Production,0.92,8107.04
9,Argentina,Asparagus,2011,9248,tonnes,Production,0.92,8508.16
9,Argentina,Asparagus,2012,10500,tonnes,Production,0.92,9660
9,Argentina,Asparagus,2013,10100,tonnes,Production,0.92,9292
9,Argentina,Asparagus,2014,10184,tonnes,Production,0.92,9369.28
9,Argentina,Asparagus,2015,10580,tonnes,Production,0.92,9733.6
9,Argentina,Asparagus,2016,10922,tonnes,Production,0.92,10048.24
9,Argentina,Asparagus,2017,11198,tonnes,Production,0.92,10302.16
9,Argentina,Asparagus,2018,11475,tonnes,Production,0.92,10557
9,Argentina,Asparagus,2019,11751,tonnes,Production,0.92,10810.92
9,Argentina,Tomatoes,1961,294300,tonnes,Production,0.46,135378
9,Argentina,Tomatoes,1962,300100,tonnes,Production,0.46,138046
9,Argentina,Tomatoes,1963,261500,tonnes,Production,0.46,120290
9,Argentina,Tomatoes,1964,392000,tonnes,Production,0.46,180320
9,Argentina,Tomatoes,1965,303800,tonnes,Production,0.46,139748
9,Argentina,Tomatoes,1966,303800,tonnes,Production,0.46,139748
9,Argentina,Tomatoes,1967,333600,tonnes,Production,0.46,153456
9,Argentina,Tomatoes,1968,314800,tonnes,Production,0.46,144808
9,Argentina,Tomatoes,1969,352100,tonnes,Production,0.46,161966
9,Argentina,Tomatoes,1970,357600,tonnes,Production,0.46,164496
9,Argentina,Tomatoes,1971,409900,tonnes,Production,0.46,188554
9,Argentina,Tomatoes,1972,486800,tonnes,Production,0.46,223928
9,Argentina,Tomatoes,1973,491500,tonnes,Production,0.46,226090
9,Argentina,Tomatoes,1974,645500,tonnes,Production,0.46,296930
9,Argentina,Tomatoes,1975,610200,tonnes,Production,0.46,280692
9,Argentina,Tomatoes,1976,485400,tonnes,Production,0.46,223284
9,Argentina,Tomatoes,1977,532500,tonnes,Production,0.46,244950
9,Argentina,Tomatoes,1978,574000,tonnes,Production,0.46,264040
9,Argentina,Tomatoes,1979,552000,tonnes,Production,0.46,253920
9,Argentina,Tomatoes,1980,546000,tonnes,Production,0.46,251160
9,Argentina,Tomatoes,1981,372000,tonnes,Production,0.46,171120
9,Argentina,Tomatoes,1982,572700,tonnes,Production,0.46,263442
9,Argentina,Tomatoes,1983,610900,tonnes,Production,0.46,281014
9,Argentina,Tomatoes,1984,560600,tonnes,Production,0.46,257876
9,Argentina,Tomatoes,1985,751300,tonnes,Production,0.46,345598
9,Argentina,Tomatoes,1986,824400,tonnes,Production,0.46,379224
9,Argentina,Tomatoes,1987,698500,tonnes,Production,0.46,321310
9,Argentina,Tomatoes,1988,653500,tonnes,Production,0.46,300610
9,Argentina,Tomatoes,1989,681500,tonnes,Production,0.46,313490
9,Argentina,Tomatoes,1990,704000,tonnes,Production,0.46,323840
9,Argentina,Tomatoes,1991,716000,tonnes,Production,0.46,329360
9,Argentina,Tomatoes,1992,720000,tonnes,Production,0.46,331200
9,Argentina,Tomatoes,1993,700000,tonnes,Production,0.46,322000
9,Argentina,Tomatoes,1994,790000,tonnes,Production,0.46,363400
9,Argentina,Tomatoes,1995,920000,tonnes,Production,0.46,423200
9,Argentina,Tomatoes,1996,662000,tonnes,Production,0.46,304520
9,Argentina,Tomatoes,1997,710570,tonnes,Production,0.46,326862.2
9,Argentina,Tomatoes,1998,647169,tonnes,Production,0.46,297697.74
9,Argentina,Tomatoes,1999,720000,tonnes,Production,0.46,331200
9,Argentina,Tomatoes,2000,693393,tonnes,Production,0.46,318960.78
9,Argentina,Tomatoes,2001,648413,tonnes,Production,0.46,298269.98
9,Argentina,Tomatoes,2002,667753,tonnes,Production,0.46,307166.38
9,Argentina,Tomatoes,2003,670000,tonnes,Production,0.46,308200
9,Argentina,Tomatoes,2004,675000,tonnes,Production,0.46,310500
9,Argentina,Tomatoes,2005,678274,tonnes,Production,0.46,312006.04
9,Argentina,Tomatoes,2006,670000,tonnes,Production,0.46,308200
9,Argentina,Tomatoes,2007,680000,tonnes,Production,0.46,312800
9,Argentina,Tomatoes,2008,673075,tonnes,Production,0.46,309614.5
9,Argentina,Tomatoes,2009,672445,tonnes,Production,0.46,309324.7
9,Argentina,Tomatoes,2010,675325,tonnes,Production,0.46,310649.5
9,Argentina,Tomatoes,2011,673244,tonnes,Production,0.46,309692.24
9,Argentina,Tomatoes,2012,671162,tonnes,Production,0.46,308734.52
9,Argentina,Tomatoes,2013,669080,tonnes,Production,0.46,307776.8
9,Argentina,Tomatoes,2014,661772,tonnes,Production,0.46,304415.12
9,Argentina,Tomatoes,2015,661406,tonnes,Production,0.46,304246.76
9,Argentina,Tomatoes,2016,663105,tonnes,Production,0.46,305028.3
9,Argentina,Tomatoes,2017,661439,tonnes,Production,0.46,304261.94
9,Argentina,Tomatoes,2018,659773,tonnes,Production,0.46,303495.58
9,Argentina,Tomatoes,2019,658106,tonnes,Production,0.46,302728.76
9,Argentina,"Onions, dry",1961,182500,tonnes,Production,0.18,32850
9,Argentina,"Onions, dry",1962,194100,tonnes,Production,0.18,34938
9,Argentina,"Onions, dry",1963,207100,tonnes,Production,0.18,37278
9,Argentina,"Onions, dry",1964,206800,tonnes,Production,0.18,37224
9,Argentina,"Onions, dry",1965,208900,tonnes,Production,0.18,37602
9,Argentina,"Onions, dry",1966,208900,tonnes,Production,0.18,37602
