Area.Code..FAO.,Nation,Item,Year,Value,Unit,Element,EmissionFactorTONco2e,ef_agactivity_nuts_gg_ch4_ha
9,Argentina,"Almonds, with shell",1961,80,tonnes,Production,1.74,139.2
9,Argentina,"Almonds, with shell",1962,90,tonnes,Production,1.74,156.6
9,Argentina,"Almonds, with shell",1963,100,tonnes,Production,1.74,174
9,Argentina,"Almonds, with shell",1964,100,tonnes,Production,1.74,174
9,Argentina,"Almonds, with shell",1965,110,tonnes,Production,1.74,191.4
9,Argentina,"Almonds, with shell",1966,120,tonnes,Production,1.74,208.8
9,Argentina,"Almonds, with shell",1967,118,tonnes,Production,1.74,205.32
9,Argentina,"Almonds, with shell",1968,180,tonnes,Production,1.74,313.2
9,Argentina,"Almonds, with shell",1969,260,tonnes,Production,1.74,452.4
9,Argentina,"Almonds, with shell",1970,350,tonnes,Production,1.74,609
9,Argentina,"Almonds, with shell",1971,160,tonnes,Production,1.74,278.4
9,Argentina,"Almonds, with shell",1972,300,tonnes,Production,1.74,522
9,Argentina,"Almonds, with shell",1973,100,tonnes,Production,1.74,174
9,Argentina,"Almonds, with shell",1974,370,tonnes,Production,1.74,643.8
9,Argentina,"Almonds, with shell",1975,346,tonnes,Production,1.74,602.04
9,Argentina,"Almonds, with shell",1976,125,tonnes,Production,1.74,217.5
9,Argentina,"Almonds, with shell",1977,100,tonnes,Production,1.74,174
9,Argentina,"Almonds, with shell",1978,110,tonnes,Production,1.74,191.4
9,Argentina,"Almonds, with shell",1979,160,tonnes,Production,1.74,278.4
9,Argentina,"Almonds, with shell",1980,290,tonnes,Production,1.74,504.6
9,Argentina,"Almonds, with shell",1981,560,tonnes,Production,1.74,974.4
9,Argentina,"Almonds, with shell",1982,380,tonnes,Production,1.74,661.2
9,Argentina,"Almonds, with shell",1983,400,tonnes,Production,1.74,696
9,Argentina,"Almonds, with shell",1984,400,tonnes,Production,1.74,696
9,Argentina,"Almonds, with shell",1985,400,tonnes,Production,1.74,696
9,Argentina,"Almonds, with shell",1986,400,tonnes,Production,1.74,696
9,Argentina,"Almonds, with shell",1987,400,tonnes,Production,1.74,696
9,Argentina,"Almonds, with shell",1988,400,tonnes,Production,1.74,696
9,Argentina,"Almonds, with shell",1989,420,tonnes,Production,1.74,730.8
9,Argentina,"Almonds, with shell",1990,451,tonnes,Production,1.74,784.74
9,Argentina,"Almonds, with shell",1991,430,tonnes,Production,1.74,748.2
9,Argentina,"Almonds, with shell",1992,440,tonnes,Production,1.74,765.6
9,Argentina,"Almonds, with shell",1993,450,tonnes,Production,1.74,783
9,Argentina,"Almonds, with shell",1994,453,tonnes,Production,1.74,788.22
9,Argentina,"Almonds, with shell",1995,456,tonnes,Production,1.74,793.44
9,Argentina,"Almonds, with shell",1996,460,tonnes,Production,1.74,800.4
9,Argentina,"Almonds, with shell",1997,463,tonnes,Production,1.74,805.62
9,Argentina,"Almonds, with shell",1998,466,tonnes,Production,1.74,810.84
9,Argentina,"Almonds, with shell",1999,470,tonnes,Production,1.74,817.8
9,Argentina,"Almonds, with shell",2000,473,tonnes,Production,1.74,823.02
9,Argentina,"Almonds, with shell",2001,476,tonnes,Production,1.74,828.24
9,Argentina,"Almonds, with shell",2002,480,tonnes,Production,1.74,835.2
9,Argentina,"Almonds, with shell",2003,482,tonnes,Production,1.74,838.68
9,Argentina,"Almonds, with shell",2004,486,tonnes,Production,1.74,845.64
9,Argentina,"Almonds, with shell",2005,489,tonnes,Production,1.74,850.86
9,Argentina,"Almonds, with shell",2006,490,tonnes,Production,1.74,852.6
9,Argentina,"Almonds, with shell",2007,500,tonnes,Production,1.74,870
9,Argentina,"Almonds, with shell",2008,538,tonnes,Production,1.74,936.12
9,Argentina,"Almonds, with shell",2009,577,tonnes,Production,1.74,1003.98
9,Argentina,"Almonds, with shell",2010,620,tonnes,Production,1.74,1078.8
9,Argentina,"Almonds, with shell",2011,620,tonnes,Production,1.74,1078.8
9,Argentina,"Almonds, with shell",2012,650,tonnes,Production,1.74,1131
9,Argentina,"Almonds, with shell",2013,669,tonnes,Production,1.74,1164.06
9,Argentina,"Almonds, with shell",2014,689,tonnes,Production,1.74,1198.86
