Year,Nation,Production Quantity,Unit,Item
1961,Argentina,149000,tonnes,"Rice, paddy"
1962,Argentina,182300,tonnes,"Rice, paddy"
1963,Argentina,178200,tonnes,"Rice, paddy"
1964,Argentina,190000,tonnes,"Rice, paddy"
1965,Argentina,267600,tonnes,"Rice, paddy"
1966,Argentina,165300,tonnes,"Rice, paddy"
1967,Argentina,217000,tonnes,"Rice, paddy"
1968,Argentina,282900,tonnes,"Rice, paddy"
1969,Argentina,345000,tonnes,"Rice, paddy"
1970,Argentina,407000,tonnes,"Rice, paddy"
1971,Argentina,288000,tonnes,"Rice, paddy"
1972,Argentina,294000,tonnes,"Rice, paddy"
1973,Argentina,260000,tonnes,"Rice, paddy"
1974,Argentina,316000,tonnes,"Rice, paddy"
1975,Argentina,351000,tonnes,"Rice, paddy"
1976,Argentina,309000,tonnes,"Rice, paddy"
1977,Argentina,320000,tonnes,"Rice, paddy"
1978,Argentina,310000,tonnes,"Rice, paddy"
1979,Argentina,312000,tonnes,"Rice, paddy"
1980,Argentina,266000,tonnes,"Rice, paddy"
1981,Argentina,286300,tonnes,"Rice, paddy"
1982,Argentina,437200,tonnes,"Rice, paddy"
1983,Argentina,337100,tonnes,"Rice, paddy"
1984,Argentina,480400,tonnes,"Rice, paddy"
1985,Argentina,400000,tonnes,"Rice, paddy"
1986,Argentina,438600,tonnes,"Rice, paddy"
1987,Argentina,371000,tonnes,"Rice, paddy"
1988,Argentina,383400,tonnes,"Rice, paddy"
1989,Argentina,490000,tonnes,"Rice, paddy"
1990,Argentina,428100,tonnes,"Rice, paddy"
1991,Argentina,347600,tonnes,"Rice, paddy"
1992,Argentina,732700,tonnes,"Rice, paddy"
1993,Argentina,608300,tonnes,"Rice, paddy"
1994,Argentina,607600,tonnes,"Rice, paddy"
1995,Argentina,926200,tonnes,"Rice, paddy"
1996,Argentina,986000,tonnes,"Rice, paddy"
1997,Argentina,1205140,tonnes,"Rice, paddy"
1998,Argentina,1011135,tonnes,"Rice, paddy"
1999,Argentina,1658200,tonnes,"Rice, paddy"
2000,Argentina,903630,tonnes,"Rice, paddy"
2001,Argentina,873183,tonnes,"Rice, paddy"
2002,Argentina,709295,tonnes,"Rice, paddy"
2003,Argentina,717630,tonnes,"Rice, paddy"
