Year,Nation,Production Quantity,Unit,Item
1961,Argentina,7270,tonnes,Castor oil seed
1962,Argentina,6100,tonnes,Castor oil seed
1963,Argentina,6110,tonnes,Castor oil seed
1964,Argentina,4880,tonnes,Castor oil seed
1965,Argentina,4430,tonnes,Castor oil seed
1966,Argentina,3700,tonnes,Castor oil seed
1967,Argentina,4200,tonnes,Castor oil seed
1968,Argentina,4180,tonnes,Castor oil seed
1969,Argentina,9500,tonnes,Castor oil seed
1970,Argentina,4070,tonnes,Castor oil seed
1971,Argentina,2648,tonnes,Castor oil seed
1972,Argentina,1050,tonnes,Castor oil seed
1973,Argentina,695,tonnes,Castor oil seed
1974,Argentina,640,tonnes,Castor oil seed
1975,Argentina,1070,tonnes,Castor oil seed
1976,Argentina,290,tonnes,Castor oil seed
1977,Argentina,9,tonnes,Castor oil seed
1978,Argentina,10,tonnes,Castor oil seed
1979,Argentina,1,tonnes,Castor oil seed
1980,Argentina,0,tonnes,Castor oil seed
1990,Argentina,0,tonnes,Castor oil seed
1991,Argentina,0,tonnes,Castor oil seed
1992,Argentina,0,tonnes,Castor oil seed
1993,Argentina,,tonnes,Castor oil seed
1994,Argentina,,tonnes,Castor oil seed
1995,Argentina,,tonnes,Castor oil seed
1996,Argentina,,tonnes,Castor oil seed
1997,Argentina,,tonnes,Castor oil seed
1998,Argentina,,tonnes,Castor oil seed
1999,Argentina,,tonnes,Castor oil seed
2000,Argentina,,tonnes,Castor oil seed
2001,Argentina,,tonnes,Castor oil seed
2002,Argentina,,tonnes,Castor oil seed
2003,Argentina,,tonnes,Castor oil seed
2004,Argentina,,tonnes,Castor oil seed
2005,Argentina,,tonnes,Castor oil seed
2006,Argentina,,tonnes,Castor oil seed
2007,Argentina,,tonnes,Castor oil seed
2008,Argentina,,tonnes,Castor oil seed
2009,Argentina,,tonnes,Castor oil seed
2010,Argentina,,tonnes,Castor oil seed
2011,Argentina,,tonnes,Castor oil seed
2012,Argentina,,tonnes,Castor oil seed
2013,Argentina,,tonnes,Castor oil seed
2014,Argentina,,tonnes,Castor oil seed
2015,Argentina,,tonnes,Castor oil seed
2016,Argentina,,tonnes,Castor oil seed
2017,Argentina,,tonnes,Castor oil seed
2018,Argentina,,tonnes,Castor oil seed
2019,Argentina,,tonnes,Castor oil seed
1961,Argentina,4068,tonnes,"Oil, olive, virgin"
1962,Argentina,7855,tonnes,"Oil, olive, virgin"
1963,Argentina,7423,tonnes,"Oil, olive, virgin"
1964,Argentina,10304,tonnes,"Oil, olive, virgin"
1965,Argentina,12032,tonnes,"Oil, olive, virgin"
1966,Argentina,10804,tonnes,"Oil, olive, virgin"
1967,Argentina,13125,tonnes,"Oil, olive, virgin"
1968,Argentina,12243,tonnes,"Oil, olive, virgin"
1969,Argentina,19595,tonnes,"Oil, olive, virgin"
1970,Argentina,9831,tonnes,"Oil, olive, virgin"
1971,Argentina,20733,tonnes,"Oil, olive, virgin"
1972,Argentina,8908,tonnes,"Oil, olive, virgin"
1973,Argentina,23782,tonnes,"Oil, olive, virgin"
1974,Argentina,19067,tonnes,"Oil, olive, virgin"
1975,Argentina,17124,tonnes,"Oil, olive, virgin"
1976,Argentina,13183,tonnes,"Oil, olive, virgin"
1977,Argentina,11737,tonnes,"Oil, olive, virgin"
1978,Argentina,15004,tonnes,"Oil, olive, virgin"
1979,Argentina,21870,tonnes,"Oil, olive, virgin"
1980,Argentina,12000,tonnes,"Oil, olive, virgin"
1981,Argentina,15000,tonnes,"Oil, olive, virgin"
1982,Argentina,13000,tonnes,"Oil, olive, virgin"
1983,Argentina,16000,tonnes,"Oil, olive, virgin"
1984,Argentina,11000,tonnes,"Oil, olive, virgin"
1985,Argentina,11457,tonnes,"Oil, olive, virgin"
1986,Argentina,11591,tonnes,"Oil, olive, virgin"
1987,Argentina,9000,tonnes,"Oil, olive, virgin"
1988,Argentina,13900,tonnes,"Oil, olive, virgin"
1989,Argentina,9000,tonnes,"Oil, olive, virgin"
1990,Argentina,8000,tonnes,"Oil, olive, virgin"
1991,Argentina,21309,tonnes,"Oil, olive, virgin"
1992,Argentina,9500,tonnes,"Oil, olive, virgin"
1993,Argentina,8000,tonnes,"Oil, olive, virgin"
1994,Argentina,9500,tonnes,"Oil, olive, virgin"
1995,Argentina,7500,tonnes,"Oil, olive, virgin"
1996,Argentina,4000,tonnes,"Oil, olive, virgin"
1997,Argentina,11500,tonnes,"Oil, olive, virgin"
1998,Argentina,8500,tonnes,"Oil, olive, virgin"
1999,Argentina,8000,tonnes,"Oil, olive, virgin"
2000,Argentina,10500,tonnes,"Oil, olive, virgin"
2001,Argentina,3000,tonnes,"Oil, olive, virgin"
2002,Argentina,10000,tonnes,"Oil, olive, virgin"
2003,Argentina,11000,tonnes,"Oil, olive, virgin"
2004,Argentina,19400,tonnes,"Oil, olive, virgin"
2005,Argentina,20000,tonnes,"Oil, olive, virgin"
2006,Argentina,20900,tonnes,"Oil, olive, virgin"
2007,Argentina,20000,tonnes,"Oil, olive, virgin"
2008,Argentina,25700,tonnes,"Oil, olive, virgin"
2009,Argentina,21000,tonnes,"Oil, olive, virgin"
2010,Argentina,18000,tonnes,"Oil, olive, virgin"
2011,Argentina,21600,tonnes,"Oil, olive, virgin"
2012,Argentina,29400,tonnes,"Oil, olive, virgin"
2013,Argentina,21300,tonnes,"Oil, olive, virgin"
2014,Argentina,28100,tonnes,"Oil, olive, virgin"
2015,Argentina,30000,tonnes,"Oil, olive, virgin"
2016,Argentina,24000,tonnes,"Oil, olive, virgin"
2017,Argentina,45000,tonnes,"Oil, olive, virgin"
2018,Argentina,27500,tonnes,"Oil, olive, virgin"
1961,Barbados,2807,tonnes,"Oil, coconut (copra)"
1962,Barbados,2264,tonnes,"Oil, coconut (copra)"
1963,Barbados,2458,tonnes,"Oil, coconut (copra)"
1964,Barbados,2238,tonnes,"Oil, coconut (copra)"
1965,Barbados,2044,tonnes,"Oil, coconut (copra)"
1966,Barbados,2223,tonnes,"Oil, coconut (copra)"
1967,Barbados,1570,tonnes,"Oil, coconut (copra)"
1968,Barbados,1375,tonnes,"Oil, coconut (copra)"
1969,Barbados,163,tonnes,"Oil, coconut (copra)"
1990,Barbados,0,tonnes,"Oil, coconut (copra)"
1991,Barbados,0,tonnes,"Oil, coconut (copra)"
1992,Barbados,0,tonnes,"Oil, coconut (copra)"
1993,Barbados,0,tonnes,"Oil, coconut (copra)"
1994,Barbados,0,tonnes,"Oil, coconut (copra)"
1995,Barbados,0,tonnes,"Oil, coconut (copra)"
1996,Barbados,0,tonnes,"Oil, coconut (copra)"
1997,Barbados,0,tonnes,"Oil, coconut (copra)"
1998,Barbados,0,tonnes,"Oil, coconut (copra)"
1999,Barbados,0,tonnes,"Oil, coconut (copra)"
2000,Barbados,0,tonnes,"Oil, coconut (copra)"
2001,Barbados,0,tonnes,"Oil, coconut (copra)"
2002,Barbados,0,tonnes,"Oil, coconut (copra)"
2003,Barbados,0,tonnes,"Oil, coconut (copra)"
2004,Barbados,0,tonnes,"Oil, coconut (copra)"
2005,Barbados,0,tonnes,"Oil, coconut (copra)"
2006,Barbados,0,tonnes,"Oil, coconut (copra)"
2007,Barbados,0,tonnes,"Oil, coconut (copra)"
2008,Barbados,0,tonnes,"Oil, coconut (copra)"
2009,Barbados,0,tonnes,"Oil, coconut (copra)"
2010,Barbados,0,tonnes,"Oil, coconut (copra)"
2011,Barbados,0,tonnes,"Oil, coconut (copra)"
2012,Barbados,0,tonnes,"Oil, coconut (copra)"
2013,Barbados,0,tonnes,"Oil, coconut (copra)"
2014,Barbados,0,tonnes,"Oil, coconut (copra)"
2015,Barbados,0,tonnes,"Oil, coconut (copra)"
2016,Barbados,0,tonnes,"Oil, coconut (copra)"
2017,Barbados,0,tonnes,"Oil, coconut (copra)"
2018,Barbados,0,tonnes,"Oil, coconut (copra)"
1961,Brazil,207801,tonnes,Castor oil seed
1962,Brazil,224961,tonnes,Castor oil seed
1963,Brazil,239860,tonnes,Castor oil seed
1964,Brazil,310270,tonnes,Castor oil seed
1965,Brazil,355026,tonnes,Castor oil seed
1966,Brazil,329324,tonnes,Castor oil seed
1967,Brazil,355159,tonnes,Castor oil seed
1968,Brazil,370334,tonnes,Castor oil seed
1969,Brazil,378398,tonnes,Castor oil seed
1970,Brazil,348546,tonnes,Castor oil seed
1971,Brazil,362000,tonnes,Castor oil seed
1972,Brazil,385058,tonnes,Castor oil seed
1973,Brazil,448703,tonnes,Castor oil seed
1974,Brazil,573123,tonnes,Castor oil seed
1975,Brazil,353904,tonnes,Castor oil seed
1976,Brazil,216868,tonnes,Castor oil seed
1977,Brazil,224110,tonnes,Castor oil seed
1978,Brazil,317083,tonnes,Castor oil seed
1979,Brazil,325149,tonnes,Castor oil seed
