Year,Nation,ef_frst_forestmethane_mangroves_gg_ch4_ha,Unit,Item
2011,Argentina,1.4824,kilotonnes,Humid tropical forest
2012,Argentina,2.6322,kilotonnes,Humid tropical forest
2013,Argentina,13.3752,kilotonnes,Humid tropical forest
2014,Argentina,0.7796,kilotonnes,Humid tropical forest
2015,Argentina,0.8461,kilotonnes,Humid tropical forest
2016,Argentina,1.5051,kilotonnes,Humid tropical forest
2017,Argentina,10.6471,kilotonnes,Humid tropical forest
2018,Argentina,1.4742,kilotonnes,Humid tropical forest
2019,Argentina,1.2559,kilotonnes,Humid tropical forest
2011,Bahamas,0.8484,kilotonnes,Humid tropical forest
2012,Bahamas,0.1414,kilotonnes,Humid tropical forest
2013,Bahamas,1.0854,kilotonnes,Humid tropical forest
2014,Bahamas,0.1767,kilotonnes,Humid tropical forest
2015,Bahamas,0.1705,kilotonnes,Humid tropical forest
2016,Bahamas,0.5281,kilotonnes,Humid tropical forest
2017,Bahamas,1.2913,kilotonnes,Humid tropical forest
2018,Bahamas,0.1248,kilotonnes,Humid tropical forest
2019,Bahamas,0.2745,kilotonnes,Humid tropical forest
2011,Barbados,0,kilotonnes,Humid tropical forest
2012,Barbados,0,kilotonnes,Humid tropical forest
2013,Barbados,0,kilotonnes,Humid tropical forest
2014,Barbados,0,kilotonnes,Humid tropical forest
2015,Barbados,0,kilotonnes,Humid tropical forest
2016,Barbados,0,kilotonnes,Humid tropical forest
2017,Barbados,0,kilotonnes,Humid tropical forest
2018,Barbados,0,kilotonnes,Humid tropical forest
2019,Barbados,0,kilotonnes,Humid tropical forest
2011,Belize,6.0886,kilotonnes,Humid tropical forest
2012,Belize,0.1744,kilotonnes,Humid tropical forest
2013,Belize,1.954,kilotonnes,Humid tropical forest
2014,Belize,0.2347,kilotonnes,Humid tropical forest
2015,Belize,0.8514,kilotonnes,Humid tropical forest
2016,Belize,0.7123,kilotonnes,Humid tropical forest
2017,Belize,1.5242,kilotonnes,Humid tropical forest
2018,Belize,0.4111,kilotonnes,Humid tropical forest
2019,Belize,1.2812,kilotonnes,Humid tropical forest
2011,Bolivia (Plurinational State of),70.754,kilotonnes,Humid tropical forest
2012,Bolivia (Plurinational State of),50.2615,kilotonnes,Humid tropical forest
2013,Bolivia (Plurinational State of),21.3459,kilotonnes,Humid tropical forest
2014,Bolivia (Plurinational State of),13.5233,kilotonnes,Humid tropical forest
2015,Bolivia (Plurinational State of),44.1294,kilotonnes,Humid tropical forest
2016,Bolivia (Plurinational State of),58.7977,kilotonnes,Humid tropical forest
2017,Bolivia (Plurinational State of),29.4117,kilotonnes,Humid tropical forest
2018,Bolivia (Plurinational State of),34.8443,kilotonnes,Humid tropical forest
2019,Bolivia (Plurinational State of),173.8063,kilotonnes,Humid tropical forest
2011,Brazil,65.7562,kilotonnes,Humid tropical forest
2012,Brazil,140.456,kilotonnes,Humid tropical forest
2013,Brazil,41.4679,kilotonnes,Humid tropical forest
2014,Brazil,91.7285,kilotonnes,Humid tropical forest
2015,Brazil,180.2627,kilotonnes,Humid tropical forest
2016,Brazil,150.8728,kilotonnes,Humid tropical forest
2017,Brazil,230.8906,kilotonnes,Humid tropical forest
2018,Brazil,67.9026,kilotonnes,Humid tropical forest
2019,Brazil,189.0112,kilotonnes,Humid tropical forest
2011,Chile,0,kilotonnes,Humid tropical forest
2012,Chile,0,kilotonnes,Humid tropical forest
2013,Chile,0,kilotonnes,Humid tropical forest
2014,Chile,0,kilotonnes,Humid tropical forest
2015,Chile,0,kilotonnes,Humid tropical forest
2016,Chile,0,kilotonnes,Humid tropical forest
2017,Chile,0,kilotonnes,Humid tropical forest
2018,Chile,0,kilotonnes,Humid tropical forest
2019,Chile,0,kilotonnes,Humid tropical forest
2011,Colombia,1.649,kilotonnes,Humid tropical forest
2012,Colombia,1.3545,kilotonnes,Humid tropical forest
2013,Colombia,2.2402,kilotonnes,Humid tropical forest
2014,Colombia,5.0468,kilotonnes,Humid tropical forest
2015,Colombia,5.1698,kilotonnes,Humid tropical forest
2016,Colombia,5.6216,kilotonnes,Humid tropical forest
2017,Colombia,3.3416,kilotonnes,Humid tropical forest
2018,Colombia,16.6,kilotonnes,Humid tropical forest
2019,Colombia,3.6366,kilotonnes,Humid tropical forest
2011,Costa Rica,0.0083,kilotonnes,Humid tropical forest
2012,Costa Rica,0.2656,kilotonnes,Humid tropical forest
2013,Costa Rica,0.5831,kilotonnes,Humid tropical forest
2014,Costa Rica,0.2137,kilotonnes,Humid tropical forest
2015,Costa Rica,0.8466,kilotonnes,Humid tropical forest
2016,Costa Rica,0.803,kilotonnes,Humid tropical forest
2017,Costa Rica,0.2324,kilotonnes,Humid tropical forest
2018,Costa Rica,0.22,kilotonnes,Humid tropical forest
2019,Costa Rica,0.6868,kilotonnes,Humid tropical forest
2011,Dominican Republic,0.0042,kilotonnes,Humid tropical forest
2012,Dominican Republic,0.0104,kilotonnes,Humid tropical forest
2013,Dominican Republic,0.0083,kilotonnes,Humid tropical forest
2014,Dominican Republic,0.0021,kilotonnes,Humid tropical forest
2015,Dominican Republic,0.1973,kilotonnes,Humid tropical forest
2016,Dominican Republic,0,kilotonnes,Humid tropical forest
2017,Dominican Republic,0.0166,kilotonnes,Humid tropical forest
2018,Dominican Republic,0,kilotonnes,Humid tropical forest
2019,Dominican Republic,0.0312,kilotonnes,Humid tropical forest
2011,Ecuador,0.0249,kilotonnes,Humid tropical forest
2012,Ecuador,0.0249,kilotonnes,Humid tropical forest
2013,Ecuador,0.0062,kilotonnes,Humid tropical forest
2014,Ecuador,0.0104,kilotonnes,Humid tropical forest
2015,Ecuador,0.0187,kilotonnes,Humid tropical forest
2016,Ecuador,0.0311,kilotonnes,Humid tropical forest
2017,Ecuador,0,kilotonnes,Humid tropical forest
2018,Ecuador,0.0124,kilotonnes,Humid tropical forest
2019,Ecuador,0.0332,kilotonnes,Humid tropical forest
2011,El Salvador,0,kilotonnes,Humid tropical forest
2012,El Salvador,0,kilotonnes,Humid tropical forest
2013,El Salvador,0.2512,kilotonnes,Humid tropical forest
2014,El Salvador,0.0021,kilotonnes,Humid tropical forest
2015,El Salvador,0.191,kilotonnes,Humid tropical forest
2016,El Salvador,0.0021,kilotonnes,Humid tropical forest
2017,El Salvador,0.22,kilotonnes,Humid tropical forest
2018,El Salvador,0.0747,kilotonnes,Humid tropical forest
2019,El Salvador,0.0747,kilotonnes,Humid tropical forest
2011,Guatemala,1.4099,kilotonnes,Humid tropical forest
2012,Guatemala,1.0382,kilotonnes,Humid tropical forest
2013,Guatemala,3.4115,kilotonnes,Humid tropical forest
2014,Guatemala,0.3031,kilotonnes,Humid tropical forest
2015,Guatemala,2.4169,kilotonnes,Humid tropical forest
2016,Guatemala,3.5881,kilotonnes,Humid tropical forest
2017,Guatemala,2.7173,kilotonnes,Humid tropical forest
2018,Guatemala,0.3862,kilotonnes,Humid tropical forest
2019,Guatemala,2.1824,kilotonnes,Humid tropical forest
2011,Guyana,0.0622,kilotonnes,Humid tropical forest
2012,Guyana,0.1079,kilotonnes,Humid tropical forest
2013,Guyana,0.1162,kilotonnes,Humid tropical forest
2014,Guyana,0.1452,kilotonnes,Humid tropical forest
2015,Guyana,0.5062,kilotonnes,Humid tropical forest
2016,Guyana,0.726,kilotonnes,Humid tropical forest
2017,Guyana,0.0394,kilotonnes,Humid tropical forest
