Year,Nation,Production Quantity,Unit,Item
1961,Argentina,800000,tonnes,Barley
1962,Argentina,345000,tonnes,Barley
1963,Argentina,1020000,tonnes,Barley
1964,Argentina,826000,tonnes,Barley
1965,Argentina,404000,tonnes,Barley
1966,Argentina,438000,tonnes,Barley
1967,Argentina,588000,tonnes,Barley
1968,Argentina,556000,tonnes,Barley
1969,Argentina,570000,tonnes,Barley
1970,Argentina,367000,tonnes,Barley
1971,Argentina,553000,tonnes,Barley
1972,Argentina,880000,tonnes,Barley
1973,Argentina,732000,tonnes,Barley
1974,Argentina,430000,tonnes,Barley
1975,Argentina,522700,tonnes,Barley
1976,Argentina,760000,tonnes,Barley
1977,Argentina,353000,tonnes,Barley
1978,Argentina,554000,tonnes,Barley
1979,Argentina,339000,tonnes,Barley
1980,Argentina,217000,tonnes,Barley
1981,Argentina,131500,tonnes,Barley
1982,Argentina,211400,tonnes,Barley
1983,Argentina,166000,tonnes,Barley
1984,Argentina,224000,tonnes,Barley
1985,Argentina,118000,tonnes,Barley
1986,Argentina,139900,tonnes,Barley
1987,Argentina,281700,tonnes,Barley
1988,Argentina,328800,tonnes,Barley
1989,Argentina,364770,tonnes,Barley
1990,Argentina,326600,tonnes,Barley
1991,Argentina,573360,tonnes,Barley
1992,Argentina,583200,tonnes,Barley
1993,Argentina,459439,tonnes,Barley
1994,Argentina,344692,tonnes,Barley
1995,Argentina,385848,tonnes,Barley
1996,Argentina,536443,tonnes,Barley
1997,Argentina,925790,tonnes,Barley
1998,Argentina,538408,tonnes,Barley
1999,Argentina,419556,tonnes,Barley
2000,Argentina,722490,tonnes,Barley
2001,Argentina,530045,tonnes,Barley
2002,Argentina,549830,tonnes,Barley
2003,Argentina,1005460,tonnes,Barley
2004,Argentina,894610,tonnes,Barley
2005,Argentina,799423,tonnes,Barley
2006,Argentina,1268465,tonnes,Barley
2007,Argentina,1474510,tonnes,Barley
2008,Argentina,1681880,tonnes,Barley
2009,Argentina,1355801,tonnes,Barley
2010,Argentina,2964075,tonnes,Barley
2011,Argentina,4085770,tonnes,Barley
2012,Argentina,5158180,tonnes,Barley
2013,Argentina,4705160,tonnes,Barley
2014,Argentina,2901492,tonnes,Barley
2015,Argentina,2901495,tonnes,Barley
2016,Argentina,4938723,tonnes,Barley
2017,Argentina,3741158,tonnes,Barley
2018,Argentina,5061069,tonnes,Barley
2019,Argentina,5117247,tonnes,Barley
1961,Argentina,243596,tonnes,Beer of barley
1962,Argentina,198669,tonnes,Beer of barley
1963,Argentina,123921,tonnes,Beer of barley
1964,Argentina,172228,tonnes,Beer of barley
1965,Argentina,249181,tonnes,Beer of barley
1966,Argentina,225601,tonnes,Beer of barley
1967,Argentina,249550,tonnes,Beer of barley
1968,Argentina,301191,tonnes,Beer of barley
1969,Argentina,317213,tonnes,Beer of barley
1970,Argentina,356489,tonnes,Beer of barley
1971,Argentina,297029,tonnes,Beer of barley
1972,Argentina,297081,tonnes,Beer of barley
1973,Argentina,303346,tonnes,Beer of barley
1974,Argentina,451568,tonnes,Beer of barley
1975,Argentina,395461,tonnes,Beer of barley
1976,Argentina,283943,tonnes,Beer of barley
1977,Argentina,270969,tonnes,Beer of barley
1978,Argentina,204782,tonnes,Beer of barley
1979,Argentina,214794,tonnes,Beer of barley
1980,Argentina,232900,tonnes,Beer of barley
1981,Argentina,206100,tonnes,Beer of barley
1982,Argentina,223700,tonnes,Beer of barley
1983,Argentina,312000,tonnes,Beer of barley
1984,Argentina,397000,tonnes,Beer of barley
1985,Argentina,396600,tonnes,Beer of barley
1986,Argentina,544400,tonnes,Beer of barley
1987,Argentina,584700,tonnes,Beer of barley
1988,Argentina,523400,tonnes,Beer of barley
1989,Argentina,610400,tonnes,Beer of barley
1990,Argentina,617000,tonnes,Beer of barley
1991,Argentina,797800,tonnes,Beer of barley
1992,Argentina,951800,tonnes,Beer of barley
1993,Argentina,1030500,tonnes,Beer of barley
1994,Argentina,1127200,tonnes,Beer of barley
1995,Argentina,1091300,tonnes,Beer of barley
1996,Argentina,1161500,tonnes,Beer of barley
1997,Argentina,1268700,tonnes,Beer of barley
1998,Argentina,1239500,tonnes,Beer of barley
