Year,Nation,Production Quantity,Unit,Item
1961,Argentina,4850000,tonnes,Maize
1962,Argentina,5220000,tonnes,Maize
1963,Argentina,4360000,tonnes,Maize
1964,Argentina,5350000,tonnes,Maize
1965,Argentina,5140000,tonnes,Maize
1966,Argentina,7040000,tonnes,Maize
1967,Argentina,8510000,tonnes,Maize
1968,Argentina,6560000,tonnes,Maize
1969,Argentina,6860000,tonnes,Maize
1970,Argentina,9360000,tonnes,Maize
1971,Argentina,9930000,tonnes,Maize
1972,Argentina,5860000,tonnes,Maize
1973,Argentina,9700000,tonnes,Maize
1974,Argentina,9900000,tonnes,Maize
1975,Argentina,7700000,tonnes,Maize
1976,Argentina,5855000,tonnes,Maize
1977,Argentina,8300000,tonnes,Maize
1978,Argentina,9700000,tonnes,Maize
1979,Argentina,8700000,tonnes,Maize
1980,Argentina,6400000,tonnes,Maize
1981,Argentina,12900000,tonnes,Maize
1982,Argentina,9600000,tonnes,Maize
1983,Argentina,9000000,tonnes,Maize
1984,Argentina,9500000,tonnes,Maize
1985,Argentina,11900000,tonnes,Maize
1986,Argentina,12100000,tonnes,Maize
1987,Argentina,9250000,tonnes,Maize
1988,Argentina,9200000,tonnes,Maize
1989,Argentina,4900000,tonnes,Maize
1990,Argentina,5400000,tonnes,Maize
1991,Argentina,7684800,tonnes,Maize
1992,Argentina,10700500,tonnes,Maize
1993,Argentina,10901000,tonnes,Maize
1994,Argentina,10360000,tonnes,Maize
1995,Argentina,11404041,tonnes,Maize
1996,Argentina,10518290,tonnes,Maize
1997,Argentina,15536820,tonnes,Maize
1998,Argentina,19360656,tonnes,Maize
1999,Argentina,13504100,tonnes,Maize
2000,Argentina,16780650,tonnes,Maize
2001,Argentina,15359397,tonnes,Maize
2002,Argentina,14712079,tonnes,Maize
2003,Argentina,15044529,tonnes,Maize
2004,Argentina,14950825,tonnes,Maize
2005,Argentina,20482572,tonnes,Maize
2006,Argentina,14445538,tonnes,Maize
2007,Argentina,21755364,tonnes,Maize
2008,Argentina,22016926,tonnes,Maize
2009,Argentina,13121380,tonnes,Maize
2010,Argentina,22663095,tonnes,Maize
2011,Argentina,23799830,tonnes,Maize
2012,Argentina,21196637,tonnes,Maize
2013,Argentina,32119211,tonnes,Maize
2014,Argentina,33087165,tonnes,Maize
2015,Argentina,33817744,tonnes,Maize
2016,Argentina,39792854,tonnes,Maize
2017,Argentina,49475895,tonnes,Maize
2018,Argentina,43462323,tonnes,Maize
2019,Argentina,56860704,tonnes,Maize
1961,Argentina,2745,tonnes,"Oil, maize"
1962,Argentina,2523,tonnes,"Oil, maize"
1963,Argentina,2382,tonnes,"Oil, maize"
1964,Argentina,3061,tonnes,"Oil, maize"
1965,Argentina,3208,tonnes,"Oil, maize"
1966,Argentina,3214,tonnes,"Oil, maize"
1967,Argentina,3164,tonnes,"Oil, maize"
1968,Argentina,3154,tonnes,"Oil, maize"
1969,Argentina,3720,tonnes,"Oil, maize"
1970,Argentina,4097,tonnes,"Oil, maize"
1971,Argentina,4604,tonnes,"Oil, maize"
1972,Argentina,4716,tonnes,"Oil, maize"
1973,Argentina,5022,tonnes,"Oil, maize"
1974,Argentina,3762,tonnes,"Oil, maize"
