Area.Code..FAO.,Nation,Item,Year,Value,Unit,Element,EmissionFactorTONco2e,ef_agactivity_oil_bearing_gg_ch4_ha
9,Argentina,"Oil, olive, virgin",1961,4068,tonnes,Production,0.56,2278.08
9,Argentina,"Oil, olive, virgin",1962,7855,tonnes,Production,0.56,4398.8
9,Argentina,"Oil, olive, virgin",1963,7423,tonnes,Production,0.56,4156.88
9,Argentina,"Oil, olive, virgin",1964,10304,tonnes,Production,0.56,5770.24
9,Argentina,"Oil, olive, virgin",1965,12032,tonnes,Production,0.56,6737.92
9,Argentina,"Oil, olive, virgin",1966,10804,tonnes,Production,0.56,6050.24
9,Argentina,"Oil, olive, virgin",1967,13125,tonnes,Production,0.56,7350
9,Argentina,"Oil, olive, virgin",1968,12243,tonnes,Production,0.56,6856.08
9,Argentina,"Oil, olive, virgin",1969,19595,tonnes,Production,0.56,10973.2
9,Argentina,"Oil, olive, virgin",1970,9831,tonnes,Production,0.56,5505.36
9,Argentina,"Oil, olive, virgin",1971,20733,tonnes,Production,0.56,11610.48
9,Argentina,"Oil, olive, virgin",1972,8908,tonnes,Production,0.56,4988.48
9,Argentina,"Oil, olive, virgin",1973,23782,tonnes,Production,0.56,13317.92
9,Argentina,"Oil, olive, virgin",1974,19067,tonnes,Production,0.56,10677.52
9,Argentina,"Oil, olive, virgin",1975,17124,tonnes,Production,0.56,9589.44
9,Argentina,"Oil, olive, virgin",1976,13183,tonnes,Production,0.56,7382.48
9,Argentina,"Oil, olive, virgin",1977,11737,tonnes,Production,0.56,6572.72
9,Argentina,"Oil, olive, virgin",1978,15004,tonnes,Production,0.56,8402.24
9,Argentina,"Oil, olive, virgin",1979,21870,tonnes,Production,0.56,12247.2
9,Argentina,"Oil, olive, virgin",1980,12000,tonnes,Production,0.56,6720
9,Argentina,"Oil, olive, virgin",1981,15000,tonnes,Production,0.56,8400
9,Argentina,"Oil, olive, virgin",1982,13000,tonnes,Production,0.56,7280
9,Argentina,"Oil, olive, virgin",1983,16000,tonnes,Production,0.56,8960
9,Argentina,"Oil, olive, virgin",1984,11000,tonnes,Production,0.56,6160
9,Argentina,"Oil, olive, virgin",1985,11457,tonnes,Production,0.56,6415.92
