Nation,Year,Unit,pop_lvst_initial_chickens
peru,2014,1000 Head,143775
peru,2015,1000 Head,151001
peru,2016,1000 Head,158263
peru,2017,1000 Head,156638
peru,2018,1000 Head,160659
peru,2019,1000 Head,168173
suriname,2011,1000 Head,5694
suriname,2012,1000 Head,6333
suriname,2013,1000 Head,4955
suriname,2014,1000 Head,5098
suriname,2015,1000 Head,5019
suriname,2016,1000 Head,4966
suriname,2017,1000 Head,6023
suriname,2018,1000 Head,6362
suriname,2019,1000 Head,6347
trinidad_and_tobago,2011,1000 Head,34000
trinidad_and_tobago,2012,1000 Head,34500
trinidad_and_tobago,2013,1000 Head,35000
trinidad_and_tobago,2014,1000 Head,35000
trinidad_and_tobago,2015,1000 Head,35394
trinidad_and_tobago,2016,1000 Head,36010
trinidad_and_tobago,2017,1000 Head,37762
trinidad_and_tobago,2018,1000 Head,37717
trinidad_and_tobago,2019,1000 Head,37163
uruguay,2011,1000 Head,17500
uruguay,2012,1000 Head,18000
uruguay,2013,1000 Head,20000
uruguay,2014,1000 Head,19000
uruguay,2015,1000 Head,36997
uruguay,2016,1000 Head,35615
uruguay,2017,1000 Head,32788
uruguay,2018,1000 Head,31678
uruguay,2019,1000 Head,43894
venezuela,2011,1000 Head,118000
venezuela,2012,1000 Head,120000
venezuela,2013,1000 Head,122000
venezuela,2014,1000 Head,123000
venezuela,2015,1000 Head,123885
venezuela,2016,1000 Head,125830
venezuela,2017,1000 Head,128866
venezuela,2018,1000 Head,128732
venezuela,2019,1000 Head,129827
