Area Code (FAO),Nation,Item,Year Code,Year,yf_agrc_bevs_and_spices_tonne_ha,Unit,Element
19,Bolivia (Plurinational State of),"Cocoa, beans",1988,1988,6536,hg/ha,Yield
19,Bolivia (Plurinational State of),"Cocoa, beans",1989,1989,6571,hg/ha,Yield
19,Bolivia (Plurinational State of),"Cocoa, beans",1990,1990,6511,hg/ha,Yield
19,Bolivia (Plurinational State of),"Cocoa, beans",1991,1991,6599,hg/ha,Yield
19,Bolivia (Plurinational State of),"Cocoa, beans",1992,1992,6387,hg/ha,Yield
19,Bolivia (Plurinational State of),"Cocoa, beans",1993,1993,6625,hg/ha,Yield
19,Bolivia (Plurinational State of),"Cocoa, beans",1994,1994,6784,hg/ha,Yield
19,Bolivia (Plurinational State of),"Cocoa, beans",1995,1995,6748,hg/ha,Yield
19,Bolivia (Plurinational State of),"Cocoa, beans",1996,1996,6713,hg/ha,Yield
19,Bolivia (Plurinational State of),"Cocoa, beans",1997,1997,6897,hg/ha,Yield
19,Bolivia (Plurinational State of),"Cocoa, beans",1998,1998,6897,hg/ha,Yield
19,Bolivia (Plurinational State of),"Cocoa, beans",1999,1999,7216,hg/ha,Yield
19,Bolivia (Plurinational State of),"Cocoa, beans",2000,2000,7350,hg/ha,Yield
19,Bolivia (Plurinational State of),"Cocoa, beans",2001,2001,7372,hg/ha,Yield
19,Bolivia (Plurinational State of),"Cocoa, beans",2002,2002,7374,hg/ha,Yield
19,Bolivia (Plurinational State of),"Cocoa, beans",2003,2003,8049,hg/ha,Yield
19,Bolivia (Plurinational State of),"Cocoa, beans",2004,2004,8173,hg/ha,Yield
19,Bolivia (Plurinational State of),"Cocoa, beans",2005,2005,8251,hg/ha,Yield
19,Bolivia (Plurinational State of),"Cocoa, beans",2006,2006,8378,hg/ha,Yield
19,Bolivia (Plurinational State of),"Cocoa, beans",2007,2007,8594,hg/ha,Yield
19,Bolivia (Plurinational State of),"Cocoa, beans",2008,2008,8665,hg/ha,Yield
19,Bolivia (Plurinational State of),"Cocoa, beans",2009,2009,5324,hg/ha,Yield
19,Bolivia (Plurinational State of),"Cocoa, beans",2010,2010,5341,hg/ha,Yield
19,Bolivia (Plurinational State of),"Cocoa, beans",2011,2011,5394,hg/ha,Yield
19,Bolivia (Plurinational State of),"Cocoa, beans",2012,2012,4529,hg/ha,Yield
19,Bolivia (Plurinational State of),"Cocoa, beans",2013,2013,5403,hg/ha,Yield
19,Bolivia (Plurinational State of),"Cocoa, beans",2014,2014,5855,hg/ha,Yield
19,Bolivia (Plurinational State of),"Cocoa, beans",2015,2015,5906,hg/ha,Yield
19,Bolivia (Plurinational State of),"Cocoa, beans",2016,2016,5969,hg/ha,Yield
19,Bolivia (Plurinational State of),"Cocoa, beans",2017,2017,5336,hg/ha,Yield
19,Bolivia (Plurinational State of),"Cocoa, beans",2018,2018,5653,hg/ha,Yield
19,Bolivia (Plurinational State of),"Cocoa, beans",2019,2019,5618,hg/ha,Yield
21,Brazil,"Cocoa, beans",1961,1961,3287,hg/ha,Yield
21,Brazil,"Cocoa, beans",1962,1962,3020,hg/ha,Yield
21,Brazil,"Cocoa, beans",1963,1963,3055,hg/ha,Yield
21,Brazil,"Cocoa, beans",1964,1964,3155,hg/ha,Yield
21,Brazil,"Cocoa, beans",1965,1965,3334,hg/ha,Yield
21,Brazil,"Cocoa, beans",1966,1966,3793,hg/ha,Yield
21,Brazil,"Cocoa, beans",1967,1967,4115,hg/ha,Yield
21,Brazil,"Cocoa, beans",1968,1968,3451,hg/ha,Yield
21,Brazil,"Cocoa, beans",1969,1969,4825,hg/ha,Yield
21,Brazil,"Cocoa, beans",1970,1970,4439,hg/ha,Yield
21,Brazil,"Cocoa, beans",1971,1971,4885,hg/ha,Yield
21,Brazil,"Cocoa, beans",1972,1972,5148,hg/ha,Yield
21,Brazil,"Cocoa, beans",1973,1973,4708,hg/ha,Yield
21,Brazil,"Cocoa, beans",1974,1974,4766,hg/ha,Yield
21,Brazil,"Cocoa, beans",1975,1975,6251,hg/ha,Yield
21,Brazil,"Cocoa, beans",1976,1976,5691,hg/ha,Yield
21,Brazil,"Cocoa, beans",1977,1977,6051,hg/ha,Yield
21,Brazil,"Cocoa, beans",1978,1978,6409,hg/ha,Yield
21,Brazil,"Cocoa, beans",1979,1979,7415,hg/ha,Yield
21,Brazil,"Cocoa, beans",1980,1980,6614,hg/ha,Yield
21,Brazil,"Cocoa, beans",1981,1981,6647,hg/ha,Yield
21,Brazil,"Cocoa, beans",1982,1982,6585,hg/ha,Yield
21,Brazil,"Cocoa, beans",1983,1983,6437,hg/ha,Yield
21,Brazil,"Cocoa, beans",1984,1984,5627,hg/ha,Yield
21,Brazil,"Cocoa, beans",1985,1985,6637,hg/ha,Yield
21,Brazil,"Cocoa, beans",1986,1986,6998,hg/ha,Yield
21,Brazil,"Cocoa, beans",1987,1987,5069,hg/ha,Yield
21,Brazil,"Cocoa, beans",1988,1988,5613,hg/ha,Yield
21,Brazil,"Cocoa, beans",1989,1989,5946,hg/ha,Yield
21,Brazil,"Cocoa, beans",1990,1990,3854,hg/ha,Yield
21,Brazil,"Cocoa, beans",1991,1991,4806,hg/ha,Yield
21,Brazil,"Cocoa, beans",1992,1992,4491,hg/ha,Yield
21,Brazil,"Cocoa, beans",1993,1993,4643,hg/ha,Yield
21,Brazil,"Cocoa, beans",1994,1994,4732,hg/ha,Yield
21,Brazil,"Cocoa, beans",1995,1995,4017,hg/ha,Yield
21,Brazil,"Cocoa, beans",1996,1996,3879,hg/ha,Yield
21,Brazil,"Cocoa, beans",1997,1997,3884,hg/ha,Yield
21,Brazil,"Cocoa, beans",1998,1998,3956,hg/ha,Yield
21,Brazil,"Cocoa, beans",1999,1999,3010,hg/ha,Yield
21,Brazil,"Cocoa, beans",2000,2000,2788,hg/ha,Yield
21,Brazil,"Cocoa, beans",2001,2001,2789,hg/ha,Yield
21,Brazil,"Cocoa, beans",2002,2002,3002,hg/ha,Yield
21,Brazil,"Cocoa, beans",2003,2003,2877,hg/ha,Yield
21,Brazil,"Cocoa, beans",2004,2004,3068,hg/ha,Yield
21,Brazil,"Cocoa, beans",2005,2005,3336,hg/ha,Yield
21,Brazil,"Cocoa, beans",2006,2006,3280,hg/ha,Yield
21,Brazil,"Cocoa, beans",2007,2007,3206,hg/ha,Yield
