Year,Nation,Production Quantity,Unit,Item
1961,Argentina,120777,tonnes,Cotton lint
1962,Argentina,106040,tonnes,Cotton lint
1963,Argentina,133180,tonnes,Cotton lint
1964,Argentina,99200,tonnes,Cotton lint
1965,Argentina,138000,tonnes,Cotton lint
1966,Argentina,115500,tonnes,Cotton lint
1967,Argentina,86600,tonnes,Cotton lint
1968,Argentina,72200,tonnes,Cotton lint
1969,Argentina,112400,tonnes,Cotton lint
1970,Argentina,144900,tonnes,Cotton lint
1971,Argentina,84100,tonnes,Cotton lint
1972,Argentina,87300,tonnes,Cotton lint
1973,Argentina,124800,tonnes,Cotton lint
1974,Argentina,127300,tonnes,Cotton lint
1975,Argentina,171700,tonnes,Cotton lint
1976,Argentina,139500,tonnes,Cotton lint
1977,Argentina,160000,tonnes,Cotton lint
1978,Argentina,220300,tonnes,Cotton lint
1979,Argentina,173669,tonnes,Cotton lint
1980,Argentina,145379,tonnes,Cotton lint
1981,Argentina,83559,tonnes,Cotton lint
1982,Argentina,151525,tonnes,Cotton lint
1983,Argentina,112212,tonnes,Cotton lint
1984,Argentina,179868,tonnes,Cotton lint
1985,Argentina,171372,tonnes,Cotton lint
1986,Argentina,120000,tonnes,Cotton lint
1987,Argentina,100000,tonnes,Cotton lint
1988,Argentina,281850,tonnes,Cotton lint
1989,Argentina,172700,tonnes,Cotton lint
1990,Argentina,302400,tonnes,Cotton lint
1991,Argentina,323600,tonnes,Cotton lint
1992,Argentina,252800,tonnes,Cotton lint
1993,Argentina,150800,tonnes,Cotton lint
1994,Argentina,230156,tonnes,Cotton lint
1995,Argentina,366750,tonnes,Cotton lint
1996,Argentina,432274,tonnes,Cotton lint
1997,Argentina,300000,tonnes,Cotton lint
1998,Argentina,315840,tonnes,Cotton lint
1999,Argentina,195500,tonnes,Cotton lint
2000,Argentina,134000,tonnes,Cotton lint
2001,Argentina,167000,tonnes,Cotton lint
2002,Argentina,61800,tonnes,Cotton lint
2003,Argentina,65000,tonnes,Cotton lint
2004,Argentina,112000,tonnes,Cotton lint
2005,Argentina,160000,tonnes,Cotton lint
2006,Argentina,145000,tonnes,Cotton lint
2007,Argentina,170000,tonnes,Cotton lint
2008,Argentina,166265,tonnes,Cotton lint
2009,Argentina,135000,tonnes,Cotton lint
2010,Argentina,248000,tonnes,Cotton lint
2011,Argentina,340000,tonnes,Cotton lint
2012,Argentina,234000,tonnes,Cotton lint
2013,Argentina,190000,tonnes,Cotton lint
2014,Argentina,327000,tonnes,Cotton lint
2015,Argentina,303000,tonnes,Cotton lint
2016,Argentina,290000,tonnes,Cotton lint
2017,Argentina,260000,tonnes,Cotton lint
2018,Argentina,300000,tonnes,Cotton lint
1961,Argentina,223016,tonnes,Cottonseed
