Nation,Year,Unit,pop_lvst_initial_horses
argentina,2011,Head,3590000.0
argentina,2012,Head,3650000.0
argentina,2013,Head,3620000.0
argentina,2014,Head,3600000.0
argentina,2015,Head,2447307.0
argentina,2016,Head,2447582.0
argentina,2017,Head,2495378.0
argentina,2018,Head,2505271.0
argentina,2019,Head,2543908.0
bahamas,2011,Head,0.0
bahamas,2012,Head,0.0
bahamas,2013,Head,0.0
bahamas,2014,Head,0.0
bahamas,2015,Head,0.0
bahamas,2016,Head,0.0
bahamas,2017,Head,0.0
bahamas,2018,Head,0.0
bahamas,2019,Head,0.0
barbados,2011,Head,1250.0
barbados,2012,Head,1250.0
barbados,2013,Head,1250.0
barbados,2014,Head,1240.0
barbados,2015,Head,1239.0
barbados,2016,Head,1242.0
barbados,2017,Head,1246.0
barbados,2018,Head,1246.0
barbados,2019,Head,1247.0
belize,2011,Head,5600.0
belize,2012,Head,5800.0
belize,2013,Head,5800.0
belize,2014,Head,5750.0
belize,2015,Head,5804.0
belize,2016,Head,5858.0
belize,2017,Head,5969.0
belize,2018,Head,6037.0
belize,2019,Head,5954.0
bolivia,2011,Head,483000.0
bolivia,2012,Head,487000.0
bolivia,2013,Head,488000.0
bolivia,2014,Head,490000.0
bolivia,2015,Head,491965.0
bolivia,2016,Head,493625.0
bolivia,2017,Head,501059.0
bolivia,2018,Head,503179.0
bolivia,2019,Head,506021.0
brazil,2011,Head,5510601.0
brazil,2012,Head,5363185.0
brazil,2013,Head,5312076.0
brazil,2014,Head,5450601.0
brazil,2015,Head,5551288.0
brazil,2016,Head,5576136.0
brazil,2017,Head,5512009.0
brazil,2018,Head,5749822.0
brazil,2019,Head,5851318.0
chile,2011,Head,309700.0
chile,2012,Head,310500.0
chile,2013,Head,310500.0
chile,2014,Head,310700.0
chile,2015,Head,310903.0
chile,2016,Head,310000.0
chile,2017,Head,300000.0
chile,2018,Head,293297.0
chile,2019,Head,302034.0
colombia,2011,Head,1963000.0
colombia,2012,Head,899813.0
colombia,2013,Head,839182.0
colombia,2014,Head,814608.0
colombia,2015,Head,812629.0
colombia,2016,Head,1071934.0
colombia,2017,Head,1030940.0
colombia,2018,Head,992498.0
colombia,2019,Head,1144651.0
costa_rica,2011,Head,125000.0
costa_rica,2012,Head,125800.0
costa_rica,2013,Head,126000.0
costa_rica,2014,Head,126000.0
costa_rica,2015,Head,126015.0
costa_rica,2016,Head,126030.0
costa_rica,2017,Head,127265.0
costa_rica,2018,Head,127681.0
costa_rica,2019,Head,128063.0
dominican_republic,2011,Head,350000.0
dominican_republic,2012,Head,352000.0
dominican_republic,2013,Head,355000.0
