Year,Nation,Production Quantity,Unit,Item
1961,Argentina,23000,tonnes,Peppermint
1962,Argentina,24000,tonnes,Peppermint
1963,Argentina,25000,tonnes,Peppermint
1964,Argentina,26970,tonnes,Peppermint
1965,Argentina,27860,tonnes,Peppermint
1966,Argentina,29020,tonnes,Peppermint
1967,Argentina,25000,tonnes,Peppermint
1968,Argentina,27000,tonnes,Peppermint
1969,Argentina,21300,tonnes,Peppermint
1970,Argentina,21230,tonnes,Peppermint
1971,Argentina,20760,tonnes,Peppermint
1972,Argentina,18185,tonnes,Peppermint
1973,Argentina,20570,tonnes,Peppermint
1974,Argentina,12158,tonnes,Peppermint
1975,Argentina,13180,tonnes,Peppermint
1976,Argentina,12787,tonnes,Peppermint
1977,Argentina,23180,tonnes,Peppermint
1978,Argentina,12300,tonnes,Peppermint
1979,Argentina,13980,tonnes,Peppermint
1980,Argentina,11100,tonnes,Peppermint
1981,Argentina,5400,tonnes,Peppermint
1982,Argentina,8900,tonnes,Peppermint
1983,Argentina,8500,tonnes,Peppermint
1984,Argentina,8600,tonnes,Peppermint
1985,Argentina,8500,tonnes,Peppermint
1986,Argentina,8400,tonnes,Peppermint
1987,Argentina,8300,tonnes,Peppermint
1988,Argentina,8200,tonnes,Peppermint
1989,Argentina,8100,tonnes,Peppermint
1990,Argentina,8000,tonnes,Peppermint
1991,Argentina,8000,tonnes,Peppermint
1992,Argentina,8000,tonnes,Peppermint
1993,Argentina,8000,tonnes,Peppermint
1994,Argentina,8000,tonnes,Peppermint
1995,Argentina,8000,tonnes,Peppermint
1996,Argentina,8000,tonnes,Peppermint
1997,Argentina,8000,tonnes,Peppermint
1998,Argentina,8000,tonnes,Peppermint
1999,Argentina,7000,tonnes,Peppermint
2000,Argentina,7000,tonnes,Peppermint
2001,Argentina,7000,tonnes,Peppermint
2002,Argentina,7100,tonnes,Peppermint
2003,Argentina,7100,tonnes,Peppermint
2004,Argentina,7100,tonnes,Peppermint
2005,Argentina,7100,tonnes,Peppermint
2006,Argentina,7100,tonnes,Peppermint
2007,Argentina,7100,tonnes,Peppermint
2008,Argentina,7100,tonnes,Peppermint
2009,Argentina,7100,tonnes,Peppermint
2010,Argentina,7100,tonnes,Peppermint
2011,Argentina,7100,tonnes,Peppermint
2012,Argentina,7100,tonnes,Peppermint
2013,Argentina,7058,tonnes,Peppermint
2014,Argentina,7004,tonnes,Peppermint
2015,Argentina,6994,tonnes,Peppermint
2016,Argentina,7024,tonnes,Peppermint
2017,Argentina,7017,tonnes,Peppermint
2018,Argentina,7010,tonnes,Peppermint
2019,Argentina,7002,tonnes,Peppermint
1961,Belize,17,tonnes,"Cocoa, beans"
1962,Belize,2,tonnes,"Cocoa, beans"
1963,Belize,58,tonnes,"Cocoa, beans"
1964,Belize,50,tonnes,"Cocoa, beans"
1965,Belize,55,tonnes,"Cocoa, beans"
1966,Belize,20,tonnes,"Cocoa, beans"
1967,Belize,25,tonnes,"Cocoa, beans"
1968,Belize,35,tonnes,"Cocoa, beans"
1969,Belize,12,tonnes,"Cocoa, beans"
1970,Belize,17,tonnes,"Cocoa, beans"
