Year,Nation,Production Quantity,Unit,Item
1961,Argentina,225200,tonnes,Cassava
1962,Argentina,242600,tonnes,Cassava
1963,Argentina,231100,tonnes,Cassava
1964,Argentina,240200,tonnes,Cassava
1965,Argentina,260400,tonnes,Cassava
1966,Argentina,240500,tonnes,Cassava
1967,Argentina,302600,tonnes,Cassava
1968,Argentina,272600,tonnes,Cassava
1969,Argentina,300900,tonnes,Cassava
1970,Argentina,291600,tonnes,Cassava
1971,Argentina,295000,tonnes,Cassava
1972,Argentina,243700,tonnes,Cassava
1973,Argentina,177000,tonnes,Cassava
1974,Argentina,298800,tonnes,Cassava
1975,Argentina,299600,tonnes,Cassava
1976,Argentina,225000,tonnes,Cassava
1977,Argentina,183000,tonnes,Cassava
1978,Argentina,182000,tonnes,Cassava
1979,Argentina,183000,tonnes,Cassava
1980,Argentina,221700,tonnes,Cassava
1981,Argentina,200400,tonnes,Cassava
1982,Argentina,216000,tonnes,Cassava
1983,Argentina,139000,tonnes,Cassava
1984,Argentina,136500,tonnes,Cassava
1985,Argentina,129800,tonnes,Cassava
1986,Argentina,157300,tonnes,Cassava
1987,Argentina,148300,tonnes,Cassava
1988,Argentina,150000,tonnes,Cassava
1989,Argentina,150000,tonnes,Cassava
1990,Argentina,140000,tonnes,Cassava
1991,Argentina,150000,tonnes,Cassava
1992,Argentina,150000,tonnes,Cassava
1993,Argentina,150000,tonnes,Cassava
1994,Argentina,150000,tonnes,Cassava
1995,Argentina,160000,tonnes,Cassava
1996,Argentina,160000,tonnes,Cassava
1997,Argentina,160000,tonnes,Cassava
1998,Argentina,160000,tonnes,Cassava
1999,Argentina,170000,tonnes,Cassava
2000,Argentina,170000,tonnes,Cassava
2001,Argentina,165000,tonnes,Cassava
2002,Argentina,165000,tonnes,Cassava
2003,Argentina,170000,tonnes,Cassava
2004,Argentina,175000,tonnes,Cassava
2005,Argentina,180000,tonnes,Cassava
2006,Argentina,172000,tonnes,Cassava
2007,Argentina,175000,tonnes,Cassava
2008,Argentina,175000,tonnes,Cassava
2009,Argentina,180000,tonnes,Cassava
2010,Argentina,181800,tonnes,Cassava
2011,Argentina,185000,tonnes,Cassava
2012,Argentina,187000,tonnes,Cassava
2013,Argentina,184000,tonnes,Cassava
2014,Argentina,186010,tonnes,Cassava
2015,Argentina,190330,tonnes,Cassava
2016,Argentina,191398,tonnes,Cassava
2017,Argentina,192882,tonnes,Cassava
2018,Argentina,194367,tonnes,Cassava
2019,Argentina,195852,tonnes,Cassava
1961,Argentina,2071700,tonnes,Potatoes
1962,Argentina,1184400,tonnes,Potatoes
1963,Argentina,1453400,tonnes,Potatoes
1964,Argentina,1492400,tonnes,Potatoes
1965,Argentina,2489000,tonnes,Potatoes
1966,Argentina,1484300,tonnes,Potatoes
1967,Argentina,1797200,tonnes,Potatoes
1968,Argentina,1966550,tonnes,Potatoes
1969,Argentina,2339940,tonnes,Potatoes
1970,Argentina,2336400,tonnes,Potatoes
1971,Argentina,1958400,tonnes,Potatoes
1972,Argentina,1339800,tonnes,Potatoes
1973,Argentina,1534600,tonnes,Potatoes
1974,Argentina,2172600,tonnes,Potatoes
1975,Argentina,1349200,tonnes,Potatoes
1976,Argentina,1526300,tonnes,Potatoes
1977,Argentina,1769200,tonnes,Potatoes
1978,Argentina,1593000,tonnes,Potatoes
1979,Argentina,1694000,tonnes,Potatoes
1980,Argentina,1568000,tonnes,Potatoes
1981,Argentina,2247100,tonnes,Potatoes
1982,Argentina,1816960,tonnes,Potatoes
1983,Argentina,1993200,tonnes,Potatoes
1984,Argentina,2105700,tonnes,Potatoes
1985,Argentina,2243300,tonnes,Potatoes
1986,Argentina,2057600,tonnes,Potatoes
1987,Argentina,2103500,tonnes,Potatoes
1988,Argentina,2859100,tonnes,Potatoes
1989,Argentina,2158000,tonnes,Potatoes
1990,Argentina,1598170,tonnes,Potatoes
1991,Argentina,1749887,tonnes,Potatoes
1992,Argentina,1628520,tonnes,Potatoes
1993,Argentina,2104971,tonnes,Potatoes
1994,Argentina,2422657,tonnes,Potatoes
1995,Argentina,2427742,tonnes,Potatoes
1996,Argentina,2275035,tonnes,Potatoes
1997,Argentina,3011328,tonnes,Potatoes
1998,Argentina,3412395,tonnes,Potatoes
1999,Argentina,2700000,tonnes,Potatoes
2000,Argentina,2220529,tonnes,Potatoes
2001,Argentina,2497156,tonnes,Potatoes
2002,Argentina,2262120,tonnes,Potatoes
2003,Argentina,2094520,tonnes,Potatoes
2004,Argentina,2021020,tonnes,Potatoes
2005,Argentina,1788677,tonnes,Potatoes
2006,Argentina,1943632,tonnes,Potatoes
2007,Argentina,1950000,tonnes,Potatoes
2008,Argentina,1900000,tonnes,Potatoes
2009,Argentina,1950000,tonnes,Potatoes
2010,Argentina,2011097,tonnes,Potatoes
2011,Argentina,2058376,tonnes,Potatoes
2012,Argentina,2149333,tonnes,Potatoes
2013,Argentina,2211554,tonnes,Potatoes
2014,Argentina,2264804,tonnes,Potatoes
2015,Argentina,2329939,tonnes,Potatoes
