Nation,Year,Unit,pop_lvst_initial_pigs
suriname,2019,Head,33577
trinidad_and_tobago,2011,Head,35384
trinidad_and_tobago,2012,Head,34138
trinidad_and_tobago,2013,Head,29304
trinidad_and_tobago,2014,Head,21619
trinidad_and_tobago,2015,Head,29634
trinidad_and_tobago,2016,Head,26497
trinidad_and_tobago,2017,Head,29196
trinidad_and_tobago,2018,Head,31155
trinidad_and_tobago,2019,Head,28285
uruguay,2011,Head,220000
uruguay,2012,Head,207000
uruguay,2013,Head,210000
uruguay,2014,Head,208000
uruguay,2015,Head,216000
uruguay,2016,Head,187000
uruguay,2017,Head,175000
uruguay,2018,Head,171000
uruguay,2019,Head,165000
venezuela,2011,Head,3685659
venezuela,2012,Head,3812123
venezuela,2013,Head,3813473
venezuela,2014,Head,3808433
venezuela,2015,Head,3794361
venezuela,2016,Head,3546987
venezuela,2017,Head,3247850
venezuela,2018,Head,3024753
venezuela,2019,Head,3008349
