Area.Code..FAO.,Nation,Item,Year,Value,Unit,Element,EmissionFactorTONco2e,ef_agactivity_fruits_gg_ch4_ha
9,Argentina,Bananas,1961,11649,tonnes,Production,0.79,9202.71
9,Argentina,Bananas,1962,47250,tonnes,Production,0.79,37327.5
9,Argentina,Bananas,1963,36380,tonnes,Production,0.79,28740.2
9,Argentina,Bananas,1964,65500,tonnes,Production,0.79,51745
9,Argentina,Bananas,1965,37000,tonnes,Production,0.79,29230
9,Argentina,Bananas,1966,103760,tonnes,Production,0.79,81970.4
9,Argentina,Bananas,1967,129616,tonnes,Production,0.79,102396.64
9,Argentina,Bananas,1968,53360,tonnes,Production,0.79,42154.4
9,Argentina,Bananas,1969,140900,tonnes,Production,0.79,111311
9,Argentina,Bananas,1970,223440,tonnes,Production,0.79,176517.6
9,Argentina,Bananas,1971,224800,tonnes,Production,0.79,177592
9,Argentina,Bananas,1972,312700,tonnes,Production,0.79,247033
9,Argentina,Bananas,1973,352160,tonnes,Production,0.79,278206.4
9,Argentina,Bananas,1974,399400,tonnes,Production,0.79,315526
9,Argentina,Bananas,1975,373900,tonnes,Production,0.79,295381
9,Argentina,Bananas,1976,277500,tonnes,Production,0.79,219225
9,Argentina,Bananas,1977,220000,tonnes,Production,0.79,173800
9,Argentina,Bananas,1978,128700,tonnes,Production,0.79,101673
9,Argentina,Bananas,1979,144000,tonnes,Production,0.79,113760
9,Argentina,Bananas,1980,146200,tonnes,Production,0.79,115498
9,Argentina,Bananas,1981,77000,tonnes,Production,0.79,60830
9,Argentina,Bananas,1982,88700,tonnes,Production,0.79,70073
9,Argentina,Bananas,1983,126100,tonnes,Production,0.79,99619
9,Argentina,Bananas,1984,161000,tonnes,Production,0.79,127190
9,Argentina,Bananas,1985,163400,tonnes,Production,0.79,129086
9,Argentina,Bananas,1986,190000,tonnes,Production,0.79,150100
9,Argentina,Bananas,1987,243000,tonnes,Production,0.79,191970
9,Argentina,Bananas,1988,323600,tonnes,Production,0.79,255644
9,Argentina,Bananas,1989,209937,tonnes,Production,0.79,165850.23
9,Argentina,Bananas,1990,200558,tonnes,Production,0.79,158440.82
9,Argentina,Bananas,1991,194200,tonnes,Production,0.79,153418
9,Argentina,Bananas,1992,182680,tonnes,Production,0.79,144317.2
9,Argentina,Bananas,1993,181220,tonnes,Production,0.79,143163.8
9,Argentina,Bananas,1994,142190,tonnes,Production,0.79,112330.1
9,Argentina,Bananas,1995,171084,tonnes,Production,0.79,135156.36
9,Argentina,Bananas,1996,117350,tonnes,Production,0.79,92706.5
9,Argentina,Bananas,1997,160800,tonnes,Production,0.79,127032
9,Argentina,Bananas,1998,172850,tonnes,Production,0.79,136551.5
9,Argentina,Bananas,1999,175000,tonnes,Production,0.79,138250
9,Argentina,Bananas,2000,175000,tonnes,Production,0.79,138250
9,Argentina,Bananas,2001,174845,tonnes,Production,0.79,138127.55
9,Argentina,Bananas,2002,180000,tonnes,Production,0.79,142200
9,Argentina,Bananas,2003,175719,tonnes,Production,0.79,138818.01
9,Argentina,Bananas,2004,175418,tonnes,Production,0.79,138580.22
9,Argentina,Bananas,2005,177058,tonnes,Production,0.79,139875.82
9,Argentina,Bananas,2006,181000,tonnes,Production,0.79,142990
9,Argentina,Bananas,2007,182000,tonnes,Production,0.79,143780
9,Argentina,Bananas,2008,180000,tonnes,Production,0.79,142200
9,Argentina,Bananas,2009,170000,tonnes,Production,0.79,134300
9,Argentina,Bananas,2010,171039,tonnes,Production,0.79,135120.81
