Year,Nation,Production Quantity,Unit,Item
1961,Argentina,415000,tonnes,Apples
1962,Argentina,397000,tonnes,Apples
1963,Argentina,474000,tonnes,Apples
1964,Argentina,371000,tonnes,Apples
1965,Argentina,544000,tonnes,Apples
1966,Argentina,414000,tonnes,Apples
1967,Argentina,516000,tonnes,Apples
1968,Argentina,469600,tonnes,Apples
1969,Argentina,436400,tonnes,Apples
1970,Argentina,445000,tonnes,Apples
1971,Argentina,423900,tonnes,Apples
1972,Argentina,512300,tonnes,Apples
1973,Argentina,233300,tonnes,Apples
1974,Argentina,786000,tonnes,Apples
1975,Argentina,608000,tonnes,Apples
1976,Argentina,576500,tonnes,Apples
1977,Argentina,820000,tonnes,Apples
1978,Argentina,810000,tonnes,Apples
1979,Argentina,972000,tonnes,Apples
1980,Argentina,958000,tonnes,Apples
1981,Argentina,908000,tonnes,Apples
1982,Argentina,804000,tonnes,Apples
1983,Argentina,817000,tonnes,Apples
1984,Argentina,872000,tonnes,Apples
1985,Argentina,922400,tonnes,Apples
1986,Argentina,593900,tonnes,Apples
1987,Argentina,1074600,tonnes,Apples
1988,Argentina,940000,tonnes,Apples
1989,Argentina,847800,tonnes,Apples
1990,Argentina,975600,tonnes,Apples
1991,Argentina,1067500,tonnes,Apples
1992,Argentina,1053500,tonnes,Apples
1993,Argentina,951170,tonnes,Apples
1994,Argentina,1006300,tonnes,Apples
1995,Argentina,1146000,tonnes,Apples
1996,Argentina,1219000,tonnes,Apples
1997,Argentina,1117690,tonnes,Apples
1998,Argentina,1033520,tonnes,Apples
1999,Argentina,1116000,tonnes,Apples
2000,Argentina,833322,tonnes,Apples
2001,Argentina,1428802,tonnes,Apples
2002,Argentina,1156830,tonnes,Apples
2003,Argentina,1307460,tonnes,Apples
2004,Argentina,1262440,tonnes,Apples
2005,Argentina,1206210,tonnes,Apples
2006,Argentina,1100000,tonnes,Apples
2007,Argentina,1000000,tonnes,Apples
2008,Argentina,950000,tonnes,Apples
2009,Argentina,894000,tonnes,Apples
2010,Argentina,720000,tonnes,Apples
2011,Argentina,1150000,tonnes,Apples
2012,Argentina,1050000,tonnes,Apples
2013,Argentina,970000,tonnes,Apples
2014,Argentina,711052,tonnes,Apples
2015,Argentina,693275,tonnes,Apples
2016,Argentina,458908,tonnes,Apples
2017,Argentina,458908,tonnes,Apples
2018,Argentina,510478,tonnes,Apples
2019,Argentina,538722,tonnes,Apples
1961,Argentina,11649,tonnes,Bananas
1962,Argentina,47250,tonnes,Bananas
1963,Argentina,36380,tonnes,Bananas
1964,Argentina,65500,tonnes,Bananas
1965,Argentina,37000,tonnes,Bananas
1966,Argentina,103760,tonnes,Bananas
1967,Argentina,129616,tonnes,Bananas
1968,Argentina,53360,tonnes,Bananas
1969,Argentina,140900,tonnes,Bananas
1970,Argentina,223440,tonnes,Bananas
1971,Argentina,224800,tonnes,Bananas
1972,Argentina,312700,tonnes,Bananas
1973,Argentina,352160,tonnes,Bananas
1974,Argentina,399400,tonnes,Bananas
1975,Argentina,373900,tonnes,Bananas
1976,Argentina,277500,tonnes,Bananas
1977,Argentina,220000,tonnes,Bananas
1978,Argentina,128700,tonnes,Bananas
1979,Argentina,144000,tonnes,Bananas
1980,Argentina,146200,tonnes,Bananas
1981,Argentina,77000,tonnes,Bananas
1982,Argentina,88700,tonnes,Bananas
1983,Argentina,126100,tonnes,Bananas
1984,Argentina,161000,tonnes,Bananas
1985,Argentina,163400,tonnes,Bananas
1986,Argentina,190000,tonnes,Bananas
1987,Argentina,243000,tonnes,Bananas
1988,Argentina,323600,tonnes,Bananas
1989,Argentina,209937,tonnes,Bananas
1990,Argentina,200558,tonnes,Bananas
1991,Argentina,194200,tonnes,Bananas
1992,Argentina,182680,tonnes,Bananas
1993,Argentina,181220,tonnes,Bananas
1994,Argentina,142190,tonnes,Bananas
1995,Argentina,171084,tonnes,Bananas
1996,Argentina,117350,tonnes,Bananas
1997,Argentina,160800,tonnes,Bananas
1998,Argentina,172850,tonnes,Bananas
1999,Argentina,175000,tonnes,Bananas
2000,Argentina,175000,tonnes,Bananas
2001,Argentina,174845,tonnes,Bananas
2002,Argentina,180000,tonnes,Bananas
2003,Argentina,175719,tonnes,Bananas
2004,Argentina,175418,tonnes,Bananas
2005,Argentina,177058,tonnes,Bananas
2006,Argentina,181000,tonnes,Bananas
2007,Argentina,182000,tonnes,Bananas
2008,Argentina,180000,tonnes,Bananas
2009,Argentina,170000,tonnes,Bananas
2010,Argentina,171039,tonnes,Bananas
2011,Argentina,174901,tonnes,Bananas
2012,Argentina,175203,tonnes,Bananas
