Area Code (FAO),Nation,Item,Year,yf_agrc_oil_bearing_tonne_ha,Unit,Element
21,Brazil,Castor oil seed,2018,3087,hg/ha,Yield
21,Brazil,Castor oil seed,2019,3233,hg/ha,Yield
21,Brazil,Oil palm fruit,1961,100000,hg/ha,Yield
21,Brazil,Oil palm fruit,1962,108696,hg/ha,Yield
21,Brazil,Oil palm fruit,1963,112500,hg/ha,Yield
21,Brazil,Oil palm fruit,1964,110345,hg/ha,Yield
21,Brazil,Oil palm fruit,1965,105000,hg/ha,Yield
21,Brazil,Oil palm fruit,1966,105769,hg/ha,Yield
21,Brazil,Oil palm fruit,1967,106522,hg/ha,Yield
21,Brazil,Oil palm fruit,1968,104082,hg/ha,Yield
21,Brazil,Oil palm fruit,1969,105455,hg/ha,Yield
21,Brazil,Oil palm fruit,1970,104545,hg/ha,Yield
21,Brazil,Oil palm fruit,1971,104000,hg/ha,Yield
21,Brazil,Oil palm fruit,1972,100000,hg/ha,Yield
21,Brazil,Oil palm fruit,1973,103448,hg/ha,Yield
21,Brazil,Oil palm fruit,1974,103226,hg/ha,Yield
21,Brazil,Oil palm fruit,1975,106061,hg/ha,Yield
21,Brazil,Oil palm fruit,1976,104651,hg/ha,Yield
21,Brazil,Oil palm fruit,1977,105263,hg/ha,Yield
21,Brazil,Oil palm fruit,1978,105634,hg/ha,Yield
21,Brazil,Oil palm fruit,1979,105263,hg/ha,Yield
21,Brazil,Oil palm fruit,1980,105263,hg/ha,Yield
21,Brazil,Oil palm fruit,1981,106061,hg/ha,Yield
21,Brazil,Oil palm fruit,1982,105263,hg/ha,Yield
21,Brazil,Oil palm fruit,1983,104651,hg/ha,Yield
21,Brazil,Oil palm fruit,1984,104545,hg/ha,Yield
21,Brazil,Oil palm fruit,1985,107407,hg/ha,Yield
21,Brazil,Oil palm fruit,1986,106897,hg/ha,Yield
21,Brazil,Oil palm fruit,1987,108333,hg/ha,Yield
21,Brazil,Oil palm fruit,1988,109524,hg/ha,Yield
21,Brazil,Oil palm fruit,1989,107200,hg/ha,Yield
21,Brazil,Oil palm fruit,1990,99394,hg/ha,Yield
21,Brazil,Oil palm fruit,1991,75880,hg/ha,Yield
21,Brazil,Oil palm fruit,1992,80628,hg/ha,Yield
21,Brazil,Oil palm fruit,1993,94218,hg/ha,Yield
21,Brazil,Oil palm fruit,1994,98179,hg/ha,Yield
21,Brazil,Oil palm fruit,1995,100075,hg/ha,Yield
21,Brazil,Oil palm fruit,1996,101504,hg/ha,Yield
21,Brazil,Oil palm fruit,1997,98331,hg/ha,Yield
21,Brazil,Oil palm fruit,1998,95231,hg/ha,Yield
21,Brazil,Oil palm fruit,1999,85327,hg/ha,Yield
21,Brazil,Oil palm fruit,2000,82892,hg/ha,Yield
21,Brazil,Oil palm fruit,2001,91226,hg/ha,Yield
21,Brazil,Oil palm fruit,2002,91611,hg/ha,Yield
21,Brazil,Oil palm fruit,2003,104355,hg/ha,Yield
21,Brazil,Oil palm fruit,2004,103868,hg/ha,Yield
21,Brazil,Oil palm fruit,2005,102758,hg/ha,Yield
21,Brazil,Oil palm fruit,2006,125095,hg/ha,Yield
21,Brazil,Oil palm fruit,2007,105224,hg/ha,Yield
21,Brazil,Oil palm fruit,2008,105770,hg/ha,Yield
21,Brazil,Oil palm fruit,2009,108023,hg/ha,Yield
21,Brazil,Oil palm fruit,2010,121473,hg/ha,Yield
21,Brazil,Oil palm fruit,2011,119288,hg/ha,Yield
21,Brazil,Oil palm fruit,2012,109691,hg/ha,Yield
21,Brazil,Oil palm fruit,2013,114773,hg/ha,Yield
21,Brazil,Oil palm fruit,2014,110136,hg/ha,Yield
21,Brazil,Oil palm fruit,2015,113154,hg/ha,Yield
21,Brazil,Oil palm fruit,2016,119592,hg/ha,Yield
21,Brazil,Oil palm fruit,2017,146558,hg/ha,Yield
21,Brazil,Oil palm fruit,2018,139255,hg/ha,Yield
21,Brazil,Oil palm fruit,2019,145558,hg/ha,Yield
44,Colombia,Oil palm fruit,1961,150000,hg/ha,Yield
44,Colombia,Oil palm fruit,1962,154545,hg/ha,Yield
44,Colombia,Oil palm fruit,1963,152000,hg/ha,Yield
44,Colombia,Oil palm fruit,1964,155556,hg/ha,Yield
44,Colombia,Oil palm fruit,1965,153333,hg/ha,Yield
44,Colombia,Oil palm fruit,1966,151515,hg/ha,Yield
44,Colombia,Oil palm fruit,1967,151786,hg/ha,Yield
44,Colombia,Oil palm fruit,1968,146000,hg/ha,Yield
44,Colombia,Oil palm fruit,1969,150000,hg/ha,Yield
44,Colombia,Oil palm fruit,1970,152174,hg/ha,Yield
44,Colombia,Oil palm fruit,1971,144928,hg/ha,Yield
44,Colombia,Oil palm fruit,1972,153333,hg/ha,Yield
44,Colombia,Oil palm fruit,1973,148121,hg/ha,Yield
44,Colombia,Oil palm fruit,1974,155055,hg/ha,Yield
44,Colombia,Oil palm fruit,1975,164331,hg/ha,Yield
44,Colombia,Oil palm fruit,1976,153000,hg/ha,Yield
44,Colombia,Oil palm fruit,1977,151552,hg/ha,Yield
44,Colombia,Oil palm fruit,1978,157396,hg/ha,Yield
44,Colombia,Oil palm fruit,1979,158850,hg/ha,Yield
44,Colombia,Oil palm fruit,1980,150000,hg/ha,Yield
44,Colombia,Oil palm fruit,1981,149819,hg/ha,Yield
44,Colombia,Oil palm fruit,1982,151709,hg/ha,Yield
44,Colombia,Oil palm fruit,1983,163955,hg/ha,Yield
44,Colombia,Oil palm fruit,1984,166366,hg/ha,Yield
44,Colombia,Oil palm fruit,1985,167518,hg/ha,Yield
44,Colombia,Oil palm fruit,1986,153720,hg/ha,Yield
44,Colombia,Oil palm fruit,1987,166602,hg/ha,Yield
44,Colombia,Oil palm fruit,1988,194369,hg/ha,Yield
44,Colombia,Oil palm fruit,1989,163452,hg/ha,Yield
44,Colombia,Oil palm fruit,1990,156102,hg/ha,Yield
44,Colombia,Oil palm fruit,1991,165553,hg/ha,Yield
44,Colombia,Oil palm fruit,1992,155898,hg/ha,Yield
44,Colombia,Oil palm fruit,1993,154328,hg/ha,Yield
44,Colombia,Oil palm fruit,1994,155655,hg/ha,Yield
44,Colombia,Oil palm fruit,1995,162561,hg/ha,Yield
44,Colombia,Oil palm fruit,1996,162431,hg/ha,Yield
44,Colombia,Oil palm fruit,1997,169970,hg/ha,Yield
44,Colombia,Oil palm fruit,1998,167075,hg/ha,Yield
44,Colombia,Oil palm fruit,1999,186882,hg/ha,Yield
44,Colombia,Oil palm fruit,2000,183272,hg/ha,Yield
44,Colombia,Oil palm fruit,2001,187784,hg/ha,Yield
44,Colombia,Oil palm fruit,2002,179278,hg/ha,Yield
44,Colombia,Oil palm fruit,2003,171508,hg/ha,Yield
44,Colombia,Oil palm fruit,2004,197454,hg/ha,Yield
44,Colombia,Oil palm fruit,2005,192995,hg/ha,Yield
44,Colombia,Oil palm fruit,2006,193939,hg/ha,Yield
44,Colombia,Oil palm fruit,2007,193939,hg/ha,Yield
44,Colombia,Oil palm fruit,2008,193939,hg/ha,Yield
44,Colombia,Oil palm fruit,2009,193939,hg/ha,Yield
44,Colombia,Oil palm fruit,2010,196373,hg/ha,Yield
44,Colombia,Oil palm fruit,2011,199583,hg/ha,Yield
44,Colombia,Oil palm fruit,2012,198748,hg/ha,Yield
44,Colombia,Oil palm fruit,2013,199934,hg/ha,Yield
44,Colombia,Oil palm fruit,2014,194854,hg/ha,Yield
44,Colombia,Oil palm fruit,2015,187587,hg/ha,Yield
44,Colombia,Oil palm fruit,2016,181545,hg/ha,Yield
44,Colombia,Oil palm fruit,2017,173887,hg/ha,Yield
44,Colombia,Oil palm fruit,2018,169690,hg/ha,Yield
44,Colombia,Oil palm fruit,2019,166436,hg/ha,Yield
48,Costa Rica,Oil palm fruit,1961,143333,hg/ha,Yield
48,Costa Rica,Oil palm fruit,1962,139474,hg/ha,Yield
48,Costa Rica,Oil palm fruit,1963,141538,hg/ha,Yield
48,Costa Rica,Oil palm fruit,1964,136923,hg/ha,Yield
48,Costa Rica,Oil palm fruit,1965,141538,hg/ha,Yield
48,Costa Rica,Oil palm fruit,1966,141304,hg/ha,Yield
48,Costa Rica,Oil palm fruit,1967,141791,hg/ha,Yield
48,Costa Rica,Oil palm fruit,1968,141667,hg/ha,Yield
48,Costa Rica,Oil palm fruit,1969,141509,hg/ha,Yield
48,Costa Rica,Oil palm fruit,1970,141304,hg/ha,Yield
48,Costa Rica,Oil palm fruit,1971,140000,hg/ha,Yield
48,Costa Rica,Oil palm fruit,1972,140000,hg/ha,Yield
48,Costa Rica,Oil palm fruit,1973,141772,hg/ha,Yield
48,Costa Rica,Oil palm fruit,1974,139241,hg/ha,Yield
48,Costa Rica,Oil palm fruit,1975,139241,hg/ha,Yield
48,Costa Rica,Oil palm fruit,1976,141975,hg/ha,Yield
48,Costa Rica,Oil palm fruit,1977,141975,hg/ha,Yield
48,Costa Rica,Oil palm fruit,1978,151020,hg/ha,Yield
48,Costa Rica,Oil palm fruit,1979,137500,hg/ha,Yield
48,Costa Rica,Oil palm fruit,1980,142273,hg/ha,Yield
48,Costa Rica,Oil palm fruit,1981,155417,hg/ha,Yield
48,Costa Rica,Oil palm fruit,1982,161789,hg/ha,Yield
48,Costa Rica,Oil palm fruit,1983,144073,hg/ha,Yield
48,Costa Rica,Oil palm fruit,1984,162063,hg/ha,Yield
48,Costa Rica,Oil palm fruit,1985,127423,hg/ha,Yield
48,Costa Rica,Oil palm fruit,1986,157768,hg/ha,Yield
48,Costa Rica,Oil palm fruit,1987,143219,hg/ha,Yield
48,Costa Rica,Oil palm fruit,1988,162699,hg/ha,Yield
48,Costa Rica,Oil palm fruit,1989,125819,hg/ha,Yield
48,Costa Rica,Oil palm fruit,1990,143467,hg/ha,Yield
48,Costa Rica,Oil palm fruit,1991,150429,hg/ha,Yield
48,Costa Rica,Oil palm fruit,1992,145077,hg/ha,Yield
48,Costa Rica,Oil palm fruit,1993,136842,hg/ha,Yield
48,Costa Rica,Oil palm fruit,1994,178072,hg/ha,Yield
48,Costa Rica,Oil palm fruit,1995,173821,hg/ha,Yield
48,Costa Rica,Oil palm fruit,1996,154925,hg/ha,Yield
48,Costa Rica,Oil palm fruit,1997,183931,hg/ha,Yield
48,Costa Rica,Oil palm fruit,1998,167832,hg/ha,Yield
48,Costa Rica,Oil palm fruit,1999,131190,hg/ha,Yield
48,Costa Rica,Oil palm fruit,2000,153083,hg/ha,Yield
48,Costa Rica,Oil palm fruit,2001,167400,hg/ha,Yield
48,Costa Rica,Oil palm fruit,2002,134463,hg/ha,Yield
48,Costa Rica,Oil palm fruit,2003,134491,hg/ha,Yield
48,Costa Rica,Oil palm fruit,2004,143777,hg/ha,Yield
48,Costa Rica,Oil palm fruit,2005,155611,hg/ha,Yield
48,Costa Rica,Oil palm fruit,2006,180235,hg/ha,Yield
48,Costa Rica,Oil palm fruit,2007,170433,hg/ha,Yield
48,Costa Rica,Oil palm fruit,2008,164106,hg/ha,Yield
48,Costa Rica,Oil palm fruit,2009,163227,hg/ha,Yield
48,Costa Rica,Oil palm fruit,2010,172947,hg/ha,Yield
48,Costa Rica,Oil palm fruit,2011,175000,hg/ha,Yield
48,Costa Rica,Oil palm fruit,2012,175000,hg/ha,Yield
48,Costa Rica,Oil palm fruit,2013,175000,hg/ha,Yield
48,Costa Rica,Oil palm fruit,2014,113750,hg/ha,Yield
48,Costa Rica,Oil palm fruit,2015,117535,hg/ha,Yield
48,Costa Rica,Oil palm fruit,2016,150360,hg/ha,Yield
48,Costa Rica,Oil palm fruit,2017,142571,hg/ha,Yield
48,Costa Rica,Oil palm fruit,2018,141438,hg/ha,Yield
48,Costa Rica,Oil palm fruit,2019,141006,hg/ha,Yield
56,Dominican Republic,Castor oil seed,1961,2970,hg/ha,Yield
56,Dominican Republic,Castor oil seed,1962,3042,hg/ha,Yield
56,Dominican Republic,Castor oil seed,1963,3134,hg/ha,Yield
56,Dominican Republic,Castor oil seed,1964,3134,hg/ha,Yield
56,Dominican Republic,Castor oil seed,1965,3244,hg/ha,Yield
56,Dominican Republic,Castor oil seed,1966,3351,hg/ha,Yield
56,Dominican Republic,Castor oil seed,1967,3486,hg/ha,Yield
56,Dominican Republic,Castor oil seed,1968,3622,hg/ha,Yield
56,Dominican Republic,Castor oil seed,1969,3757,hg/ha,Yield
56,Dominican Republic,Castor oil seed,1970,3816,hg/ha,Yield
56,Dominican Republic,Castor oil seed,1971,3872,hg/ha,Yield
56,Dominican Republic,Castor oil seed,1972,3925,hg/ha,Yield
56,Dominican Republic,Castor oil seed,1973,3905,hg/ha,Yield
56,Dominican Republic,Castor oil seed,1974,3953,hg/ha,Yield
56,Dominican Republic,Castor oil seed,1975,4091,hg/ha,Yield
56,Dominican Republic,Castor oil seed,1976,4222,hg/ha,Yield
56,Dominican Republic,Castor oil seed,1977,4444,hg/ha,Yield
56,Dominican Republic,Castor oil seed,1978,4444,hg/ha,Yield
56,Dominican Republic,Castor oil seed,1979,4667,hg/ha,Yield
56,Dominican Republic,Castor oil seed,1980,4889,hg/ha,Yield
56,Dominican Republic,Castor oil seed,1981,5000,hg/ha,Yield
56,Dominican Republic,Castor oil seed,1982,5000,hg/ha,Yield
56,Dominican Republic,Castor oil seed,1983,5217,hg/ha,Yield
56,Dominican Republic,Castor oil seed,1984,5435,hg/ha,Yield
56,Dominican Republic,Oil palm fruit,1989,150000,hg/ha,Yield
56,Dominican Republic,Oil palm fruit,1990,166667,hg/ha,Yield
56,Dominican Republic,Oil palm fruit,1991,140000,hg/ha,Yield
56,Dominican Republic,Oil palm fruit,1992,150000,hg/ha,Yield
56,Dominican Republic,Oil palm fruit,1993,143750,hg/ha,Yield
56,Dominican Republic,Oil palm fruit,1994,142222,hg/ha,Yield
56,Dominican Republic,Oil palm fruit,1995,151111,hg/ha,Yield
56,Dominican Republic,Oil palm fruit,1996,146758,hg/ha,Yield
56,Dominican Republic,Oil palm fruit,1997,145613,hg/ha,Yield
56,Dominican Republic,Oil palm fruit,1998,145928,hg/ha,Yield
56,Dominican Republic,Oil palm fruit,1999,145571,hg/ha,Yield
56,Dominican Republic,Oil palm fruit,2000,145224,hg/ha,Yield
56,Dominican Republic,Oil palm fruit,2001,144862,hg/ha,Yield
56,Dominican Republic,Oil palm fruit,2002,144500,hg/ha,Yield
56,Dominican Republic,Oil palm fruit,2003,144147,hg/ha,Yield
56,Dominican Republic,Oil palm fruit,2004,143792,hg/ha,Yield
56,Dominican Republic,Oil palm fruit,2005,143429,hg/ha,Yield
56,Dominican Republic,Oil palm fruit,2006,143067,hg/ha,Yield
56,Dominican Republic,Oil palm fruit,2007,142705,hg/ha,Yield
56,Dominican Republic,Oil palm fruit,2008,142337,hg/ha,Yield
56,Dominican Republic,Oil palm fruit,2009,141978,hg/ha,Yield
56,Dominican Republic,Oil palm fruit,2010,141619,hg/ha,Yield
56,Dominican Republic,Oil palm fruit,2011,141256,hg/ha,Yield
56,Dominican Republic,Oil palm fruit,2012,140895,hg/ha,Yield
56,Dominican Republic,Oil palm fruit,2013,140530,hg/ha,Yield
56,Dominican Republic,Oil palm fruit,2014,140514,hg/ha,Yield
56,Dominican Republic,Oil palm fruit,2015,140564,hg/ha,Yield
56,Dominican Republic,Oil palm fruit,2016,140217,hg/ha,Yield
56,Dominican Republic,Oil palm fruit,2017,139940,hg/ha,Yield
56,Dominican Republic,Oil palm fruit,2018,139706,hg/ha,Yield
56,Dominican Republic,Oil palm fruit,2019,139437,hg/ha,Yield
58,Ecuador,Castor oil seed,1961,9005,hg/ha,Yield
58,Ecuador,Castor oil seed,1962,9013,hg/ha,Yield
58,Ecuador,Castor oil seed,1963,9016,hg/ha,Yield
58,Ecuador,Castor oil seed,1964,8997,hg/ha,Yield
58,Ecuador,Castor oil seed,1965,9005,hg/ha,Yield
58,Ecuador,Castor oil seed,1966,10543,hg/ha,Yield
58,Ecuador,Castor oil seed,1967,10492,hg/ha,Yield
58,Ecuador,Castor oil seed,1968,5811,hg/ha,Yield
58,Ecuador,Castor oil seed,1969,10141,hg/ha,Yield
58,Ecuador,Castor oil seed,1970,10616,hg/ha,Yield
58,Ecuador,Castor oil seed,1971,11355,hg/ha,Yield
58,Ecuador,Castor oil seed,1972,9049,hg/ha,Yield
58,Ecuador,Castor oil seed,1973,11268,hg/ha,Yield
58,Ecuador,Castor oil seed,1974,8886,hg/ha,Yield
58,Ecuador,Castor oil seed,1975,10490,hg/ha,Yield
58,Ecuador,Castor oil seed,1976,10608,hg/ha,Yield
58,Ecuador,Castor oil seed,1977,10134,hg/ha,Yield
58,Ecuador,Castor oil seed,1978,7780,hg/ha,Yield
58,Ecuador,Castor oil seed,1979,9058,hg/ha,Yield
58,Ecuador,Castor oil seed,1980,9054,hg/ha,Yield
58,Ecuador,Castor oil seed,1981,7481,hg/ha,Yield
58,Ecuador,Castor oil seed,1982,8077,hg/ha,Yield
58,Ecuador,Castor oil seed,1983,8074,hg/ha,Yield
58,Ecuador,Castor oil seed,1984,8069,hg/ha,Yield
58,Ecuador,Castor oil seed,1985,6833,hg/ha,Yield
58,Ecuador,Castor oil seed,1986,8750,hg/ha,Yield
58,Ecuador,Castor oil seed,1987,7143,hg/ha,Yield
58,Ecuador,Castor oil seed,1988,8571,hg/ha,Yield
58,Ecuador,Castor oil seed,1989,8571,hg/ha,Yield
58,Ecuador,Castor oil seed,1990,9375,hg/ha,Yield
58,Ecuador,Castor oil seed,1991,8750,hg/ha,Yield
58,Ecuador,Castor oil seed,1992,8895,hg/ha,Yield
58,Ecuador,Castor oil seed,1993,8889,hg/ha,Yield
58,Ecuador,Castor oil seed,1994,8750,hg/ha,Yield
58,Ecuador,Castor oil seed,1995,8750,hg/ha,Yield
58,Ecuador,Castor oil seed,1996,4180,hg/ha,Yield
58,Ecuador,Castor oil seed,1997,8000,hg/ha,Yield
58,Ecuador,Castor oil seed,1998,8000,hg/ha,Yield
58,Ecuador,Castor oil seed,1999,8000,hg/ha,Yield
58,Ecuador,Castor oil seed,2000,8000,hg/ha,Yield
58,Ecuador,Castor oil seed,2001,8000,hg/ha,Yield
58,Ecuador,Castor oil seed,2002,8000,hg/ha,Yield
58,Ecuador,Castor oil seed,2003,8000,hg/ha,Yield
58,Ecuador,Castor oil seed,2004,15642,hg/ha,Yield
58,Ecuador,Castor oil seed,2005,15890,hg/ha,Yield
58,Ecuador,Castor oil seed,2006,15714,hg/ha,Yield
58,Ecuador,Castor oil seed,2007,15000,hg/ha,Yield
58,Ecuador,Castor oil seed,2008,15000,hg/ha,Yield
58,Ecuador,Castor oil seed,2009,15000,hg/ha,Yield
58,Ecuador,Castor oil seed,2010,15000,hg/ha,Yield
58,Ecuador,Castor oil seed,2011,15000,hg/ha,Yield
58,Ecuador,Castor oil seed,2012,15000,hg/ha,Yield
58,Ecuador,Castor oil seed,2013,15000,hg/ha,Yield
58,Ecuador,Castor oil seed,2014,15000,hg/ha,Yield
58,Ecuador,Castor oil seed,2015,15000,hg/ha,Yield
58,Ecuador,Castor oil seed,2016,15000,hg/ha,Yield
58,Ecuador,Castor oil seed,2017,15295,hg/ha,Yield
58,Ecuador,Castor oil seed,2018,15620,hg/ha,Yield
58,Ecuador,Castor oil seed,2019,15482,hg/ha,Yield
58,Ecuador,Oil palm fruit,1961,59643,hg/ha,Yield
58,Ecuador,Oil palm fruit,1962,61000,hg/ha,Yield
58,Ecuador,Oil palm fruit,1963,61000,hg/ha,Yield
58,Ecuador,Oil palm fruit,1964,60625,hg/ha,Yield
58,Ecuador,Oil palm fruit,1965,59737,hg/ha,Yield
58,Ecuador,Oil palm fruit,1966,60588,hg/ha,Yield
58,Ecuador,Oil palm fruit,1967,59524,hg/ha,Yield
58,Ecuador,Oil palm fruit,1968,60000,hg/ha,Yield
58,Ecuador,Oil palm fruit,1969,60606,hg/ha,Yield
58,Ecuador,Oil palm fruit,1970,60000,hg/ha,Yield
58,Ecuador,Oil palm fruit,1971,60000,hg/ha,Yield
58,Ecuador,Oil palm fruit,1972,60606,hg/ha,Yield
58,Ecuador,Oil palm fruit,1973,61481,hg/ha,Yield
58,Ecuador,Oil palm fruit,1974,64286,hg/ha,Yield
58,Ecuador,Oil palm fruit,1975,64076,hg/ha,Yield
58,Ecuador,Oil palm fruit,1976,59513,hg/ha,Yield
58,Ecuador,Oil palm fruit,1977,87500,hg/ha,Yield
58,Ecuador,Oil palm fruit,1978,61989,hg/ha,Yield
58,Ecuador,Oil palm fruit,1979,93364,hg/ha,Yield
58,Ecuador,Oil palm fruit,1980,95400,hg/ha,Yield
58,Ecuador,Oil palm fruit,1981,115385,hg/ha,Yield
58,Ecuador,Oil palm fruit,1982,115410,hg/ha,Yield
58,Ecuador,Oil palm fruit,1983,124124,hg/ha,Yield
58,Ecuador,Oil palm fruit,1984,127581,hg/ha,Yield
58,Ecuador,Oil palm fruit,1985,133715,hg/ha,Yield
58,Ecuador,Oil palm fruit,1986,149486,hg/ha,Yield
58,Ecuador,Oil palm fruit,1987,142965,hg/ha,Yield
58,Ecuador,Oil palm fruit,1988,128360,hg/ha,Yield
58,Ecuador,Oil palm fruit,1989,163145,hg/ha,Yield
58,Ecuador,Oil palm fruit,1990,142708,hg/ha,Yield
58,Ecuador,Oil palm fruit,1991,96452,hg/ha,Yield
58,Ecuador,Oil palm fruit,1992,138036,hg/ha,Yield
58,Ecuador,Oil palm fruit,1993,144881,hg/ha,Yield
58,Ecuador,Oil palm fruit,1994,125171,hg/ha,Yield
58,Ecuador,Oil palm fruit,1995,109837,hg/ha,Yield
58,Ecuador,Oil palm fruit,1996,121436,hg/ha,Yield
58,Ecuador,Oil palm fruit,1997,119445,hg/ha,Yield
58,Ecuador,Oil palm fruit,1998,156565,hg/ha,Yield
58,Ecuador,Oil palm fruit,1999,105793,hg/ha,Yield
58,Ecuador,Oil palm fruit,2000,117816,hg/ha,Yield
58,Ecuador,Oil palm fruit,2001,113920,hg/ha,Yield
58,Ecuador,Oil palm fruit,2002,113448,hg/ha,Yield
58,Ecuador,Oil palm fruit,2003,104247,hg/ha,Yield
58,Ecuador,Oil palm fruit,2004,149712,hg/ha,Yield
58,Ecuador,Oil palm fruit,2005,110585,hg/ha,Yield
58,Ecuador,Oil palm fruit,2006,116715,hg/ha,Yield
58,Ecuador,Oil palm fruit,2007,124572,hg/ha,Yield
58,Ecuador,Oil palm fruit,2008,147445,hg/ha,Yield
58,Ecuador,Oil palm fruit,2009,113872,hg/ha,Yield
58,Ecuador,Oil palm fruit,2010,147309,hg/ha,Yield
58,Ecuador,Oil palm fruit,2011,103496,hg/ha,Yield
58,Ecuador,Oil palm fruit,2012,133401,hg/ha,Yield
58,Ecuador,Oil palm fruit,2013,105872,hg/ha,Yield
58,Ecuador,Oil palm fruit,2014,127514,hg/ha,Yield
58,Ecuador,Oil palm fruit,2015,143818,hg/ha,Yield
58,Ecuador,Oil palm fruit,2016,118408,hg/ha,Yield
58,Ecuador,Oil palm fruit,2017,125858,hg/ha,Yield
58,Ecuador,Oil palm fruit,2018,124385,hg/ha,Yield
