Area Code (FAO),Nation,Item,Year,yf_agrc_oil_bearing_tonne_ha,Unit,Element
9,Argentina,Castor oil seed,1961,7545,hg/ha,Yield
9,Argentina,Castor oil seed,1962,8133,hg/ha,Yield
9,Argentina,Castor oil seed,1963,6967,hg/ha,Yield
9,Argentina,Castor oil seed,1964,5844,hg/ha,Yield
9,Argentina,Castor oil seed,1965,6371,hg/ha,Yield
9,Argentina,Castor oil seed,1966,6066,hg/ha,Yield
9,Argentina,Castor oil seed,1967,6614,hg/ha,Yield
9,Argentina,Castor oil seed,1968,7366,hg/ha,Yield
9,Argentina,Castor oil seed,1969,9625,hg/ha,Yield
9,Argentina,Castor oil seed,1970,6565,hg/ha,Yield
9,Argentina,Castor oil seed,1971,6905,hg/ha,Yield
9,Argentina,Castor oil seed,1972,6213,hg/ha,Yield
9,Argentina,Castor oil seed,1973,7354,hg/ha,Yield
9,Argentina,Castor oil seed,1974,3577,hg/ha,Yield
9,Argentina,Castor oil seed,1975,13308,hg/ha,Yield
9,Argentina,Castor oil seed,1976,10821,hg/ha,Yield
9,Argentina,Castor oil seed,1977,6429,hg/ha,Yield
9,Argentina,Castor oil seed,1978,10000,hg/ha,Yield
9,Argentina,Castor oil seed,1979,5000,hg/ha,Yield
21,Brazil,Castor oil seed,1961,7332,hg/ha,Yield
21,Brazil,Castor oil seed,1962,7916,hg/ha,Yield
21,Brazil,Castor oil seed,1963,7808,hg/ha,Yield
21,Brazil,Castor oil seed,1964,8926,hg/ha,Yield
21,Brazil,Castor oil seed,1965,9007,hg/ha,Yield
21,Brazil,Castor oil seed,1966,9487,hg/ha,Yield
21,Brazil,Castor oil seed,1967,9849,hg/ha,Yield
21,Brazil,Castor oil seed,1968,9822,hg/ha,Yield
21,Brazil,Castor oil seed,1969,10020,hg/ha,Yield
21,Brazil,Castor oil seed,1970,9149,hg/ha,Yield
21,Brazil,Castor oil seed,1971,10028,hg/ha,Yield
21,Brazil,Castor oil seed,1972,10221,hg/ha,Yield
21,Brazil,Castor oil seed,1973,9046,hg/ha,Yield
21,Brazil,Castor oil seed,1974,8944,hg/ha,Yield
21,Brazil,Castor oil seed,1975,8876,hg/ha,Yield
21,Brazil,Castor oil seed,1976,8129,hg/ha,Yield
21,Brazil,Castor oil seed,1977,8812,hg/ha,Yield
21,Brazil,Castor oil seed,1978,9051,hg/ha,Yield
21,Brazil,Castor oil seed,1979,8675,hg/ha,Yield
21,Brazil,Castor oil seed,1980,6372,hg/ha,Yield
21,Brazil,Castor oil seed,1981,6523,hg/ha,Yield
21,Brazil,Castor oil seed,1982,4161,hg/ha,Yield
21,Brazil,Castor oil seed,1983,6359,hg/ha,Yield
21,Brazil,Castor oil seed,1984,5392,hg/ha,Yield
21,Brazil,Castor oil seed,1985,8406,hg/ha,Yield
21,Brazil,Castor oil seed,1986,5721,hg/ha,Yield
21,Brazil,Castor oil seed,1987,4059,hg/ha,Yield
21,Brazil,Castor oil seed,1988,5304,hg/ha,Yield
21,Brazil,Castor oil seed,1989,4768,hg/ha,Yield
21,Brazil,Castor oil seed,1990,5161,hg/ha,Yield
21,Brazil,Castor oil seed,1991,5552,hg/ha,Yield
21,Brazil,Castor oil seed,1992,5824,hg/ha,Yield
21,Brazil,Castor oil seed,1993,3061,hg/ha,Yield
21,Brazil,Castor oil seed,1994,5083,hg/ha,Yield
21,Brazil,Castor oil seed,1995,4337,hg/ha,Yield
21,Brazil,Castor oil seed,1996,3450,hg/ha,Yield
21,Brazil,Castor oil seed,1997,6363,hg/ha,Yield
21,Brazil,Castor oil seed,1998,2638,hg/ha,Yield
21,Brazil,Castor oil seed,1999,3215,hg/ha,Yield
21,Brazil,Castor oil seed,2000,5406,hg/ha,Yield
21,Brazil,Castor oil seed,2001,5824,hg/ha,Yield
21,Brazil,Castor oil seed,2002,6214,hg/ha,Yield
21,Brazil,Castor oil seed,2003,6251,hg/ha,Yield
21,Brazil,Castor oil seed,2004,8034,hg/ha,Yield
21,Brazil,Castor oil seed,2005,7310,hg/ha,Yield
21,Brazil,Castor oil seed,2006,6289,hg/ha,Yield
21,Brazil,Castor oil seed,2007,6020,hg/ha,Yield
21,Brazil,Castor oil seed,2008,7749,hg/ha,Yield
21,Brazil,Castor oil seed,2009,5713,hg/ha,Yield
21,Brazil,Castor oil seed,2010,6268,hg/ha,Yield
21,Brazil,Castor oil seed,2011,5764,hg/ha,Yield
21,Brazil,Castor oil seed,2012,3080,hg/ha,Yield
21,Brazil,Castor oil seed,2013,2871,hg/ha,Yield
21,Brazil,Castor oil seed,2014,5919,hg/ha,Yield
21,Brazil,Castor oil seed,2015,5670,hg/ha,Yield
21,Brazil,Castor oil seed,2016,5551,hg/ha,Yield
21,Brazil,Castor oil seed,2017,2859,hg/ha,Yield
