Year,Nation,Production Quantity,Unit,Item
1961,Belize,,tonnes,"Coffee, green"
1962,Belize,,tonnes,"Coffee, green"
1963,Belize,,tonnes,"Coffee, green"
1964,Belize,,tonnes,"Coffee, green"
1965,Belize,,tonnes,"Coffee, green"
1966,Belize,,tonnes,"Coffee, green"
1967,Belize,,tonnes,"Coffee, green"
1968,Belize,,tonnes,"Coffee, green"
1969,Belize,,tonnes,"Coffee, green"
1970,Belize,,tonnes,"Coffee, green"
1971,Belize,,tonnes,"Coffee, green"
1972,Belize,,tonnes,"Coffee, green"
1973,Belize,,tonnes,"Coffee, green"
1974,Belize,,tonnes,"Coffee, green"
1975,Belize,,tonnes,"Coffee, green"
1976,Belize,,tonnes,"Coffee, green"
1977,Belize,,tonnes,"Coffee, green"
1978,Belize,,tonnes,"Coffee, green"
1979,Belize,,tonnes,"Coffee, green"
1980,Belize,,tonnes,"Coffee, green"
1981,Belize,,tonnes,"Coffee, green"
1982,Belize,,tonnes,"Coffee, green"
1983,Belize,,tonnes,"Coffee, green"
1984,Belize,,tonnes,"Coffee, green"
1985,Belize,,tonnes,"Coffee, green"
1986,Belize,,tonnes,"Coffee, green"
1987,Belize,,tonnes,"Coffee, green"
1988,Belize,,tonnes,"Coffee, green"
1989,Belize,,tonnes,"Coffee, green"
1990,Belize,,tonnes,"Coffee, green"
1991,Belize,,tonnes,"Coffee, green"
1992,Belize,,tonnes,"Coffee, green"
1993,Belize,,tonnes,"Coffee, green"
1994,Belize,,tonnes,"Coffee, green"
1995,Belize,,tonnes,"Coffee, green"
1996,Belize,,tonnes,"Coffee, green"
1997,Belize,,tonnes,"Coffee, green"
1998,Belize,93,tonnes,"Coffee, green"
1999,Belize,70,tonnes,"Coffee, green"
2000,Belize,165,tonnes,"Coffee, green"
2001,Belize,229,tonnes,"Coffee, green"
2002,Belize,227,tonnes,"Coffee, green"
2003,Belize,229,tonnes,"Coffee, green"
2004,Belize,231,tonnes,"Coffee, green"
2005,Belize,54,tonnes,"Coffee, green"
2006,Belize,95,tonnes,"Coffee, green"
2007,Belize,45,tonnes,"Coffee, green"
2008,Belize,90,tonnes,"Coffee, green"
2009,Belize,105,tonnes,"Coffee, green"
2010,Belize,90,tonnes,"Coffee, green"
2011,Belize,91,tonnes,"Coffee, green"
2012,Belize,89,tonnes,"Coffee, green"
2013,Belize,87,tonnes,"Coffee, green"
2014,Belize,88,tonnes,"Coffee, green"
2015,Belize,91,tonnes,"Coffee, green"
2016,Belize,92,tonnes,"Coffee, green"
2017,Belize,90,tonnes,"Coffee, green"
2018,Belize,89,tonnes,"Coffee, green"
2019,Belize,88,tonnes,"Coffee, green"
1961,Bolivia (Plurinational State of),4400,tonnes,"Coffee, green"
1962,Bolivia (Plurinational State of),4400,tonnes,"Coffee, green"
1963,Bolivia (Plurinational State of),4400,tonnes,"Coffee, green"
1964,Bolivia (Plurinational State of),7400,tonnes,"Coffee, green"
1965,Bolivia (Plurinational State of),4700,tonnes,"Coffee, green"
1966,Bolivia (Plurinational State of),7700,tonnes,"Coffee, green"
1967,Bolivia (Plurinational State of),8200,tonnes,"Coffee, green"
1968,Bolivia (Plurinational State of),9500,tonnes,"Coffee, green"
1969,Bolivia (Plurinational State of),10100,tonnes,"Coffee, green"
1970,Bolivia (Plurinational State of),11200,tonnes,"Coffee, green"
1971,Bolivia (Plurinational State of),12400,tonnes,"Coffee, green"
1972,Bolivia (Plurinational State of),13000,tonnes,"Coffee, green"
1973,Bolivia (Plurinational State of),13400,tonnes,"Coffee, green"
1974,Bolivia (Plurinational State of),13870,tonnes,"Coffee, green"
1975,Bolivia (Plurinational State of),14900,tonnes,"Coffee, green"
1976,Bolivia (Plurinational State of),14664,tonnes,"Coffee, green"
1977,Bolivia (Plurinational State of),13372,tonnes,"Coffee, green"
1978,Bolivia (Plurinational State of),13424,tonnes,"Coffee, green"
1979,Bolivia (Plurinational State of),15700,tonnes,"Coffee, green"
1980,Bolivia (Plurinational State of),20540,tonnes,"Coffee, green"
1981,Bolivia (Plurinational State of),21325,tonnes,"Coffee, green"
1982,Bolivia (Plurinational State of),21179,tonnes,"Coffee, green"
1983,Bolivia (Plurinational State of),21141,tonnes,"Coffee, green"
1984,Bolivia (Plurinational State of),21566,tonnes,"Coffee, green"
1985,Bolivia (Plurinational State of),23361,tonnes,"Coffee, green"
1986,Bolivia (Plurinational State of),24153,tonnes,"Coffee, green"
1987,Bolivia (Plurinational State of),25200,tonnes,"Coffee, green"
1988,Bolivia (Plurinational State of),25450,tonnes,"Coffee, green"
1989,Bolivia (Plurinational State of),26740,tonnes,"Coffee, green"
1990,Bolivia (Plurinational State of),24378,tonnes,"Coffee, green"
1991,Bolivia (Plurinational State of),14071,tonnes,"Coffee, green"
1992,Bolivia (Plurinational State of),15179,tonnes,"Coffee, green"
1993,Bolivia (Plurinational State of),13153,tonnes,"Coffee, green"
1994,Bolivia (Plurinational State of),19216,tonnes,"Coffee, green"
1995,Bolivia (Plurinational State of),20323,tonnes,"Coffee, green"
1996,Bolivia (Plurinational State of),22015,tonnes,"Coffee, green"
1997,Bolivia (Plurinational State of),22608,tonnes,"Coffee, green"
1998,Bolivia (Plurinational State of),22532,tonnes,"Coffee, green"
1999,Bolivia (Plurinational State of),26931,tonnes,"Coffee, green"
2000,Bolivia (Plurinational State of),27696,tonnes,"Coffee, green"
2001,Bolivia (Plurinational State of),24086,tonnes,"Coffee, green"
2002,Bolivia (Plurinational State of),24513,tonnes,"Coffee, green"
2003,Bolivia (Plurinational State of),24700,tonnes,"Coffee, green"
2004,Bolivia (Plurinational State of),24546,tonnes,"Coffee, green"
2005,Bolivia (Plurinational State of),24976,tonnes,"Coffee, green"
2006,Bolivia (Plurinational State of),25272,tonnes,"Coffee, green"
2007,Bolivia (Plurinational State of),27012,tonnes,"Coffee, green"
2008,Bolivia (Plurinational State of),27305,tonnes,"Coffee, green"
2009,Bolivia (Plurinational State of),28270,tonnes,"Coffee, green"
2010,Bolivia (Plurinational State of),27327,tonnes,"Coffee, green"
2011,Bolivia (Plurinational State of),27596,tonnes,"Coffee, green"
2012,Bolivia (Plurinational State of),28137,tonnes,"Coffee, green"
2013,Bolivia (Plurinational State of),29455,tonnes,"Coffee, green"
2014,Bolivia (Plurinational State of),20496,tonnes,"Coffee, green"
