Year,Nation,ef_frst_forestmethane_primary_gg_ch4_ha,Unit,Item
2011,Argentina,3.5482,kilotonnes,Other forest
2012,Argentina,3.5512,kilotonnes,Other forest
2013,Argentina,4.7357,kilotonnes,Other forest
2014,Argentina,0.9909,kilotonnes,Other forest
2015,Argentina,3.8021,kilotonnes,Other forest
2016,Argentina,2.1268,kilotonnes,Other forest
2017,Argentina,2.116,kilotonnes,Other forest
2018,Argentina,1.3883,kilotonnes,Other forest
2019,Argentina,1.7431,kilotonnes,Other forest
2011,Bahamas,0.0745,kilotonnes,Other forest
2012,Bahamas,0,kilotonnes,Other forest
2013,Bahamas,0.0025,kilotonnes,Other forest
2014,Bahamas,0.0646,kilotonnes,Other forest
2015,Bahamas,0.1266,kilotonnes,Other forest
2016,Bahamas,0.1465,kilotonnes,Other forest
2017,Bahamas,0.1018,kilotonnes,Other forest
2018,Bahamas,0,kilotonnes,Other forest
2019,Bahamas,0,kilotonnes,Other forest
2011,Barbados,0,kilotonnes,Other forest
2012,Barbados,0,kilotonnes,Other forest
2013,Barbados,0,kilotonnes,Other forest
2014,Barbados,0,kilotonnes,Other forest
2015,Barbados,0,kilotonnes,Other forest
2016,Barbados,0,kilotonnes,Other forest
2017,Barbados,0,kilotonnes,Other forest
2018,Barbados,0,kilotonnes,Other forest
2019,Barbados,0,kilotonnes,Other forest
2011,Belize,0,kilotonnes,Other forest
2012,Belize,0,kilotonnes,Other forest
2013,Belize,0,kilotonnes,Other forest
2014,Belize,0,kilotonnes,Other forest
2015,Belize,0,kilotonnes,Other forest
2016,Belize,0,kilotonnes,Other forest
2017,Belize,0,kilotonnes,Other forest
2018,Belize,0,kilotonnes,Other forest
2019,Belize,0,kilotonnes,Other forest
2011,Bolivia (Plurinational State of),2.7907,kilotonnes,Other forest
2012,Bolivia (Plurinational State of),5.1771,kilotonnes,Other forest
2013,Bolivia (Plurinational State of),1.4241,kilotonnes,Other forest
