Year,Nation,Production Quantity,Unit,Item
1961,Argentina,18000,tonnes,Artichokes
1962,Argentina,18300,tonnes,Artichokes
1963,Argentina,14650,tonnes,Artichokes
1964,Argentina,14050,tonnes,Artichokes
1965,Argentina,19500,tonnes,Artichokes
1966,Argentina,45850,tonnes,Artichokes
1967,Argentina,52146,tonnes,Artichokes
1968,Argentina,62400,tonnes,Artichokes
1969,Argentina,65200,tonnes,Artichokes
1970,Argentina,67600,tonnes,Artichokes
1971,Argentina,69950,tonnes,Artichokes
1972,Argentina,81500,tonnes,Artichokes
1973,Argentina,75700,tonnes,Artichokes
1974,Argentina,80800,tonnes,Artichokes
1975,Argentina,83220,tonnes,Artichokes
1976,Argentina,50000,tonnes,Artichokes
1977,Argentina,51800,tonnes,Artichokes
1978,Argentina,53300,tonnes,Artichokes
1979,Argentina,55600,tonnes,Artichokes
1980,Argentina,58800,tonnes,Artichokes
1981,Argentina,61500,tonnes,Artichokes
1982,Argentina,78300,tonnes,Artichokes
1983,Argentina,76730,tonnes,Artichokes
1984,Argentina,60900,tonnes,Artichokes
1985,Argentina,76600,tonnes,Artichokes
1986,Argentina,62900,tonnes,Artichokes
1987,Argentina,76000,tonnes,Artichokes
1988,Argentina,70000,tonnes,Artichokes
1989,Argentina,70000,tonnes,Artichokes
1990,Argentina,72000,tonnes,Artichokes
1991,Argentina,71579,tonnes,Artichokes
1992,Argentina,73000,tonnes,Artichokes
1993,Argentina,73919,tonnes,Artichokes
1994,Argentina,74000,tonnes,Artichokes
1995,Argentina,75000,tonnes,Artichokes
1996,Argentina,77198,tonnes,Artichokes
1997,Argentina,79323,tonnes,Artichokes
1998,Argentina,80869,tonnes,Artichokes
1999,Argentina,85000,tonnes,Artichokes
2000,Argentina,83763,tonnes,Artichokes
2001,Argentina,85042,tonnes,Artichokes
2002,Argentina,86000,tonnes,Artichokes
2003,Argentina,88000,tonnes,Artichokes
2004,Argentina,89021,tonnes,Artichokes
2005,Argentina,90696,tonnes,Artichokes
2006,Argentina,92021,tonnes,Artichokes
2007,Argentina,90000,tonnes,Artichokes
2008,Argentina,95046,tonnes,Artichokes
2009,Argentina,96842,tonnes,Artichokes
2010,Argentina,98655,tonnes,Artichokes
2011,Argentina,100500,tonnes,Artichokes
2012,Argentina,106000,tonnes,Artichokes
2013,Argentina,104131,tonnes,Artichokes
2014,Argentina,105062,tonnes,Artichokes
2015,Argentina,106771,tonnes,Artichokes
2016,Argentina,107688,tonnes,Artichokes
2017,Argentina,109076,tonnes,Artichokes
2018,Argentina,110464,tonnes,Artichokes
2019,Argentina,111853,tonnes,Artichokes
1961,Argentina,1000,tonnes,Asparagus
1962,Argentina,1350,tonnes,Asparagus
1963,Argentina,1250,tonnes,Asparagus
1964,Argentina,1400,tonnes,Asparagus
1965,Argentina,1450,tonnes,Asparagus
1966,Argentina,1700,tonnes,Asparagus
1967,Argentina,4020,tonnes,Asparagus
1968,Argentina,3150,tonnes,Asparagus
1969,Argentina,3270,tonnes,Asparagus
1970,Argentina,3155,tonnes,Asparagus
1971,Argentina,3421,tonnes,Asparagus
1972,Argentina,3820,tonnes,Asparagus
1973,Argentina,3800,tonnes,Asparagus
1974,Argentina,2700,tonnes,Asparagus
1975,Argentina,3412,tonnes,Asparagus
1976,Argentina,3700,tonnes,Asparagus
1977,Argentina,3800,tonnes,Asparagus
1978,Argentina,3600,tonnes,Asparagus
1979,Argentina,3660,tonnes,Asparagus
1980,Argentina,3000,tonnes,Asparagus
1981,Argentina,3600,tonnes,Asparagus
1982,Argentina,3800,tonnes,Asparagus
1983,Argentina,4050,tonnes,Asparagus
1984,Argentina,4700,tonnes,Asparagus
1985,Argentina,4400,tonnes,Asparagus
1986,Argentina,4540,tonnes,Asparagus
1987,Argentina,4900,tonnes,Asparagus
1988,Argentina,4650,tonnes,Asparagus
1989,Argentina,4700,tonnes,Asparagus
1990,Argentina,4843,tonnes,Asparagus
1991,Argentina,4800,tonnes,Asparagus
1992,Argentina,4900,tonnes,Asparagus
1993,Argentina,5025,tonnes,Asparagus
1994,Argentina,5000,tonnes,Asparagus
1995,Argentina,5500,tonnes,Asparagus
1996,Argentina,6000,tonnes,Asparagus
1997,Argentina,5954,tonnes,Asparagus
1998,Argentina,6161,tonnes,Asparagus
1999,Argentina,6800,tonnes,Asparagus
2000,Argentina,6529,tonnes,Asparagus
2001,Argentina,6671,tonnes,Asparagus
2002,Argentina,6900,tonnes,Asparagus
2003,Argentina,7000,tonnes,Asparagus
2004,Argentina,6924,tonnes,Asparagus
2005,Argentina,7291,tonnes,Asparagus
2006,Argentina,7100,tonnes,Asparagus
2007,Argentina,7200,tonnes,Asparagus
2008,Argentina,7911,tonnes,Asparagus
2009,Argentina,8394,tonnes,Asparagus
2010,Argentina,8812,tonnes,Asparagus
2011,Argentina,9248,tonnes,Asparagus
2012,Argentina,10500,tonnes,Asparagus
2013,Argentina,10100,tonnes,Asparagus
2014,Argentina,10184,tonnes,Asparagus
2015,Argentina,10580,tonnes,Asparagus
2016,Argentina,10922,tonnes,Asparagus
2017,Argentina,11198,tonnes,Asparagus
2018,Argentina,11475,tonnes,Asparagus
2019,Argentina,11751,tonnes,Asparagus
1961,Argentina,1500,tonnes,"Chillies and peppers, dry"
1962,Argentina,1500,tonnes,"Chillies and peppers, dry"
1963,Argentina,1500,tonnes,"Chillies and peppers, dry"
1964,Argentina,1700,tonnes,"Chillies and peppers, dry"
1965,Argentina,1700,tonnes,"Chillies and peppers, dry"
1966,Argentina,1700,tonnes,"Chillies and peppers, dry"
1967,Argentina,2000,tonnes,"Chillies and peppers, dry"
1968,Argentina,2000,tonnes,"Chillies and peppers, dry"
1969,Argentina,2500,tonnes,"Chillies and peppers, dry"
1970,Argentina,1920,tonnes,"Chillies and peppers, dry"
1971,Argentina,1700,tonnes,"Chillies and peppers, dry"
1972,Argentina,3100,tonnes,"Chillies and peppers, dry"
1973,Argentina,5600,tonnes,"Chillies and peppers, dry"
1974,Argentina,2480,tonnes,"Chillies and peppers, dry"
1975,Argentina,3500,tonnes,"Chillies and peppers, dry"
1976,Argentina,5890,tonnes,"Chillies and peppers, dry"
1977,Argentina,5650,tonnes,"Chillies and peppers, dry"
1978,Argentina,5000,tonnes,"Chillies and peppers, dry"
1979,Argentina,4200,tonnes,"Chillies and peppers, dry"
1980,Argentina,2800,tonnes,"Chillies and peppers, dry"
1981,Argentina,1630,tonnes,"Chillies and peppers, dry"
1982,Argentina,1430,tonnes,"Chillies and peppers, dry"
1983,Argentina,1910,tonnes,"Chillies and peppers, dry"
1984,Argentina,2110,tonnes,"Chillies and peppers, dry"
1985,Argentina,3000,tonnes,"Chillies and peppers, dry"
1986,Argentina,2950,tonnes,"Chillies and peppers, dry"
1987,Argentina,2700,tonnes,"Chillies and peppers, dry"
1988,Argentina,2600,tonnes,"Chillies and peppers, dry"
1989,Argentina,2600,tonnes,"Chillies and peppers, dry"
1990,Argentina,2800,tonnes,"Chillies and peppers, dry"
1991,Argentina,2900,tonnes,"Chillies and peppers, dry"
1992,Argentina,3000,tonnes,"Chillies and peppers, dry"
1993,Argentina,3100,tonnes,"Chillies and peppers, dry"
1994,Argentina,3085,tonnes,"Chillies and peppers, dry"
1995,Argentina,3164,tonnes,"Chillies and peppers, dry"
1996,Argentina,3125,tonnes,"Chillies and peppers, dry"
1997,Argentina,3137,tonnes,"Chillies and peppers, dry"
1998,Argentina,3149,tonnes,"Chillies and peppers, dry"
1999,Argentina,3200,tonnes,"Chillies and peppers, dry"
2000,Argentina,3100,tonnes,"Chillies and peppers, dry"
2001,Argentina,3156,tonnes,"Chillies and peppers, dry"
2002,Argentina,3200,tonnes,"Chillies and peppers, dry"
2003,Argentina,3167,tonnes,"Chillies and peppers, dry"
2004,Argentina,3167,tonnes,"Chillies and peppers, dry"
2005,Argentina,3169,tonnes,"Chillies and peppers, dry"
2006,Argentina,3200,tonnes,"Chillies and peppers, dry"
2007,Argentina,3300,tonnes,"Chillies and peppers, dry"
2008,Argentina,3196,tonnes,"Chillies and peppers, dry"
2009,Argentina,3178,tonnes,"Chillies and peppers, dry"
2010,Argentina,3165,tonnes,"Chillies and peppers, dry"
2011,Argentina,3152,tonnes,"Chillies and peppers, dry"
2012,Argentina,3000,tonnes,"Chillies and peppers, dry"
2013,Argentina,3167,tonnes,"Chillies and peppers, dry"
2014,Argentina,3192,tonnes,"Chillies and peppers, dry"
2015,Argentina,3171,tonnes,"Chillies and peppers, dry"
2016,Argentina,3165,tonnes,"Chillies and peppers, dry"
2017,Argentina,3166,tonnes,"Chillies and peppers, dry"
2018,Argentina,3168,tonnes,"Chillies and peppers, dry"
2019,Argentina,3169,tonnes,"Chillies and peppers, dry"
1961,Argentina,59000,tonnes,"Chillies and peppers, green"
1962,Argentina,59900,tonnes,"Chillies and peppers, green"
1963,Argentina,48450,tonnes,"Chillies and peppers, green"
1964,Argentina,61050,tonnes,"Chillies and peppers, green"
1965,Argentina,73800,tonnes,"Chillies and peppers, green"
1966,Argentina,67500,tonnes,"Chillies and peppers, green"
1967,Argentina,75390,tonnes,"Chillies and peppers, green"
1968,Argentina,72450,tonnes,"Chillies and peppers, green"
1969,Argentina,85060,tonnes,"Chillies and peppers, green"
1970,Argentina,46580,tonnes,"Chillies and peppers, green"
1971,Argentina,70300,tonnes,"Chillies and peppers, green"
1972,Argentina,79250,tonnes,"Chillies and peppers, green"
1973,Argentina,107960,tonnes,"Chillies and peppers, green"
1974,Argentina,74940,tonnes,"Chillies and peppers, green"
1975,Argentina,51990,tonnes,"Chillies and peppers, green"
1976,Argentina,62850,tonnes,"Chillies and peppers, green"
1977,Argentina,85000,tonnes,"Chillies and peppers, green"
1978,Argentina,92200,tonnes,"Chillies and peppers, green"
1979,Argentina,92100,tonnes,"Chillies and peppers, green"
1980,Argentina,92000,tonnes,"Chillies and peppers, green"
1981,Argentina,81030,tonnes,"Chillies and peppers, green"
1982,Argentina,86430,tonnes,"Chillies and peppers, green"
1983,Argentina,81690,tonnes,"Chillies and peppers, green"
1984,Argentina,77110,tonnes,"Chillies and peppers, green"
1985,Argentina,68400,tonnes,"Chillies and peppers, green"
1986,Argentina,90960,tonnes,"Chillies and peppers, green"
1987,Argentina,91000,tonnes,"Chillies and peppers, green"
1988,Argentina,90900,tonnes,"Chillies and peppers, green"
1989,Argentina,91000,tonnes,"Chillies and peppers, green"
1990,Argentina,96500,tonnes,"Chillies and peppers, green"
1991,Argentina,92000,tonnes,"Chillies and peppers, green"
1992,Argentina,90800,tonnes,"Chillies and peppers, green"
1993,Argentina,90000,tonnes,"Chillies and peppers, green"
1994,Argentina,80000,tonnes,"Chillies and peppers, green"
1995,Argentina,84000,tonnes,"Chillies and peppers, green"
1996,Argentina,90000,tonnes,"Chillies and peppers, green"
1997,Argentina,99332,tonnes,"Chillies and peppers, green"
1998,Argentina,126505,tonnes,"Chillies and peppers, green"
1999,Argentina,125700,tonnes,"Chillies and peppers, green"
2000,Argentina,120241,tonnes,"Chillies and peppers, green"
2001,Argentina,122000,tonnes,"Chillies and peppers, green"
2002,Argentina,123000,tonnes,"Chillies and peppers, green"
2003,Argentina,125000,tonnes,"Chillies and peppers, green"
2004,Argentina,125510,tonnes,"Chillies and peppers, green"
2005,Argentina,126114,tonnes,"Chillies and peppers, green"
2006,Argentina,126000,tonnes,"Chillies and peppers, green"
2007,Argentina,127000,tonnes,"Chillies and peppers, green"
2008,Argentina,133113,tonnes,"Chillies and peppers, green"
2009,Argentina,140000,tonnes,"Chillies and peppers, green"
2010,Argentina,145411,tonnes,"Chillies and peppers, green"
2011,Argentina,142888,tonnes,"Chillies and peppers, green"
2012,Argentina,142776,tonnes,"Chillies and peppers, green"
2013,Argentina,144103,tonnes,"Chillies and peppers, green"
2014,Argentina,145634,tonnes,"Chillies and peppers, green"
2015,Argentina,150677,tonnes,"Chillies and peppers, green"
2016,Argentina,150697,tonnes,"Chillies and peppers, green"
2017,Argentina,152134,tonnes,"Chillies and peppers, green"
2018,Argentina,153570,tonnes,"Chillies and peppers, green"
2019,Argentina,155006,tonnes,"Chillies and peppers, green"
1961,Argentina,31800,tonnes,Garlic
1962,Argentina,30200,tonnes,Garlic
1963,Argentina,33700,tonnes,Garlic
1964,Argentina,43800,tonnes,Garlic
1965,Argentina,41400,tonnes,Garlic
1966,Argentina,41400,tonnes,Garlic
1967,Argentina,42400,tonnes,Garlic
1968,Argentina,41200,tonnes,Garlic
1969,Argentina,46100,tonnes,Garlic
1970,Argentina,49200,tonnes,Garlic
1971,Argentina,49300,tonnes,Garlic
1972,Argentina,50800,tonnes,Garlic
1973,Argentina,54600,tonnes,Garlic
1974,Argentina,66900,tonnes,Garlic
1975,Argentina,67700,tonnes,Garlic
1976,Argentina,68600,tonnes,Garlic
1977,Argentina,73000,tonnes,Garlic
1978,Argentina,79000,tonnes,Garlic
1979,Argentina,81000,tonnes,Garlic
1980,Argentina,95000,tonnes,Garlic
1981,Argentina,69000,tonnes,Garlic
1982,Argentina,37700,tonnes,Garlic
1983,Argentina,48100,tonnes,Garlic
1984,Argentina,50600,tonnes,Garlic
1985,Argentina,36600,tonnes,Garlic
1986,Argentina,31700,tonnes,Garlic
1987,Argentina,41700,tonnes,Garlic
1988,Argentina,36000,tonnes,Garlic
1989,Argentina,33100,tonnes,Garlic
1990,Argentina,40350,tonnes,Garlic
1991,Argentina,74000,tonnes,Garlic
1992,Argentina,92350,tonnes,Garlic
1993,Argentina,76495,tonnes,Garlic
1994,Argentina,88203,tonnes,Garlic
1995,Argentina,73596,tonnes,Garlic
1996,Argentina,91580,tonnes,Garlic
1997,Argentina,116598,tonnes,Garlic
1998,Argentina,148120,tonnes,Garlic
1999,Argentina,145000,tonnes,Garlic
2000,Argentina,149186,tonnes,Garlic
2001,Argentina,133818,tonnes,Garlic
