calib_targets,sector
frac_trww_tow_removed_treated_septic,CircularEconomy
frac_trww_tow_removed_untreated_no_sewerage,CircularEconomy
frac_trww_tow_removed_untreated_with_sewerage,CircularEconomy
mcf_trww_treated_advanced_aerobic,CircularEconomy
mcf_trww_treated_advanced_anaerobic,CircularEconomy
mcf_trww_treated_latrine_improved,CircularEconomy
mcf_trww_treated_latrine_unimproved,CircularEconomy
mcf_trww_treated_primary,CircularEconomy
mcf_trww_treated_secondary_aerobic,CircularEconomy
mcf_trww_treated_secondary_anaerobic,CircularEconomy
mcf_trww_treated_septic,CircularEconomy
mcf_trww_untreated_no_sewerage,CircularEconomy
mcf_trww_untreated_with_sewerage,CircularEconomy
physparam_krem_sludge_factor_treated_advanced_aerobic,CircularEconomy
physparam_krem_sludge_factor_treated_secondary_aerobic,CircularEconomy
occrateinit_gnrl_occupancy,CircularEconomy
qty_waso_initial_municipal_waste_tonne_per_capita,CircularEconomy
gasrf_waso_biogas,CircularEconomy
factor_waso_waste_per_capita_scalar_chemical_industrial,CircularEconomy
gasrf_waso_landfill_to_ch4,CircularEconomy
oxf_waso_average_landfilled,CircularEconomy
gasrf_trww_biogas_treated_advanced_anaerobic,CircularEconomy
frac_waso_non_recycled_open_dump,CircularEconomy
frac_waso_initial_composition_ind_food,CircularEconomy
frac_waso_initial_composition_ind_wood,CircularEconomy
factor_waso_waste_per_capita_scalar_plastic,CircularEconomy
frac_waso_initial_composition_mun_sludge,CircularEconomy
frac_waso_recycled_rubber_leather,CircularEconomy
frac_waso_compost_food,CircularEconomy
frac_waso_compost_sludge,CircularEconomy
frac_waso_recycled_glass,CircularEconomy
frac_waso_biogas_food,CircularEconomy
frac_waso_msw_incinerated_recovered_for_energy,CircularEconomy
factor_waso_waste_per_capita_scalar_sludge,CircularEconomy
frac_waso_initial_composition_ind_plastic,CircularEconomy
factor_waso_waste_per_capita_scalar_nappies,CircularEconomy
gasrf_trww_biogas_treated_secondary_anaerobic,CircularEconomy
param_wali_n_hh_scalar,CircularEconomy
frac_waso_recycled_wood,CircularEconomy
factor_waso_waste_per_capita_scalar_paper,CircularEconomy
frac_waso_initial_composition_ind_nappies,CircularEconomy
factor_waso_waste_per_capita_scalar_glass,CircularEconomy
frac_waso_non_recycled_incinerated,CircularEconomy
factor_waso_waste_per_capita_scalar_rubber_leather,CircularEconomy
vkmt_per_vehicle_waso,CircularEconomy
factor_waso_waste_per_capita_scalar_wood,CircularEconomy
frac_waso_recycled_textiles,CircularEconomy
qty_waso_industrial_waste_kt_per_mmm_gdp,CircularEconomy
frac_waso_initial_composition_ind_glass,CircularEconomy
frac_waso_non_recycled_landfilled,CircularEconomy
factor_waso_waste_per_capita_scalar_metal,CircularEconomy
frac_waso_initial_composition_ind_other,CircularEconomy
frac_waso_recycled_plastic,CircularEconomy
frac_waso_initial_composition_ind_rubber_leather,CircularEconomy
frac_waso_biogas_yard,CircularEconomy
frac_waso_recycled_metal,CircularEconomy
factor_waso_waste_per_capita_scalar_yard,CircularEconomy
elasticity_gnrl_rate_occupancy_to_gdppc,CircularEconomy
frac_waso_initial_composition_ind_paper,CircularEconomy
frac_waso_initial_composition_ind_yard,CircularEconomy
gasrf_trww_biogas_treated_secondary_aerobic,CircularEconomy
frac_waso_initial_composition_ind_textiles,CircularEconomy
frac_waso_initial_composition_ind_chemical_industrial,CircularEconomy
frac_waso_biogas_sludge,CircularEconomy
frac_waso_compost_methane_flared,CircularEconomy
frac_waso_initial_composition_ind_metal,CircularEconomy
frac_waso_compost_yard,CircularEconomy
frac_waso_lgc_recovered_for_energy,CircularEconomy
gasrf_trww_biogas_treated_advanced_aerobic,CircularEconomy
factor_waso_waste_per_capita_scalar_textiles,CircularEconomy
frac_waso_initial_composition_ind_sludge,CircularEconomy
frac_waso_initial_composition_mun_chemical_industrial,CircularEconomy
factor_waso_waste_per_capita_scalar_other,CircularEconomy
frac_waso_isw_incinerated_recovered_for_energy,CircularEconomy
elasticity_protein_in_diet_to_gdppc,CircularEconomy
frac_gnrl_eating_red_meat,CircularEconomy
frac_waso_recycled_paper,CircularEconomy
genfactor_lvst_daily_volatile_solids_cattle_nondairy,AFOLU
mcf_lsmm_deep_bedding,AFOLU
mcf_lsmm_daily_spread,AFOLU
mcf_lsmm_composting,AFOLU
mcf_lsmm_anaerobic_lagoon,AFOLU
