time,area,value,id,type
0,argentina,12.927730587468357,0,simulation
1,argentina,13.258944850205605,0,simulation
2,argentina,13.58975441813056,0,simulation
3,argentina,13.920035001126909,0,simulation
4,argentina,14.250165569904379,0,simulation
5,argentina,14.579201311861652,0,simulation
6,argentina,14.907350189102692,0,simulation
7,argentina,15.234794616822438,0,simulation
8,argentina,15.561801467598682,0,simulation
0,argentina,12.027039801210048,1,simulation
1,argentina,12.333976347446171,1,simulation
2,argentina,12.640545336020159,1,simulation
3,argentina,12.946630949621717,1,simulation
4,argentina,13.252588988814896,1,simulation
5,argentina,13.55753091639111,1,simulation
6,argentina,13.861657040349115,1,simulation
7,argentina,14.165136180043312,1,simulation
8,argentina,14.468215479197866,1,simulation
0,argentina,14.21766194045033,2,simulation
1,argentina,14.601143568798857,2,simulation
2,argentina,14.98424452715544,2,simulation
3,argentina,15.366815161560009,2,simulation
4,argentina,15.749307831004515,2,simulation
5,argentina,16.130578490326407,2,simulation
6,argentina,16.51089246926231,2,simulation
7,argentina,16.890457651473742,2,simulation
8,argentina,17.26958029780455,2,simulation
0,argentina,13.328238046601994,3,simulation
1,argentina,13.671798982944386,3,simulation
2,argentina,14.014967822777926,3,simulation
3,argentina,14.357614307189811,3,simulation
4,argentina,14.700127812676582,3,simulation
5,argentina,15.041533078668593,3,simulation
6,argentina,15.382040711284361,3,simulation
7,argentina,15.721838816385361,3,simulation
8,argentina,16.06120326642906,3,simulation
0,argentina,9.497741448455335,4,simulation
1,argentina,9.723695621708847,4,simulation
2,argentina,9.949298829495532,4,simulation
3,argentina,10.174470226564218,4,simulation
4,argentina,10.399474805571908,4,simulation
5,argentina,10.623664712565688,4,simulation
6,argentina,10.847189763268087,4,simulation
7,argentina,11.070177433948189,4,simulation
8,argentina,11.292812363120273,4,simulation
0,argentina,14.756214095420946,5,simulation
1,argentina,15.154748556586316,5,simulation
2,argentina,15.552883382050357,5,simulation
3,argentina,15.950463810868111,5,simulation
4,argentina,16.34794958401089,5,simulation
5,argentina,16.744178899090794,5,simulation
6,argentina,17.139410777036627,5,simulation
7,argentina,17.533861295936035,5,simulation
8,argentina,17.927848719380037,5,simulation
0,argentina,14.077478756857051,6,simulation
1,argentina,14.454084842412865,6,simulation
2,argentina,14.830325635238976,6,simulation
3,argentina,15.206053684941413,6,simulation
4,argentina,15.581713932720746,6,simulation
5,argentina,15.956179704171992,6,simulation
6,argentina,16.32971292031489,6,simulation
7,argentina,16.702517431701192,6,simulation
8,argentina,17.07489375501456,6,simulation
0,argentina,12.235124430037057,7,simulation
1,argentina,12.54394103755548,7,simulation
2,argentina,12.852404736811721,7,simulation
3,argentina,13.16039818984713,7,simulation
4,argentina,13.46827775466379,7,simulation
5,argentina,13.775150815265295,7,simulation
6,argentina,14.081216800358948,7,simulation
7,argentina,14.386644913470166,7,simulation
8,argentina,14.69168325971621,7,simulation
0,argentina,13.340256768040886,8,simulation
1,argentina,13.684726662897548,8,simulation
2,argentina,14.028826168980945,8,simulation
3,argentina,14.372423219270635,8,simulation
4,argentina,14.715911954770814,8,simulation
5,argentina,15.058301103859552,8,simulation
6,argentina,15.399808507312216,8,simulation
7,argentina,15.740621931254477,8,simulation
8,argentina,16.081017292017858,8,simulation
0,argentina,12.641807031332938,9,simulation
1,argentina,12.958022042214072,9,simulation
2,argentina,13.27386920133387,9,simulation
3,argentina,13.589228991363775,9,simulation
4,argentina,13.904461678328413,9,simulation
5,argentina,14.218666260863403,9,simulation
6,argentina,14.532039318128307,9,simulation
7,argentina,14.844754318752337,9,simulation
8,argentina,15.157065468477157,9,simulation
0,argentina,13.340004028519418,10,simulation
1,argentina,13.69214425277058,10,simulation
2,argentina,14.043903660367251,10,simulation
3,argentina,14.395147305995415,10,simulation
4,argentina,14.746277785629509,10,simulation
5,argentina,15.096282734561923,10,simulation
6,argentina,15.4453843171065,10,simulation
7,argentina,15.793774521806073,10,simulation
8,argentina,16.1417354408585,10,simulation
0,argentina,13.2819587013176,11,simulation
1,argentina,13.637308685314807,11,simulation
2,argentina,13.992306552157993,11,simulation
