,Nation,Year,personas,rural_pob_share,urban_pob_share
9,argentina,1960,20481781.0,0.26389,0.73611
23,bahamas,1960,109532.0,0.40287999999999996,0.59712
26,belize,1960,92068.0,0.45972,0.54028
29,brazil,1960,72179235.0,0.5386099999999999,0.46139
30,barbados,1960,230985.0,0.63223,0.36777
39,chile,1960,8132988.0,0.32164000000000004,0.67836
45,colombia,1960,16057714.0,0.53732,0.46268
48,costa_rica,1960,1330787.0,0.6574599999999999,0.34253999999999996
59,dominican_republic,1960,3294222.0,0.69809,0.30191
66,ecuador,1960,4543658.0,0.66122,0.33878
92,guatemala,1960,4128880.0,0.68879,0.31121
94,guyana,1960,571813.0,0.70991,0.29009
97,honduras,1960,2038636.0,0.77253,0.22747
100,haiti,1960,3866162.0,0.84407,0.15593
117,jamaica,1960,1628524.0,0.66231,0.33769
154,mexico,1960,37771861.0,0.49247,0.50753
175,nicaragua,1960,1773132.0,0.60419,0.39581000000000005
185,panama,1960,1133005.0,0.58751,0.41249
186,peru,1960,10155011.0,0.53189,0.46811
195,paraguay,1960,1903990.0,0.6443099999999999,0.35569
211,el_salvador,1960,2766319.0,0.61646,0.38354
250,uruguay,1960,2538648.0,0.19759000000000002,0.80241
275,argentina,1961,20817270.0,0.25783,0.74217
289,bahamas,1961,115119.0,0.39546,0.60454
292,belize,1961,94700.0,0.4628,0.5372
295,brazil,1961,74311338.0,0.52878,0.47121999999999997
296,barbados,1961,231718.0,0.63151,0.36849
305,chile,1961,8303804.0,0.3134,0.6866
311,colombia,1961,16567817.0,0.52298,0.47702
314,costa_rica,1961,1381187.0,0.65671,0.34329
325,dominican_republic,1961,3406282.0,0.68888,0.31112
332,ecuador,1961,4674176.0,0.65534,0.34466
358,guatemala,1961,4251911.0,0.68232,0.31768
360,guyana,1961,589274.0,0.70951,0.29048999999999997
363,honduras,1961,2096407.0,0.7668200000000001,0.23318000000000003
366,haiti,1961,3941956.0,0.84025,0.15975
383,jamaica,1961,1651067.0,0.655,0.345
420,mexico,1961,38966049.0,0.4841,0.5159
441,nicaragua,1961,1829772.0,0.5997,0.4003
451,panama,1961,1167120.0,0.5814699999999999,0.41853
452,peru,1961,10446618.0,0.5260199999999999,0.47398
461,paraguay,1961,1954552.0,0.6433,0.3567
477,el_salvador,1961,2846601.0,0.61473,0.38527
516,uruguay,1961,2571682.0,0.19538,0.80462
541,argentina,1962,21153042.0,0.25233,0.74767
555,bahamas,1962,121092.0,0.38807,0.61193
558,belize,1962,97392.0,0.46590000000000004,0.5341
561,brazil,1962,76514329.0,0.5190100000000001,0.48099
562,barbados,1962,232623.0,0.63078,0.36922
571,chile,1962,8476895.0,0.30565000000000003,0.69435
577,colombia,1962,17092919.0,0.50857,0.49143000000000003
580,costa_rica,1962,1433346.0,0.65596,0.34404
591,dominican_republic,1962,3521018.0,0.67926,0.32073999999999997
598,ecuador,1962,4809194.0,0.6494,0.3506
624,guatemala,1962,4378604.0,0.6757599999999999,0.32424
626,guyana,1962,606286.0,0.70911,0.29089
629,honduras,1962,2155648.0,0.7609999999999999,0.239
632,haiti,1962,4019171.0,0.83635,0.16365
649,jamaica,1962,1676500.0,0.6476099999999999,0.35239
686,mexico,1962,40195318.0,0.47572000000000003,0.52428
707,nicaragua,1962,1887426.0,0.59519,0.40481
717,panama,1962,1202447.0,0.57506,0.42494
718,peru,1962,10749463.0,0.51486,0.48514
727,paraguay,1962,2006675.0,0.64229,0.35771000000000003
743,el_salvador,1962,2931187.0,0.61372,0.38628
782,uruguay,1962,2603883.0,0.19319,0.80681
807,argentina,1963,21488916.0,0.24691,0.7530899999999999
821,bahamas,1963,127340.0,0.38073999999999997,0.61926
824,belize,1963,100165.0,0.46899,0.53101
827,brazil,1963,78772647.0,0.50922,0.49078000000000005
828,barbados,1963,233632.0,0.63005,0.36995
837,chile,1963,8650390.0,0.298,0.7020000000000001
843,colombia,1963,17629978.0,0.49416,0.5058400000000001
