Nation,Year,value,model,iso_code3
antigua_and_barbuda,1990,0.0,IPPU,ATG
antigua_and_barbuda,1991,0.0,IPPU,ATG
antigua_and_barbuda,1992,0.0,IPPU,ATG
antigua_and_barbuda,1993,0.0,IPPU,ATG
antigua_and_barbuda,1994,0.0,IPPU,ATG
antigua_and_barbuda,1995,0.0,IPPU,ATG
antigua_and_barbuda,1996,0.0,IPPU,ATG
antigua_and_barbuda,1997,0.0,IPPU,ATG
antigua_and_barbuda,1998,0.0,IPPU,ATG
antigua_and_barbuda,1999,0.0,IPPU,ATG
antigua_and_barbuda,2000,0.0,IPPU,ATG
antigua_and_barbuda,2001,0.0,IPPU,ATG
antigua_and_barbuda,2002,0.0,IPPU,ATG
antigua_and_barbuda,2003,0.0,IPPU,ATG
antigua_and_barbuda,2004,0.0,IPPU,ATG
antigua_and_barbuda,2005,0.0,IPPU,ATG
antigua_and_barbuda,2006,0.0,IPPU,ATG
antigua_and_barbuda,2007,0.0,IPPU,ATG
antigua_and_barbuda,2008,0.0,IPPU,ATG
antigua_and_barbuda,2009,0.0,IPPU,ATG
antigua_and_barbuda,2010,0.0,IPPU,ATG
antigua_and_barbuda,2011,0.0,IPPU,ATG
antigua_and_barbuda,2012,0.0,IPPU,ATG
antigua_and_barbuda,2013,0.0,IPPU,ATG
antigua_and_barbuda,2014,0.0,IPPU,ATG
antigua_and_barbuda,2015,0.0,IPPU,ATG
antigua_and_barbuda,2016,0.0,IPPU,ATG
antigua_and_barbuda,2017,0.0,IPPU,ATG
antigua_and_barbuda,2018,0.0,IPPU,ATG
antigua_and_barbuda,2019,0.0,IPPU,ATG
argentina,1990,1820.0,IPPU,ARG
argentina,1991,2200.0,IPPU,ARG
argentina,1992,2500.0,IPPU,ARG
argentina,1993,2760.0,IPPU,ARG
argentina,1994,3050.0,IPPU,ARG
argentina,1995,2620.0,IPPU,ARG
argentina,1996,2420.0,IPPU,ARG
argentina,1997,3170.0,IPPU,ARG
argentina,1998,3280.0,IPPU,ARG
argentina,1999,3290.0,IPPU,ARG
argentina,2000,2770.0,IPPU,ARG
argentina,2001,2480.0,IPPU,ARG
argentina,2002,1730.0,IPPU,ARG
argentina,2003,2280.0,IPPU,ARG
argentina,2004,2700.0,IPPU,ARG
argentina,2005,3240.0,IPPU,ARG
argentina,2006,3760.0,IPPU,ARG
argentina,2007,4000.0,IPPU,ARG
argentina,2008,3990.0,IPPU,ARG
argentina,2009,3810.0,IPPU,ARG
argentina,2010,4180.0,IPPU,ARG
argentina,2011,4590.0,IPPU,ARG
argentina,2012,4180.0,IPPU,ARG
argentina,2013,4580.0,IPPU,ARG
argentina,2014,4340.0,IPPU,ARG
argentina,2015,4570.0,IPPU,ARG
argentina,2016,4030.0000000000005,IPPU,ARG
argentina,2017,4420.0,IPPU,ARG
argentina,2018,4380.0,IPPU,ARG
argentina,2019,4100.0,IPPU,ARG
bahamas,1990,0.0,IPPU,BHS
bahamas,1991,0.0,IPPU,BHS
bahamas,1992,0.0,IPPU,BHS
bahamas,1993,0.0,IPPU,BHS
bahamas,1994,0.0,IPPU,BHS
bahamas,1995,0.0,IPPU,BHS
bahamas,1996,0.0,IPPU,BHS
bahamas,1997,0.0,IPPU,BHS
bahamas,1998,0.0,IPPU,BHS
bahamas,1999,0.0,IPPU,BHS
bahamas,2000,0.0,IPPU,BHS
bahamas,2001,0.0,IPPU,BHS
bahamas,2002,0.0,IPPU,BHS
bahamas,2003,0.0,IPPU,BHS
bahamas,2004,0.0,IPPU,BHS
bahamas,2005,0.0,IPPU,BHS
bahamas,2006,0.0,IPPU,BHS
bahamas,2007,0.0,IPPU,BHS
bahamas,2008,0.0,IPPU,BHS
bahamas,2009,0.0,IPPU,BHS
bahamas,2010,0.0,IPPU,BHS
bahamas,2011,0.0,IPPU,BHS
bahamas,2012,0.0,IPPU,BHS
bahamas,2013,0.0,IPPU,BHS
bahamas,2014,0.0,IPPU,BHS
bahamas,2015,0.0,IPPU,BHS
bahamas,2016,0.0,IPPU,BHS
bahamas,2017,0.0,IPPU,BHS
bahamas,2018,0.0,IPPU,BHS
bahamas,2019,0.0,IPPU,BHS
barbados,1990,100.0,IPPU,BRB
barbados,1991,100.0,IPPU,BRB
barbados,1992,90.0,IPPU,BRB
barbados,1993,30.0,IPPU,BRB
barbados,1994,40.0,IPPU,BRB
barbados,1995,40.0,IPPU,BRB
barbados,1996,50.0,IPPU,BRB
barbados,1997,90.0,IPPU,BRB
barbados,1998,130.0,IPPU,BRB
barbados,1999,130.0,IPPU,BRB
barbados,2000,130.0,IPPU,BRB
barbados,2001,120.0,IPPU,BRB
barbados,2002,150.0,IPPU,BRB
barbados,2003,150.0,IPPU,BRB
barbados,2004,150.0,IPPU,BRB
barbados,2005,150.0,IPPU,BRB
barbados,2006,150.0,IPPU,BRB
barbados,2007,150.0,IPPU,BRB
barbados,2008,140.0,IPPU,BRB
