Year,Nation,prodinit_ippu_paper_tonne
1990,argentina,310213.7366833242
1991,argentina,310213.7366833242
1992,argentina,310213.7366833242
1993,argentina,310213.7366833242
1994,argentina,310213.7366833242
1995,argentina,310213.7366833242
1996,argentina,310213.7366833242
1997,argentina,310213.7366833242
1998,argentina,310213.7366833242
1999,argentina,310213.7366833242
2000,argentina,310213.7366833242
2001,argentina,310213.7366833242
2002,argentina,310213.7366833242
2003,argentina,310213.7366833242
2004,argentina,310213.7366833242
2005,argentina,310213.7366833242
2006,argentina,310213.7366833242
2007,argentina,310213.7366833242
2008,argentina,310213.7366833242
2009,argentina,310213.7366833242
2010,argentina,310213.7366833242
2011,argentina,310213.7366833242
2012,argentina,310213.7366833242
2013,argentina,310213.7366833242
2014,argentina,310213.7366833242
2015,argentina,310213.7366833242
2016,argentina,310213.7366833242
2017,argentina,310213.7366833242
2018,argentina,310213.7366833242
2019,argentina,310213.7366833242
1990,bahamas,145414.9041312342
1991,bahamas,145414.9041312342
1992,bahamas,145414.9041312342
1993,bahamas,145414.9041312342
1994,bahamas,145414.9041312342
1995,bahamas,145414.9041312342
1996,bahamas,145414.9041312342
1997,bahamas,145414.9041312342
1998,bahamas,145414.9041312342
1999,bahamas,145414.9041312342
2000,bahamas,145414.9041312342
2001,bahamas,145414.9041312342
2002,bahamas,145414.9041312342
2003,bahamas,145414.9041312342
2004,bahamas,145414.9041312342
2005,bahamas,145414.9041312342
2006,bahamas,145414.9041312342
2007,bahamas,145414.9041312342
2008,bahamas,145414.9041312342
2009,bahamas,145414.9041312342
2010,bahamas,145414.9041312342
2011,bahamas,145414.9041312342
2012,bahamas,145414.9041312342
2013,bahamas,145414.9041312342
2014,bahamas,145414.9041312342
2015,bahamas,145414.9041312342
2016,bahamas,145414.9041312342
2017,bahamas,145414.9041312342
2018,bahamas,145414.9041312342
2019,bahamas,145414.9041312342
1990,barbados,145414.9041312342
1991,barbados,145414.9041312342
1992,barbados,145414.9041312342
1993,barbados,145414.9041312342
1994,barbados,145414.9041312342
1995,barbados,145414.9041312342
1996,barbados,145414.9041312342
1997,barbados,145414.9041312342
1998,barbados,145414.9041312342
1999,barbados,145414.9041312342
2000,barbados,145414.9041312342
2001,barbados,145414.9041312342
2002,barbados,145414.9041312342
2003,barbados,145414.9041312342
2004,barbados,145414.9041312342
2005,barbados,145414.9041312342
2006,barbados,145414.9041312342
2007,barbados,145414.9041312342
2008,barbados,145414.9041312342
2009,barbados,145414.9041312342
2010,barbados,145414.9041312342
2011,barbados,145414.9041312342
2012,barbados,145414.9041312342
2013,barbados,145414.9041312342
2014,barbados,145414.9041312342
2015,barbados,145414.9041312342
2016,barbados,145414.9041312342
2017,barbados,145414.9041312342
2018,barbados,145414.9041312342
2019,barbados,145414.9041312342
1990,belize,145414.9041312342
1991,belize,145414.9041312342
1992,belize,145414.9041312342
1993,belize,145414.9041312342
1994,belize,145414.9041312342
1995,belize,145414.9041312342
1996,belize,145414.9041312342
1997,belize,145414.9041312342
1998,belize,145414.9041312342
1999,belize,145414.9041312342
2000,belize,145414.9041312342
2001,belize,145414.9041312342
2002,belize,145414.9041312342
2003,belize,145414.9041312342
2004,belize,145414.9041312342
2005,belize,145414.9041312342
2006,belize,145414.9041312342
2007,belize,145414.9041312342
2008,belize,145414.9041312342
2009,belize,145414.9041312342
2010,belize,145414.9041312342
2011,belize,145414.9041312342
2012,belize,145414.9041312342
2013,belize,145414.9041312342
2014,belize,145414.9041312342
2015,belize,145414.9041312342
2016,belize,145414.9041312342
2017,belize,145414.9041312342
2018,belize,145414.9041312342
2019,belize,145414.9041312342
1990,bolivia,5177.710642257714
1991,bolivia,5177.710642257714
1992,bolivia,5177.710642257714
1993,bolivia,5177.710642257714
1994,bolivia,5177.710642257714
1995,bolivia,5177.710642257714
1996,bolivia,5177.710642257714
1997,bolivia,5177.710642257714
1998,bolivia,5177.710642257714
1999,bolivia,5177.710642257714
2000,bolivia,5177.710642257714
2001,bolivia,5177.710642257714
2002,bolivia,5177.710642257714
2003,bolivia,5177.710642257714
2004,bolivia,5177.710642257714
2005,bolivia,5177.710642257714
2006,bolivia,5177.710642257714
2007,bolivia,5177.710642257714
2008,bolivia,5177.710642257714
2009,bolivia,5177.710642257714
2010,bolivia,5177.710642257714
2011,bolivia,5177.710642257714
2012,bolivia,5177.710642257714
2013,bolivia,5177.710642257714
2014,bolivia,5177.710642257714
2015,bolivia,5177.710642257714
2016,bolivia,5177.710642257714
2017,bolivia,5177.710642257714
2018,bolivia,5177.710642257714
2019,bolivia,5177.710642257714
1990,brazil,1183407.8118063475
1991,brazil,1183407.8118063475
1992,brazil,1183407.8118063475
1993,brazil,1183407.8118063475
1994,brazil,1183407.8118063475
1995,brazil,1183407.8118063475
1996,brazil,1183407.8118063475
1997,brazil,1183407.8118063475
1998,brazil,1183407.8118063475
1999,brazil,1183407.8118063475
2000,brazil,1183407.8118063475
2001,brazil,1183407.8118063475
2002,brazil,1183407.8118063475
2003,brazil,1183407.8118063475
2004,brazil,1183407.8118063475
2005,brazil,1183407.8118063475
2006,brazil,1183407.8118063475
2007,brazil,1183407.8118063475
2008,brazil,1183407.8118063475
2009,brazil,1183407.8118063475
2010,brazil,1183407.8118063475
2011,brazil,1183407.8118063475
2012,brazil,1183407.8118063475
2013,brazil,1183407.8118063475
2014,brazil,1183407.8118063475
2015,brazil,1183407.8118063475
2016,brazil,1183407.8118063475
2017,brazil,1183407.8118063475
2018,brazil,1183407.8118063475
2019,brazil,1183407.8118063475
1990,chile,79608.18552471555
1991,chile,79608.18552471555
1992,chile,79608.18552471555
1993,chile,79608.18552471555
1994,chile,79608.18552471555
