Year,Nation,prodinit_ippu_metals_tonne
1990,argentina,121041.1206292585
1991,argentina,121041.1206292585
1992,argentina,121041.1206292585
1993,argentina,121041.1206292585
1994,argentina,121041.1206292585
1995,argentina,121041.1206292585
1996,argentina,121041.1206292585
1997,argentina,121041.1206292585
1998,argentina,121041.1206292585
1999,argentina,121041.1206292585
2000,argentina,121041.1206292585
2001,argentina,121041.1206292585
2002,argentina,121041.1206292585
2003,argentina,121041.1206292585
2004,argentina,121041.1206292585
2005,argentina,121041.1206292585
2006,argentina,121041.1206292585
2007,argentina,121041.1206292585
2008,argentina,121041.1206292585
2009,argentina,121041.1206292585
2010,argentina,121041.1206292585
2011,argentina,121041.1206292585
2012,argentina,121041.1206292585
2013,argentina,121041.1206292585
2014,argentina,121041.1206292585
2015,argentina,121041.1206292585
2016,argentina,121041.1206292585
2017,argentina,121041.1206292585
2018,argentina,121041.1206292585
2019,argentina,121041.1206292585
1990,bahamas,56407.79437993306
1991,bahamas,56407.79437993306
1992,bahamas,56407.79437993306
1993,bahamas,56407.79437993306
1994,bahamas,56407.79437993306
1995,bahamas,56407.79437993306
1996,bahamas,56407.79437993306
1997,bahamas,56407.79437993306
1998,bahamas,56407.79437993306
1999,bahamas,56407.79437993306
2000,bahamas,56407.79437993306
2001,bahamas,56407.79437993306
2002,bahamas,56407.79437993306
2003,bahamas,56407.79437993306
2004,bahamas,56407.79437993306
2005,bahamas,56407.79437993306
2006,bahamas,56407.79437993306
2007,bahamas,56407.79437993306
2008,bahamas,56407.79437993306
2009,bahamas,56407.79437993306
2010,bahamas,56407.79437993306
2011,bahamas,56407.79437993306
2012,bahamas,56407.79437993306
2013,bahamas,56407.79437993306
2014,bahamas,56407.79437993306
2015,bahamas,56407.79437993306
2016,bahamas,56407.79437993306
2017,bahamas,56407.79437993306
2018,bahamas,56407.79437993306
2019,bahamas,56407.79437993306
1990,barbados,56407.79437993306
1991,barbados,56407.79437993306
1992,barbados,56407.79437993306
1993,barbados,56407.79437993306
1994,barbados,56407.79437993306
1995,barbados,56407.79437993306
