Year,Nation,prodinit_ippu_chemicals_tonne
1990,argentina,120346.97167411665
1991,argentina,120346.97167411665
1992,argentina,120346.97167411665
1993,argentina,120346.97167411665
1994,argentina,120346.97167411665
1995,argentina,120346.97167411665
1996,argentina,120346.97167411665
1997,argentina,120346.97167411665
1998,argentina,120346.97167411665
1999,argentina,120346.97167411665
2000,argentina,120346.97167411665
2001,argentina,120346.97167411665
2002,argentina,120346.97167411665
2003,argentina,120346.97167411665
2004,argentina,120346.97167411665
2005,argentina,120346.97167411665
2006,argentina,120346.97167411665
2007,argentina,120346.97167411665
2008,argentina,120346.97167411665
2009,argentina,120346.97167411665
2010,argentina,120346.97167411665
2011,argentina,120346.97167411665
2012,argentina,120346.97167411665
2013,argentina,120346.97167411665
2014,argentina,120346.97167411665
2015,argentina,120346.97167411665
2016,argentina,120346.97167411665
2017,argentina,120346.97167411665
2018,argentina,120346.97167411665
2019,argentina,120346.97167411665
1990,bahamas,63566.69202893142
1991,bahamas,63566.69202893142
1992,bahamas,63566.69202893142
1993,bahamas,63566.69202893142
1994,bahamas,63566.69202893142
1995,bahamas,63566.69202893142
1996,bahamas,63566.69202893142
1997,bahamas,63566.69202893142
1998,bahamas,63566.69202893142
1999,bahamas,63566.69202893142
2000,bahamas,63566.69202893142
2001,bahamas,63566.69202893142
2002,bahamas,63566.69202893142
2003,bahamas,63566.69202893142
2004,bahamas,63566.69202893142
2005,bahamas,63566.69202893142
2006,bahamas,63566.69202893142
2007,bahamas,63566.69202893142
2008,bahamas,63566.69202893142
2009,bahamas,63566.69202893142
2010,bahamas,63566.69202893142
2011,bahamas,63566.69202893142
2012,bahamas,63566.69202893142
2013,bahamas,63566.69202893142
2014,bahamas,63566.69202893142
2015,bahamas,63566.69202893142
2016,bahamas,63566.69202893142
2017,bahamas,63566.69202893142
2018,bahamas,63566.69202893142
2019,bahamas,63566.69202893142
1990,barbados,63566.69202893142
1991,barbados,63566.69202893142
1992,barbados,63566.69202893142
1993,barbados,63566.69202893142
1994,barbados,63566.69202893142
1995,barbados,63566.69202893142
1996,barbados,63566.69202893142
1997,barbados,63566.69202893142
1998,barbados,63566.69202893142
1999,barbados,63566.69202893142
2000,barbados,63566.69202893142
2001,barbados,63566.69202893142
2002,barbados,63566.69202893142
2003,barbados,63566.69202893142
2004,barbados,63566.69202893142
2005,barbados,63566.69202893142
2006,barbados,63566.69202893142
2007,barbados,63566.69202893142
2008,barbados,63566.69202893142
2009,barbados,63566.69202893142
2010,barbados,63566.69202893142
2011,barbados,63566.69202893142
2012,barbados,63566.69202893142
2013,barbados,63566.69202893142
2014,barbados,63566.69202893142
2015,barbados,63566.69202893142
2016,barbados,63566.69202893142
2017,barbados,63566.69202893142
2018,barbados,63566.69202893142
2019,barbados,63566.69202893142
1990,belize,63566.69202893142
1991,belize,63566.69202893142
1992,belize,63566.69202893142
1993,belize,63566.69202893142
1994,belize,63566.69202893142
1995,belize,63566.69202893142
1996,belize,63566.69202893142
1997,belize,63566.69202893142
1998,belize,63566.69202893142
1999,belize,63566.69202893142
2000,belize,63566.69202893142
2001,belize,63566.69202893142
