Year,Nation,prodinit_ippu_chemicals_tonne
2002,belize,63566.69202893142
2003,belize,63566.69202893142
2004,belize,63566.69202893142
2005,belize,63566.69202893142
2006,belize,63566.69202893142
2007,belize,63566.69202893142
2008,belize,63566.69202893142
2009,belize,63566.69202893142
2010,belize,63566.69202893142
2011,belize,63566.69202893142
2012,belize,63566.69202893142
2013,belize,63566.69202893142
2014,belize,63566.69202893142
2015,belize,63566.69202893142
2016,belize,63566.69202893142
2017,belize,63566.69202893142
2018,belize,63566.69202893142
2019,belize,63566.69202893142
1990,bolivia,770.20919915619
1991,bolivia,770.20919915619
1992,bolivia,770.20919915619
1993,bolivia,770.20919915619
1994,bolivia,770.20919915619
1995,bolivia,770.20919915619
1996,bolivia,770.20919915619
1997,bolivia,770.20919915619
1998,bolivia,770.20919915619
1999,bolivia,770.20919915619
2000,bolivia,770.20919915619
2001,bolivia,770.20919915619
2002,bolivia,770.20919915619
2003,bolivia,770.20919915619
2004,bolivia,770.20919915619
2005,bolivia,770.20919915619
2006,bolivia,770.20919915619
2007,bolivia,770.20919915619
2008,bolivia,770.20919915619
2009,bolivia,770.20919915619
2010,bolivia,770.20919915619
2011,bolivia,770.20919915619
2012,bolivia,770.20919915619
2013,bolivia,770.20919915619
2014,bolivia,770.20919915619
2015,bolivia,770.20919915619
2016,bolivia,770.20919915619
2017,bolivia,770.20919915619
2018,bolivia,770.20919915619
2019,bolivia,770.20919915619
1990,brazil,621312.97454178
1991,brazil,621312.97454178
1992,brazil,621312.97454178
1993,brazil,621312.97454178
1994,brazil,621312.97454178
1995,brazil,621312.97454178
1996,brazil,621312.97454178
1997,brazil,621312.97454178
1998,brazil,621312.97454178
1999,brazil,621312.97454178
2000,brazil,621312.97454178
2001,brazil,621312.97454178
2002,brazil,621312.97454178
2003,brazil,621312.97454178
2004,brazil,621312.97454178
2005,brazil,621312.97454178
2006,brazil,621312.97454178
2007,brazil,621312.97454178
2008,brazil,621312.97454178
2009,brazil,621312.97454178
2010,brazil,621312.97454178
2011,brazil,621312.97454178
2012,brazil,621312.97454178
2013,brazil,621312.97454178
2014,brazil,621312.97454178
2015,brazil,621312.97454178
2016,brazil,621312.97454178
2017,brazil,621312.97454178
2018,brazil,621312.97454178
2019,brazil,621312.97454178
1990,chile,34732.63797740143
1991,chile,34732.63797740143
1992,chile,34732.63797740143
1993,chile,34732.63797740143
1994,chile,34732.63797740143
1995,chile,34732.63797740143
1996,chile,34732.63797740143
1997,chile,34732.63797740143
1998,chile,34732.63797740143
1999,chile,34732.63797740143
2000,chile,34732.63797740143
2001,chile,34732.63797740143
2002,chile,34732.63797740143
2003,chile,34732.63797740143
2004,chile,34732.63797740143
2005,chile,34732.63797740143
2006,chile,34732.63797740143
2007,chile,34732.63797740143
2008,chile,34732.63797740143
2009,chile,34732.63797740143
2010,chile,34732.63797740143
2011,chile,34732.63797740143
2012,chile,34732.63797740143
2013,chile,34732.63797740143
2014,chile,34732.63797740143
2015,chile,34732.63797740143
2016,chile,34732.63797740143
2017,chile,34732.63797740143
2018,chile,34732.63797740143
2019,chile,34732.63797740143
1990,colombia,67257.1761965504
1991,colombia,67257.1761965504
1992,colombia,67257.1761965504
1993,colombia,67257.1761965504
1994,colombia,67257.1761965504
1995,colombia,67257.1761965504
1996,colombia,67257.1761965504
1997,colombia,67257.1761965504
1998,colombia,67257.1761965504
1999,colombia,67257.1761965504
2000,colombia,67257.1761965504
2001,colombia,67257.1761965504
2002,colombia,67257.1761965504
2003,colombia,67257.1761965504
2004,colombia,67257.1761965504
2005,colombia,67257.1761965504
2006,colombia,67257.1761965504
2007,colombia,67257.1761965504
2008,colombia,67257.1761965504
2009,colombia,67257.1761965504
2010,colombia,67257.1761965504
2011,colombia,67257.1761965504
2012,colombia,67257.1761965504
2013,colombia,67257.1761965504
2014,colombia,67257.1761965504
2015,colombia,67257.1761965504
2016,colombia,67257.1761965504
2017,colombia,67257.1761965504
2018,colombia,67257.1761965504
2019,colombia,67257.1761965504
1990,costa_rica,5818.918374074413
1991,costa_rica,5818.918374074413
1992,costa_rica,5818.918374074413
1993,costa_rica,5818.918374074413
1994,costa_rica,5818.918374074413
1995,costa_rica,5818.918374074413
1996,costa_rica,5818.918374074413
1997,costa_rica,5818.918374074413
1998,costa_rica,5818.918374074413
1999,costa_rica,5818.918374074413
2000,costa_rica,5818.918374074413
2001,costa_rica,5818.918374074413
2002,costa_rica,5818.918374074413
2003,costa_rica,5818.918374074413
2004,costa_rica,5818.918374074413
2005,costa_rica,5818.918374074413
2006,costa_rica,5818.918374074413
2007,costa_rica,5818.918374074413
2008,costa_rica,5818.918374074413
2009,costa_rica,5818.918374074413
2010,costa_rica,5818.918374074413
2011,costa_rica,5818.918374074413
2012,costa_rica,5818.918374074413
2013,costa_rica,5818.918374074413
2014,costa_rica,5818.918374074413
2015,costa_rica,5818.918374074413
2016,costa_rica,5818.918374074413
2017,costa_rica,5818.918374074413
2018,costa_rica,5818.918374074413
2019,costa_rica,5818.918374074413
1990,dominican_republic,4984.543074332742
1991,dominican_republic,4984.543074332742
1992,dominican_republic,4984.543074332742
1993,dominican_republic,4984.543074332742
1994,dominican_republic,4984.543074332742
1995,dominican_republic,4984.543074332742
1996,dominican_republic,4984.543074332742
1997,dominican_republic,4984.543074332742
1998,dominican_republic,4984.543074332742
1999,dominican_republic,4984.543074332742
2000,dominican_republic,4984.543074332742
2001,dominican_republic,4984.543074332742
2002,dominican_republic,4984.543074332742
2003,dominican_republic,4984.543074332742
2004,dominican_republic,4984.543074332742
2005,dominican_republic,4984.543074332742
2006,dominican_republic,4984.543074332742
2007,dominican_republic,4984.543074332742
2008,dominican_republic,4984.543074332742
2009,dominican_republic,4984.543074332742
2010,dominican_republic,4984.543074332742
2011,dominican_republic,4984.543074332742
2012,dominican_republic,4984.543074332742
2013,dominican_republic,4984.543074332742
2014,dominican_republic,4984.543074332742
2015,dominican_republic,4984.543074332742
2016,dominican_republic,4984.543074332742
2017,dominican_republic,4984.543074332742
2018,dominican_republic,4984.543074332742
2019,dominican_republic,4984.543074332742
1990,ecuador,10069.90741834856
1991,ecuador,10069.90741834856
1992,ecuador,10069.90741834856
1993,ecuador,10069.90741834856
1994,ecuador,10069.90741834856
1995,ecuador,10069.90741834856
1996,ecuador,10069.90741834856
1997,ecuador,10069.90741834856
1998,ecuador,10069.90741834856
1999,ecuador,10069.90741834856
2000,ecuador,10069.90741834856
2001,ecuador,10069.90741834856
2002,ecuador,10069.90741834856
2003,ecuador,10069.90741834856
2004,ecuador,10069.90741834856
2005,ecuador,10069.90741834856
2006,ecuador,10069.90741834856
2007,ecuador,10069.90741834856
2008,ecuador,10069.90741834856
2009,ecuador,10069.90741834856
2010,ecuador,10069.90741834856
2011,ecuador,10069.90741834856
2012,ecuador,10069.90741834856
2013,ecuador,10069.90741834856
2014,ecuador,10069.90741834856
2015,ecuador,10069.90741834856
2016,ecuador,10069.90741834856
2017,ecuador,10069.90741834856
2018,ecuador,10069.90741834856
2019,ecuador,10069.90741834856
1990,el_salvador,1970.3594257688346
1991,el_salvador,1970.3594257688346
1992,el_salvador,1970.3594257688346
1993,el_salvador,1970.3594257688346
1994,el_salvador,1970.3594257688346
1995,el_salvador,1970.3594257688346
1996,el_salvador,1970.3594257688346
1997,el_salvador,1970.3594257688346
1998,el_salvador,1970.3594257688346
1999,el_salvador,1970.3594257688346
2000,el_salvador,1970.3594257688346
2001,el_salvador,1970.3594257688346
2002,el_salvador,1970.3594257688346
2003,el_salvador,1970.3594257688346
2004,el_salvador,1970.3594257688346
2005,el_salvador,1970.3594257688346
2006,el_salvador,1970.3594257688346
2007,el_salvador,1970.3594257688346
2008,el_salvador,1970.3594257688346
2009,el_salvador,1970.3594257688346
2010,el_salvador,1970.3594257688346
2011,el_salvador,1970.3594257688346
2012,el_salvador,1970.3594257688346
2013,el_salvador,1970.3594257688346
2014,el_salvador,1970.3594257688346
2015,el_salvador,1970.3594257688346
2016,el_salvador,1970.3594257688346
2017,el_salvador,1970.3594257688346
2018,el_salvador,1970.3594257688346
2019,el_salvador,1970.3594257688346
1990,guatemala,8892.71572556534
1991,guatemala,8892.71572556534
1992,guatemala,8892.71572556534
1993,guatemala,8892.71572556534
1994,guatemala,8892.71572556534
1995,guatemala,8892.71572556534
1996,guatemala,8892.71572556534
1997,guatemala,8892.71572556534
1998,guatemala,8892.71572556534
1999,guatemala,8892.71572556534
2000,guatemala,8892.71572556534
2001,guatemala,8892.71572556534
2002,guatemala,8892.71572556534
2003,guatemala,8892.71572556534
2004,guatemala,8892.71572556534
2005,guatemala,8892.71572556534
2006,guatemala,8892.71572556534
2007,guatemala,8892.71572556534
2008,guatemala,8892.71572556534
2009,guatemala,8892.71572556534
2010,guatemala,8892.71572556534
2011,guatemala,8892.71572556534
2012,guatemala,8892.71572556534
2013,guatemala,8892.71572556534
2014,guatemala,8892.71572556534
2015,guatemala,8892.71572556534
2016,guatemala,8892.71572556534
2017,guatemala,8892.71572556534
2018,guatemala,8892.71572556534
2019,guatemala,8892.71572556534
1990,guyana,63566.69202893142
1991,guyana,63566.69202893142
1992,guyana,63566.69202893142
1993,guyana,63566.69202893142
1994,guyana,63566.69202893142
1995,guyana,63566.69202893142
1996,guyana,63566.69202893142
1997,guyana,63566.69202893142
1998,guyana,63566.69202893142
1999,guyana,63566.69202893142
2000,guyana,63566.69202893142
2001,guyana,63566.69202893142
2002,guyana,63566.69202893142
2003,guyana,63566.69202893142
2004,guyana,63566.69202893142
2005,guyana,63566.69202893142
2006,guyana,63566.69202893142
2007,guyana,63566.69202893142
2008,guyana,63566.69202893142
2009,guyana,63566.69202893142
2010,guyana,63566.69202893142
2011,guyana,63566.69202893142
2012,guyana,63566.69202893142
2013,guyana,63566.69202893142
2014,guyana,63566.69202893142
2015,guyana,63566.69202893142
2016,guyana,63566.69202893142
2017,guyana,63566.69202893142
2018,guyana,63566.69202893142
2019,guyana,63566.69202893142
1990,haiti,63566.69202893142
1991,haiti,63566.69202893142
1992,haiti,63566.69202893142
1993,haiti,63566.69202893142
1994,haiti,63566.69202893142
1995,haiti,63566.69202893142
1996,haiti,63566.69202893142
1997,haiti,63566.69202893142
1998,haiti,63566.69202893142
1999,haiti,63566.69202893142
2000,haiti,63566.69202893142
2001,haiti,63566.69202893142
2002,haiti,63566.69202893142
2003,haiti,63566.69202893142
2004,haiti,63566.69202893142
2005,haiti,63566.69202893142
2006,haiti,63566.69202893142
2007,haiti,63566.69202893142
2008,haiti,63566.69202893142
2009,haiti,63566.69202893142
2010,haiti,63566.69202893142
2011,haiti,63566.69202893142
2012,haiti,63566.69202893142
2013,haiti,63566.69202893142
2014,haiti,63566.69202893142
2015,haiti,63566.69202893142
2016,haiti,63566.69202893142
2017,haiti,63566.69202893142
2018,haiti,63566.69202893142
2019,haiti,63566.69202893142
1990,honduras,1313.4287901191228
1991,honduras,1313.4287901191228
1992,honduras,1313.4287901191228
1993,honduras,1313.4287901191228
1994,honduras,1313.4287901191228
1995,honduras,1313.4287901191228
1996,honduras,1313.4287901191228
1997,honduras,1313.4287901191228
1998,honduras,1313.4287901191228
1999,honduras,1313.4287901191228
2000,honduras,1313.4287901191228
2001,honduras,1313.4287901191228
2002,honduras,1313.4287901191228
2003,honduras,1313.4287901191228
2004,honduras,1313.4287901191228
2005,honduras,1313.4287901191228
2006,honduras,1313.4287901191228
2007,honduras,1313.4287901191228
2008,honduras,1313.4287901191228
2009,honduras,1313.4287901191228
2010,honduras,1313.4287901191228
2011,honduras,1313.4287901191228
2012,honduras,1313.4287901191228
2013,honduras,1313.4287901191228
2014,honduras,1313.4287901191228
2015,honduras,1313.4287901191228
2016,honduras,1313.4287901191228
2017,honduras,1313.4287901191228
2018,honduras,1313.4287901191228
2019,honduras,1313.4287901191228
1990,jamaica,63566.69202893142
1991,jamaica,63566.69202893142
1992,jamaica,63566.69202893142
1993,jamaica,63566.69202893142
1994,jamaica,63566.69202893142
1995,jamaica,63566.69202893142
1996,jamaica,63566.69202893142
1997,jamaica,63566.69202893142
1998,jamaica,63566.69202893142
1999,jamaica,63566.69202893142
2000,jamaica,63566.69202893142
2001,jamaica,63566.69202893142
2002,jamaica,63566.69202893142
2003,jamaica,63566.69202893142
2004,jamaica,63566.69202893142
2005,jamaica,63566.69202893142
2006,jamaica,63566.69202893142
2007,jamaica,63566.69202893142
2008,jamaica,63566.69202893142
2009,jamaica,63566.69202893142
2010,jamaica,63566.69202893142
2011,jamaica,63566.69202893142
2012,jamaica,63566.69202893142
2013,jamaica,63566.69202893142
2014,jamaica,63566.69202893142
2015,jamaica,63566.69202893142
2016,jamaica,63566.69202893142
2017,jamaica,63566.69202893142
2018,jamaica,63566.69202893142
2019,jamaica,63566.69202893142
1990,mexico,194600.77646801315
1991,mexico,194600.77646801315
1992,mexico,194600.77646801315
1993,mexico,194600.77646801315
1994,mexico,194600.77646801315
1995,mexico,194600.77646801315
1996,mexico,194600.77646801315
1997,mexico,194600.77646801315
1998,mexico,194600.77646801315
1999,mexico,194600.77646801315
2000,mexico,194600.77646801315
2001,mexico,194600.77646801315
2002,mexico,194600.77646801315
2003,mexico,194600.77646801315
2004,mexico,194600.77646801315
2005,mexico,194600.77646801315
2006,mexico,194600.77646801315
2007,mexico,194600.77646801315
2008,mexico,194600.77646801315
2009,mexico,194600.77646801315
2010,mexico,194600.77646801315
2011,mexico,194600.77646801315
2012,mexico,194600.77646801315
2013,mexico,194600.77646801315
2014,mexico,194600.77646801315
2015,mexico,194600.77646801315
2016,mexico,194600.77646801315
2017,mexico,194600.77646801315
2018,mexico,194600.77646801315
2019,mexico,194600.77646801315
1990,nicaragua,362.9448615004378
1991,nicaragua,362.9448615004378
1992,nicaragua,362.9448615004378
1993,nicaragua,362.9448615004378
1994,nicaragua,362.9448615004378
1995,nicaragua,362.9448615004378
1996,nicaragua,362.9448615004378
1997,nicaragua,362.9448615004378
1998,nicaragua,362.9448615004378
1999,nicaragua,362.9448615004378
2000,nicaragua,362.9448615004378
2001,nicaragua,362.9448615004378
2002,nicaragua,362.9448615004378
2003,nicaragua,362.9448615004378
2004,nicaragua,362.9448615004378
2005,nicaragua,362.9448615004378
2006,nicaragua,362.9448615004378
2007,nicaragua,362.9448615004378
2008,nicaragua,362.9448615004378
2009,nicaragua,362.9448615004378
2010,nicaragua,362.9448615004378
2011,nicaragua,362.9448615004378
2012,nicaragua,362.9448615004378
2013,nicaragua,362.9448615004378
2014,nicaragua,362.9448615004378
2015,nicaragua,362.9448615004378
2016,nicaragua,362.9448615004378
2017,nicaragua,362.9448615004378
2018,nicaragua,362.9448615004378
2019,nicaragua,362.9448615004378
1990,panama,1755.5705600354947
1991,panama,1755.5705600354947
1992,panama,1755.5705600354947
1993,panama,1755.5705600354947
1994,panama,1755.5705600354947
1995,panama,1755.5705600354947
1996,panama,1755.5705600354947
1997,panama,1755.5705600354947
1998,panama,1755.5705600354947
1999,panama,1755.5705600354947
2000,panama,1755.5705600354947
2001,panama,1755.5705600354947
2002,panama,1755.5705600354947
2003,panama,1755.5705600354947
2004,panama,1755.5705600354947
2005,panama,1755.5705600354947
2006,panama,1755.5705600354947
2007,panama,1755.5705600354947
2008,panama,1755.5705600354947
2009,panama,1755.5705600354947
2010,panama,1755.5705600354947
2011,panama,1755.5705600354947
2012,panama,1755.5705600354947
2013,panama,1755.5705600354947
2014,panama,1755.5705600354947
2015,panama,1755.5705600354947
2016,panama,1755.5705600354947
2017,panama,1755.5705600354947
2018,panama,1755.5705600354947
2019,panama,1755.5705600354947
1990,paraguay,5453.791689327186
1991,paraguay,5453.791689327186
1992,paraguay,5453.791689327186
1993,paraguay,5453.791689327186
1994,paraguay,5453.791689327186
1995,paraguay,5453.791689327186
1996,paraguay,5453.791689327186
1997,paraguay,5453.791689327186
1998,paraguay,5453.791689327186
1999,paraguay,5453.791689327186
2000,paraguay,5453.791689327186
2001,paraguay,5453.791689327186
2002,paraguay,5453.791689327186
2003,paraguay,5453.791689327186
2004,paraguay,5453.791689327186
2005,paraguay,5453.791689327186
2006,paraguay,5453.791689327186
2007,paraguay,5453.791689327186
2008,paraguay,5453.791689327186
2009,paraguay,5453.791689327186
2010,paraguay,5453.791689327186
2011,paraguay,5453.791689327186
2012,paraguay,5453.791689327186
2013,paraguay,5453.791689327186
2014,paraguay,5453.791689327186
2015,paraguay,5453.791689327186
2016,paraguay,5453.791689327186
2017,paraguay,5453.791689327186
2018,paraguay,5453.791689327186
2019,paraguay,5453.791689327186
1990,peru,25968.131786788243
1991,peru,25968.131786788243
1992,peru,25968.131786788243
1993,peru,25968.131786788243
1994,peru,25968.131786788243
1995,peru,25968.131786788243
1996,peru,25968.131786788243
1997,peru,25968.131786788243
1998,peru,25968.131786788243
1999,peru,25968.131786788243
2000,peru,25968.131786788243
2001,peru,25968.131786788243
2002,peru,25968.131786788243
2003,peru,25968.131786788243
2004,peru,25968.131786788243
2005,peru,25968.131786788243
2006,peru,25968.131786788243
2007,peru,25968.131786788243
2008,peru,25968.131786788243
2009,peru,25968.131786788243
2010,peru,25968.131786788243
2011,peru,25968.131786788243
2012,peru,25968.131786788243
2013,peru,25968.131786788243
2014,peru,25968.131786788243
2015,peru,25968.131786788243
2016,peru,25968.131786788243
2017,peru,25968.131786788243
2018,peru,25968.131786788243
2019,peru,25968.131786788243
1990,suriname,63566.69202893142
1991,suriname,63566.69202893142
1992,suriname,63566.69202893142
1993,suriname,63566.69202893142
1994,suriname,63566.69202893142
1995,suriname,63566.69202893142
1996,suriname,63566.69202893142
1997,suriname,63566.69202893142
1998,suriname,63566.69202893142
1999,suriname,63566.69202893142
2000,suriname,63566.69202893142
2001,suriname,63566.69202893142
2002,suriname,63566.69202893142
2003,suriname,63566.69202893142
2004,suriname,63566.69202893142
2005,suriname,63566.69202893142
2006,suriname,63566.69202893142
2007,suriname,63566.69202893142
2008,suriname,63566.69202893142
2009,suriname,63566.69202893142
2010,suriname,63566.69202893142
2011,suriname,63566.69202893142
2012,suriname,63566.69202893142
2013,suriname,63566.69202893142
2014,suriname,63566.69202893142
2015,suriname,63566.69202893142
2016,suriname,63566.69202893142
2017,suriname,63566.69202893142
2018,suriname,63566.69202893142
2019,suriname,63566.69202893142
1990,trinidad_and_tobago,63566.69202893142
1991,trinidad_and_tobago,63566.69202893142
1992,trinidad_and_tobago,63566.69202893142
1993,trinidad_and_tobago,63566.69202893142
1994,trinidad_and_tobago,63566.69202893142
1995,trinidad_and_tobago,63566.69202893142
1996,trinidad_and_tobago,63566.69202893142
1997,trinidad_and_tobago,63566.69202893142
1998,trinidad_and_tobago,63566.69202893142
1999,trinidad_and_tobago,63566.69202893142
2000,trinidad_and_tobago,63566.69202893142
2001,trinidad_and_tobago,63566.69202893142
2002,trinidad_and_tobago,63566.69202893142
2003,trinidad_and_tobago,63566.69202893142
2004,trinidad_and_tobago,63566.69202893142
2005,trinidad_and_tobago,63566.69202893142
2006,trinidad_and_tobago,63566.69202893142
2007,trinidad_and_tobago,63566.69202893142
2008,trinidad_and_tobago,63566.69202893142
2009,trinidad_and_tobago,63566.69202893142
2010,trinidad_and_tobago,63566.69202893142
2011,trinidad_and_tobago,63566.69202893142
2012,trinidad_and_tobago,63566.69202893142
2013,trinidad_and_tobago,63566.69202893142
2014,trinidad_and_tobago,63566.69202893142
2015,trinidad_and_tobago,63566.69202893142
2016,trinidad_and_tobago,63566.69202893142
2017,trinidad_and_tobago,63566.69202893142
2018,trinidad_and_tobago,63566.69202893142
2019,trinidad_and_tobago,63566.69202893142
1990,uruguay,6779.95468288595
1991,uruguay,6779.95468288595
1992,uruguay,6779.95468288595
1993,uruguay,6779.95468288595
1994,uruguay,6779.95468288595
1995,uruguay,6779.95468288595
1996,uruguay,6779.95468288595
1997,uruguay,6779.95468288595
1998,uruguay,6779.95468288595
1999,uruguay,6779.95468288595
2000,uruguay,6779.95468288595
2001,uruguay,6779.95468288595
2002,uruguay,6779.95468288595
2003,uruguay,6779.95468288595
2004,uruguay,6779.95468288595
2005,uruguay,6779.95468288595
2006,uruguay,6779.95468288595
2007,uruguay,6779.95468288595
2008,uruguay,6779.95468288595
2009,uruguay,6779.95468288595
2010,uruguay,6779.95468288595
2011,uruguay,6779.95468288595
2012,uruguay,6779.95468288595
2013,uruguay,6779.95468288595
2014,uruguay,6779.95468288595
2015,uruguay,6779.95468288595
2016,uruguay,6779.95468288595
2017,uruguay,6779.95468288595
2018,uruguay,6779.95468288595
2019,uruguay,6779.95468288595
1990,venezuela,31809.444075001502
1991,venezuela,31809.444075001502
1992,venezuela,31809.444075001502
1993,venezuela,31809.444075001502
1994,venezuela,31809.444075001502
1995,venezuela,31809.444075001502
1996,venezuela,31809.444075001502
1997,venezuela,31809.444075001502
1998,venezuela,31809.444075001502
1999,venezuela,31809.444075001502
2000,venezuela,31809.444075001502
2001,venezuela,31809.444075001502
2002,venezuela,31809.444075001502
2003,venezuela,31809.444075001502
2004,venezuela,31809.444075001502
2005,venezuela,31809.444075001502
2006,venezuela,31809.444075001502
2007,venezuela,31809.444075001502
2008,venezuela,31809.444075001502
2009,venezuela,31809.444075001502
2010,venezuela,31809.444075001502
2011,venezuela,31809.444075001502
2012,venezuela,31809.444075001502
2013,venezuela,31809.444075001502
2014,venezuela,31809.444075001502
2015,venezuela,31809.444075001502
2016,venezuela,31809.444075001502
2017,venezuela,31809.444075001502
2018,venezuela,31809.444075001502
2019,venezuela,31809.444075001502
