Nation,iso_code3,Code,Year,nemomod_entc_residual_capacity_pp_coal_gw
dominican_republic,DOM,214,2050,1.0575999999999999
ecuador,ECU,218,2022,0.0
ecuador,ECU,218,2023,0.0
ecuador,ECU,218,2024,0.0
ecuador,ECU,218,2025,0.0
ecuador,ECU,218,2026,0.0
ecuador,ECU,218,2027,0.0
ecuador,ECU,218,2028,0.0
ecuador,ECU,218,2029,0.0
ecuador,ECU,218,2030,0.0
ecuador,ECU,218,2031,0.0
ecuador,ECU,218,2032,0.0
ecuador,ECU,218,2033,0.0
ecuador,ECU,218,2034,0.0
ecuador,ECU,218,2035,0.0
ecuador,ECU,218,2036,0.0
ecuador,ECU,218,2037,0.0
ecuador,ECU,218,2038,0.0
ecuador,ECU,218,2039,0.0
ecuador,ECU,218,2040,0.0
ecuador,ECU,218,2041,0.0
ecuador,ECU,218,2042,0.0
ecuador,ECU,218,2043,0.0
ecuador,ECU,218,2044,0.0
ecuador,ECU,218,2045,0.0
ecuador,ECU,218,2046,0.0
ecuador,ECU,218,2047,0.0
ecuador,ECU,218,2048,0.0
ecuador,ECU,218,2049,0.0
ecuador,ECU,218,2050,0.0
el_salvador,SLV,222,2022,0.0
el_salvador,SLV,222,2023,0.0
el_salvador,SLV,222,2024,0.0
el_salvador,SLV,222,2025,0.0
el_salvador,SLV,222,2026,0.0
el_salvador,SLV,222,2027,0.0
el_salvador,SLV,222,2028,0.0
el_salvador,SLV,222,2029,0.0
el_salvador,SLV,222,2030,0.0
el_salvador,SLV,222,2031,0.0
el_salvador,SLV,222,2032,0.0
el_salvador,SLV,222,2033,0.0
el_salvador,SLV,222,2034,0.0
el_salvador,SLV,222,2035,0.0
el_salvador,SLV,222,2036,0.0
el_salvador,SLV,222,2037,0.0
el_salvador,SLV,222,2038,0.0
el_salvador,SLV,222,2039,0.0
el_salvador,SLV,222,2040,0.0
el_salvador,SLV,222,2041,0.0
el_salvador,SLV,222,2042,0.0
el_salvador,SLV,222,2043,0.0
el_salvador,SLV,222,2044,0.0
