argentina,barbados,belize,bolivia,brazil,chile,colombia,costa_rica,dominican_republic,ecuador,el_salvador,guatemala,honduras,jamaica,mexico,nicaragua,panama,paraguay,peru,suriname,trinidad_and_tobago,uruguay,venezuela
8488.536213,177,,323.03,52059.52,2181.533,4810.70021,367.9,541.1,1726.78,,544.664,,,29364.96,,,334.32252,,,5116.905,215,
,,,,58732.89,,,,,,,,,,30105.27,,,,,,,,
,,,,57273.45,,,,,,,,,,30492.08,,,,,,,,
,,,,61650.1,2211.6,,,,,,,,,31259.1,,,,,,,,
7981.532778,38,0.294,478.62,62232.6,2550.69,5297.99042,,643.8,2036.81,490.12,777.534,,379,33180.5,354.84,412.94,743.84,9899.22,,,259,
,,,,65357.8,,,,,,,,514.7902066,,32287.4,,,,,,,,
,,,,66718.12,,,571.48,,,,,,,37206.94,,,,,,,,
10550.53277,171,,,68348.7,,,,,,,,,,40097.62,,,,,,,,
,,,26657.02,70978.15,,,,1045.7,,,,,,40526.09,,,,,,,510.27,
,,,,70696.67,,,,,,,,,,43975.29,,,,,,,,9206.2
11107.71523,137,,22114.48,73896.544,4801.161,7289.301,387.504,811.06,1389.97,,1235.727,689.97,,47612.16,305.85,592.7,395.2,7918,,,361.8198,
,132,,,70270.45,,,,,,,,,,48041.41,,,,,,,,
,163,,10116.34,74503.304,,,,,,,,,,45272.82,,,,,,,265.908,
,174,3.925,,75137.312,,,,,,,,,,44096.48,,,,,65,,,
,183,,21270.58,80350.712,,9070.107,,,,,,,,52506.99,,,,,,,320.713,
,188,,,78249.072,,,496.604,,,442.08,1541.089,540.37,,47705.14,,,706.869,,,,,
,197,4.71,,79533.98,5244.965509,,,,2762.61,,,,615.01,54711.12,,,,,,,384.243,
,204,,,79425.61,,,,,,,,,567.09,54434.48,,,,,,,,
,203,,,82151.08,,,,,,,,,629.53,56536.07,,,,,,,525.702,
,177,2.355,,72694.17,,,,,,,,,579.12,53262.77,,,,,,,,
14897.42,168,,,89945.895,4679.161,,,1803.45,2658.84,,,,510.7,60944.77,,,,6274.04,,,467.79462,
,,,,94865.59,,,,,,,,,,57150.73,,,614.5,,,,,
15309.61993,,,,95929.01,,,,,4571.716,,,,528.38,56435.73,,,692.9063,6063,,,529.05935,
,,,,96775.97,5854.498,,,,,,,,,43321.83,,,,,,,,
,,,,97327.14,,,,,,,,,,,,,,,,,562.99117,
,,,,96171.89,,,,,,,,1532.85,,,,,938.77,,,,,
,,,,90106.78,7128.338,,,,,,,,,,,,,,,,609.781026,
,,,,,,,,,,,,,,,,,907.2036222,,,,703.483439,
,,,,,8273.146,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,689.042516,
