Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Africa Eastern and Southern,AFE,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,3.84847632463802,2.35707765260384,2.1585338833413,3.5744170841091,4.13879141864337,1.52946052962304,1.7708758076617,1.44867072648963,0.983126824659636,3.25838085930308,6.99592104874103,3.89421045034862,2.69949722479182,3.46127806526302,0.893821085609437,2.40441377197456,2.05231895228199,2.40947837990489,3.26407625564485,2.68084639738175,1.7652367942436,1.68234740522469,1.25011018753071,1.27783796963384,1.50206062901613,0.556002816723484,0.925926078057803,0.585950128054945,0.418523467473819,0.307786021400741,0.485008093497375,0.512487125334714,0.616148815556688,0.233855059285936,0.411018141855921,0.709935473482504,1.33696229045705,1.53652945187844,1.58563180329224,1.01410055986021,1.77559609003318,2.09848563117674,1.66271894760504,1.59663761606024,1.14356962706791,0.56207882899241,0.768127592778483,1.00129120025571,0.964794897813507,0.826033600276495,3.15642430853427,
Afghanistan,AFG,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.002364308214624,0.003002325800614,0.002078623165402,0.002797433678339,0,0,0,0,
Africa Western and Central,AFW,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,0.209126708143088,0.233306288572179,0.222485323335824,0.233165589399147,0.637010390105959,0.453125220082388,0.29333021179931,0.506691305316659,0.188036792868471,0.234410047318812,0.288571451478302,0.125342317902616,0.117707643323489,0.142735825343539,0.161253381654388,0.166059756613156,0.471965461123202,0.407652140298692,0.442307452505196,0.579492810945183,0.474068664720471,0.53075615403844,0.45414465458103,0.495544944435827,0.620365254280106,0.260889486921569,0.330764861142106,0.297489815880527,0.278695563563391,0.21045253466667,0.259046856470626,0.276735061950137,0.278578924184324,0.123779716213445,0.156838015873626,0.278781381531843,0.418405361379703,0.551041932578187,0.569236013487581,0.610525364359938,0.776558056106029,1.06816670299125,0.945483308254332,0.68062311317548,0.53770879513042,0.392990589993569,0.580924200297523,0.658137066575866,0.587444616763728,0.013664598154206,1.93491291422937,
Angola,AGO,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Albania,ALB,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,0.604964557441727,0.692259344343204,0.440841190981462,0.67423879239664,3.64766860240634,3.65113125208662,1.48916309567935,2.32270804661255,0.431830628064928,0.146794463403927,0.04502731157505,0.037183655615022,0.037460468365861,0.008600433036523,0.018331495213959,0.005672402033411,0,0,0,0,0.009969340278502,0.025123242208358,0.121229707313873,0.834611352769281,0.078706622683103,0.041836700278816,0.142023694481995,0.218928064043579,0.165774443616505,0.111634515955918,0.105381258368331,0.065794846510675,0.002694132800821,0,0.040868826697704,0.036392307071117,0.110062433537434,
Andorra,AND,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Arab World,ARB,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,0.175103034115477,0.137199605880472,0.113674053775662,0.162964918928573,0.9314530867138,0.708803885462299,0.258887977746974,0.521536301577666,0.10410807530994,0.117427273957451,0.124733764284149,0.144095268924488,0.126651295116817,0.117330351564928,0.081024571673018,0.108370023451225,0.063941732981228,0.033110677995849,0.176037344435521,0.051657710222372,0.035683111680817,0.019377632229927,0.024836674950121,0.020724693475963,0.031117772116619,0.025179607587805,0.020046105570254,0.01603167218654,0.019351861449806,0.011841724771234,0.011005711446874,0.012505500420169,0.013443799716358,0.005762035330164,0.04258162684579,0.072992491613632,0.09248747332862,0.153165803939754,0.528746785356494,0.423534870664779,0.380307638194534,0.515087755222638,0.438930606685003,0.309402694830793,0.246421524862942,0.202922637402866,0.23993177113129,0.262592710836661,0.196803236883446,0.014229762646139,0.254427564147685,
United Arab Emirates,ARE,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Argentina,ARG,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,0.02566833520349,0.017174774944779,0.025931808756967,0.055811007499353,0.066769580187173,0.029998885470856,0.03895149349496,0.043100831561328,0.031165751972908,0.059226066325449,0.065917910545761,0.030222649866643,0.018986991669102,0.022178068365112,0.028056467255029,0.022592435804899,0.011046784939921,0.012139309585007,0.187625494530018,0.296510962884838,0.060110012616577,0.012867514717022,0.008259840317586,0.002843378005371,0.004873942285031,0.006198873260732,0.005517452249162,0.004537976279634,0.014256346308993,0.022251984219034,0.002020366837961,0.001119117823283,0.199715933166906,0.189784318206542,0.226514388267012,0.208636558543312,0.550800475558765,0.431151753754959,0.308451875238155,0.299003273108525,0.522757823355919,0.516428050320874,0.431941961116383,0.230446240075718,0.237871699460555,0.076578045877884,0.145542032255227,0.103008811798706,0.184618353353551,0.033038156178768,0.692097067432394,
