year,country,value
2011,dominican_republic,7799.416346211229
2012,dominican_republic,7838.024465661601
2013,dominican_republic,7876.702601395592
2014,dominican_republic,7915.500985343277
2015,dominican_republic,7954.459679371363
2016,dominican_republic,7993.62381723071
2017,dominican_republic,8033.085261497574
2018,dominican_republic,8072.777043362441
2019,dominican_republic,8112.552499914863
2011,jamaica,918.4242098228667
2012,jamaica,896.147951596508
2013,jamaica,873.84260992651
2014,jamaica,851.4852200869854
2015,jamaica,829.0656845958425
2016,jamaica,806.5971221459354
2017,jamaica,784.1133713772456
2018,jamaica,761.6293526659131
2019,jamaica,739.1477777809674
2011,ecuador,31025.595339455253
2012,ecuador,32092.796875480293
2013,ecuador,33161.25927060567
2014,ecuador,34232.747068134544
2015,ecuador,35308.81611626344
2016,ecuador,36389.32261539629
2017,ecuador,37471.01242930186
2018,ecuador,38552.55182161428
2019,ecuador,39633.87356369939
2011,paraguay,103427.08407405819
2012,paraguay,100171.95951517491
2013,paraguay,96913.05577843281
2014,paraguay,93645.59383696364
2015,paraguay,90366.61829797506
2016,paraguay,87077.91815221412
2017,paraguay,83787.7064896166
2018,paraguay,80498.66811746071
2019,paraguay,77211.14123796855
2011,honduras,13088.872441438634
2012,honduras,13086.159673765063
2013,honduras,13083.564937128092
2014,honduras,13080.976023643218
2015,honduras,13078.356889715225
2016,honduras,13075.796227859122
2017,honduras,13073.353639346344
2018,honduras,13071.062889930912
2019,honduras,13068.822777154757
2011,peru,115551.924750562
2012,peru,115812.96026155929
2013,peru,116074.15373158747
2014,peru,116335.82755463896
2015,peru,116598.2384514364
2016,peru,116861.27665566819
2017,peru,117124.49204874068
2018,peru,117387.67993083788
2019,peru,117650.85991480079
2011,barbados,57.12196025734947
2012,barbados,56.91218623656262
2013,barbados,56.70124249061491
2014,barbados,56.48873074044765
2015,barbados,56.275707930445485
2016,barbados,56.062706923280274
2017,barbados,55.849484951667336
2018,barbados,55.63578324399494
2019,barbados,55.42219722555656
2011,bahamas,73.29842570641351
2012,bahamas,70.66121189315321
2013,bahamas,68.03445231382638
2014,bahamas,65.4074024449333
2015,bahamas,62.788025542778065
2016,bahamas,60.168477237136685
2017,bahamas,57.53141495432091
2018,bahamas,54.86472119736929
2019,bahamas,52.190468709973956
2011,argentina,196057.4262003856
2012,argentina,192052.77762647538
2013,argentina,188042.79092043985
2014,argentina,184020.79937101228
2015,argentina,179983.543627163
2016,argentina,175933.88857606793
2017,argentina,171883.081611261
2018,argentina,167833.35847322867
2019,argentina,163784.79669370025
2011,colombia,111115.90144007433
2012,colombia,116094.90830215701
2013,colombia,121080.59503715215
2014,colombia,126081.0274599708
2015,colombia,131101.29953362583
2016,colombia,136140.64281728005
2017,colombia,141188.88073470024
2018,colombia,146240.30398495495
2019,colombia,151292.00138990345
2011,haiti,5179.483483656774
2012,haiti,5211.956817792978
2013,haiti,5244.449343126897
2014,haiti,5276.972904220122
2015,haiti,5309.525188107292
2016,haiti,5342.080537320405
2017,haiti,5374.595829961393
2018,haiti,5407.070301983862
2019,haiti,5439.5270938226895
2011,belize,6006.835174366751
2012,belize,5959.524399698423
2013,belize,5912.287620421116
2014,belize,5865.0946522385375
2015,belize,5817.958909654132
2016,belize,5770.882964701191
2017,belize,5723.915893344474
2018,belize,5677.036904008302
2019,belize,5630.214081558658
2011,guyana,19459.28782393688
2012,guyana,19062.900852354673
2013,guyana,18666.092654382497
2014,guyana,18268.30788672268
2015,guyana,17869.219563981034
2016,guyana,17469.056037521677
2017,guyana,17068.926183418735
2018,guyana,16669.17914666038
2019,guyana,16269.705650995154
2011,guatemala,18072.323797522782
2012,guatemala,17523.644458072118
2013,guatemala,16974.355008373
2014,guatemala,16423.67084914068
2015,guatemala,15871.134254710169
2016,guatemala,15316.953904260765
2017,guatemala,14762.632861562568
2018,guatemala,14208.677162508018
2019,guatemala,13655.023403826077
2011,suriname,8764.057545797237
2012,suriname,8949.702193813773
2013,suriname,9135.508629301685
2014,suriname,9321.665735048713
2015,suriname,9508.264724324286
2016,suriname,9695.224358875921
2017,suriname,9882.163878310932
2018,suriname,10068.983995262339
2019,suriname,10255.74663925171
2011,venezuela,163397.12628764598
2012,venezuela,152718.7419278607
2013,venezuela,142028.84012752064
2014,venezuela,131314.52827749104
2015,venezuela,120568.63702437004
2016,venezuela,109796.46566470712
2017,venezuela,99022.08411853669
2018,venezuela,88253.75742160264
2019,venezuela,77489.9055500748
2011,nicaragua,19284.09312919704
2012,nicaragua,20945.361797919446
2013,nicaragua,22607.604218248598
2014,nicaragua,24271.970855855052
2015,nicaragua,25939.037225960445
2016,nicaragua,27608.138046001495
2017,nicaragua,29276.552580648702
2018,nicaragua,30943.826688918805
2019,nicaragua,32610.44955721565
2011,costa_rica,-3408.072060441696
2012,costa_rica,-3357.8624962340064
2013,costa_rica,-3307.56284355104
2014,costa_rica,-3257.0967459823746
2015,costa_rica,-3206.384029277867
2016,costa_rica,-3155.4558269086338
2017,costa_rica,-3104.4213547649947
2018,costa_rica,-3053.323944220449
2019,costa_rica,-3002.2068986142685
2011,mexico,108164.00644419361
2012,mexico,109245.41465609273
2013,mexico,110328.38230233922
2014,mexico,111414.15743137037
2015,mexico,112505.50339618452
2016,mexico,113602.48832069783
2017,mexico,114703.01816651638
2018,mexico,115805.36650229579
2019,mexico,116908.77338015007
2011,trinidad_and_tobago,381.3586351222882
2012,trinidad_and_tobago,386.289862513191
2013,trinidad_and_tobago,391.2188630071424
2014,trinidad_and_tobago,396.14366648062
2015,trinidad_and_tobago,401.0645977082222
2016,trinidad_and_tobago,405.9814471729966
2017,trinidad_and_tobago,410.89218667192324
2018,trinidad_and_tobago,415.7995652849991
2019,trinidad_and_tobago,420.7070760380512
2011,panama,8504.307366825018
2012,panama,8438.648230942743
2013,panama,8372.9493799562
2014,panama,8307.211078429285
2015,panama,8241.525924625916
2016,panama,8175.964322635993
