year,country,value
2017,panama,8110.5327229090235
2018,panama,8045.204964630365
2019,panama,7979.909609033561
2011,brazil,749719.7331926967
2012,brazil,772653.8160007475
2013,brazil,795605.1288678027
2014,brazil,818596.7135416165
2015,brazil,841636.947776775
2016,brazil,864712.5835226511
2017,brazil,887779.0155481321
2018,brazil,910824.9258614657
2019,brazil,933862.2200869323
2011,chile,-74370.76409933573
2012,chile,-70688.0419854704
2013,chile,-67001.71479885548
2014,chile,-63306.86791493796
2015,chile,-59600.68452647801
2016,chile,-55884.875543601476
2017,chile,-52167.83664448013
2018,chile,-48452.689713071
2019,chile,-44738.87557367832
2011,bolivia,86144.01182397285
2012,bolivia,88192.32506984794
2013,bolivia,90243.51702477054
2014,bolivia,92301.64125849449
2015,bolivia,94369.70669100815
2016,bolivia,96447.52123126328
2017,bolivia,98532.02148015474
2018,bolivia,100621.95305943288
2019,bolivia,102715.45866092294
2011,uruguay,20948.21015039301
2012,uruguay,21668.71925722887
2013,uruguay,22389.838819533234
2014,uruguay,23112.17059786383
2015,uruguay,23835.912591016186
2016,uruguay,24560.58671778714
2017,uruguay,25284.34671591666
2018,uruguay,26006.937040321096
2019,uruguay,26728.949709906836
2011,el_salvador,4097.4217696641235
2012,el_salvador,4019.1687754938444
2013,el_salvador,3940.8902401550245
2014,el_salvador,3862.67370586944
2015,el_salvador,3784.469268146268
2016,el_salvador,3706.236462428518
2017,el_salvador,3628.001871616606
2018,el_salvador,3549.764940821931
2019,el_salvador,3471.537965798632
