waste_var_calib,sum_group,sum_restriction_by_group,var_in_01_interval,parameter_constant_q,Fixed_Parameter,Calibration,Calibration_in_integrated_only,Parameter_That_Needs_Better_Starting_Value_Before_Calibration,Historical_Data_,Historical_Data_for_Initial_Time_Period_Future_Projections,Output_from_other_Models,Fixed_in_Calibration_(future_lever),Notes
frac_wali_ww_domestic_rural_treatment_path_septic,1.0,=1,,,,,,,,1.0,,,
frac_wali_ww_domestic_urban_treatment_path_septic,2.0,=1,,,,,,,,1.0,,,
frac_wali_ww_industrial_treatment_path_septic,3.0,=1,,,,,,,,1.0,,,
frac_wali_ww_domestic_rural_treatment_path_untreated_no_sewerage,1.0,=1,,,,,,,,1.0,,,
frac_wali_ww_domestic_urban_treatment_path_untreated_no_sewerage,2.0,=1,,,,,,,,1.0,,,
frac_wali_ww_industrial_treatment_path_untreated_no_sewerage,3.0,=1,,,,,,,,1.0,,,
frac_wali_ww_domestic_rural_treatment_path_aerobic,1.0,=1,,,,,,,,1.0,,,
frac_wali_ww_domestic_urban_treatment_path_aerobic,2.0,=1,,,,,,,,1.0,,,
frac_wali_ww_industrial_treatment_path_aerobic,3.0,=1,,,,,,,,1.0,,,
frac_wali_ww_domestic_rural_treatment_path_anaerobic,1.0,=1,,,,,,,,1.0,,,
frac_wali_ww_domestic_urban_treatment_path_anaerobic,2.0,=1,,,,,,,,1.0,,,
frac_wali_ww_industrial_treatment_path_anaerobic,3.0,=1,,,,,,,,1.0,,,
frac_wali_ww_domestic_rural_treatment_path_latrine_unimproved,1.0,=1,,,,,,,,1.0,,,
frac_wali_ww_domestic_urban_treatment_path_latrine_unimproved,2.0,=1,,,,,,,,1.0,,,
frac_wali_ww_industrial_treatment_path_latrine_unimproved,3.0,=1,,,,,,,,1.0,,,
physparam_wali_bo_tonne_ch4_tonne_bod,,,,1.0,1.0,,,,,,,,
frac_wali_protein_in_diet_with_red_meat,,,1.0,,,1.0,,,,,,,
density_wali_kg_n_per_m3_ww_industrial,,,,,,1.0,,,,,,,
physparam_wali_daily_kg_bod_per_capita,,,,,,1.0,,,,,,,
logelasticity_wali_qty_prod_to_gdp_per_capita,,,,,,1.0,,,,,,,
param_wali_f_noncon,,,1.0,,1.0,,,,,,,,
qty_wali_m3_ww_domestic_rural_per_capita,,,,,,1.0,,,,,,,
qty_wali_m3_ww_domestic_urban_per_capita,,,,,,1.0,,,,,,,
qty_wali_m3_ww_industrial_per_gdp,,,,,,1.0,,,,,,,
frac_wali_protein_in_diet_without_red_meat,,,1.0,,,1.0,,,,,,,
physparam_wali_bo_tonne_ch4_tonne_cod,,,,1.0,1.0,,,,,,,,
elasticity_protein_in_diet_to_gdppc,,,,,,,,1.0,,,,,
qty_protein_per_capita_kg,,,,,,1.0,,,,,,,
param_wali_n_hh_scalar,,,,,,1.0,,,,,,,
physparam_wali_tonne_cod_per_mmm_gdp,,,,,,1.0,,,,,,,
physparam_wali_tow_dom_generation_correction_factor,,,1.0,,,1.0,,,,,,,
frac_waso_initial_composition_mun_chemical_industrial,4.0,=1,,,,,,,1.0,,,,Only the value in the first period matters. Future values are projected based on elasticities and gdp/capita
frac_waso_initial_composition_mun_food,4.0,=1,,,,,,,1.0,,,,Only the value in the first period matters. Future values are projected based on elasticities and gdp/capita
frac_waso_initial_composition_mun_glass,4.0,=1,,,,,,,1.0,,,,Only the value in the first period matters. Future values are projected based on elasticities and gdp/capita
frac_waso_initial_composition_mun_metal,4.0,=1,,,,,,,1.0,,,,Only the value in the first period matters. Future values are projected based on elasticities and gdp/capita
frac_waso_initial_composition_mun_nappies,4.0,=1,,,,,,,1.0,,,,Only the value in the first period matters. Future values are projected based on elasticities and gdp/capita
frac_waso_initial_composition_mun_other,4.0,=1,,,,,,,1.0,,,,Only the value in the first period matters. Future values are projected based on elasticities and gdp/capita
frac_waso_initial_composition_mun_paper,4.0,=1,,,,,,,1.0,,,,Only the value in the first period matters. Future values are projected based on elasticities and gdp/capita
