Nation,Year,value,mineria_share,manu_share,industrial_share,comercio_share,total_share
mexico,1963,167.92127576666002,,,,,
nicaragua,1963,3.93911748681316,,,,,
panama,1963,3.9994939861902097,,,,,
peru,1963,33.9072627311221,,0.167641097220907,0.09247662593784703,0.475230206283439,
paraguay,1963,3.28462215473025,,0.14838315554453,0.03156784916894101,0.380269784172662,
el_salvador,1963,,,,,,
uruguay,1963,15.7318966854676,,,,,
argentina,1964,164.381681829118,,,,,
bahamas,1964,3.28677268213085,,,,,
belize,1964,0.13340979776335898,,,,,
brazil,1964,226.951776343678,,0.24674106809682597,0.07730233242038007,0.44278650692238697,
barbados,1964,,,0.17798969284969654,0.08798492880947137,0.4843062036676743,
chile,1964,32.1875430059233,,0.24265041888804198,0.16009139375476103,0.500990099009901,
colombia,1964,37.1784716725884,,,,,
costa_rica,1964,5.70362502251326,,,,0.537082142111619,
dominican_republic,1964,5.89078049272404,,,,0.870807319696502,
ecuador,1964,14.1322715170189,,0.21503053200733502,0.02259643051448998,0.40124370757457695,
guatemala,1964,9.47861590124656,,,,,
guyana,1964,1.60871693755502,,0.110811620245583,0.20545073375262002,0.363282419886193,
honduras,1964,2.90651725112629,,0.11641137855579901,0.061706783369802995,0.387964989059081,
haiti,1964,6.75726075703758,,,,,
jamaica,1964,,,,,,
mexico,1964,187.913110958828,,,,,
nicaragua,1964,4.399934319928231,,,,,
panama,1964,4.176756773743111,,,,,
peru,1964,36.1274654186535,,0.162493397341261,0.10521153143450601,0.46708931966539097,
paraguay,1964,3.42298611930792,,0.15178943481303,0.03228251574282798,0.387509329083418,
el_salvador,1964,,,,,,
uruguay,1964,16.1158368931311,,,,,
argentina,1965,181.755894113782,,0.41184160179361,0.072303162426478,0.386813582857261,
bahamas,1965,3.62943833945034,,,,,
belize,1965,0.139987622488494,,,,,
brazil,1965,232.39861897592598,,0.226448596603677,0.06381558021135797,0.41241620942646895,
barbados,1965,,,0.1903646737973127,0.07521733384659812,0.445385945895099,
chile,1965,32.493412377229305,,0.237758817455573,0.16096951252649297,0.502472691701538,
colombia,1965,38.516900888337,,0.18964092051316,0.08414892210025099,0.46462108186747797,
costa_rica,1965,6.17078200384715,,,,0.534453326488312,
dominican_republic,1965,5.155503055259831,,0.155500506699696,0.05553211606174599,0.45321472807116303,
ecuador,1965,14.5951150666414,,0.204028745498562,0.03420716005338001,0.410832539783663,
guatemala,1965,9.892051261131911,,0.140791057592839,0.029663514320527995,0.542207791963932,
guyana,1965,1.7782920917620202,,0.117793103448276,0.19613793103448302,0.367172413793103,
honduras,1965,3.16918376347755,,0.11304433303843499,0.06124053868082201,0.371571807726334,
haiti,1965,6.90333907553757,,,,,
jamaica,1965,,,,,,
mexico,1965,201.254941829122,,0.18651172161172203,0.06998388278388196,0.568880586080586,
nicaragua,1965,4.81903492017544,,,,,
panama,1965,4.55934920870909,,,,,
peru,1965,38.158455226542294,,0.153455409408589,0.11027531656477599,0.47099517668938296,
paraguay,1965,3.6341150391591,,0.1485717097259,0.03272382451871497,0.39492288699635,
el_salvador,1965,8.43724115341494,,0.189354235975026,0.04206352823223802,0.354828419085813,
uruguay,1965,16.2843447369235,,,,,
argentina,1966,180.55680291189898,,0.41008584889358196,0.08597229771742804,0.401170927423721,
bahamas,1966,3.9586983982326798,,,,,
belize,1966,0.14666621513473402,,,,,
brazil,1966,247.969326447313,,0.2241993071624,0.06096608850430202,0.399301621142719,
barbados,1966,,,0.19232092633710507,0.07813414639516825,0.44528273092727266,
chile,1966,36.14445097319081,,0.227739726027397,0.16434550989345398,0.497640791476408,
colombia,1966,40.5339292482869,,0.187487207477656,0.07373951013167704,0.467803779763935,
costa_rica,1966,6.60084348847545,,,,0.539618530902832,
dominican_republic,1966,5.84960620949337,,0.18162414879560898,0.05953929563167201,0.41162719788596397,
ecuador,1966,14.5455609088964,,0.219174307959368,0.03404697824882802,0.42441369852294697,
guatemala,1966,10.4373114133097,,0.147352987704034,0.030981160566621008,0.5365410225066509,
guyana,1966,1.87135498756809,,0.109310699588477,0.20756172839506198,0.372170781893004,
honduras,1966,3.3394907001953302,,0.11446495135921401,0.05691426493317599,0.38067097008818995,
haiti,1966,6.86359056034821,,,,,
jamaica,1966,7.0243897504185,,,,,
mexico,1966,213.523723439305,,0.18779375,0.074585855263158,0.576705921052632,
nicaragua,1966,4.97811783594541,,,,,
panama,1966,4.90501179553582,,,,,
peru,1966,41.3022999959878,,0.140882717518664,0.12355189475836298,0.46569564187352197,
paraguay,1966,3.70648856129367,,0.14870515484992,0.038346223297332005,0.395892984906817,
el_salvador,1966,9.041443613833192,,0.20135123504604502,0.04707806179533497,0.364704363542474,
uruguay,1966,16.7831107562136,,,,,
argentina,1967,186.320169964112,,0.378240272440343,0.09559387138277103,0.42636201162440895,
bahamas,1967,4.33865877813687,,,,,
belize,1967,0.153872106921451,,,,,
brazil,1967,258.3840381581,,0.22094210489444,0.06597368358661404,0.43261597929749596,
barbados,1967,,,0.1943192413187916,0.08181256465381723,0.4470767227850721,
chile,1967,37.4514342679816,,0.23593365373344302,0.16152854296096494,0.49727464541085603,
colombia,1967,42.2099521636794,,0.201315914039572,0.07861166335321401,0.459362870396668,
costa_rica,1967,6.97379945742836,,,,0.537171701219886,
dominican_republic,1967,6.0442543297913,,0.192307692307692,0.07020246026786697,0.408098183223811,
ecuador,1967,15.2177220335867,,0.216431617334777,0.029887492888967998,0.421198398979459,
guatemala,1967,10.8665119883396,,0.15348964568283502,0.03210849673202601,0.540270037839697,
guyana,1967,1.95207816482417,,0.109334587350106,0.21584763696214398,0.367975546672937,
honduras,1967,3.5391101880441,,0.113860558435044,0.07523825447249699,0.372763751880956,
haiti,1967,6.71824125008171,,,,,
jamaica,1967,7.15143556916359,,,,,
mexico,1967,226.02537704255099,,0.191579819277108,0.078136445783133,0.568704819277108,
nicaragua,1967,5.325068446752691,,,,,
panama,1967,5.32453407864102,,,,,
peru,1967,42.893497705248,,0.154503413694853,0.12291167190200003,0.454625045463472,
paraguay,1967,4.04564587503386,,0.15407236174428499,0.040465873028658006,0.40420203940267696,
el_salvador,1967,9.53301323709493,,0.204138496209793,0.042368367137882,0.36844908830157697,
uruguay,1967,16.1693802369893,,,,,
argentina,1968,195.305461616884,,0.36196218835453203,0.10839846453175,0.432426585257493,
bahamas,1968,4.7040503622716106,,,,,
belize,1968,0.165208211954016,,,,,
brazil,1968,283.705673897594,,0.238226198208079,0.06817037519702901,0.415898977534187,
barbados,1968,,,0.19553627737048976,0.08398601445420986,0.4453443717376854,
chile,1968,38.7966947788218,,0.254356284892573,0.157397225511757,0.496933682963966,
colombia,1968,44.7143184343034,,0.199233795390414,0.075003604457169,0.46194723074705,
costa_rica,1968,7.56471070992945,,,,0.527337283775865,
dominican_republic,1968,6.05869166498771,,0.175145954962469,0.07284087579637799,0.41145398943564104,
ecuador,1968,15.5082950615815,,0.212086822529595,0.03834373715343603,0.40695396992494604,
guatemala,1968,11.819074238432899,,0.157361626823968,0.02921198385594498,0.534152685501397,
guyana,1968,1.97208359970704,,0.106637649619151,0.238084874863983,0.363438520130577,
honduras,1968,3.7726271634794997,,0.116728509585652,0.07923623995052602,0.370207173778602,
haiti,1968,6.9319899774374,,,,,
jamaica,1968,7.56222348357129,,,,,
mexico,1968,247.324378521465,,0.196867302452316,0.07718555858310597,0.5704847411444139,
nicaragua,1968,5.39658198881185,,,,,
panama,1968,5.69604751383563,,,,,
peru,1968,42.958797784293,,0.160862533719054,0.11597065204405599,0.45432236933995296,
paraguay,1968,4.22879525115548,,0.15314608119710502,0.03469581749049497,0.40953023426959395,
el_salvador,1968,9.841567550521571,,0.20935665808145898,0.03691966042231201,0.37973376052391106,
uruguay,1968,16.4748055592257,,,,,
argentina,1969,214.21010456927,,0.366454303394205,0.10740697964868406,0.434271542070252,
bahamas,1969,5.126552293316361,,,,,
belize,1969,0.173644362441885,,,,,
brazil,1969,310.657712917865,,0.243667444316655,0.071874150700236,0.41740421596977906,
barbados,1969,,,0.19822724194469404,0.08657726704074009,0.44744756884129283,
chile,1969,40.3245021321073,,0.250564860570545,0.17714027492310697,0.49395781402603395,
colombia,1969,47.443017455335195,,0.200102033509953,0.07506623227839002,0.471466418444794,
costa_rica,1969,7.98014948838752,,,,0.52920268545961,
dominican_republic,1969,6.71857078584482,,0.18667208451848802,0.069212687377505,0.3984559122308,
ecuador,1969,16.2324142646977,,0.21725831210267899,0.03934644409975302,0.437448142284231,
guatemala,1969,12.3789330315586,,0.16115338470055898,0.029482862858975,0.536411363904125,
guyana,1969,2.11001875187545,,0.105294825511432,0.243481748896911,0.35018050541516205,
honduras,1969,3.79735442744521,,0.123278433886345,0.07739520378778399,0.38435625865596895,
haiti,1969,7.1962335040028,,,,,
jamaica,1969,7.98379278015423,,,,,
mexico,1969,255.77945925369,,0.20025665024630498,0.07886305418719305,0.570667733990148,
nicaragua,1969,5.73320479439456,,,,,
panama,1969,6.17687305172074,,,,,
peru,1969,44.468567081732004,,0.15890954915594,0.123677875800388,0.445166926670319,
paraguay,1969,4.42759731865998,,0.153698657497896,0.037507311714436026,0.40796941206682596,
el_salvador,1969,10.1845873979834,,0.209643605870021,0.04055650848103698,0.38730703259005095,
uruguay,1969,17.4410101751241,,,,,
argentina,1970,220.73418030771398,0.0002566833520349,0.31544743657860097,0.10734045976598905,0.480836525009197,0.903881104705822
bahamas,1970,4.83692005631953,0.0,,,,
belize,1970,0.18199265093166803,0.0,,,,
brazil,1970,342.966115061323,0.00489549107595905,0.246348328311771,0.07548812282143202,0.414717722526064,0.741449664735226
barbados,1970,,,0.19843772921290043,0.0832267714016302,0.45717738894957916,
chile,1970,41.062023957353304,0.0959895832307285,0.25471209242305703,0.15886483026306397,0.504821321519656,1.0143878274365055
colombia,1970,50.3881836518889,0.00017180319797441003,0.206623583996144,0.06977584960231298,0.47543835864063605,0.7520095954370674
costa_rica,1970,8.57891082525369,0.0,0.181623118449632,0.059345545538984995,0.532730493761376,0.773699157749993
dominican_republic,1970,7.94314337688248,0.006669307071040929,0.185392123864019,0.06622503223391601,0.398317064961293,0.6566035281302689
ecuador,1970,17.3478943014979,6.502124337564e-05,0.231910656341616,0.042703028032261,0.416524648286063,0.6912033539033157
guatemala,1970,13.085508119797701,3.688560559075e-05,0.157862447478992,0.028783403361343995,0.540190756302521,0.7268734927484477
guyana,1970,2.1998096902947304,0.15047350443965,0.106422703510082,0.24701269604182202,0.355862584017924,0.859771488009478
honduras,1970,3.93507387564317,0.00526393487444465,0.12517289073305699,0.07538035961272402,0.410096887966805,0.6159140731870306
haiti,1970,7.24309204527674,0.0331509129412767,,,,
jamaica,1970,8.946990197979611,0.0779917387893366,,,,
mexico,1970,272.41147775218,0.00337809475477185,0.22039954954955,0.085647522522522,0.524616441441441,0.8340416082682849
nicaragua,1970,5.810822445423979,0.0043593914897581,,,,
