Nation,Year,va_industrial_mmm_usd
argentina,2006,-258.11728288508056
bahamas,2006,1.3570685586963729
belize,2006,0.24916467202060122
brazil,2006,-2520.7102500667447
barbados,2006,1.2972888524826536
chile,2006,32.33405883215231
colombia,2006,-2.215180964990434
costa_rica,2006,6.806175296686735
dominican_republic,2006,10.621262354059782
ecuador,2006,17.12566795730446
guatemala,2006,8.898777489643246
guyana,2006,0.6764293649795775
honduras,2006,3.724519068593685
haiti,2006,2.944082967553572
jamaica,2006,2.914439710783553
mexico,2006,-1274.8721808135433
nicaragua,2006,1.7522675707214006
panama,2006,4.6689201358568795
peru,2006,21.286846461538254
paraguay,2006,8.121400819248668
el_salvador,2006,4.209725032972859
uruguay,2006,6.253274956603718
argentina,2007,-307.5391611745505
bahamas,2007,1.0815627263574175
belize,2007,0.2603776465446249
brazil,2007,-2874.2078931079695
barbados,2007,1.3060617965871744
chile,2007,32.89648222200412
colombia,2007,-8.497995950559247
costa_rica,2007,7.2752785013996055
dominican_republic,2007,11.155237718001036
ecuador,2007,17.7167265340767
guatemala,2007,9.117336634040079
guyana,2007,0.7772886027283246
honduras,2007,3.8482967330057987
haiti,2007,2.9390510649951738
jamaica,2007,2.966246123634184
mexico,2007,-1270.6826493238968
nicaragua,2007,1.818025970610731
panama,2007,4.661356612857406
peru,2007,21.286053708264806
paraguay,2007,8.205770154754438
el_salvador,2007,4.291030623590706
uruguay,2007,6.930514710897999
argentina,2008,-330.54297832320805
bahamas,2008,1.1928021374126463
belize,2008,0.285315492616082
brazil,2008,-3143.7482656872294
barbados,2008,1.3208269347382955
chile,2008,24.533564050569
colombia,2008,-4.045302736526955
costa_rica,2008,7.521133295125652
dominican_republic,2008,10.899301229752849
ecuador,2008,21.03154653586719
guatemala,2008,9.342913256640191
guyana,2008,0.8258387440069687
honduras,2008,3.957883178955247
haiti,2008,3.1650900439739758
jamaica,2008,2.698888140760936
mexico,2008,-1286.333979436012
nicaragua,2008,1.9958016906010396
panama,2008,5.756367430321671
peru,2008,19.16114970049615
paraguay,2008,8.337886491930481
el_salvador,2008,4.621178365011338
uruguay,2008,6.732150989178431
argentina,2009,-265.6819265686757
bahamas,2009,1.1014675290489242
belize,2009,0.28046054948500143
brazil,2009,-2929.7816069210335
barbados,2009,1.2108171650769701
chile,2009,24.84507301687925
colombia,2009,-3.9679875143246655
costa_rica,2009,7.662180689783074
dominican_republic,2009,10.251153403988845
ecuador,2009,16.753938513463705
guatemala,2009,9.023270819336155
guyana,2009,0.8520458287185451
honduras,2009,3.9199787770276657
haiti,2009,3.2710375859376657
jamaica,2009,2.3627053335837958
mexico,2009,-1094.5449895603367
nicaragua,2009,1.8544711304507548
panama,2009,5.584629967123074
peru,2009,17.11230746394421
paraguay,2009,8.518533046357028
el_salvador,2009,4.383286119232476
uruguay,2009,7.482907983774806
argentina,2010,-344.4764607345522
bahamas,2010,1.2880130126786962
belize,2010,0.2885064072767841
brazil,2010,-3293.966773543487
barbados,2010,1.1958212296856177
chile,2010,28.18722848240305
colombia,2010,-2.889596991729529
costa_rica,2010,7.72838412005742
dominican_republic,2010,10.844311652111115
ecuador,2010,19.190870943136662
guatemala,2010,9.129487840528293
guyana,2010,0.8970882217502251
honduras,2010,3.974603716803837
haiti,2010,2.7953481640228968
jamaica,2010,2.3248684673906443
mexico,2010,-1269.0123965719301
nicaragua,2010,2.0118732253857208
panama,2010,5.865488426041127
peru,2010,18.622974897461223
paraguay,2010,8.569986992517032
el_salvador,2010,4.5261289366408315
uruguay,2010,8.31395986614065
argentina,2011,-396.43869208217666
bahamas,2011,1.3576686289870767
belize,2011,0.30781795306417575
brazil,2011,-3286.152165281058
barbados,2011,1.2135294217770651
chile,2011,23.8563716795223
colombia,2011,0.7459555985731561
costa_rica,2011,7.629807230041929
dominican_republic,2011,11.36761246818978
ecuador,2011,22.75147692141053
guatemala,2011,9.52909287510798
guyana,2011,1.0035182003297387
honduras,2011,4.126389408311402
haiti,2011,3.0653292675890342
jamaica,2011,2.3965859902845392
mexico,2011,-1340.3838072723233
nicaragua,2011,2.255662144325431
panama,2011,6.784665161711572
peru,2011,20.96451726755828
paraguay,2011,8.69513502066028
el_salvador,2011,4.863704973039429
uruguay,2011,7.907155073463627
argentina,2012,-370.0681626892176
bahamas,2012,1.5053780025975416
belize,2012,0.28122500914428533
brazil,2012,-3078.2328555188174
barbados,2012,1.20488213743813
chile,2012,18.481594007873227
colombia,2012,-1.4433170491847496
costa_rica,2012,7.739697032432559
dominican_republic,2012,11.578917180883147
ecuador,2012,23.638906566647243
guatemala,2012,9.602157229797935
guyana,2012,1.0624470109078419
honduras,2012,4.311357700725353
haiti,2012,3.1584164020718744
jamaica,2012,2.3435322189158954
mexico,2012,-1568.62281528682
nicaragua,2012,2.5437317301050846
panama,2012,8.11961167616546
peru,2012,16.64222030178078
paraguay,2012,8.781701963891358
el_salvador,2012,5.069357539348037
uruguay,2012,8.294321616394038
argentina,2013,-386.83147714288515
bahamas,2013,1.4439102921276046
belize,2013,0.2716254078257592
brazil,2013,-3227.4074064203337
barbados,2013,1.163899707292616
chile,2013,12.06928503326261
colombia,2013,-4.8916116267892615
costa_rica,2013,7.673457207545457
dominican_republic,2013,12.544359878001414
ecuador,2013,23.58784705710081
guatemala,2013,8.41223328046584
guyana,2013,1.0601998571746816
honduras,2013,4.291255425108594
haiti,2013,3.333789752847577
jamaica,2013,2.3679188827369053
mexico,2013,-1574.9658690129697
nicaragua,2013,2.7537462240248924
panama,2013,10.14308547009826
peru,2013,12.98089829229045
paraguay,2013,8.949611260369913
el_salvador,2013,5.069305762538476
uruguay,2013,9.190993987844276
argentina,2014,-354.5863623850824
bahamas,2014,1.5063276915061494
belize,2014,0.26835459714111276
brazil,2014,-3226.320531051229
barbados,2014,1.1525636033282214
chile,2014,9.651475376472487
colombia,2014,-11.369590322787088
costa_rica,2014,7.5827469867273365
dominican_republic,2014,13.369269839778767
ecuador,2014,22.938404024083145
guatemala,2014,8.831652578881044
guyana,2014,1.0258915812949976
honduras,2014,4.22314602552498
haiti,2014,3.495446125350483
jamaica,2014,2.421349260748957
mexico,2014,-1691.260355485051
nicaragua,2014,2.836995293508484
panama,2014,11.23663107521604
peru,2014,11.102657340803901
paraguay,2014,9.383559108799608
el_salvador,2014,5.11201885763795
uruguay,2014,9.689449036194667
