Year,Nation,prodinit_ippu_electronics_tonne
1990,argentina,288978.10161715484
1991,argentina,288978.10161715484
1992,argentina,288978.10161715484
1993,argentina,288978.10161715484
1994,argentina,288978.10161715484
1995,argentina,288978.10161715484
1996,argentina,288978.10161715484
1997,argentina,288978.10161715484
1998,argentina,288978.10161715484
1999,argentina,288978.10161715484
2000,argentina,288978.10161715484
2001,argentina,288978.10161715484
2002,argentina,288978.10161715484
2003,argentina,288978.10161715484
2004,argentina,288978.10161715484
2005,argentina,288978.10161715484
2006,argentina,288978.10161715484
2007,argentina,288978.10161715484
2008,argentina,288978.10161715484
2009,argentina,288978.10161715484
2010,argentina,288978.10161715484
2011,argentina,288978.10161715484
2012,argentina,288978.10161715484
2013,argentina,288978.10161715484
2014,argentina,288978.10161715484
2015,argentina,288978.10161715484
2016,argentina,288978.10161715484
2017,argentina,288978.10161715484
2018,argentina,288978.10161715484
2019,argentina,288978.10161715484
1990,bahamas,296602.0288226773
1991,bahamas,296602.0288226773
1992,bahamas,296602.0288226773
1993,bahamas,296602.0288226773
1994,bahamas,296602.0288226773
1995,bahamas,296602.0288226773
1996,bahamas,296602.0288226773
1997,bahamas,296602.0288226773
1998,bahamas,296602.0288226773
1999,bahamas,296602.0288226773
2000,bahamas,296602.0288226773
2001,bahamas,296602.0288226773
2002,bahamas,296602.0288226773
2003,bahamas,296602.0288226773
2004,bahamas,296602.0288226773
2005,bahamas,296602.0288226773
2006,bahamas,296602.0288226773
2007,bahamas,296602.0288226773
2008,bahamas,296602.0288226773
2009,bahamas,296602.0288226773
2010,bahamas,296602.0288226773
2011,bahamas,296602.0288226773
2012,bahamas,296602.0288226773
2013,bahamas,296602.0288226773
2014,bahamas,296602.0288226773
2015,bahamas,296602.0288226773
2016,bahamas,296602.0288226773
2017,bahamas,296602.0288226773
2018,bahamas,296602.0288226773
2019,bahamas,296602.0288226773
1990,barbados,296602.0288226773
1991,barbados,296602.0288226773
1992,barbados,296602.0288226773
1993,barbados,296602.0288226773
1994,barbados,296602.0288226773
1995,barbados,296602.0288226773
1996,barbados,296602.0288226773
1997,barbados,296602.0288226773
1998,barbados,296602.0288226773
1999,barbados,296602.0288226773
2000,barbados,296602.0288226773
2001,barbados,296602.0288226773
2002,barbados,296602.0288226773
2003,barbados,296602.0288226773
2004,barbados,296602.0288226773
2005,barbados,296602.0288226773
2006,barbados,296602.0288226773
2007,barbados,296602.0288226773
2008,barbados,296602.0288226773
2009,barbados,296602.0288226773
2010,barbados,296602.0288226773
2011,barbados,296602.0288226773
2012,barbados,296602.0288226773
2013,barbados,296602.0288226773
2014,barbados,296602.0288226773
2015,barbados,296602.0288226773
2016,barbados,296602.0288226773
2017,barbados,296602.0288226773
2018,barbados,296602.0288226773
2019,barbados,296602.0288226773
1990,belize,296602.0288226773
1991,belize,296602.0288226773
1992,belize,296602.0288226773
1993,belize,296602.0288226773
1994,belize,296602.0288226773
1995,belize,296602.0288226773
1996,belize,296602.0288226773
1997,belize,296602.0288226773
1998,belize,296602.0288226773
1999,belize,296602.0288226773
2000,belize,296602.0288226773
2001,belize,296602.0288226773
2002,belize,296602.0288226773
2003,belize,296602.0288226773
2004,belize,296602.0288226773
2005,belize,296602.0288226773
2006,belize,296602.0288226773
2007,belize,296602.0288226773
2008,belize,296602.0288226773
2009,belize,296602.0288226773
2010,belize,296602.0288226773
2011,belize,296602.0288226773
2012,belize,296602.0288226773
2013,belize,296602.0288226773
2014,belize,296602.0288226773
2015,belize,296602.0288226773
2016,belize,296602.0288226773
2017,belize,296602.0288226773
2018,belize,296602.0288226773
2019,belize,296602.0288226773
1990,bolivia,641.8300463193176
1991,bolivia,641.8300463193176
1992,bolivia,641.8300463193176
1993,bolivia,641.8300463193176
1994,bolivia,641.8300463193176
1995,bolivia,641.8300463193176
1996,bolivia,641.8300463193176
1997,bolivia,641.8300463193176
1998,bolivia,641.8300463193176
1999,bolivia,641.8300463193176
2000,bolivia,641.8300463193176
2001,bolivia,641.8300463193176
2002,bolivia,641.8300463193176
2003,bolivia,641.8300463193176
2004,bolivia,641.8300463193176
2005,bolivia,641.8300463193176
2006,bolivia,641.8300463193176
2007,bolivia,641.8300463193176
2008,bolivia,641.8300463193176
2009,bolivia,641.8300463193176
2010,bolivia,641.8300463193176
2011,bolivia,641.8300463193176
2012,bolivia,641.8300463193176
2013,bolivia,641.8300463193176
2014,bolivia,641.8300463193176
2015,bolivia,641.8300463193176
2016,bolivia,641.8300463193176
2017,bolivia,641.8300463193176
2018,bolivia,641.8300463193176
2019,bolivia,641.8300463193176
1990,brazil,2191923.1807419746
1991,brazil,2191923.1807419746
1992,brazil,2191923.1807419746
1993,brazil,2191923.1807419746
1994,brazil,2191923.1807419746
1995,brazil,2191923.1807419746
1996,brazil,2191923.1807419746
1997,brazil,2191923.1807419746
1998,brazil,2191923.1807419746
1999,brazil,2191923.1807419746
2000,brazil,2191923.1807419746
2001,brazil,2191923.1807419746
2002,brazil,2191923.1807419746
2003,brazil,2191923.1807419746
2004,brazil,2191923.1807419746
2005,brazil,2191923.1807419746
2006,brazil,2191923.1807419746
2007,brazil,2191923.1807419746
2008,brazil,2191923.1807419746
2009,brazil,2191923.1807419746
2010,brazil,2191923.1807419746
2011,brazil,2191923.1807419746
2012,brazil,2191923.1807419746
2013,brazil,2191923.1807419746
2014,brazil,2191923.1807419746
2015,brazil,2191923.1807419746
2016,brazil,2191923.1807419746
2017,brazil,2191923.1807419746
2018,brazil,2191923.1807419746
2019,brazil,2191923.1807419746
1990,chile,61106.33379957516
1991,chile,61106.33379957516
1992,chile,61106.33379957516
1993,chile,61106.33379957516
1994,chile,61106.33379957516
1995,chile,61106.33379957516
1996,chile,61106.33379957516
1997,chile,61106.33379957516
1998,chile,61106.33379957516
1999,chile,61106.33379957516
2000,chile,61106.33379957516
2001,chile,61106.33379957516
2002,chile,61106.33379957516
2003,chile,61106.33379957516
2004,chile,61106.33379957516
2005,chile,61106.33379957516
2006,chile,61106.33379957516
2007,chile,61106.33379957516
2008,chile,61106.33379957516
2009,chile,61106.33379957516
2010,chile,61106.33379957516
2011,chile,61106.33379957516
2012,chile,61106.33379957516
2013,chile,61106.33379957516
2014,chile,61106.33379957516
2015,chile,61106.33379957516
2016,chile,61106.33379957516
2017,chile,61106.33379957516
2018,chile,61106.33379957516
2019,chile,61106.33379957516
1990,colombia,159050.12342189843
1991,colombia,159050.12342189843
1992,colombia,159050.12342189843
1993,colombia,159050.12342189843
1994,colombia,159050.12342189843
1995,colombia,159050.12342189843
1996,colombia,159050.12342189843
1997,colombia,159050.12342189843
1998,colombia,159050.12342189843
1999,colombia,159050.12342189843
2000,colombia,159050.12342189843
2001,colombia,159050.12342189843
2002,colombia,159050.12342189843
2003,colombia,159050.12342189843
2004,colombia,159050.12342189843
2005,colombia,159050.12342189843
2006,colombia,159050.12342189843
2007,colombia,159050.12342189843
2008,colombia,159050.12342189843
2009,colombia,159050.12342189843
2010,colombia,159050.12342189843
2011,colombia,159050.12342189843
2012,colombia,159050.12342189843
2013,colombia,159050.12342189843
2014,colombia,159050.12342189843
2015,colombia,159050.12342189843
2016,colombia,159050.12342189843
2017,colombia,159050.12342189843
2018,colombia,159050.12342189843
2019,colombia,159050.12342189843
1990,costa_rica,31560.110442467714
1991,costa_rica,31560.110442467714
1992,costa_rica,31560.110442467714
1993,costa_rica,31560.110442467714
1994,costa_rica,31560.110442467714
1995,costa_rica,31560.110442467714
1996,costa_rica,31560.110442467714
1997,costa_rica,31560.110442467714
1998,costa_rica,31560.110442467714
1999,costa_rica,31560.110442467714
2000,costa_rica,31560.110442467714
2001,costa_rica,31560.110442467714
2002,costa_rica,31560.110442467714
2003,costa_rica,31560.110442467714
2004,costa_rica,31560.110442467714
2005,costa_rica,31560.110442467714
2006,costa_rica,31560.110442467714
2007,costa_rica,31560.110442467714
2008,costa_rica,31560.110442467714
2009,costa_rica,31560.110442467714
2010,costa_rica,31560.110442467714
2011,costa_rica,31560.110442467714
2012,costa_rica,31560.110442467714
2013,costa_rica,31560.110442467714
2014,costa_rica,31560.110442467714
2015,costa_rica,31560.110442467714
2016,costa_rica,31560.110442467714
2017,costa_rica,31560.110442467714
2018,costa_rica,31560.110442467714
2019,costa_rica,31560.110442467714
1990,dominican_republic,57004.71348341348
1991,dominican_republic,57004.71348341348
1992,dominican_republic,57004.71348341348
1993,dominican_republic,57004.71348341348
1994,dominican_republic,57004.71348341348
1995,dominican_republic,57004.71348341348
1996,dominican_republic,57004.71348341348
1997,dominican_republic,57004.71348341348
1998,dominican_republic,57004.71348341348
1999,dominican_republic,57004.71348341348
2000,dominican_republic,57004.71348341348
2001,dominican_republic,57004.71348341348
2002,dominican_republic,57004.71348341348
2003,dominican_republic,57004.71348341348
2004,dominican_republic,57004.71348341348
2005,dominican_republic,57004.71348341348
2006,dominican_republic,57004.71348341348
2007,dominican_republic,57004.71348341348
2008,dominican_republic,57004.71348341348
2009,dominican_republic,57004.71348341348
2010,dominican_republic,57004.71348341348
2011,dominican_republic,57004.71348341348
2012,dominican_republic,57004.71348341348
2013,dominican_republic,57004.71348341348
2014,dominican_republic,57004.71348341348
2015,dominican_republic,57004.71348341348
2016,dominican_republic,57004.71348341348
2017,dominican_republic,57004.71348341348
2018,dominican_republic,57004.71348341348
2019,dominican_republic,57004.71348341348
1990,ecuador,21071.647195945672
1991,ecuador,21071.647195945672
1992,ecuador,21071.647195945672
1993,ecuador,21071.647195945672
1994,ecuador,21071.647195945672
1995,ecuador,21071.647195945672
1996,ecuador,21071.647195945672
1997,ecuador,21071.647195945672
1998,ecuador,21071.647195945672
1999,ecuador,21071.647195945672
2000,ecuador,21071.647195945672
2001,ecuador,21071.647195945672
2002,ecuador,21071.647195945672
2003,ecuador,21071.647195945672
2004,ecuador,21071.647195945672
2005,ecuador,21071.647195945672
2006,ecuador,21071.647195945672
2007,ecuador,21071.647195945672
2008,ecuador,21071.647195945672
2009,ecuador,21071.647195945672
2010,ecuador,21071.647195945672
2011,ecuador,21071.647195945672
2012,ecuador,21071.647195945672
2013,ecuador,21071.647195945672
2014,ecuador,21071.647195945672
2015,ecuador,21071.647195945672
2016,ecuador,21071.647195945672
2017,ecuador,21071.647195945672
2018,ecuador,21071.647195945672
2019,ecuador,21071.647195945672
1990,el_salvador,3056.929853075777
1991,el_salvador,3056.929853075777
1992,el_salvador,3056.929853075777
1993,el_salvador,3056.929853075777
1994,el_salvador,3056.929853075777
1995,el_salvador,3056.929853075777
1996,el_salvador,3056.929853075777
1997,el_salvador,3056.929853075777
1998,el_salvador,3056.929853075777
1999,el_salvador,3056.929853075777
2000,el_salvador,3056.929853075777
2001,el_salvador,3056.929853075777
2002,el_salvador,3056.929853075777
2003,el_salvador,3056.929853075777
2004,el_salvador,3056.929853075777
2005,el_salvador,3056.929853075777
2006,el_salvador,3056.929853075777
2007,el_salvador,3056.929853075777
2008,el_salvador,3056.929853075777
2009,el_salvador,3056.929853075777
2010,el_salvador,3056.929853075777
2011,el_salvador,3056.929853075777
2012,el_salvador,3056.929853075777
2013,el_salvador,3056.929853075777
2014,el_salvador,3056.929853075777
2015,el_salvador,3056.929853075777
2016,el_salvador,3056.929853075777
2017,el_salvador,3056.929853075777
2018,el_salvador,3056.929853075777
2019,el_salvador,3056.929853075777
1990,guatemala,11993.65428256063
1991,guatemala,11993.65428256063
1992,guatemala,11993.65428256063
1993,guatemala,11993.65428256063
1994,guatemala,11993.65428256063
1995,guatemala,11993.65428256063
1996,guatemala,11993.65428256063
1997,guatemala,11993.65428256063
1998,guatemala,11993.65428256063
1999,guatemala,11993.65428256063
2000,guatemala,11993.65428256063
2001,guatemala,11993.65428256063
2002,guatemala,11993.65428256063
2003,guatemala,11993.65428256063
2004,guatemala,11993.65428256063
2005,guatemala,11993.65428256063
2006,guatemala,11993.65428256063
2007,guatemala,11993.65428256063
2008,guatemala,11993.65428256063
2009,guatemala,11993.65428256063
2010,guatemala,11993.65428256063
2011,guatemala,11993.65428256063
2012,guatemala,11993.65428256063
2013,guatemala,11993.65428256063
2014,guatemala,11993.65428256063
2015,guatemala,11993.65428256063
2016,guatemala,11993.65428256063
2017,guatemala,11993.65428256063
2018,guatemala,11993.65428256063
2019,guatemala,11993.65428256063
1990,guyana,296602.0288226773
1991,guyana,296602.0288226773
1992,guyana,296602.0288226773
1993,guyana,296602.0288226773
1994,guyana,296602.0288226773
1995,guyana,296602.0288226773
1996,guyana,296602.0288226773
1997,guyana,296602.0288226773
1998,guyana,296602.0288226773
1999,guyana,296602.0288226773
2000,guyana,296602.0288226773
2001,guyana,296602.0288226773
2002,guyana,296602.0288226773
2003,guyana,296602.0288226773
2004,guyana,296602.0288226773
2005,guyana,296602.0288226773
2006,guyana,296602.0288226773
2007,guyana,296602.0288226773
2008,guyana,296602.0288226773
2009,guyana,296602.0288226773
2010,guyana,296602.0288226773
2011,guyana,296602.0288226773
2012,guyana,296602.0288226773
2013,guyana,296602.0288226773
2014,guyana,296602.0288226773
2015,guyana,296602.0288226773
2016,guyana,296602.0288226773
2017,guyana,296602.0288226773
2018,guyana,296602.0288226773
2019,guyana,296602.0288226773
1990,haiti,296602.0288226773
1991,haiti,296602.0288226773
1992,haiti,296602.0288226773
1993,haiti,296602.0288226773
1994,haiti,296602.0288226773
1995,haiti,296602.0288226773
1996,haiti,296602.0288226773
1997,haiti,296602.0288226773
1998,haiti,296602.0288226773
1999,haiti,296602.0288226773
2000,haiti,296602.0288226773
2001,haiti,296602.0288226773
2002,haiti,296602.0288226773
2003,haiti,296602.0288226773
2004,haiti,296602.0288226773
2005,haiti,296602.0288226773
2006,haiti,296602.0288226773
2007,haiti,296602.0288226773
2008,haiti,296602.0288226773
2009,haiti,296602.0288226773
2010,haiti,296602.0288226773
2011,haiti,296602.0288226773
2012,haiti,296602.0288226773
2013,haiti,296602.0288226773
2014,haiti,296602.0288226773
2015,haiti,296602.0288226773
2016,haiti,296602.0288226773
2017,haiti,296602.0288226773
2018,haiti,296602.0288226773
2019,haiti,296602.0288226773
1990,honduras,50854.212106620645
1991,honduras,50854.212106620645
1992,honduras,50854.212106620645
1993,honduras,50854.212106620645
1994,honduras,50854.212106620645
1995,honduras,50854.212106620645
1996,honduras,50854.212106620645
1997,honduras,50854.212106620645
1998,honduras,50854.212106620645
1999,honduras,50854.212106620645
2000,honduras,50854.212106620645
2001,honduras,50854.212106620645
2002,honduras,50854.212106620645
2003,honduras,50854.212106620645
2004,honduras,50854.212106620645
2005,honduras,50854.212106620645
2006,honduras,50854.212106620645
2007,honduras,50854.212106620645
2008,honduras,50854.212106620645
2009,honduras,50854.212106620645
2010,honduras,50854.212106620645
2011,honduras,50854.212106620645
2012,honduras,50854.212106620645
2013,honduras,50854.212106620645
2014,honduras,50854.212106620645
2015,honduras,50854.212106620645
2016,honduras,50854.212106620645
2017,honduras,50854.212106620645
2018,honduras,50854.212106620645
2019,honduras,50854.212106620645
1990,jamaica,296602.0288226773
1991,jamaica,296602.0288226773
1992,jamaica,296602.0288226773
1993,jamaica,296602.0288226773
1994,jamaica,296602.0288226773
1995,jamaica,296602.0288226773
1996,jamaica,296602.0288226773
1997,jamaica,296602.0288226773
1998,jamaica,296602.0288226773
1999,jamaica,296602.0288226773
2000,jamaica,296602.0288226773
2001,jamaica,296602.0288226773
