Nation,Year,va_commercial_mmm_usd
argentina,2006,593.7723407979398
bahamas,2006,10.595423921442004
belize,2006,1.404495764746256
brazil,2006,25540.116403547025
barbados,2006,4.750528804222671
chile,2006,-82.36374700752401
colombia,2006,-10.97050781879713
costa_rica,2006,27.765208123179125
dominican_republic,2006,29.073208986217207
ecuador,2006,32.64254673526877
guatemala,2006,29.573496692766703
guyana,2006,3.0309676700139336
honduras,2006,13.645394225901082
haiti,2006,10.901284205965016
jamaica,2006,12.654687536467128
mexico,2006,7784.220673965338
nicaragua,2006,8.32554037938995
panama,2006,21.194489496833018
peru,2006,11.78374161784455
paraguay,2006,19.4974293817868
el_salvador,2006,16.62442013551426
uruguay,2006,25.923010646091146
argentina,2007,776.7471635815509
bahamas,2007,10.717625603067315
belize,2007,1.411344763081797
brazil,2007,31383.68951717034
barbados,2007,4.8506859986966
chile,2007,-101.30669236314226
colombia,2007,-15.795619964236577
costa_rica,2007,29.06551541845416
dominican_republic,2007,29.930947179785743
ecuador,2007,32.63160710393346
guatemala,2007,30.44819214980946
guyana,2007,3.240619748412884
honduras,2007,14.34307008066812
haiti,2007,11.384870991212788
jamaica,2007,12.80130328416419
mexico,2007,7759.07474569851
nicaragua,2007,8.722656716716973
panama,2007,22.82568230513497
peru,2007,4.236056704689765
paraguay,2007,20.381428948059217
el_salvador,2007,16.90747650246062
uruguay,2007,26.866538845689586
argentina,2008,857.8017861905987
bahamas,2008,10.497337170395106
belize,2008,1.4598605064141459
brazil,2008,36685.96048457803
barbados,2008,4.882245295244686
chile,2008,-103.40314763464369
colombia,2008,-26.339543812631902
costa_rica,2008,29.528212153294046
dominican_republic,2008,30.550283946888655
ecuador,2008,31.417076106748425
guatemala,2008,30.646957954223186
guyana,2008,3.291569598972034
honduras,2008,14.832084877508423
haiti,2008,11.652286734976967
jamaica,2008,12.73151941258629
mexico,2008,7908.968451549993
nicaragua,2008,8.994439092366644
panama,2008,24.098108457807307
peru,2008,0.6604521736759612
paraguay,2008,21.50878060429585
el_salvador,2008,17.176040299186
uruguay,2008,28.14142962034265
argentina,2009,484.9987647822319
bahamas,2009,10.099965749627579
belize,2009,1.462758026880552
brazil,2009,33002.602129743864
barbados,2009,4.642944182231718
chile,2009,-81.73600295083776
colombia,2009,-37.46752303889192
costa_rica,2009,28.987694739812834
dominican_republic,2009,30.549280294851403
ecuador,2009,33.155014044838865
guatemala,2009,30.634850911169583
guyana,2009,3.413601833173624
honduras,2009,14.476000957679853
haiti,2009,12.26192533489596
jamaica,2009,12.26597031978058
mexico,2009,5843.932076821399
nicaragua,2009,8.715816732701576
panama,2009,24.19541247915897
peru,2009,2.066215698685188
paraguay,2009,21.188749798892378
el_salvador,2009,16.824326684428097
uruguay,2009,28.47883375441504
argentina,2010,867.5417043343036
bahamas,2010,10.233578750940495
belize,2010,1.5064505108035509
brazil,2010,40619.239301743524
barbados,2010,4.542073308633128
