Nation,Year,va_commercial_mmm_usd
chile,2010,-115.22881464156652
colombia,2010,-54.86629144959637
costa_rica,2010,29.64006842315099
dominican_republic,2010,31.28727483515739
ecuador,2010,31.820043993715583
guatemala,2010,30.834566278783928
guyana,2010,3.5365612302214995
honduras,2010,14.943658454061772
haiti,2010,11.66769099696181
jamaica,2010,12.141000941516733
mexico,2010,7622.2723935685435
nicaragua,2010,9.069964504008498
panama,2010,24.948168634254127
peru,2010,-10.912075247972693
paraguay,2010,23.209973675790863
el_salvador,2010,17.158744458625684
uruguay,2010,29.494186732878756
argentina,2011,1112.285287818854
bahamas,2011,10.29862357700954
belize,2011,1.5350125268196413
brazil,2011,41342.17322271188
barbados,2011,4.513032793231023
chile,2011,-134.1773351957941
colombia,2011,-77.74256938442359
costa_rica,2011,30.059537240723806
dominican_republic,2011,31.189579985441036
ecuador,2011,29.806930093730003
guatemala,2011,31.22660503474566
guyana,2011,3.7113790826285222
honduras,2011,15.502787382197017
haiti,2011,12.202382980489734
jamaica,2011,12.32505572547648
mexico,2011,8422.677404822725
nicaragua,2011,9.60273181776188
panama,2011,26.153008413151618
peru,2011,-23.929506125159502
paraguay,2011,24.032868497601953
el_salvador,2011,17.717417127006836
uruguay,2011,30.552389650115135
argentina,2012,906.9469355525333
bahamas,2012,10.60567097422522
belize,2012,1.5722434589653433
brazil,2012,37811.67647232491
barbados,2012,4.49249941903335
chile,2012,-141.42749341606054
colombia,2012,-91.39629915826016
costa_rica,2012,30.407758167278416
dominican_republic,2012,31.221077423964342
ecuador,2012,28.77166529981928
guatemala,2012,31.572636142922445
guyana,2012,3.9027273891867633
honduras,2012,16.008195287901714
haiti,2012,12.250388201357756
jamaica,2012,12.280293989766358
mexico,2012,10959.488134280902
nicaragua,2012,10.164928364610565
panama,2012,27.017590330964385
peru,2012,-24.472373316907845
paraguay,2012,23.554611632431833
el_salvador,2012,18.069755712164536
uruguay,2012,30.709639239169157
argentina,2013,981.4088287184613
bahamas,2013,10.245066013447273
belize,2013,1.592587633692207
brazil,2013,40759.953439136865
barbados,2013,4.432112976894972
chile,2013,-144.83844594095962
colombia,2013,-113.463715893074
costa_rica,2013,30.418812576881386
dominican_republic,2013,31.215991342994613
ecuador,2013,27.89044562432638
guatemala,2013,32.35218212628801
guyana,2013,4.048659004973516
honduras,2013,16.318919147433864
haiti,2013,12.711137648997314
jamaica,2013,12.358036712478581
mexico,2013,10969.013693430396
nicaragua,2013,10.606169475912736
panama,2013,27.5950472924003
peru,2013,-26.814556519367468
paraguay,2013,25.170151096057925
el_salvador,2013,18.34769942823951
uruguay,2013,31.048229121935215
argentina,2014,849.3971511190722
bahamas,2014,10.455884714542446
belize,2014,1.6562103304396718
brazil,2014,40481.30934698706
barbados,2014,4.426971767390795
chile,2014,-141.75084170000147
colombia,2014,-128.62339089665272
costa_rica,2014,30.63534433552717
dominican_republic,2014,31.215666771822235
ecuador,2014,27.800227517149374
guatemala,2014,32.361378491069004
guyana,2014,4.118689943413687
honduras,2014,16.784025598172416
haiti,2014,12.872734495929853
jamaica,2014,12.439421014223367
mexico,2014,12519.492537081505
nicaragua,2014,11.081798711088403
panama,2014,27.969448180037155
peru,2014,-28.026475069387402
paraguay,2014,26.042705896764588
el_salvador,2014,18.605996898754068
uruguay,2014,31.274703644375226
