faltan
emission_co2e_co2_entc_generation_pp_biogas
emission_co2e_n2o_entc_generation_pp_solar
emission_co2e_ch4_entc_generation_pp_biogas
emission_co2e_n2o_entc_generation_pp_gas
emission_co2e_co2_entc_generation_pp_gas
emission_co2e_n2o_entc_generation_pp_biomass
emission_co2e_co2_entc_generation_pp_oil
emission_co2e_co2_entc_generation_pp_nuclear
emission_co2e_n2o_entc_generation_pp_oil
emission_co2e_co2_entc_generation_pp_hydropower
emission_co2e_n2o_entc_generation_pp_coal
emission_co2e_ch4_entc_generation_pp_gas
emission_co2e_n2o_entc_generation_pp_biogas
emission_co2e_ch4_entc_generation_pp_coal
emission_co2e_co2_entc_generation_pp_coal
emission_co2e_co2_entc_generation_pp_wind
emission_co2e_co2_entc_generation_pp_ocean
emission_co2e_ch4_entc_generation_pp_hydropower
emission_co2e_n2o_entc_generation_pp_ocean
emission_co2e_n2o_entc_generation_pp_hydropower
emission_co2e_ch4_entc_generation_pp_ocean
emission_co2e_ch4_entc_generation_pp_nuclear
emission_co2e_n2o_entc_generation_pp_nuclear
emission_co2e_co2_entc_generation_pp_waste_incineration
emission_co2e_ch4_entc_generation_pp_waste_incineration
emission_co2e_ch4_entc_generation_pp_wind
emission_co2e_co2_entc_generation_pp_geothermal
emission_co2e_ch4_entc_generation_pp_biomass
emission_co2e_ch4_entc_generation_pp_solar
emission_co2e_n2o_entc_generation_pp_wind
emission_co2e_n2o_entc_generation_pp_geothermal
emission_co2e_co2_entc_generation_pp_solar
emission_co2e_co2_entc_generation_pp_biomass
emission_co2e_ch4_entc_generation_pp_geothermal
emission_co2e_ch4_entc_generation_pp_oil
emission_co2e_n2o_entc_generation_pp_waste_incineration
