model,calib_targets,var_in_01_interval
AFOLU,ef_lvst_entferm_horses_kg_ch4_head,0
AFOLU,ef_lvst_entferm_mules_kg_ch4_head,0
AFOLU,ef_lvst_entferm_pigs_kg_ch4_head,0
AFOLU,ef_lvst_entferm_sheep_kg_ch4_head,0
AFOLU,ef_lvst_mm_buffalo_kg_ch4_head,0
AFOLU,ef_lvst_mm_buffalo_kg_n2o_head,0
AFOLU,ef_lvst_mm_cattle_dairy_kg_ch4_head,0
AFOLU,ef_lvst_mm_cattle_dairy_kg_n2o_head,0
AFOLU,ef_lvst_mm_cattle_nondairy_kg_ch4_head,0
AFOLU,ef_lvst_mm_cattle_nondairy_kg_n2o_head,0
AFOLU,ef_lvst_mm_chickens_kg_ch4_head,0
AFOLU,ef_lvst_mm_chickens_kg_n2o_head,0
AFOLU,ef_lvst_mm_goats_kg_ch4_head,0
AFOLU,ef_lvst_mm_goats_kg_n2o_head,0
AFOLU,ef_lvst_mm_horses_kg_ch4_head,0
AFOLU,ef_lvst_mm_horses_kg_n2o_head,0
AFOLU,ef_lvst_mm_mules_kg_ch4_head,0
AFOLU,ef_lvst_mm_mules_kg_n2o_head,0
AFOLU,ef_lvst_mm_pigs_kg_ch4_head,0
AFOLU,ef_lvst_mm_pigs_kg_n2o_head,0
AFOLU,ef_lvst_mm_sheep_kg_ch4_head,0
AFOLU,ef_lvst_mm_sheep_kg_n2o_head,0
AFOLU,elasticity_cattle_dairy_demand_to_gdppc,0
AFOLU,elasticity_cattle_nondairy_demand_to_gdppc,0
AFOLU,elasticity_chickens_demand_to_gdppc,0
AFOLU,elasticity_pigs_demand_to_gdppc,0
AFOLU,elasticity_sheep_demand_to_gdppc,0
AFOLU,frac_eating_red_meat,0
CircularEconomy,ef_trww_treated_aerobic_g_n2o_per_g_n,0
CircularEconomy,ef_trww_treated_anaerobic_g_n2o_per_g_n,0
CircularEconomy,ef_trww_treated_latrine_improved_g_n2o_per_g_n,0
CircularEconomy,ef_trww_treated_latrine_unimproved_g_n2o_per_g_n,0
CircularEconomy,ef_trww_treated_septic_g_n2o_per_g_n,0
CircularEconomy,ef_trww_untreated_no_sewerage_g_n2o_per_g_n,0
CircularEconomy,ef_trww_untreated_with_sewerage_g_n2o_per_g_n,0
CircularEconomy,mcf_trww_treated_aerobic,1
CircularEconomy,mcf_trww_treated_anaerobic,1
CircularEconomy,mcf_trww_treated_latrine_improved,1
CircularEconomy,mcf_trww_treated_latrine_unimproved,1
CircularEconomy,mcf_trww_treated_septic,1
CircularEconomy,mcf_trww_untreated_no_sewerage,1
CircularEconomy,mcf_trww_untreated_with_sewerage,1
CircularEconomy,frac_trww_nitrogen_removed_treated_aerobic,1
CircularEconomy,frac_trww_nitrogen_removed_treated_anaerobic,1
CircularEconomy,frac_trww_nitrogen_removed_treated_latrine_improved,1
CircularEconomy,frac_trww_nitrogen_removed_treated_latrine_unimproved,1
CircularEconomy,frac_trww_nitrogen_removed_treated_septic,1
CircularEconomy,frac_trww_nitrogen_removed_untreated_no_sewerage,1
CircularEconomy,frac_trww_nitrogen_removed_untreated_with_sewerage,1
CircularEconomy,frac_trww_tow_removed_treated_aerobic,1
CircularEconomy,frac_trww_tow_removed_treated_anaerobic,1
CircularEconomy,frac_trww_tow_removed_treated_latrine_improved,1
CircularEconomy,frac_trww_tow_removed_treated_latrine_unimproved,1
CircularEconomy,frac_trww_tow_removed_treated_septic,1
CircularEconomy,frac_trww_tow_removed_untreated_no_sewerage,1
CircularEconomy,frac_trww_tow_removed_untreated_with_sewerage,1
CircularEconomy,physparam_krem_sludge_factor_treated_aerobic,1
CircularEconomy,frac_sludge_compliant_treated_septic,1
CircularEconomy,frac_wali_protein_in_diet_with_red_meat,1
CircularEconomy,density_wali_kg_n_per_m3_ww_industrial,0
CircularEconomy,physparam_wali_daily_kg_bod_per_capita,0
CircularEconomy,logelasticity_wali_qty_prod_to_gdp_per_capita,0
CircularEconomy,qty_wali_m3_ww_domestic_rural_per_capita,0
CircularEconomy,qty_wali_m3_ww_domestic_urban_per_capita,0
CircularEconomy,qty_wali_m3_ww_industrial_per_gdp,0
CircularEconomy,frac_wali_protein_in_diet_without_red_meat,1
CircularEconomy,qty_protein_per_capita_kg,0
CircularEconomy,param_wali_n_hh_scalar,0
CircularEconomy,physparam_wali_tonne_cod_per_mmm_gdp,0
CircularEconomy,physparam_wali_tow_dom_generation_correction_factor,1
CircularEconomy,physparam_waso_k_chemical_industrial,0
CircularEconomy,physparam_waso_k_food,0
CircularEconomy,physparam_waso_k_glass,0
CircularEconomy,physparam_waso_k_metal,0
CircularEconomy,physparam_waso_k_nappies,0
CircularEconomy,physparam_waso_k_other,0
CircularEconomy,physparam_waso_k_paper,0
CircularEconomy,physparam_waso_k_plastic,0
CircularEconomy,physparam_waso_k_rubber_leather,0
CircularEconomy,physparam_waso_k_sludge,0
CircularEconomy,physparam_waso_k_textiles,0
CircularEconomy,physparam_waso_k_wood,0
CircularEconomy,physparam_waso_k_yard,0
