year,value,country,category
1990,9389.0,argentina,imputed
1991,9536.063904096818,argentina,imputed
1992,9755.668338173942,argentina,imputed
1993,10003.1933990842,argentina,imputed
1994,10249.0,argentina,imputed
1995,10697.854618919231,argentina,imputed
1996,11168.472191208533,argentina,imputed
1997,11650.0,argentina,imputed
1998,12434.176821032092,argentina,imputed
1999,13201.437826602909,argentina,imputed
2000,14012.0,argentina,imputed
2001,14658.338189704791,argentina,imputed
2002,15312.423883303052,argentina,imputed
2003,15942.45965063449,argentina,imputed
2004,16550.368469446614,argentina,imputed
2005,17138.073317486935,argentina,imputed
2006,17707.497172502954,argentina,imputed
2007,18260.563012242183,argentina,imputed
2008,18799.193814452126,argentina,imputed
2009,19325.3125568803,argentina,imputed
2010,19863.0,argentina,imputed
2011,20314.667933197845,argentina,imputed
2012,20777.0,argentina,imputed
2013,21275.19530543834,argentina,imputed
2014,21766.230013898577,argentina,imputed
2015,22257.264722358814,argentina,imputed
2016,22748.299430819046,argentina,imputed
2017,23239.33413927928,argentina,imputed
2018,23730.36884773951,argentina,imputed
1990,9330.549273205153,argentina,forecasted
1991,9536.063904096818,argentina,forecasted
1992,9755.668338173942,argentina,forecasted
1993,10003.1933990842,argentina,forecasted
1994,10292.469910475265,argentina,forecasted
1995,10697.854618919231,argentina,forecasted
1996,11168.472191208533,argentina,forecasted
1997,11713.973217060055,argentina,forecasted
1998,12434.176821032092,argentina,forecasted
1999,13201.437826602909,argentina,forecasted
2000,13978.2795920922,argentina,forecasted
2001,14658.338189704791,argentina,forecasted
2002,15312.423883303052,argentina,forecasted
2003,15942.45965063449,argentina,forecasted
2004,16550.368469446614,argentina,forecasted
2005,17138.073317486935,argentina,forecasted
2006,17707.497172502954,argentina,forecasted
2007,18260.563012242183,argentina,forecasted
2008,18799.193814452126,argentina,forecasted
2009,19325.3125568803,argentina,forecasted
2010,19840.842217274203,argentina,forecasted
2011,20314.667933197845,argentina,forecasted
2012,20784.160596978112,argentina,forecasted
2013,21275.19530543834,argentina,forecasted
2014,21766.230013898577,argentina,forecasted
2015,22257.264722358814,argentina,forecasted
2016,22748.299430819046,argentina,forecasted
2017,23239.33413927928,argentina,forecasted
2018,23730.36884773951,argentina,forecasted
1990,9389.0,argentina,observed
1991,9536.063904096818,argentina,observed
1992,9755.668338173942,argentina,observed
1993,10003.1933990842,argentina,observed
1994,10249.0,argentina,observed
1995,10697.854618919231,argentina,observed
1996,11168.472191208533,argentina,observed
1997,11650.0,argentina,observed
1998,12434.176821032092,argentina,observed
1999,13201.437826602909,argentina,observed
2000,14012.0,argentina,observed
2001,14658.338189704791,argentina,observed
2002,15312.423883303052,argentina,observed
2003,15942.45965063449,argentina,observed
2004,16550.368469446614,argentina,observed
2005,17138.073317486935,argentina,observed
2006,17707.497172502954,argentina,observed
2007,18260.563012242183,argentina,observed
2008,18799.193814452126,argentina,observed
2009,19325.3125568803,argentina,observed
2010,19863.0,argentina,observed
2011,20314.667933197845,argentina,observed
2012,20777.0,argentina,observed
2013,21275.19530543834,argentina,observed
2014,21766.230013898577,argentina,observed
2015,22257.264722358814,argentina,observed
2016,22748.299430819046,argentina,observed
2017,23239.33413927928,argentina,observed
2018,23730.36884773951,argentina,observed
1990,21.0,bahamas,imputed
1991,40.21500860083299,bahamas,imputed
1992,60.29102949889963,bahamas,imputed
1993,81.15420364412955,bahamas,imputed
1994,102.70613688062733,bahamas,imputed
1995,124.84843505249756,bahamas,imputed
1996,147.48270400384484,bahamas,imputed
1997,170.51054957877375,bahamas,imputed
1998,193.83357762138888,bahamas,imputed
1999,217.3533939757948,bahamas,imputed
2000,241.0,bahamas,imputed
2001,263.24645571844167,bahamas,imputed
2002,285.52130695078705,bahamas,imputed
2003,307.79615818313255,bahamas,imputed
2004,330.071009415478,bahamas,imputed
2005,352.34586064782343,bahamas,imputed
2006,374.6207118801689,bahamas,imputed
2007,396.89556311251437,bahamas,imputed
2008,419.1704143448598,bahamas,imputed
2009,441.44526557720525,bahamas,imputed
2010,463.72011680955075,bahamas,imputed
2011,485.9949680418962,bahamas,imputed
2012,508.2698192742416,bahamas,imputed
2013,530.5446705065871,bahamas,imputed
2014,552.8195217389325,bahamas,imputed
2015,575.094372971278,bahamas,imputed
2016,597.3692242036234,bahamas,imputed
2017,619.644075435969,bahamas,imputed
2018,641.9189266683143,bahamas,imputed
1990,21.024535105825017,bahamas,forecasted
1991,40.21500860083299,bahamas,forecasted
1992,60.29102949889963,bahamas,forecasted
1993,81.15420364412955,bahamas,forecasted
1994,102.70613688062733,bahamas,forecasted
1995,124.84843505249756,bahamas,forecasted
1996,147.48270400384484,bahamas,forecasted
1997,170.51054957877375,bahamas,forecasted
1998,193.83357762138888,bahamas,forecasted
1999,217.3533939757948,bahamas,forecasted
2000,240.9716044860962,bahamas,forecasted
2001,263.24645571844167,bahamas,forecasted
2002,285.52130695078705,bahamas,forecasted
2003,307.79615818313255,bahamas,forecasted
2004,330.071009415478,bahamas,forecasted
2005,352.34586064782343,bahamas,forecasted
2006,374.6207118801689,bahamas,forecasted
2007,396.89556311251437,bahamas,forecasted
2008,419.1704143448598,bahamas,forecasted
2009,441.44526557720525,bahamas,forecasted
2010,463.72011680955075,bahamas,forecasted
2011,485.9949680418962,bahamas,forecasted
2012,508.2698192742416,bahamas,forecasted
2013,530.5446705065871,bahamas,forecasted
2014,552.8195217389325,bahamas,forecasted
2015,575.094372971278,bahamas,forecasted
2016,597.3692242036234,bahamas,forecasted
2017,619.644075435969,bahamas,forecasted
2018,641.9189266683143,bahamas,forecasted
1990,21.0,bahamas,observed
1991,40.21500860083299,bahamas,observed
1992,60.29102949889963,bahamas,observed
1993,81.15420364412955,bahamas,observed
1994,102.70613688062733,bahamas,observed
1995,124.84843505249756,bahamas,observed
1996,147.48270400384484,bahamas,observed
1997,170.51054957877375,bahamas,observed
1998,193.83357762138888,bahamas,observed
1999,217.3533939757948,bahamas,observed
2000,241.0,bahamas,observed
2001,263.24645571844167,bahamas,observed
2002,285.52130695078705,bahamas,observed
2003,307.79615818313255,bahamas,observed
2004,330.071009415478,bahamas,observed
