year,value,country,category
2005,352.34586064782343,bahamas,observed
2006,374.6207118801689,bahamas,observed
2007,396.89556311251437,bahamas,observed
2008,419.1704143448598,bahamas,observed
2009,441.44526557720525,bahamas,observed
2010,463.72011680955075,bahamas,observed
2011,485.9949680418962,bahamas,observed
2012,508.2698192742416,bahamas,observed
2013,530.5446705065871,bahamas,observed
2014,552.8195217389325,bahamas,observed
2015,575.094372971278,bahamas,observed
2016,597.3692242036234,bahamas,observed
2017,619.644075435969,bahamas,observed
2018,641.9189266683143,bahamas,observed
1990,1644.0,barbados,imputed
1991,1643.6673078044907,barbados,imputed
1992,1656.1258350179473,barbados,imputed
1993,1694.1405456772122,barbados,imputed
1994,1770.0,barbados,imputed
1995,1901.377863162652,barbados,imputed
1996,1951.6567811107577,barbados,imputed
1997,1791.0,barbados,imputed
1998,1274.4660460079454,barbados,imputed
1999,670.8176137797658,barbados,imputed
2000,232.0,barbados,imputed
2001,236.0,barbados,imputed
2002,243.0,barbados,imputed
2003,253.0,barbados,imputed
2004,261.0,barbados,imputed
2005,272.0,barbados,imputed
2006,280.0,barbados,imputed
2007,290.0,barbados,imputed
2008,299.0,barbados,imputed
2009,305.0,barbados,imputed
2010,295.0,barbados,imputed
2011,285.52100994622856,barbados,imputed
2012,275.9916322463353,barbados,imputed
2013,266.4622545464421,barbados,imputed
2014,256.932876846549,barbados,imputed
2015,247.4034991466558,barbados,imputed
2016,237.8741214467626,barbados,imputed
2017,228.34474374686943,barbados,imputed
2018,218.81536604697624,barbados,imputed
1990,1643.9570535302041,barbados,forecasted
1991,1643.6673078044907,barbados,forecasted
1992,1656.1258350179473,barbados,forecasted
1993,1694.1405456772122,barbados,forecasted
1994,1770.5193502889233,barbados,forecasted
1995,1901.377863162652,barbados,forecasted
1996,1951.6567811107577,barbados,forecasted
1997,1789.604504748532,barbados,forecasted
1998,1274.4660460079454,barbados,forecasted
1999,670.8176137797658,barbados,forecasted
2000,234.23202827144058,barbados,forecasted
2001,234.8816471708171,barbados,forecasted
2002,242.81256170749984,barbados,forecasted
2003,252.9735303969211,barbados,forecasted
2004,261.0329307130978,barbados,forecasted
2005,271.97415484177805,barbados,forecasted
2006,280.0204717721555,barbados,forecasted
2007,290.0047597218822,barbados,forecasted
2008,299.02137425017474,barbados,forecasted
2009,304.91526757911174,barbados,forecasted
2010,295.05038764612175,barbados,forecasted
2011,285.52100994622856,barbados,forecasted
2012,275.9916322463353,barbados,forecasted
2013,266.4622545464421,barbados,forecasted
2014,256.932876846549,barbados,forecasted
2015,247.4034991466558,barbados,forecasted
2016,237.8741214467626,barbados,forecasted
2017,228.34474374686943,barbados,forecasted
2018,218.81536604697624,barbados,forecasted
1990,1644.0,barbados,observed
1991,1643.6673078044907,barbados,observed
1992,1656.1258350179473,barbados,observed
1993,1694.1405456772122,barbados,observed
1994,1770.0,barbados,observed
1995,1901.377863162652,barbados,observed
1996,1951.6567811107577,barbados,observed
1997,1791.0,barbados,observed
1998,1274.4660460079454,barbados,observed
1999,670.8176137797658,barbados,observed
2000,232.0,barbados,observed
2001,236.0,barbados,observed
2002,243.0,barbados,observed
2003,253.0,barbados,observed
2004,261.0,barbados,observed
2005,272.0,barbados,observed
2006,280.0,barbados,observed
2007,290.0,barbados,observed
2008,299.0,barbados,observed
2009,305.0,barbados,observed
2010,295.0,barbados,observed
2011,285.52100994622856,barbados,observed
2012,275.9916322463353,barbados,observed
2013,266.4622545464421,barbados,observed
2014,256.932876846549,barbados,observed
2015,247.4034991466558,barbados,observed
2016,237.8741214467626,barbados,observed
2017,228.34474374686943,barbados,observed
2018,218.81536604697624,barbados,observed
1990,8749.714578767725,belize,imputed
1991,7980.4331433585185,belize,imputed
1992,7179.55779289065,belize,imputed
1993,6336.687409880882,belize,imputed
1994,5457.0,belize,imputed
1995,4396.394615435796,belize,imputed
1996,3342.3287115575904,belize,imputed
1997,2332.9807902517073,belize,imputed
1998,1422.1084765585003,belize,imputed
1999,663.4693955183243,belize,imputed
2000,77.0,belize,imputed
2001,-24.483276740678633,belize,imputed
2002,5.164120295283739,belize,imputed
2003,121.0,belize,imputed
2004,127.59040953887578,belize,imputed
2005,135.7161399627683,belize,imputed
2006,143.0,belize,imputed
2007,139.6447240589972,belize,imputed
2008,143.66138693898523,belize,imputed
2009,150.0,belize,imputed
2010,136.1250766919939,belize,imputed
2011,122.64243777083891,belize,imputed
2012,109.15979884968391,belize,imputed
2013,95.67715992852891,belize,imputed
2014,82.1945210073739,belize,imputed
2015,68.71188208621889,belize,imputed
2016,55.22924316506388,belize,imputed
2017,41.746604243908884,belize,imputed
2018,28.263965322753883,belize,imputed
1990,8749.714578767725,belize,forecasted
1991,7980.4331433585185,belize,forecasted
1992,7179.55779289065,belize,forecasted
1993,6336.687409880882,belize,forecasted
1994,5441.420876845972,belize,forecasted
1995,4396.394615435796,belize,forecasted
1996,3342.3287115575904,belize,forecasted
1997,2332.9807902517073,belize,forecasted
1998,1422.1084765585003,belize,forecasted
1999,663.4693955183243,belize,forecasted
2000,110.82117217153315,belize,forecasted
2001,-24.483276740678633,belize,forecasted
2002,5.164120295283739,belize,forecasted
2003,104.96672649385576,belize,forecasted
2004,127.59040953887578,belize,forecasted
2005,135.7161399627683,belize,forecasted
2006,139.4873927673604,belize,forecasted
2007,139.6447240589972,belize,forecasted
2008,143.66138693898523,belize,forecasted
2009,149.6077156131489,belize,forecasted
2010,136.1250766919939,belize,forecasted
2011,122.64243777083891,belize,forecasted
2012,109.15979884968391,belize,forecasted
2013,95.67715992852891,belize,forecasted
2014,82.1945210073739,belize,forecasted
2015,68.71188208621889,belize,forecasted
2016,55.22924316506388,belize,forecasted
2017,41.746604243908884,belize,forecasted
2018,28.263965322753883,belize,forecasted
1990,8749.714578767725,belize,observed
1991,7980.4331433585185,belize,observed
1992,7179.55779289065,belize,observed
1993,6336.687409880882,belize,observed
1994,5457.0,belize,observed
1995,4396.394615435796,belize,observed
1996,3342.3287115575904,belize,observed
1997,2332.9807902517073,belize,observed
1998,1422.1084765585003,belize,observed
1999,663.4693955183243,belize,observed
2000,77.0,belize,observed
2001,-24.483276740678633,belize,observed
2002,5.164120295283739,belize,observed
2003,121.0,belize,observed
2004,127.59040953887578,belize,observed
2005,135.7161399627683,belize,observed
2006,143.0,belize,observed
2007,139.6447240589972,belize,observed
2008,143.66138693898523,belize,observed
2009,150.0,belize,observed
2010,136.1250766919939,belize,observed
2011,122.64243777083891,belize,observed
2012,109.15979884968391,belize,observed
2013,95.67715992852891,belize,observed
2014,82.1945210073739,belize,observed
2015,68.71188208621889,belize,observed
2016,55.22924316506388,belize,observed
2017,41.746604243908884,belize,observed
2018,28.263965322753883,belize,observed
1990,179.0,bolivia_(plurinational_state_of),imputed
1991,265.6308172444541,bolivia_(plurinational_state_of),imputed
1992,359.6405933629136,bolivia_(plurinational_state_of),imputed
1993,454.80053970360905,bolivia_(plurinational_state_of),imputed
1994,537.0,bolivia_(plurinational_state_of),imputed
1995,686.0307939093907,bolivia_(plurinational_state_of),imputed
1996,821.4867964101622,bolivia_(plurinational_state_of),imputed
1997,956.8643584045404,bolivia_(plurinational_state_of),imputed
1998,1101.0,bolivia_(plurinational_state_of),imputed
1999,1175.2867991994963,bolivia_(plurinational_state_of),imputed
2000,1244.0,bolivia_(plurinational_state_of),imputed
2001,1435.1488971183985,bolivia_(plurinational_state_of),imputed
2002,1637.0,bolivia_(plurinational_state_of),imputed
2003,1663.9573625365779,bolivia_(plurinational_state_of),imputed
2004,1702.0,bolivia_(plurinational_state_of),imputed
2005,1819.670539613659,bolivia_(plurinational_state_of),imputed
2006,1923.353250137688,bolivia_(plurinational_state_of),imputed
2007,2027.0359606617174,bolivia_(plurinational_state_of),imputed
2008,2130.7186711857466,bolivia_(plurinational_state_of),imputed
2009,2234.4013817097757,bolivia_(plurinational_state_of),imputed
2010,2338.0840922338048,bolivia_(plurinational_state_of),imputed
2011,2441.7668027578343,bolivia_(plurinational_state_of),imputed
2012,2545.449513281864,bolivia_(plurinational_state_of),imputed
2013,2649.132223805893,bolivia_(plurinational_state_of),imputed
2014,2752.814934329922,bolivia_(plurinational_state_of),imputed
2015,2856.497644853951,bolivia_(plurinational_state_of),imputed
2016,2960.1803553779805,bolivia_(plurinational_state_of),imputed
2017,3063.86306590201,bolivia_(plurinational_state_of),imputed
2018,3167.5457764260386,bolivia_(plurinational_state_of),imputed
1990,172.2805157240026,bolivia_(plurinational_state_of),forecasted
1991,265.6308172444541,bolivia_(plurinational_state_of),forecasted
1992,359.6405933629136,bolivia_(plurinational_state_of),forecasted
1993,454.80053970360905,bolivia_(plurinational_state_of),forecasted
1994,551.6013518907685,bolivia_(plurinational_state_of),forecasted
1995,686.0307939093907,bolivia_(plurinational_state_of),forecasted
1996,821.4867964101622,bolivia_(plurinational_state_of),forecasted
1997,956.8643584045404,bolivia_(plurinational_state_of),forecasted
1998,1091.0584789039824,bolivia_(plurinational_state_of),forecasted
1999,1175.2867991994963,bolivia_(plurinational_state_of),forecasted
2000,1260.2341513480087,bolivia_(plurinational_state_of),forecasted
2001,1435.1488971183985,bolivia_(plurinational_state_of),forecasted
2002,1608.8557612006375,bolivia_(plurinational_state_of),forecasted
2003,1663.9573625365779,bolivia_(plurinational_state_of),forecasted
2004,1715.9878290896295,bolivia_(plurinational_state_of),forecasted
2005,1819.670539613659,bolivia_(plurinational_state_of),forecasted
2006,1923.353250137688,bolivia_(plurinational_state_of),forecasted
2007,2027.0359606617174,bolivia_(plurinational_state_of),forecasted
2008,2130.7186711857466,bolivia_(plurinational_state_of),forecasted
2009,2234.4013817097757,bolivia_(plurinational_state_of),forecasted
2010,2338.0840922338048,bolivia_(plurinational_state_of),forecasted
2011,2441.7668027578343,bolivia_(plurinational_state_of),forecasted
2012,2545.449513281864,bolivia_(plurinational_state_of),forecasted
2013,2649.132223805893,bolivia_(plurinational_state_of),forecasted
2014,2752.814934329922,bolivia_(plurinational_state_of),forecasted
2015,2856.497644853951,bolivia_(plurinational_state_of),forecasted
2016,2960.1803553779805,bolivia_(plurinational_state_of),forecasted
2017,3063.86306590201,bolivia_(plurinational_state_of),forecasted
2018,3167.5457764260386,bolivia_(plurinational_state_of),forecasted
1990,179.0,bolivia_(plurinational_state_of),observed
1991,265.6308172444541,bolivia_(plurinational_state_of),observed
1992,359.6405933629136,bolivia_(plurinational_state_of),observed
1993,454.80053970360905,bolivia_(plurinational_state_of),observed
1994,537.0,bolivia_(plurinational_state_of),observed
1995,686.0307939093907,bolivia_(plurinational_state_of),observed
1996,821.4867964101622,bolivia_(plurinational_state_of),observed
1997,956.8643584045404,bolivia_(plurinational_state_of),observed
1998,1101.0,bolivia_(plurinational_state_of),observed
1999,1175.2867991994963,bolivia_(plurinational_state_of),observed
2000,1244.0,bolivia_(plurinational_state_of),observed
2001,1435.1488971183985,bolivia_(plurinational_state_of),observed
2002,1637.0,bolivia_(plurinational_state_of),observed
2003,1663.9573625365779,bolivia_(plurinational_state_of),observed
2004,1702.0,bolivia_(plurinational_state_of),observed
2005,1819.670539613659,bolivia_(plurinational_state_of),observed
2006,1923.353250137688,bolivia_(plurinational_state_of),observed
2007,2027.0359606617174,bolivia_(plurinational_state_of),observed
2008,2130.7186711857466,bolivia_(plurinational_state_of),observed
2009,2234.4013817097757,bolivia_(plurinational_state_of),observed
2010,2338.0840922338048,bolivia_(plurinational_state_of),observed
2011,2441.7668027578343,bolivia_(plurinational_state_of),observed
2012,2545.449513281864,bolivia_(plurinational_state_of),observed
2013,2649.132223805893,bolivia_(plurinational_state_of),observed
2014,2752.814934329922,bolivia_(plurinational_state_of),observed
2015,2856.497644853951,bolivia_(plurinational_state_of),observed
2016,2960.1803553779805,bolivia_(plurinational_state_of),observed
2017,3063.86306590201,bolivia_(plurinational_state_of),observed
2018,3167.5457764260386,bolivia_(plurinational_state_of),observed
1990,27595.0,brazil,imputed
1991,28649.0,brazil,imputed
1992,29799.0,brazil,imputed
1993,30799.0,brazil,imputed
1994,31900.0,brazil,imputed
1995,33136.0,brazil,imputed
1996,34393.0,brazil,imputed
1997,35689.0,brazil,imputed
1998,36886.0,brazil,imputed
1999,38395.0,brazil,imputed
2000,39630.0,brazil,imputed
2001,40807.0,brazil,imputed
2002,42602.0,brazil,imputed
2003,44397.0,brazil,imputed
2004,45335.0,brazil,imputed
2005,46812.0,brazil,imputed
2006,48228.0,brazil,imputed
2007,49484.0,brazil,imputed
2008,50221.0,brazil,imputed
2009,50776.0,brazil,imputed
2010,53053.0,brazil,imputed
2011,55603.0,brazil,imputed
2012,56573.0,brazil,imputed
2013,60872.0,brazil,imputed
2014,61702.0,brazil,imputed
2015,61939.0,brazil,imputed
2016,62884.0,brazil,imputed
2017,64270.59114221267,brazil,imputed
2018,65635.48724583579,brazil,imputed
1990,27587.859253724208,brazil,forecasted
1991,28650.324791164276,brazil,forecasted
1992,29794.416922922723,brazil,forecasted
1993,30802.051346156957,brazil,forecasted
1994,31904.676962060243,brazil,forecasted
1995,33137.10916641848,brazil,forecasted
1996,34393.775580326066,brazil,forecasted
1997,35686.57292125943,brazil,forecasted
1998,36894.330203853235,brazil,forecasted
1999,38386.89774274261,brazil,forecasted
2000,39629.50214417094,brazil,forecasted
2001,40826.55530943549,brazil,forecasted
2002,42600.78812685037,brazil,forecasted
2003,44370.337278489336,brazil,forecasted
2004,45348.06995900354,brazil,forecasted
2005,46809.77283506922,brazil,forecasted
2006,48219.28530579781,brazil,forecasted
2007,49465.5112960344,brazil,forecasted
2008,50220.38127119114,brazil,forecasted
2009,50833.83659157899,brazil,forecasted
2010,53065.539826955384,brazil,forecasted
2011,55565.270718404994,brazil,forecasted
2012,56661.50456160605,brazil,forecasted
2013,60766.139326551405,brazil,forecasted
2014,61671.51712800405,brazil,forecasted
2015,61961.279409555864,brazil,forecasted
2016,62905.69503858955,brazil,forecasted
2017,64270.59114221267,brazil,forecasted
2018,65635.48724583579,brazil,forecasted
1990,27595.0,brazil,observed
1991,28649.0,brazil,observed
1992,29799.0,brazil,observed
1993,30799.0,brazil,observed
1994,31900.0,brazil,observed
1995,33136.0,brazil,observed
1996,34393.0,brazil,observed
1997,35689.0,brazil,observed
1998,36886.0,brazil,observed
1999,38395.0,brazil,observed
2000,39630.0,brazil,observed
2001,40807.0,brazil,observed
2002,42602.0,brazil,observed
2003,44397.0,brazil,observed
2004,45335.0,brazil,observed
2005,46812.0,brazil,observed
2006,48228.0,brazil,observed
2007,49484.0,brazil,observed
2008,50221.0,brazil,observed
2009,50776.0,brazil,observed
2010,53053.0,brazil,observed
2011,55603.0,brazil,observed
2012,56573.0,brazil,observed
2013,60872.0,brazil,observed
2014,61702.0,brazil,observed
2015,61939.0,brazil,observed
2016,62884.0,brazil,observed
2017,64270.59114221267,brazil,observed
2018,65635.48724583579,brazil,observed
1990,1310.0,chile,imputed
1991,821.4465081686428,chile,imputed
1992,960.5964501389564,chile,imputed
1993,257.0,chile,imputed
1994,1658.0,chile,imputed
1995,1396.8683548451331,chile,imputed
1996,1545.9087217889726,chile,imputed
1997,1696.4386331928715,chile,imputed
1998,1848.3548027745794,chile,imputed
1999,2001.5539442518455,chile,imputed
2000,2353.0,chile,imputed
2001,2310.5816752428427,chile,imputed
2002,2466.8439930638997,chile,imputed
2003,2625.25673939517,chile,imputed
2004,2786.3569288262315,chile,imputed
2005,2950.6815759466626,chile,imputed
2006,2489.0,chile,imputed
2007,3294.6825179803095,chile,imputed
2008,3474.68501848589,chile,imputed
2009,3658.5643878655687,chile,imputed
2010,3533.0,chile,imputed
2011,4038.9103334715173,chile,imputed
2012,4234.738773446466,chile,imputed
2013,4355.0,chile,imputed
2014,4634.231076037326,chile,imputed
2015,4837.015525259541,chile,imputed
2016,5190.0,chile,imputed
2017,5245.052644122293,chile,imputed
2018,5921.0,chile,imputed
1990,683.1846212072855,chile,forecasted
1991,821.4465081686428,chile,forecasted
1992,960.5964501389564,chile,forecasted
1993,1101.5126401196849,chile,forecasted
1994,1249.4208186436053,chile,forecasted
1995,1396.8683548451331,chile,forecasted
1996,1545.9087217889726,chile,forecasted
1997,1696.4386331928715,chile,forecasted
1998,1848.3548027745794,chile,forecasted
1999,2001.5539442518455,chile,forecasted
2000,2155.9327713424186,chile,forecasted
2001,2310.5816752428427,chile,forecasted
2002,2466.8439930638997,chile,forecasted
2003,2625.25673939517,chile,forecasted
2004,2786.3569288262315,chile,forecasted
2005,2950.6815759466626,chile,forecasted
2006,3118.7676953460405,chile,forecasted
2007,3294.6825179803095,chile,forecasted
2008,3474.68501848589,chile,forecasted
2009,3658.5643878655687,chile,forecasted
2010,3846.109817122131,chile,forecasted
2011,4038.9103334715173,chile,forecasted
2012,4234.738773446466,chile,forecasted
2013,4433.167809792875,chile,forecasted
2014,4634.231076037326,chile,forecasted
2015,4837.015525259541,chile,forecasted
2016,5041.069071319939,chile,forecasted
2017,5245.052644122293,chile,forecasted
2018,5449.444722273944,chile,forecasted
1990,1310.0,chile,observed
1991,821.4465081686428,chile,observed
1992,960.5964501389564,chile,observed
1993,257.0,chile,observed
1994,1658.0,chile,observed
1995,1396.8683548451331,chile,observed
1996,1545.9087217889726,chile,observed
1997,1696.4386331928715,chile,observed
1998,1848.3548027745794,chile,observed
1999,2001.5539442518455,chile,observed
2000,2353.0,chile,observed
2001,2310.5816752428427,chile,observed
2002,2466.8439930638997,chile,observed
2003,2625.25673939517,chile,observed
2004,2786.3569288262315,chile,observed
2005,2950.6815759466626,chile,observed
2006,2489.0,chile,observed
2007,3294.6825179803095,chile,observed
2008,3474.68501848589,chile,observed
2009,3658.5643878655687,chile,observed
2010,3533.0,chile,observed
2011,4038.9103334715173,chile,observed
2012,4234.738773446466,chile,observed
2013,4355.0,chile,observed
2014,4634.231076037326,chile,observed
2015,4837.015525259541,chile,observed
2016,5190.0,chile,observed
2017,5245.052644122293,chile,observed
2018,5921.0,chile,observed
1990,7445.0,colombia,imputed
1991,7716.818323067755,colombia,imputed
1992,7966.795943718601,colombia,imputed
1993,8209.929604680745,colombia,imputed
1994,8482.0,colombia,imputed
1995,8603.542077983679,colombia,imputed
1996,8754.527176446863,colombia,imputed
1997,8899.680887466135,colombia,imputed
1998,9043.858775613775,colombia,imputed
1999,9191.916405462067,colombia,imputed
2000,9316.0,colombia,imputed
2001,9565.852194929003,colombia,imputed
2002,9793.188201408626,colombia,imputed
2003,10027.319643310857,colombia,imputed
2004,10277.0,colombia,imputed
2005,10484.04901412244,colombia,imputed
2006,10703.249225320487,colombia,imputed
2007,10922.449436518535,colombia,imputed
2008,11141.649647716582,colombia,imputed
2009,11360.84985891463,colombia,imputed
2010,11580.050070112677,colombia,imputed
2011,11799.250281310724,colombia,imputed
2012,12018.450492508771,colombia,imputed
2013,12237.650703706817,colombia,imputed
2014,12456.850914904864,colombia,imputed
2015,12676.051126102911,colombia,imputed
2016,12895.251337300959,colombia,imputed
2017,13114.451548499006,colombia,imputed
2018,13333.651759697052,colombia,imputed
1990,7464.346021178093,colombia,forecasted
1991,7716.818323067755,colombia,forecasted
1992,7966.795943718601,colombia,forecasted
1993,8209.929604680745,colombia,forecasted
1994,8441.8700275043,colombia,forecasted
1995,8603.542077983679,colombia,forecasted
1996,8754.527176446863,colombia,forecasted
1997,8899.680887466135,colombia,forecasted
1998,9043.858775613775,colombia,forecasted
1999,9191.916405462067,colombia,forecasted
2000,9348.709341583293,colombia,forecasted
2001,9565.852194929003,colombia,forecasted
2002,9793.188201408626,colombia,forecasted
2003,10027.319643310857,colombia,forecasted
2004,10264.848802924393,colombia,forecasted
2005,10484.04901412244,colombia,forecasted
2006,10703.249225320487,colombia,forecasted
2007,10922.449436518535,colombia,forecasted
2008,11141.649647716582,colombia,forecasted
2009,11360.84985891463,colombia,forecasted
2010,11580.050070112677,colombia,forecasted
2011,11799.250281310724,colombia,forecasted
2012,12018.450492508771,colombia,forecasted
2013,12237.650703706817,colombia,forecasted
2014,12456.850914904864,colombia,forecasted
2015,12676.051126102911,colombia,forecasted
2016,12895.251337300959,colombia,forecasted
2017,13114.451548499006,colombia,forecasted
2018,13333.651759697052,colombia,forecasted
1990,7445.0,colombia,observed
1991,7716.818323067755,colombia,observed
1992,7966.795943718601,colombia,observed
1993,8209.929604680745,colombia,observed
1994,8482.0,colombia,observed
1995,8603.542077983679,colombia,observed
1996,8754.527176446863,colombia,observed
1997,8899.680887466135,colombia,observed
1998,9043.858775613775,colombia,observed
1999,9191.916405462067,colombia,observed
2000,9316.0,colombia,observed
2001,9565.852194929003,colombia,observed
2002,9793.188201408626,colombia,observed
2003,10027.319643310857,colombia,observed
2004,10277.0,colombia,observed
2005,10484.04901412244,colombia,observed
2006,10703.249225320487,colombia,observed
2007,10922.449436518535,colombia,observed
2008,11141.649647716582,colombia,observed
2009,11360.84985891463,colombia,observed
2010,11580.050070112677,colombia,observed
2011,11799.250281310724,colombia,observed
2012,12018.450492508771,colombia,observed
2013,12237.650703706817,colombia,observed
2014,12456.850914904864,colombia,observed
2015,12676.051126102911,colombia,observed
2016,12895.251337300959,colombia,observed
2017,13114.451548499006,colombia,observed
2018,13333.651759697052,colombia,observed
1990,430.0,costa_rica,imputed
1991,500.5873120007928,costa_rica,imputed
1992,570.0028426965597,costa_rica,imputed
1993,641.2401035757808,costa_rica,imputed
1994,714.8192340895614,costa_rica,imputed
1995,791.2603736890059,costa_rica,imputed
1996,870.0,costa_rica,imputed
1997,964.2103621071078,costa_rica,imputed
1998,1057.1794823552218,costa_rica,imputed
1999,1145.9311545479122,costa_rica,imputed
2000,1236.0,costa_rica,imputed
2001,1261.0892556343888,costa_rica,imputed
2002,1285.9032533262703,costa_rica,imputed
